,T,P,zs
5491,220.36963207906177,322672.7024865712,"[0.5400529823075422, 0.3065596271959291, 0.1533873904965287]"
17228,904.0774861048365,664806.9382399212,"[0.4783722698661434, 0.07468877326166835, 0.4469389568721884]"
40020,485.2963596614894,357019.49111078697,"[0.07548200563517186, 0.7242028904132959, 0.20031510395153213]"
33246,766.4553753730884,592533.47074499,"[0.047957616116155025, 0.06884685311968584, 0.8831955307641591]"
748,458.4202770254817,536974.2813175425,"[0.869612868172245, 0.09508379780339198, 0.03530333402436296]"
32980,222.27949848598,817179.7887167685,"[0.3902443356389566, 0.3017553383466716, 0.308000326014372]"
38545,533.4885180580227,891241.3046509775,"[0.06241968591421925, 0.9075851410107327, 0.029995173075048016]"
16964,14.410389866511755,886753.7580542348,"[0.48526341534164397, 0.2373485622128078, 0.2773880224455481]"
47594,198.4953869802968,892901.0426099224,"[0.08966720406112925, 0.7551669455342225, 0.1551658504046484]"
36093,196.1338939973555,664180.1783302539,"[0.23534541787826327, 0.30611101382533357, 0.4585435682964033]"
2026,442.5877459767531,679960.20219775,"[0.06527774043875155, 0.029303523490503226, 0.9054187360707452]"
16891,766.1995397632215,675318.5856547517,"[0.0628634102860876, 0.9204579020240682, 0.016678687689844214]"
15829,360.94792371930953,906980.416227284,"[0.19273926837628183, 0.23995265216903802, 0.5673080794546802]"
5566,507.5338456456767,346387.90651480475,"[0.10606241809137942, 0.47109830153575244, 0.42283928037286816]"
14947,822.4954798105592,955930.7235918278,"[0.7646799182105868, 0.022605863950570203, 0.21271421783884317]"
43497,665.4764175979146,188734.87396095687,"[0.41745239659983807, 0.2762708103567383, 0.30627679304342365]"
5860,674.1901164595577,545403.1983341149,"[0.3188590356132312, 0.07490096606095493, 0.6062399983258139]"
20038,766.3434819007377,766045.3158584841,"[0.20512090102702726, 0.46932936670345476, 0.325549732269518]"
17835,47.917414101095694,870541.7405058513,"[0.3188258319427, 0.6455697183405544, 0.035604449716745465]"
24178,403.37776517494433,360835.7316255053,"[0.5867361865751566, 0.002561839312186434, 0.4107019741126569]"
714,426.5233178732651,837139.826181368,"[0.2784190789032672, 0.39444463792296347, 0.32713628317376936]"
25825,942.6720045766408,649984.4380137209,"[0.03056791522276185, 0.728620143642633, 0.24081194113460513]"
12269,123.19045734421832,305888.436756745,"[0.2955676614340883, 0.2849600867257056, 0.4194722518402061]"
38037,472.8265651610423,317999.79457410914,"[0.8409217974461304, 0.04851811056968992, 0.11056009198417975]"
46141,557.2947732632404,610149.6944544967,"[0.29051363161231825, 0.6796994459002168, 0.029786922487464968]"
30576,174.5673271359259,854780.927642212,"[0.43786632747178594, 0.2128867107087326, 0.3492469618194814]"
28981,81.60004869887904,324464.05793831195,"[0.5714986676014627, 0.2166184513130072, 0.21188288108553]"
23665,79.53367232686672,934499.8897995064,"[0.4146337195282221, 0.3965001644654566, 0.18886611600632133]"
35080,34.44369562161194,475145.33304667234,"[0.6498541598250438, 0.17481961914638927, 0.17532622102856693]"
