,T,P,zs
10125,895.4851416999081,504018.8510526806,"[0.36231504344736265, 0.05844954647218908, 0.19452045471460472, 0.06125720278395208, 0.3234577525818917]"
33846,673.1626003455079,134080.14242526313,"[0.06659677681984814, 0.2455048007495555, 0.3204975926145868, 0.1669979477403939, 0.20040288207561546]"
14230,810.3241730237003,699327.496607291,"[0.010936519754201448, 0.548215018432152, 0.061177242152108, 0.00436990063785951, 0.37530131902367897]"
7476,809.9870459451482,882239.720239655,"[0.16088019772462134, 0.2316461980766431, 0.001995059502793791, 0.17905530610467335, 0.4264232385912684]"
28523,407.84407665032165,147606.9527597852,"[0.1668180929599039, 0.32897237379785327, 0.284451522961523, 0.09770098721681834, 0.12205702306390136]"
25149,260.8180447113581,493709.6611924587,"[0.22317540360584562, 0.3372382276826755, 0.020481912688266348, 0.15887226230571083, 0.2602321937175016]"
14881,816.0054647261135,131684.91536037152,"[0.007608410011462919, 0.3544511429980243, 0.08160843565396211, 0.262543428861338, 0.29378858247521267]"
19740,990.0414845028926,853916.3858501517,"[0.16588652495494313, 0.05656620650810797, 0.015530626776778871, 0.3631228820581345, 0.3988937597020356]"
34744,467.8590560038622,783102.7029931047,"[0.16750430052564785, 0.14891087933932756, 0.1181726853207918, 0.5439931106055674, 0.02141902420866545]"
7870,755.5609618127532,851698.4489428605,"[0.057013464560759126, 0.01976966604430415, 0.04626839539931347, 0.6140211310481455, 0.2629273429474777]"
49205,542.8167006171764,933510.1454744017,"[0.30758718159690823, 0.015547855171876327, 0.6223323671134805, 0.003183024731865609, 0.051349571385869465]"
15258,249.4212051320107,635359.3604890136,"[0.2928086046739395, 0.14970274742818332, 0.11086145686254313, 0.1979236789764242, 0.24870351205890995]"
27054,193.25531961183373,728894.6772501359,"[0.090335521964109, 0.14482495605015216, 0.2065767735935887, 0.37613214037520276, 0.18213060801694753]"
33447,510.53885856576426,250725.8767900869,"[0.016177067719570646, 0.1610282182376239, 0.6290462825122816, 0.1038445518354117, 0.08990387969511214]"
13778,489.2859008119351,374914.34379035176,"[0.17868902093837705, 0.37611416104157047, 0.1721201143897657, 0.13670579944171476, 0.13637090418857203]"
13457,973.3985911436308,236984.47536880625,"[0.19215242012184425, 0.00868069629698596, 0.21189633178824813, 0.5473433405673127, 0.03992721122560893]"
31412,99.94743118758838,907105.6220817677,"[0.06271029588600704, 0.39783101163882584, 0.2880433773644016, 0.11718327407516119, 0.13423204103560446]"
41824,151.19465369950464,394003.789066049,"[0.4379826862599464, 0.08230128432004233, 0.24791409640094933, 0.2089780473784159, 0.022823885640646004]"
39694,768.8753883172844,930479.62224875,"[0.5853073796196697, 0.1551204172027748, 0.027353335594058892, 0.11084506826431983, 0.12137379931917666]"
18845,839.2017618422186,463866.24821932544,"[0.03862078979724726, 0.22794682572485456, 0.3509785914287276, 0.29038357987819424, 0.0920702131709763]"
45904,800.4908417600915,821106.209445822,"[0.14020810959473906, 0.07244919244140068, 0.15100377132606654, 0.3092129025228737, 0.3271260241149199]"
22653,602.1597844274289,725102.9914658119,"[0.1771805206199805, 0.058394101193902814, 0.010220103008562173, 0.6462904058156176, 0.1079148693619368]"
44981,157.75341926996063,764187.8674111619,"[0.35938290394544364, 0.2761800084203703, 0.04186353847033339, 0.23228093390673793, 0.09029261525711468]"
45655,69.30185472436267,357230.2536763989,"[0.07879284640950428, 0.15855516490807212, 0.30712954693482647, 0.4227808841856283, 0.03274155756196886]"
48710,509.9374660418238,385683.1457051426,"[0.16218857298681238, 0.18211673085140528, 0.06430056014661756, 0.312723618548017, 0.2786705174671478]"
5597,184.54153042650228,716723.6942086697,"[0.13769967577486508, 0.1393879805681911, 0.5623988158312422, 0.12314277977831317, 0.037370748047388526]"
13396,25.559620570697,263101.6589205612,"[0.045249960608392925, 0.1557717098480283, 0.6512177477407561, 0.12045589860179982, 0.02730468320102295]"
46915,998.160804449186,156047.3377707799,"[0.048130341793589375, 0.38709191932438564, 0.3675707023885973, 0.0835219024403848, 0.11368513405304304]"
36465,282.91767211805194,182559.246758178,"[0.17182794993619915, 0.15862513168289513, 0.036877892323260025, 0.3092200567930082, 0.3234489692646374]"
7173,407.5266775562405,695104.6652508631,"[0.12372929277524364, 0.20568742253194527, 0.15874236556015744, 0.4468558436235781, 0.0649850755090756]"
14005,50.945298754710926,323038.7222412166,"[0.36500017810830465, 0.14583353448725475, 0.027144932224828822, 0.170115606708488, 0.2919057484711237]"
13557,544.2552266402208,120633.6346852764,"[0.16759545639981602, 0.00041764943485501796, 0.03153437034999384, 0.07760699925940294, 0.7228455245559322]"
2585,199.17885605627507,196366.95388929488,"[0.6338839771315924, 0.24321272426476243, 0.09933780276126643, 0.023108901156529457, 0.0004565946858492825]"
28003,862.4315740701741,407680.2341803486,"[0.44434994577486064, 0.16642674983533914, 0.238065989623902, 0.01553047933146997, 0.13562683543442852]"
8336,514.3277602814692,401498.6233662866,"[0.26842813356673795, 0.04498843844185381, 0.507987501362556, 0.1176645537901167, 0.0609313728387356]"
23469,531.2854140851174,825496.6719797305,"[0.0057450203554138286, 0.2283512533590747, 0.23621488781163075, 0.31858734491846996, 0.21110149355541064]"
47842,978.7220033916622,379649.7501441314,"[0.16750720715694534, 0.017030729577757815, 0.18789530663775958, 0.06321070003174856, 0.5643560565957885]"
21972,272.726563701154,746387.4184843474,"[0.33065472764733767, 0.013008254784318139, 0.2769606337032839, 0.04483692766657016, 0.33453945619849024]"
6437,385.85310969042087,132904.05304809177,"[0.2558158854777923, 0.31706111348106986, 0.32397727426724215, 0.007640075550838603, 0.09550565122305692]"
2158,965.7688639549484,206397.0087945892,"[0.3792296133266816, 0.07858546640152243, 0.18759013035710495, 0.2344870101148299, 0.12010777979986112]"
30547,939.256943795023,209569.41041300577,"[0.422093696991369, 0.3317189791027847, 0.02821094518772404, 0.07130351616463317, 0.14667286255348908]"
31058,621.028925133559,628308.4569696827,"[0.2829147340071995, 0.012458848146628199, 0.15277056691483437, 0.49225380269145347, 0.05960204823988429]"
37410,890.6370847845246,807679.9756679421,"[0.28242215481446187, 0.2578653735414941, 0.07866600856856772, 0.3285127004287738, 0.05253376264670262]"
11689,387.33293192177536,362597.11982820457,"[0.03430303436585223, 0.29481563454933185, 0.2034142308371159, 0.0023608901536415696, 0.46510621009405834]"
15746,146.16724982475395,353096.00271295017,"[0.3167370926155795, 0.36440055355928613, 0.013528290216548767, 0.026193891044848837, 0.2791401725637368]"
7303,47.55493790463556,313211.3666581195,"[0.2416684467463647, 2.7275602025398658e-05, 0.4154419410145232, 0.22490469537538602, 0.11795764126170055]"
47668,66.57800489981258,331974.74201650603,"[0.09114792863889092, 0.23707442112287344, 0.41356862084453483, 0.15737308098396324, 0.1008359484097376]"
11963,401.1415580747884,493443.75579076726,"[0.3221310707253834, 0.11734349776106047, 0.025024285990057835, 0.45551731741626866, 0.07998382810722965]"
41668,178.02971215513736,958083.94525823,"[0.16638593215652744, 0.017697496491138262, 0.016280039870330505, 0.30118852269847274, 0.498448008783531]"
28720,764.2457171480349,806071.983128462,"[0.31528165485537585, 0.14717852954369554, 0.053503828682022164, 0.39564542555312865, 0.08839056136577778]"
29717,310.9995596223473,642391.4863051613,"[0.26218689131381656, 0.09513213061224318, 0.40217034030880744, 0.23148583134368425, 0.009024806421448706]"
41331,933.2204891026184,902205.7111426533,"[0.4387729539966162, 0.27400711547660017, 0.15091998650272806, 0.1231426095607902, 0.013157334463265506]"
10970,445.3609128137784,574238.836618221,"[0.008518552159529567, 0.3642336038750147, 0.2551684978735175, 0.17135952016682526, 0.20071982592511295]"
36701,893.611889444071,137891.13496581485,"[0.018428541306711867, 0.13460079724515805, 0.5291149572190617, 0.03179802781867256, 0.28605767641039587]"
578,800.7123826357794,522688.8393558948,"[0.26410788792472406, 0.0015426795107145268, 0.05678217337070289, 0.34341129184604713, 0.3341559673478114]"
49835,300.3136557833564,323546.7247207294,"[0.16368532378122888, 0.5663500454296836, 0.08574276560359036, 0.003085026865986961, 0.1811368383195103]"
43286,648.6171402491453,194146.2534918972,"[0.10656680842266734, 0.27383791263854873, 0.25306600333163115, 0.03644731488083631, 0.3300819607263165]"
26042,19.46717747236228,780443.1191002632,"[0.30669904209493737, 0.11129443744027474, 0.05175487241734693, 0.48570341247745563, 0.044548235569985294]"
25124,962.7149236440118,458168.4440832361,"[0.2576167406868546, 0.07287168537055806, 0.47585132684181874, 0.17870331947821375, 0.014956927622554978]"
6928,769.2517765790379,951560.3299456788,"[0.30137508901618376, 0.06609483169642708, 0.3971757163463758, 0.018507098029496134, 0.21684726491151748]"
34184,914.2580071876694,389807.8446179189,"[0.1166997334120996, 0.5099713544829211, 0.14570087879762378, 0.18343170516306262, 0.04419632814429288]"
21983,995.3164767895664,599094.4322554605,"[0.1506714062620698, 0.041144218159838084, 0.5546069041286091, 0.2074050731246799, 0.04617239832480306]"
32569,841.5688806538359,739013.2541406916,"[0.18477306361427628, 0.1971983491629126, 0.21564565830144466, 0.17054959804915995, 0.23183333087220648]"
26112,569.4664280411475,533228.5888137409,"[0.008305033567001453, 0.20434722528729846, 0.11605954807834057, 0.5759349549391634, 0.0953532381281961]"
32896,961.0751020029036,199651.57419396364,"[0.15639882527178264, 0.13476911547384476, 0.551748260299102, 0.0972752663575806, 0.05980853259769001]"
