,T,P,zs
35703,29.60548099043278,754356.01811193,"[0.004720593012021372, 0.13730667631563417, 0.13742792905643436, 0.26395296604994317, 0.45659183556596694]"
46465,534.285214341964,945910.7217446072,"[0.2527102814792821, 0.2393326293541345, 0.04072508059431052, 0.27658256656222363, 0.19064944201004916]"
35604,573.246071304465,978497.2064941674,"[0.052093135193559785, 0.06732540596605492, 0.3004873982002238, 0.44418720872753104, 0.13590685191263052]"
13570,448.9444791432724,467407.6033144636,"[0.5203923304174332, 0.024315221165747764, 0.29038381778826766, 0.0640156869241141, 0.10089294370443737]"
24430,186.8108680807161,332841.4531113947,"[0.03907563495088367, 0.5029049780893647, 0.3100218092044282, 0.011422378617925982, 0.1365751991373975]"
3245,955.2394491757864,167463.96331004155,"[0.01451650940169951, 0.24583076069571544, 0.22402600672363743, 0.3874520566030528, 0.12817466657589482]"
21380,459.0187572280838,715294.6962866636,"[0.022888311646061796, 0.17752805881934933, 0.44545157812966074, 0.10007130432912009, 0.25406074707580806]"
16490,834.6412547291509,530465.9491562326,"[0.15768027644362226, 0.12067431116151642, 0.39430493965935415, 0.08144129284913698, 0.2458991798863703]"
22711,514.7040678626638,326281.81872542336,"[0.23122667013817996, 0.05134638017255699, 0.05284662383681952, 0.5087375786262004, 0.15584274722624314]"
21195,189.59638041246444,653898.6511649494,"[0.1499669366472716, 0.21689963572393547, 0.4526510487117943, 0.14396693818928583, 0.036515440727712935]"
4150,970.9800391651166,573689.252902355,"[0.14460743017853617, 0.1257335538531609, 0.3975586855578428, 0.28779472829465286, 0.04430560211580742]"
14959,796.4456748429394,130766.50672930054,"[0.7392964865517636, 0.10726146889071472, 0.07758161802781986, 0.05158193134269549, 0.024278495187006144]"
23263,238.2829422861184,902834.8515107152,"[0.05808156009828765, 0.08481070690569403, 0.5096381774953663, 0.24469553695508997, 0.10277401854556201]"
40009,775.3136949991246,697898.0731006443,"[0.29786682643082363, 0.0358774971620079, 0.026527236047898212, 0.606170422435082, 0.033558017924188194]"
27165,869.0831737530985,195049.3797097412,"[0.44325790455185066, 0.13253488554701418, 0.22363385975603897, 0.14202645475396206, 0.058546895391133995]"
49356,397.9352525660676,713388.5803315985,"[0.4846398740037863, 0.11139776314298191, 0.0004023475579270933, 0.3462170425186824, 0.05734297277662219]"
38556,22.865644880375747,598439.0913117538,"[0.18765628743176974, 0.4779581479433712, 0.06492351000497579, 0.16060814522198827, 0.10885390939789508]"
47509,728.1198661493145,560856.2736262865,"[0.14124037570960496, 0.16966297507380704, 0.33967747208511406, 0.308862815791123, 0.04055636134035097]"
25736,55.97608016810634,919359.855438378,"[0.011485885220197636, 0.6372393096762764, 0.0638041012462285, 0.2629370600171449, 0.02453364384015246]"
14124,559.376768179749,207929.81312389387,"[0.2866418444204367, 0.13096559156669008, 0.00910498969187895, 0.044312990456088865, 0.5289745838649055]"
31354,983.954348462951,620621.3386401249,"[0.09637038857310375, 0.22275648916057653, 0.4275488731899165, 0.2446569671909172, 0.008667281885486074]"
31292,172.96452098413977,859637.2680206499,"[0.6216211002648909, 0.013612770781009495, 0.024112323926802917, 0.2922030802347969, 0.0484507247924996]"
6469,887.2628782952863,779833.4302516555,"[0.24948194264499568, 0.042541475966661475, 0.23750343719697334, 0.4573618056642108, 0.01311133852715852]"
45728,985.9625013101214,713413.4771156522,"[0.13625141254505632, 0.2284549243366096, 0.24056924120870968, 0.23965909568668273, 0.15506532622294167]"
21805,214.1296053157102,223720.713221622,"[0.2134333425001664, 0.18635885090460896, 0.4729545779355511, 0.06532503996404868, 0.0619281886956248]"
40749,81.59711189976063,140200.9508191185,"[0.17864105135809127, 0.3110050326947758, 0.03248783349600105, 0.3534755943137631, 0.12439048813736879]"
13163,409.2690457703598,115368.76366534502,"[0.08393723587065854, 0.14528470395285958, 0.5833625470646292, 0.0379169155225056, 0.14949859758934708]"
33013,847.6533001575948,873631.4132685885,"[0.3395068628191687, 0.053576103727395276, 0.28140130331255236, 0.24128000187856855, 0.0842357282623151]"
7939,585.216457532392,962221.1949394305,"[0.08830899552308116, 0.1370748263825495, 0.019322502639148652, 0.2425315719847759, 0.5127621034704447]"
30494,267.2992623688144,340420.81424611114,"[0.4817987523368912, 0.11856036770242966, 0.09712033278016716, 0.07594401357871347, 0.22657653360179875]"
20095,823.5980137638717,162626.71564659628,"[0.13362522040776234, 0.37340629991943575, 0.1527938658473097, 0.15513627834286478, 0.18503833548262746]"
46156,418.4967650903776,300103.3342400738,"[0.2616754941436129, 0.36311612100796326, 0.2819293831858983, 0.05141078775488314, 0.041868213907642386]"
22324,507.9573489652084,391516.8312830767,"[0.0235985322817952, 0.025727280586945428, 0.7490212983269028, 0.11564368286236411, 0.08600920594199253]"
47190,453.77756340716815,624660.9809636886,"[0.02122891937375523, 0.10730978881820721, 0.01203789473462871, 0.2949992129616387, 0.5644241841117701]"
10712,270.23514009804546,715308.2978478526,"[0.3516912456214243, 0.34651973346885195, 0.1326259683141117, 0.010965311740121511, 0.15819774085549063]"
13072,278.00816954977665,541779.6614987112,"[0.05448441384997056, 0.13530990577138802, 0.3800918474093527, 0.1609222497958353, 0.26919158317345343]"
30874,346.53956609921147,950737.9703982548,"[0.0754656504982018, 0.22689758181528735, 0.31313033579053867, 0.047413535433022444, 0.3370928964629498]"
34143,221.55105213545383,174459.73700343468,"[0.4064410423222306, 0.24430702561791434, 0.06154889712104616, 0.2689764429164837, 0.01872659202232533]"
39746,581.7304759896107,137771.36178528858,"[0.5390017427382157, 0.008556766716458511, 0.059951376170344864, 0.31832503431534587, 0.07416508005963493]"
46157,547.2785448493847,879533.8179963878,"[0.03425889500222105, 0.2906118910149308, 0.16655565291484592, 0.3491767860647732, 0.15939677500322896]"
44037,709.9446759733775,938999.88734163,"[0.24638925654862265, 0.1937430770377134, 0.04771219720368537, 0.09000257501021988, 0.4221528941997586]"
34855,194.5722717025729,664651.7785313645,"[0.31138048606662594, 0.1054936226314802, 0.021679700526296794, 0.5266331450448714, 0.03481304573072554]"
7677,640.6801091768492,349050.2372328505,"[0.3142728730399384, 0.26597285807080295, 0.004316958096005362, 0.2263220080044993, 0.1891153027887539]"
11577,739.1869956183514,160393.42558283993,"[0.01742799139236311, 0.039763187140289334, 0.4874309505975565, 0.2709480275607284, 0.1844298433090626]"
41273,543.4380850812546,373456.98571049015,"[0.02689460970278591, 0.47686045140092603, 0.10485587610708681, 0.1413730287323502, 0.2500160340568509]"
27825,539.753317993776,938550.1062054564,"[0.06698327650912125, 0.47322302776952535, 0.13673794029422945, 0.057535535552856884, 0.265520219874267]"
40491,828.5969334533236,613890.6208976712,"[0.06552266611479168, 0.1635818282174531, 0.02148819491293178, 0.6640142406916604, 0.08539307006316313]"
21509,644.81084640432,686301.1807022439,"[0.2369456336381469, 0.2831274273862456, 0.25419150714961436, 0.008132836546159377, 0.2176025952798338]"
13848,880.95387700357,966836.7445665176,"[0.5341896100755313, 0.22312223536134765, 0.07436820379663703, 0.0001239507582885823, 0.16819600000819535]"
24771,785.9633889395814,599932.9581699553,"[0.055944935870281855, 0.0013960315729535553, 0.031721613758200526, 0.6517650246673742, 0.25917239413118975]"
32651,441.91767247232576,840250.8991272956,"[0.3785613534792465, 0.03536480037485947, 0.32186528280961474, 0.014782625621872944, 0.24942593771440644]"
7414,646.743752039742,289008.772702739,"[0.15604429405289866, 0.6691417362172039, 0.05204272987803751, 0.03532768526480863, 0.08744355458705136]"
2853,382.4022955727074,456233.4873933928,"[0.027027921372326718, 0.026090317096132642, 0.10810839973273524, 0.20964016760627274, 0.6291331941925327]"
47481,516.3112187325407,381091.69722084433,"[0.008567809787496673, 0.6481021663241159, 0.05296472928358169, 0.05297808085258202, 0.23738721375222366]"
8885,466.14930407459576,509168.4387272159,"[0.3671071897492905, 0.14841723410164967, 0.2519955263669594, 0.1430028152401744, 0.08947723454192599]"
22302,753.246197421345,286175.8027786822,"[0.11488606234696612, 0.16273517962319572, 0.10344944865747563, 0.3913843640213015, 0.227544945351061]"
11740,984.1734686248584,845469.3408998298,"[0.033073975558044526, 0.16689152559564488, 0.052681769334416005, 0.5184471163441002, 0.22890561316779434]"
38172,51.35740784985963,266124.7258431327,"[0.0640917614703563, 0.2487202310761324, 0.23902097301929465, 0.3858632514528138, 0.062303782981402794]"
36105,209.3806320858365,999476.6085335608,"[0.23069814960460652, 0.09058257157211135, 0.22566773913498286, 0.06753384385005685, 0.3855176958382423]"
701,797.1763755167176,522190.3398102298,"[0.4569601696198597, 0.1555147696649868, 0.09286720762588702, 0.2910425875428232, 0.003615265546443342]"
21329,115.2281972974198,516584.89342633873,"[0.01824418864411695, 0.2863260039258119, 0.359724249883659, 0.2653285792386292, 0.0703769783077832]"
6980,985.5232982226988,293507.58032091777,"[0.2056143111503633, 0.18442506159381283, 0.3936838731889366, 0.13030638440378217, 0.08597036966310499]"
22707,156.84606040927625,584524.2078022419,"[0.14887220759241973, 0.17327794755143813, 0.013763949219841691, 0.15253970662656982, 0.5115461890097306]"
29576,129.09969309778683,852264.6072352317,"[0.380020381908242, 0.28738399753408284, 0.20255977986165033, 0.12809943702427673, 0.0019364036717479994]"
19204,220.25667884084004,702661.482351236,"[0.11647924626070424, 0.11515712791759873, 0.3060977886083051, 0.2480037173267849, 0.21426211988660696]"
18590,21.589903439464432,516957.6048511136,"[0.04126007079484539, 0.08262611418136454, 0.0025800818483965086, 0.38103468993319073, 0.4924990432422029]"
24079,20.717826619390223,991495.9402896028,"[0.1433292095266338, 0.19999599978048982, 0.16823852681251675, 0.008240371197780077, 0.48019589268257956]"
41533,989.9920572546762,624269.8796956565,"[0.02126327558997041, 0.666580152224109, 0.049137777999793394, 0.1789155743810372, 0.08410321980508995]"
1149,473.95256272177033,937332.461477116,"[0.28403743522736574, 0.1362900556073521, 0.1252980870475852, 0.36575379212811987, 0.08862062998957711]"
9926,687.5825097691744,149074.96390925598,"[0.06066440681110746, 0.19235870905338223, 0.4115104824177562, 0.15268602465538095, 0.1827803770623731]"
46100,402.07203752928064,411471.1494493682,"[0.12095554734029156, 0.07333585472907625, 0.3796654492554033, 0.21669381014037126, 0.20934933853485757]"
9283,11.906919759376198,650462.9107644487,"[0.3228368313511229, 0.254687484843274, 0.284818535842416, 0.08671401087243027, 0.050943137090756624]"
27693,625.019594662677,119519.81228718838,"[0.08098579994878569, 0.35832652241017565, 0.22047326246353469, 0.2206752918695758, 0.11953912330792808]"
22468,384.1756687953502,210790.2498452266,"[0.2747885883888553, 0.0035612018280212123, 0.2817730743985463, 0.14601086756089462, 0.2938662678236827]"
29649,247.20602892506884,525934.273141233,"[0.2099781124036372, 0.2932993820123876, 0.17631913545826386, 0.20270713952751462, 0.11769623059819671]"
14478,806.909329340518,558111.9008868091,"[0.32396502908478997, 0.09834191697023142, 0.08798931066767067, 0.17293813659366303, 0.3167656066836449]"
10133,667.7168819908743,765880.4429502233,"[0.04953283486594764, 0.14666666304864023, 0.020958069836374393, 0.3312143688118004, 0.45162806343723727]"
2540,289.5762249604319,356185.15104867786,"[0.3408895172115485, 0.289250419177729, 0.18942362646336228, 0.10326509461408385, 0.07717134253327657]"
12831,725.3845478374383,523305.0510581037,"[0.008125130888581104, 0.12570329513877304, 0.08382610472741683, 0.6265963907167149, 0.15574907852851402]"
17718,887.4246995083109,605974.5693016232,"[0.08147668330282735, 0.01575149446298429, 0.666161973618457, 0.1383700529356283, 0.09823979568010323]"
33405,75.85997614501281,401100.489890722,"[0.39527575376913293, 0.1613891949187649, 0.0032958893389575922, 0.22483801423625058, 0.215201147736894]"
23439,965.2308700186396,918325.3755147865,"[0.08018653915116596, 0.041508415852615915, 0.13811394239352204, 0.35617748127786136, 0.38401362132483474]"
11171,37.93835343262461,406452.6242855243,"[0.4571670041924371, 0.22775576622693464, 0.12973531502361624, 0.14704913061551364, 0.038292783941498404]"
35299,680.1391474786053,330962.9784496469,"[0.006956483003796361, 0.3767180938626001, 0.08898171747015834, 0.42940950874225825, 0.09793419692118702]"
48478,808.6872100075594,107819.06940799073,"[0.3243674737096628, 0.21577915819062282, 0.2237205640682452, 0.06974262262246056, 0.1663901814090086]"
5485,173.87320220905713,524876.938676713,"[0.18117817283651108, 0.2944128225092416, 0.13605555531316893, 0.34892984952091105, 0.039423599820167424]"
48125,49.26936020542793,248772.1051726887,"[0.0774808117050076, 0.1996325002439665, 0.13441595971939516, 0.1516309399072416, 0.4368397884243892]"
30976,715.2628019777717,119126.09738036478,"[0.02219393387238078, 0.7575047097505379, 0.14377702456683183, 0.05711285959852785, 0.01941147221172164]"
1406,405.5666555124757,306783.5126436353,"[0.1713141616309435, 0.20409208261033146, 0.49453226846346376, 0.005668474789252052, 0.12439301250600922]"
29854,207.2882905608402,317072.159406324,"[0.1670166571165236, 0.13598181714137197, 0.07414411822934107, 0.026527101560381156, 0.5963303059523822]"
9503,361.9738487339181,424596.485807729,"[0.2501262477989375, 0.10870074562979758, 0.04705171873176159, 0.05866761204264732, 0.535453675796856]"
31452,918.78160014182,417556.8209269349,"[0.38074689322461935, 0.05745599645437428, 0.2181012980892915, 0.09088484708862724, 0.2528109651430877]"
22747,562.0706356994777,573172.4250723722,"[0.004847077274782099, 0.18433947911281143, 0.2719209818717351, 0.34934544891483227, 0.18954701282583902]"
10190,245.19756875256195,683953.4472946004,"[0.15680464937224387, 0.18699069012842814, 0.05394502373567534, 0.3899807616328878, 0.21227887513076485]"
49081,497.8515802332717,500078.0169048472,"[0.20768246895784415, 0.148280916447136, 0.28873049214745306, 0.1192933147885932, 0.23601280765897356]"
24594,136.32086328236937,817813.279995748,"[0.12201628277354191, 0.15943761183041313, 0.09224416433356684, 0.034188443446775546, 0.5921134976157026]"
5084,880.7848596964308,945518.41779469,"[0.07112722468567001, 0.6631164270345032, 0.053507208019895586, 0.06912086675560301, 0.14312827350432825]"
47183,779.5500580369795,665795.3692502718,"[0.4904724550137788, 0.13768667470416637, 0.050755524384117894, 0.23836531920747778, 0.08272002669045923]"
28022,760.7440335088787,598490.0562507806,"[0.3181463602953384, 0.4086946883425517, 0.08196050149627984, 0.007686928744514103, 0.18351152112131586]"
30003,657.3260237482245,801321.1918055955,"[0.08586804047830125, 0.04229274584305815, 0.46036991833111224, 0.06608485285929658, 0.34538444248823175]"
33545,43.91736420955024,936144.3791788988,"[0.18389036260150388, 0.3040121544641325, 0.0504197369765619, 0.09210489084821767, 0.36957285510958415]"
37581,987.2929615478772,820654.100584146,"[0.17129953574174797, 0.2758521830394669, 0.005325299553065638, 0.2794559284288411, 0.2680670532368784]"
34157,598.2476900160357,677762.348024021,"[0.03207322569338247, 0.09002770546133988, 0.7832474504984461, 0.005454469212045023, 0.0891971491347865]"
29950,952.9880310098056,895515.0436621519,"[0.03009573568239499, 0.03997697445995847, 0.7496151723910633, 0.08185156360475064, 0.09846055386183244]"
28034,372.0060850195708,688106.0582770718,"[0.17629376013996534, 0.26171371107336017, 0.11985915763704026, 0.05782931819958572, 0.38430405295004855]"
36672,931.453482267072,415199.7875246218,"[0.1939767928434069, 0.0711667730194933, 0.18257107033284994, 0.22694163636405826, 0.3253437274401916]"
15762,765.1848493706981,945799.2274060916,"[0.14866319802287914, 0.5215454719134786, 0.09551822992066403, 0.04567695545573394, 0.1885961446872445]"
18920,320.8107723022057,800893.1244895294,"[0.07050833169659551, 0.2584780715504751, 0.342234133146552, 0.03936518795456033, 0.289414275651817]"
380,17.05852612021624,134237.33207400018,"[0.3334910764374498, 0.05052404882591834, 0.15633617012891002, 0.17465794379172625, 0.28499076081599567]"
2514,439.5174690247409,164836.25617354427,"[0.2648206620846975, 0.2574053378862044, 0.18196293314539402, 0.1877486050942438, 0.10806246178946026]"
3313,115.89661910759908,236817.63743619155,"[0.5267383319733452, 0.30637694371169016, 0.06565534159086549, 0.06736028823500086, 0.03386909448909825]"
37500,455.52697024175393,582370.2530361403,"[0.0988229880011774, 0.157053841044641, 0.02309377264322719, 0.5769002762400454, 0.144129122070909]"
7575,989.3908028319296,652057.7836779689,"[0.2737971409701793, 0.42597993801779854, 0.06170960148659876, 0.18432257355630632, 0.05419074596911704]"
18447,120.67974716270774,173327.7562420933,"[0.11644317839988422, 0.23056067371792244, 0.07770972273183123, 0.17886378313637233, 0.3964226420139898]"
4136,315.5406153014647,420879.3143324727,"[0.21480062518148657, 0.22397253420921917, 0.3014498469286668, 0.014587120004513529, 0.245189873676114]"
49269,731.802549686883,378108.782381664,"[0.35044188420834965, 0.222370921921567, 0.17591802066241713, 0.11514006749856906, 0.136129105709097]"
37270,369.1568588263706,693277.9595236463,"[0.027207007882986106, 0.10029596833867452, 0.02027241961000381, 0.16780599031004517, 0.6844186138582905]"
42022,550.2658690973643,571031.3788886566,"[0.15236018942039614, 0.056185634659382616, 0.12618674849214392, 0.11012055503612626, 0.5551468723919512]"
118,628.6446097548692,637309.4117412205,"[0.0753817404471316, 0.26421684284892005, 0.3384036512290695, 0.3064549268455448, 0.015542838629334017]"
3101,173.15338379768122,167644.28004583472,"[0.08905713356059965, 0.5564559598827762, 0.05771879191093033, 0.13008761608620545, 0.16668049855948838]"
40367,543.560576604735,908421.832170088,"[0.247150735566841, 0.04350013863979058, 0.6429560400247643, 0.05379400484370599, 0.012599080924898075]"
43966,25.30772172565928,444990.11460455967,"[0.036879209578836745, 0.08209851491263472, 0.5270242883567906, 0.006177510328096266, 0.34782047682364153]"
6599,32.70261143690151,768478.8996001162,"[0.20219739552670937, 0.22751225770023736, 0.09019141926823154, 0.46396227828378667, 0.016136649221034916]"
7101,704.8569675645397,137499.9569443583,"[0.08729819791946898, 0.5422800175063169, 0.04199463530019816, 0.046658724764663276, 0.2817684245093525]"
7224,36.09887573440389,979415.7307452724,"[0.05110666911093379, 0.3995253663010337, 0.10516165641889291, 0.42812877942809285, 0.016077528741046707]"
30940,620.403008149217,277379.9967060502,"[0.6569555699143734, 0.08041386602334188, 0.09073253596770943, 0.06330086862726937, 0.10859715946730591]"
35701,37.23974171770036,123193.04474640064,"[0.034228921762774166, 0.017178716622905384, 0.52214343640436, 0.3519832608610214, 0.07446566434893892]"
46469,289.5659080767297,684011.2271886127,"[0.09026477681534735, 0.36570443387057683, 0.2504592772903241, 0.16518288773192089, 0.12838862429183084]"
41792,359.5147404544559,583676.568191113,"[0.16122496042035347, 0.18728170874011701, 0.09846153961362664, 0.20391781254768063, 0.34911397867822236]"
6631,506.5259255212786,590228.3587889315,"[0.06866164132742239, 0.15435523244624114, 0.25966026291415284, 0.23143280956772644, 0.28589005374445703]"
21736,48.93395094351965,380196.8944073581,"[0.32517069967030593, 0.34577642100436196, 0.07636847853391852, 0.17588548222748682, 0.07679891856392673]"
4329,207.324861576518,918782.1701123008,"[0.19387476498729206, 0.11187149355631784, 0.09011376165643019, 0.586470678142947, 0.01766930165701287]"
15822,641.51604261805,334990.16660462134,"[0.09657174540651789, 0.5489022282627335, 0.07233913299150421, 0.18557591199438242, 0.09661098134486193]"
37784,946.3394909228996,936358.7532076552,"[0.2838297023016727, 0.025642220383110783, 0.27451820049814085, 0.1778698740909732, 0.23814000272610253]"
