,T,P,zs
0,316.0409060742758,961446.1492329123,"[0.06638331500677667, 0.8458557047416059, 0.08776098025161753]"
1,354.5176221879402,394963.2932793612,"[0.08661636170038255, 0.25239206800287756, 0.6609915702967397]"
2,164.61643857572005,642397.7830443702,"[0.16087198778912729, 0.360134121774646, 0.47899389043622664]"
3,797.9541400160493,593666.4822140815,"[0.24191564020178655, 0.5017803401440807, 0.2563040196541328]"
4,354.2183568435377,157907.9489893133,"[0.10069170461792684, 0.14388533766389408, 0.7554229577181789]"
5,62.85178562997522,643734.839359979,"[0.4166282147815617, 0.19929329345050892, 0.38407849176792924]"
6,917.541639536383,721823.2472268515,"[0.7725914865477282, 0.06268605795168183, 0.1647224555005901]"
7,417.3597732202584,774721.581882443,"[0.13163159887288267, 0.5423639230239846, 0.32600447810313277]"
8,950.7542648268144,495314.4920036417,"[0.2555207256642419, 0.6001370701333116, 0.14434220420244653]"
9,71.54643767464083,618263.7641716474,"[0.15962796601733734, 0.2949550960303053, 0.5454169379523574]"
10,880.133498986746,261335.7802381237,"[0.4612835961822243, 0.1889631654674728, 0.34975323835030275]"
11,653.5138084488223,110864.94590322458,"[0.5124806730963409, 0.42849356821011536, 0.059025758693543665]"
12,836.3193415974538,699202.3441763,"[0.3480261245386963, 0.10950819274843428, 0.5424656827128694]"
13,720.0188081992555,708628.6770968034,"[0.0843121836320002, 0.8564349244642248, 0.05925289190377509]"
14,775.2839726958397,103305.97902234796,"[0.34695192367398153, 0.445207814541331, 0.2078402617846875]"
15,992.8267446510098,463925.4224066824,"[0.6301074089816145, 0.2537938292942464, 0.11609876172413915]"
16,976.0368004801852,512276.02412880433,"[0.5071752423643903, 0.060290753680648825, 0.432534003954961]"
17,752.660979812841,201797.3175604127,"[0.053297007601217875, 0.7738413911619801, 0.17286160123680216]"
18,986.0176001983834,699840.6641022444,"[0.07475568564730903, 0.23900065250785696, 0.686243661844834]"
19,13.74898990419349,801348.0900808324,"[0.4166353419552981, 0.41870382735376266, 0.16466083069093926]"
20,454.78689210097934,472168.2438464558,"[0.06723828405431578, 0.764604297502274, 0.16815741844341026]"
21,954.4826482847374,534040.029649191,"[0.1073033972327772, 0.11631636441740464, 0.7763802383498181]"
22,450.4967800676647,345477.7609360007,"[0.43352231179473766, 0.5169942119087524, 0.04948347629650997]"
23,512.8189364441293,863146.5535723206,"[0.646625922834468, 0.18133560984259758, 0.17203846732293454]"
24,270.4738153934138,835240.4386461446,"[0.03234879650890819, 0.7568284115304135, 0.21082279196067832]"
25,875.3218846096674,782468.6476635234,"[0.188170071610181, 0.1536291813939583, 0.6582007469958606]"
26,271.1214923826661,953221.2774270836,"[0.2962517931728112, 0.013491909275968782, 0.69025629755122]"
27,258.4256501748584,191993.5258995297,"[0.149589919406455, 0.29873928903498553, 0.5516707915585596]"
28,266.9218809789519,719261.5750500924,"[0.1956854429793174, 0.14385547535762006, 0.6604590816630626]"
29,941.8388963343444,785961.175025792,"[0.13059168472112037, 0.35774970855975546, 0.5116586067191241]"
30,704.943674311971,800792.4629436719,"[0.022353467438232265, 0.893938345909795, 0.08370818665197258]"
31,733.7730781375149,188878.76966628197,"[0.16908483965184132, 0.5917415850203173, 0.23917357532784125]"
32,595.9401229749917,860829.1661859308,"[0.43764401910304734, 0.13104596786692235, 0.4313100130300304]"
33,905.0179268130764,977136.7488464467,"[0.22807168552823381, 0.08092981872654807, 0.6909984957452181]"
34,272.75882936759655,843702.6351890042,"[0.6051889926124169, 0.21477219933767897, 0.18003880804990424]"
35,623.1211822164139,915644.4050126568,"[0.18868462050454465, 0.3119918553278827, 0.49932352416757253]"
36,955.8259680955877,376919.1682731746,"[0.7865243253187526, 0.12079727593845327, 0.09267839874279417]"
37,120.01740493904332,353493.80755764176,"[0.1602517647498652, 0.6164412977362517, 0.2233069375138833]"
38,633.9740843065404,640289.5568144073,"[0.4628786867527171, 0.1404348478395852, 0.39668646540769775]"
39,247.82983474693788,623800.4479859441,"[0.11911570582573434, 0.13586200274145813, 0.7450222914328076]"
40,538.4357586651047,216539.6155498383,"[0.25407848171401015, 0.5138236613408164, 0.2320978569451735]"
41,20.28217949964828,941274.0210413455,"[0.39393027693359317, 0.4246638444149056, 0.18140587865150123]"
42,11.693507909280454,170477.25568062993,"[0.4763376232368586, 0.04561751611779147, 0.47804486064535]"
43,308.55163011159493,904491.1587092064,"[0.24116169843927457, 0.23826701417807508, 0.5205712873826503]"
44,248.30777163753308,843515.928743984,"[0.8996126322321554, 0.06271117582628659, 0.03767619194155797]"
45,439.63244891596486,792267.657439853,"[0.5022104391734918, 0.1090606372925045, 0.3887289235340036]"
46,499.3864363770914,803240.0792883002,"[0.620928480387934, 0.17856550013944605, 0.20050601947261987]"
47,780.8405958129188,233405.45118195465,"[0.5779534710008905, 0.22344856286103223, 0.1985979661380773]"
48,190.4244101653289,901241.5270470916,"[0.5015291799718194, 0.16444292458199647, 0.33402789544618405]"
49,202.1385363125301,919712.5001614486,"[0.18400135433646095, 0.10048923234665681, 0.7155094133168823]"
50,925.9684966682232,988441.7651492351,"[0.12924939934169083, 0.8222311731241011, 0.04851942753420821]"
51,799.7761560471212,115075.97569547343,"[0.20636291044902375, 0.005049866076083742, 0.7885872234748925]"
52,457.0000340920492,692601.0652788975,"[0.2577238730715176, 0.4421961414940814, 0.300079985434401]"
53,373.86986805674434,122270.82313323198,"[0.17875531022795585, 0.3312009883599765, 0.49004370141206777]"
54,783.036112208558,811867.0779026091,"[0.020935942091549944, 0.5526002266647779, 0.4264638312436721]"
55,815.7922401068427,171898.0362164661,"[0.22559734817169275, 0.771291082251025, 0.0031115695772821646]"
56,527.7872723747284,147907.87587293668,"[0.054888328304036414, 0.2958077984388374, 0.6493038732571262]"
57,332.6581349459492,785167.4461364917,"[0.2580023198210244, 0.2802368313365756, 0.4617608488424001]"
