,T,P,zs
28104,402.17820857697205,261215.9695897063,"[0.7677811499764632, 0.05182156183655534, 0.18039728818698147]"
18938,27.343520292772755,391049.7265741964,"[0.22682408056044523, 0.5116754264967889, 0.26150049294276606]"
1616,79.69999538297797,770494.7578218424,"[0.08160019092767257, 0.5503623625801486, 0.36803744649217895]"
41775,572.4395473558338,276696.6934913039,"[0.554900343689624, 0.10833366727809877, 0.33676598903227717]"
47675,940.3062549415324,295781.55864151666,"[0.35527215477002416, 0.11641742252349896, 0.5283104227064768]"
34423,476.9161802438202,398268.6391119944,"[0.6920315357445301, 0.10575670668013344, 0.20221175757533633]"
28352,686.6874823470766,835586.9669010899,"[0.2851670471270443, 0.15003680987168946, 0.5647961430012661]"
26972,644.8580988839311,453323.60555050336,"[0.2944090805920337, 0.3741398510965669, 0.33145106831139937]"
24201,284.4940263575152,240796.00292947647,"[0.061754368702657624, 0.2120590265988205, 0.7261866046985218]"
45121,117.9894556412208,469873.4624964566,"[0.10890867217275872, 0.47261594685291697, 0.4184753809743244]"
7278,120.90081883860591,987181.0971313616,"[0.6138003319106345, 0.01167878451245374, 0.37452088357691177]"
36965,399.29525364939263,211815.23206705548,"[0.2637281858236705, 0.6771549798204877, 0.05911683435584183]"
32416,871.4520003343879,503792.5163970841,"[0.1727501877205388, 0.4209306740589349, 0.40631913822052645]"
6136,916.4031141908844,511500.8802858383,"[0.04719117377042418, 0.06494285753002575, 0.88786596869955]"
21672,31.324874331958345,148604.6187176172,"[0.36728105046885606, 0.2199904140365643, 0.4127285354945796]"
47738,710.2109583707559,551691.5713832637,"[0.20875999658415742, 0.14813956645851345, 0.643100436957329]"
1178,558.4006093936066,917051.1277436236,"[0.3264366025622833, 0.6574671841199138, 0.016096213317803032]"
34882,473.8564758162749,146055.6211926292,"[0.06036839444396725, 0.6570758319119122, 0.28255577364412054]"
49701,540.2200840367738,717111.2496618603,"[0.17880331493582316, 0.1672852144572435, 0.6539114706069334]"
10961,821.0682283624228,572207.2956011211,"[0.23892248452528198, 0.5535161230388453, 0.20756139243587263]"
48639,926.0663124937468,993518.92466604,"[0.023242361896338822, 0.4428026475227939, 0.5339549905808672]"
42165,949.5516530751878,786983.8751166238,"[0.1383660560583156, 0.7228762870886866, 0.13875765685299787]"
4589,516.6873849816174,442053.49533166696,"[0.20496749147951998, 0.7158314586367364, 0.0792010498837436]"
45471,469.7429768303135,534582.6086676186,"[0.11943119918803079, 0.758314134767759, 0.12225466604421013]"
366,51.67161187495032,368177.1314134762,"[0.1349839468796748, 0.13979247384521123, 0.7252235792751139]"
47871,177.72154920010044,280842.9357256318,"[0.0774238477171815, 0.8619632658592222, 0.06061288642359621]"
29528,589.2156663568977,495887.3663969479,"[0.3720138302076952, 0.591067306958796, 0.03691886283350879]"
4501,565.2932726888235,418738.9475056766,"[0.7513589863734754, 0.21604816838269283, 0.03259284524383175]"
31359,325.17625373801326,178535.99202935706,"[0.7404610048970792, 0.20878451029727377, 0.050754484805647065]"
45156,394.683596399349,207080.6622161212,"[0.014261331319548034, 0.77708432677601, 0.20865434190444188]"
