,T,P,zs
22540,85.15073751801815,485139.15486888064,"[0.3195199384288542, 0.39743363638075163, 0.05957536675887005, 0.22347105843152418]"
32221,981.922203447829,233390.2292076584,"[0.4385230499032483, 0.23721214448360955, 0.017999249222286764, 0.3062655563908554]"
37627,443.74849270101527,531404.9411086952,"[0.014396760822383248, 0.04061991246403755, 0.8050653170487421, 0.13991800966483708]"
4158,620.0850188399637,933365.277419706,"[0.08085752917939347, 0.2273937468300576, 0.6675673623983955, 0.024181361592153162]"
21591,974.4294219732116,648981.5439956055,"[0.1782456479844755, 0.07251201198476384, 0.5604838911752246, 0.18875844885553608]"
49445,239.16847518188823,718013.6002968346,"[0.050563325781903715, 0.8452519227692089, 0.02906835519908207, 0.07511639624980539]"
47321,723.4977727594946,294877.1934946313,"[0.08881003057624302, 0.026794507559134557, 0.4780143022142722, 0.4063811596503502]"
42538,909.1928680628902,636100.5338453327,"[0.0556236116936751, 0.6758040766134803, 0.011739489369885427, 0.2568328223229593]"
31716,438.7273775857119,935747.2002823869,"[0.3165106863286572, 0.07695417346400893, 0.281700303080842, 0.3248348371264918]"
24656,919.9324953498558,256200.49071065144,"[0.18484006029560127, 0.5192341922403519, 0.11565980708112504, 0.1802659403829218]"
21550,299.1998995955469,487042.7293318659,"[0.26853764109565215, 0.17975128874186086, 0.5013244652314175, 0.050386604931069535]"
16644,112.24928514049807,882829.9885118941,"[0.8356873986478718, 0.15699980064994246, 0.0010647783507393984, 0.006248022351446403]"
35360,61.76745832561927,702903.1954413397,"[0.0973322993526319, 0.2252979992694255, 0.0006765816305562042, 0.6766931197473866]"
25118,327.61968503571904,661634.331314605,"[0.03443579842967281, 0.08118434501244468, 0.16388958550520688, 0.7204902710526756]"
27039,323.3728576400155,839293.0659918619,"[0.14286300076393244, 0.31382990917420867, 0.3658997981260276, 0.17740729193583138]"
17748,838.5318401744629,178488.10465549858,"[0.752079823502905, 0.05543903123567719, 0.005623940491400165, 0.1868572047700177]"
24125,352.5775432218431,626037.7087875322,"[0.2742945431077315, 0.10818672584340255, 0.15378524827483778, 0.4637334827740282]"
23377,707.9673466275194,540705.008082412,"[0.263993547521829, 0.42467140415904214, 0.027604863445475657, 0.2837301848736532]"
2948,515.1590037904296,166130.96841688466,"[0.09334093276881017, 0.06527857219922624, 0.5046832262151729, 0.3366972688167907]"
45727,330.8910426918375,152172.97296660143,"[0.02284575426867018, 0.5158228441442557, 0.19669825967366242, 0.26463314191341175]"
21266,183.5532749658514,814846.8115986595,"[0.23932892823921853, 0.07889905503407102, 0.06091255459898968, 0.6208594621277208]"
25143,642.4140589577903,922430.5624388685,"[0.0784564498118164, 0.1050434635958803, 0.06893639940457377, 0.7475636871877295]"
26088,119.8461384463888,587910.5829194188,"[0.06077743101668003, 0.08488273268623134, 0.1325290645971638, 0.7218107716999249]"
23275,750.9901156910571,174487.40310824307,"[0.1955157067830855, 0.5118879494416476, 0.14143301744398515, 0.1511633263312818]"
44067,643.9306743559989,956163.9406386636,"[0.13457229578980212, 0.30814947109071306, 0.20324501205832282, 0.3540332210611621]"
37992,765.9818956935117,979334.502893453,"[0.027892039213359893, 0.42107619840594396, 0.07811366783145185, 0.4729180945492444]"
2845,45.39029972585964,105352.18082875156,"[0.18906562905913746, 0.004036915888566527, 0.5205309990475724, 0.28636645600472355]"
9782,341.3507493309745,662411.1357899742,"[0.41629783760403505, 0.4453197245958814, 0.09074791313775947, 0.04763452466232411]"
1942,500.4493447713663,124813.55654674048,"[0.009880056444603177, 0.2213853342839224, 0.6202717527592133, 0.14846285651226104]"
30864,387.355863584796,646297.5837836151,"[0.5534721525822626, 0.24967357281687352, 0.06383896782500999, 0.13301530677585396]"
21518,584.7859304824899,275211.8596419209,"[0.0694584206157971, 0.41747851018951104, 0.003858785551344232, 0.5092042836433474]"
30754,146.43938603037148,528966.0632821445,"[0.13776790335501715, 0.16726170235729082, 0.4253474879608808, 0.2696229063268113]"
8789,69.4814352997009,547113.4291275357,"[0.010078668748943928, 0.18292173506445555, 0.3690874218226095, 0.43791217436399105]"
36581,707.5371639358251,465214.0755740104,"[0.37654556417778656, 0.13442211482985383, 0.15209579693111128, 0.33693652406124824]"
24836,978.8251980675768,708972.1983762931,"[0.19399977258630532, 0.21645472389127532, 0.41522267455663914, 0.17432282896578027]"
24286,670.7619308312644,802892.1932497951,"[0.12263771546217352, 0.3476999408966903, 0.15210753482869993, 0.3775548088124363]"
31928,452.5495888389705,498546.00981451885,"[0.08594316079102371, 0.41815288723280275, 0.33685167114545583, 0.15905228083071762]"
24916,924.3597443258424,724481.2544478879,"[0.14337311325227678, 0.062479333647785296, 0.1316945063664242, 0.6624530467335138]"
31449,963.8994289082046,381845.6641037932,"[0.6040339269592474, 0.0269098038391042, 0.02442734964653863, 0.3446289195551097]"
27791,625.4794206435887,250304.737725856,"[0.42414839391561815, 0.26585421508994406, 0.2892410146165754, 0.020756376377862464]"
23960,38.40256929898818,611899.822655238,"[0.1838367472349873, 0.2017129818586641, 0.5522955960577839, 0.06215467484856482]"
41815,511.5345919244795,395886.188705005,"[0.08228800005038718, 0.6703705143028209, 0.03895335569552009, 0.20838812995127168]"
36947,552.4171134899566,331833.79300853703,"[0.6656021853963798, 0.01790200450165138, 0.23665585528513777, 0.07983995481683102]"
34752,72.24227287764634,533655.2986017151,"[0.3384459419919839, 0.08534338261453144, 0.12314182901721751, 0.4530688463762671]"
23289,353.1491407099521,526141.3788807051,"[0.4823743787344754, 0.27876264403464796, 0.03751511477588454, 0.2013478624549921]"
2518,480.116084947924,357445.3051706961,"[0.07207044414854238, 0.1707689156211676, 0.07611743926156737, 0.6810432009687225]"
15458,980.3055953147745,289832.57167910447,"[0.18186298975261117, 0.057845349011047646, 0.15191895260066313, 0.6083727086356782]"
13122,709.9881918349552,420798.9056426437,"[0.29906980401256383, 0.276730860890432, 0.3847647784781467, 0.03943455661885752]"
34615,505.1507795324364,871706.7728171981,"[0.27239853557142846, 0.5411827508401319, 0.01776532022916025, 0.16865339335927937]"
49617,513.7674331535659,570869.6713888024,"[0.0026424037119398497, 0.5166968073477347, 0.4446940138766067, 0.03596677506371879]"
46606,453.3450290885365,392675.6842807302,"[0.2747513710171427, 0.5768072440021247, 0.09120439712122064, 0.05723698785951206]"
49408,993.1215937397096,520206.605001081,"[0.356263536853583, 0.27756699203392593, 0.22372601818915852, 0.14244345292333252]"
14856,11.18139983432792,260633.1485474931,"[0.006459998621893722, 0.6476395361648841, 0.17547326459222007, 0.1704272006210022]"
36198,784.8969741444438,919667.4092551804,"[0.06997488030282571, 0.5109983271815922, 0.15143564048928157, 0.26759115202630046]"
31777,819.2620829260376,659833.4604199382,"[0.32739937987542694, 0.30207178953170216, 0.32338676677980877, 0.04714206381306214]"
47239,152.1385153116832,768244.4217881355,"[0.3551321656495917, 0.1536559454531702, 0.40653058927297736, 0.08468129962426076]"
28653,807.4970081535942,640452.96576524,"[0.4093737760943214, 0.14753503110602273, 0.2107478193920596, 0.23234337340759625]"
36578,356.54100538978264,337177.83923894697,"[0.4994199867673362, 0.0026366587967623536, 0.08403347459460093, 0.4139098798413005]"
4035,245.31454238494752,262819.1266069834,"[0.5144364127659918, 0.09844524340282677, 0.0832142366272518, 0.3039041072039296]"
25890,916.3548207734004,714870.5519643249,"[0.2131945248142015, 0.15065257080428396, 0.398965613876824, 0.23718729050469053]"
49397,483.579866391685,311247.6835842113,"[0.4754755779006207, 0.06391482357865491, 0.07231763545690778, 0.3882919630638167]"
7183,782.7744933698073,328398.1275542772,"[0.31359016619680025, 0.06081470624579419, 0.3570868311806308, 0.26850829637677476]"
19825,497.9182039315186,938608.8120363016,"[0.26667654904601507, 0.6436031311769058, 0.0787936207290258, 0.010926699048053233]"
40398,741.8216468192319,435954.4464007713,"[0.10471967114508564, 0.34591072690953295, 0.313929239726274, 0.2354403622191074]"
24399,158.25478403352494,192321.05387797908,"[0.22494099144012913, 0.37088329427686606, 0.3081985710254458, 0.09597714325755895]"
12781,315.13826770126684,953872.0147706968,"[0.4839394460603861, 0.10815824802325723, 0.37644589340144563, 0.03145641251491116]"
27748,862.9396399073966,778007.0393726524,"[0.5842219033977957, 0.06997965730208024, 0.22285896219710155, 0.12293947710302258]"
10674,219.62669159317625,864653.5060984541,"[0.0561949461006189, 0.6491273052240861, 0.020209378548695842, 0.27446837012659897]"
16968,598.0125361652501,761843.6629958855,"[0.040141427143793464, 0.23849169995703648, 0.13187175995039613, 0.5894951129487739]"
32291,742.6210139326137,270050.9466285278,"[0.19514309188277912, 0.27515641279961167, 0.05881917967709018, 0.4708813156405191]"
45960,806.9689191171977,269521.6076223968,"[0.11737044270263691, 0.13763129333472454, 0.22983295018219466, 0.515165313780444]"
34884,750.1817471418973,367212.26195308537,"[0.367336847183249, 0.23636302137988696, 0.12332485989080035, 0.27297527154606377]"
33336,138.29451749727505,984418.0883728552,"[0.31530971364652455, 0.03744188201345855, 0.031933864338970164, 0.6153145400010467]"
21831,483.1391413455231,136785.13391192871,"[0.06870019348815005, 0.1229471312473163, 0.44620089148047404, 0.3621517837840595]"
21815,465.2580205125947,685365.822155243,"[0.23728748126638458, 0.1496181158529322, 0.49794393762872613, 0.11515046525195705]"
37413,370.9247553483394,150652.10908299053,"[0.0629113733791513, 0.6389391952634513, 0.29400564728286344, 0.0041437840745338775]"
38328,795.7585159072012,960940.936379742,"[0.18331868292079495, 0.11607760324718791, 0.17903656922032649, 0.5215671446116905]"
12776,49.0430455620393,767411.1405412282,"[0.5549104524935605, 0.06608018299881392, 0.07581272980058668, 0.30319663470703884]"
29455,704.0303380439641,965883.8323148472,"[0.32812559113180934, 0.1703521524261291, 0.08776880722285038, 0.41375344921921137]"
38076,243.06784944678697,782765.8373880709,"[0.07974068897506541, 0.07104601637591822, 0.686174829110895, 0.16303846553812135]"
14193,985.471103324394,991659.1838965598,"[0.08479017673942443, 0.04790000954911858, 0.7946198149748442, 0.07268999873661271]"
24647,811.7402719717077,539126.7420299393,"[0.19601322696368767, 0.024849462246283927, 0.18125758822385007, 0.5978797225661784]"
37563,213.8705511626364,135983.6294080105,"[0.1359293732667088, 0.45422248104033514, 0.12535896775014088, 0.28448917794281514]"
34003,25.087939320604868,464170.9532149584,"[0.38856255465106937, 0.44863927737972753, 0.09919113517336678, 0.06360703279583639]"
9209,628.6252224216481,991072.8588042088,"[0.1660581159770802, 0.272491901306014, 0.2580445114698069, 0.3034054712470989]"
2868,959.9081558830816,780579.1852964471,"[0.16841788955998951, 0.20560364457475436, 0.18819939310587266, 0.4377790727593835]"
21927,704.5226931858103,179936.36862776,"[0.34207241665293814, 0.043409218982074484, 0.2985043489162456, 0.31601401544874175]"
35733,927.0975909921852,881883.2418794736,"[0.0008778290547223185, 0.10896674072172019, 0.682771559552786, 0.20738387067077144]"
8397,609.86720918577,728282.6179953008,"[0.0057322564664431894, 0.002043976778409819, 0.465515731436629, 0.5267080353185181]"
28522,740.6804688096158,655592.7339798963,"[0.38960972290635854, 0.3576446781183009, 0.16819522871993603, 0.08455037025540452]"
26382,581.9513811224573,744849.4702487537,"[0.1860213653136668, 0.37252867605918155, 0.07202261842207408, 0.36942734020507756]"
46620,499.705694913062,898579.8661968072,"[0.3071891709560877, 0.45142425208435866, 0.1508055959283578, 0.09058098103119581]"
25724,625.9970230349604,129398.1096152791,"[0.2007209513099899, 0.1500883348523168, 0.3494438147304014, 0.29974689910729163]"
37567,858.699786681289,455097.408086516,"[0.3468058506580475, 0.56981123773938, 0.07750785086356136, 0.005875060739011229]"
1586,185.5966814905949,877325.0862608298,"[0.19159222860827257, 0.10897363867479226, 0.4586442200018773, 0.24078991271505776]"
38126,479.1318040604984,113772.82636770816,"[0.0378879174772545, 0.2890743135225601, 0.05775640660905289, 0.6152813623911326]"
27682,252.0735482157167,228432.1777058917,"[0.3601986197918517, 0.06197653560548583, 0.5440628418254888, 0.03376200277717364]"
795,640.3344670394207,579776.5694531924,"[0.09916234016243296, 0.2958760150469126, 0.2226217805856356, 0.38233986420501903]"
14724,814.4864193224407,227758.1411087475,"[0.41672393655725987, 0.437019843814023, 0.07138570619137564, 0.07487051343734155]"
38907,696.7042446930425,814527.6133443045,"[0.13952362695195258, 0.5008145490129828, 0.2798098592439151, 0.07985196479114938]"
42432,191.7948479311707,280964.7485710605,"[0.30989299985412194, 0.1464364369258289, 0.1829875676532174, 0.36068299556683164]"
43332,618.8391946904788,270518.2380384796,"[0.0220859097572801, 0.24786650029975452, 0.24220195263422775, 0.4878456373087377]"
5674,653.7119954593985,284034.33537191205,"[0.17315442068456482, 0.15008654808105806, 0.18339032095920768, 0.4933687102751695]"
30138,494.9260538598896,421790.8582376455,"[0.01802846015094708, 0.5227960409619088, 0.03243560063252215, 0.42673989825462183]"
38317,329.15043023508065,985559.2287440242,"[0.4855821850650261, 0.06781491153495801, 0.2777046912154843, 0.1688982121845316]"
23206,245.32463985813416,767809.3038021191,"[0.25965168551647116, 0.4292018157435019, 8.610558374460199e-05, 0.3110603931562823]"
33255,340.4285249385388,854652.8278340232,"[0.1712279613535195, 0.03376912386775855, 0.515524500303488, 0.2794784144752339]"
9966,27.93386639076205,929345.627124284,"[0.7456953290812836, 0.12684066656114562, 0.12422495364821612, 0.0032390507093548303]"
45641,759.5009022284122,598224.6939468463,"[0.14582796529868738, 0.27974426331206037, 0.5289394968981656, 0.045488274491086826]"
29004,889.2156508474551,481224.0333184375,"[0.284819155304625, 0.5506310557007472, 0.015758209838426095, 0.14879157915620175]"
595,575.6527087569849,216538.54310253944,"[0.16561728723099833, 0.18109021979052184, 0.2555186510595053, 0.39777384191897464]"
14393,496.93284998158487,405759.7118682234,"[0.24601724169904118, 0.08918035904880334, 0.563891050810355, 0.10091134844180061]"
17401,772.1816223481385,729812.0522151847,"[0.22238000785748827, 0.1931100957326961, 0.5247339909506569, 0.059775905459158805]"
9928,412.8174192737309,881745.6762837184,"[0.2907501913774317, 0.06434701158960153, 0.3441127750771563, 0.3007900219558105]"
44814,27.64128244494557,631890.8882322529,"[0.6172694810785201, 0.15664465416305098, 0.11991571094326105, 0.10617015381516796]"
6328,42.75747646593398,483180.2480176916,"[0.028350815065441785, 0.7391123331013163, 0.0502483123457932, 0.18228853948744858]"
7256,441.7262166116584,893302.6929019949,"[0.09942900070710367, 0.2414289030229391, 0.5849268628517104, 0.0742152334182468]"
14134,38.81854813061839,463103.94209062046,"[0.2002279253832287, 0.3679654988098151, 0.22081423695621566, 0.2109923388507405]"
49119,69.56899764913283,317017.7698773324,"[0.30954634645521756, 0.23707173787818328, 0.10763289095335697, 0.3457490247132422]"
37813,538.7837877416412,903679.2330636486,"[0.22780991499679226, 0.22806083614401823, 0.5052596297929561, 0.038869619066233256]"
30662,611.9188717555071,880146.8527574932,"[0.12260376905282924, 0.7144758470548747, 0.061834887841531426, 0.10108549605076475]"
7712,908.868810956718,623896.0549698618,"[0.022129557963297387, 0.018826374262887486, 0.05788353875500563, 0.9011605290188096]"
15008,932.6558453149688,775535.7506707823,"[0.32532407079746495, 0.21444184407722078, 0.27520327387997434, 0.18503081124533993]"
6636,632.4600016944576,777664.0744675115,"[0.3399333409365698, 0.4617169537207131, 0.1646907406943824, 0.03365896464833486]"
44223,64.4658649740713,260637.7415590305,"[0.4444092898676212, 0.22539254351678037, 0.12570139842201605, 0.2044967681935825]"
13775,999.5182280799842,771796.8826676907,"[0.515784876488321, 0.1059662035656248, 0.028213646892381133, 0.35003527305367294]"
1484,507.2087836368146,549133.5323946169,"[0.30477900156672005, 0.18444577686892102, 0.05581929236951658, 0.4549559291948425]"
48885,922.0908116106228,433900.7987797757,"[0.09933268583127856, 0.2029902866143851, 0.4416267130901865, 0.2560503144641498]"
6273,375.6058815421805,843891.4047296917,"[0.594493078877523, 0.13876695523288599, 0.018992689269092523, 0.24774727662049847]"
10648,391.1977963119304,657653.327322894,"[0.17391248155222905, 0.48510874633189965, 0.1358737882268234, 0.2051049838890479]"
38127,673.0358799176173,176081.73942615683,"[0.0746525952851249, 0.20731173475528517, 0.23395346857761365, 0.4840822013819763]"
24712,795.5083294322828,317686.21729973034,"[0.7636049998580415, 0.030891848261389195, 0.058174456983232384, 0.14732869489733674]"
32324,758.1997505918704,861646.1194341696,"[0.362746994133031, 0.04664181200073923, 0.17063260506629538, 0.4199785887999344]"
31561,329.5032568487279,205609.7787985012,"[0.13771598435136448, 0.3582009141416326, 0.4652270807393632, 0.038856020767639644]"
19234,309.170465218038,166540.56797329697,"[0.10671710135214904, 0.213650853183711, 0.016701754286868094, 0.6629302911772719]"
31920,673.3380755298053,505460.79707779695,"[0.11566222198125828, 0.35991224835636615, 0.4909174325896947, 0.03350809707268081]"
14288,156.59803471489576,651022.6439644452,"[0.3100758718175055, 0.21434161558131726, 0.3934302488000028, 0.08215226380117432]"
22005,41.02659462299856,869793.4882528798,"[0.42654891755636754, 0.023000539668552644, 0.25686546257237874, 0.29358508020270113]"
25627,363.13153007618325,178632.22221126663,"[0.3765786064441168, 0.11182363499566837, 0.4550254952952272, 0.056572263264987765]"
8335,173.10948322911162,509300.7149035204,"[0.6096149995041948, 0.04492661543228853, 0.054942020339340106, 0.2905163647241765]"
2506,186.7955094399944,335610.45845869905,"[0.0056809383175624745, 0.39684376197867605, 0.17794178444825046, 0.419533515255511]"
8756,773.5892765179806,143233.15781611032,"[0.36152020413113367, 0.02622237383943565, 0.20793570542524437, 0.4043217166041863]"
23086,92.51286471255696,337065.73487941525,"[0.038281228655015036, 0.17560084949470944, 0.31272328606430094, 0.4733946357859744]"
26013,593.1890853542262,628753.930799504,"[0.45924245428113686, 0.19084233015411808, 0.021569750883645624, 0.3283454646810995]"
11495,534.547134856821,724232.4601965819,"[0.048171823829748744, 0.6983091106256409, 0.12329227101762057, 0.13022679452698985]"
10051,91.32403313795358,174113.3594243544,"[0.3149509075552027, 0.24913289647054895, 0.2319762620664845, 0.203939933907764]"
44656,796.3593687686866,226007.22525883344,"[0.08306329245369676, 0.1752002160380697, 0.6275980655767891, 0.11413842593144441]"
969,190.0395631303295,344098.68905664625,"[0.8427239730921444, 0.07853712176181232, 0.04496171721106227, 0.03377718793498109]"
24806,412.6248831017994,451765.9794848965,"[0.15370308829829007, 0.5459705612798816, 0.1800219491767582, 0.12030440124507003]"
49061,28.99233145349412,699502.501669464,"[0.235425290504051, 0.22831966951869154, 0.3733683506865674, 0.16288668929069006]"
1681,257.1619133960318,945225.1611609234,"[0.12134784034356487, 0.30493857255219375, 0.3550739310957096, 0.2186396560085319]"
7884,411.70580608100494,324433.9824424968,"[0.11583413152337105, 0.15780577310200763, 0.20960832144980518, 0.5167517739248162]"
28503,936.6695186322472,461683.9530142847,"[0.30293770893757777, 0.06846268645359244, 0.09066206632341142, 0.5379375382854182]"
19808,295.9145389260787,242996.81935503267,"[0.10544683492361774, 0.08260736258101664, 0.6209374966634942, 0.1910083058318716]"
26348,831.8520210725399,341628.9375745405,"[0.21534658693929945, 0.5991084009145113, 0.11224862285897433, 0.0732963892872149]"
34467,882.1875287279026,389056.53090994,"[0.44462050914113466, 0.4747847648520693, 0.06754803682270932, 0.013046689184086807]"
42769,113.6418858774034,492217.5583649466,"[0.3992839999365095, 0.19704461237682852, 0.20873354380030137, 0.1949378438863606]"
14657,780.71873646961,256906.32999892364,"[0.07709818547814838, 0.4805675065951967, 0.0410914361116983, 0.40124287181495655]"
7112,22.25866717204078,543732.8237073591,"[0.07813523125221876, 0.1743447973305651, 0.6546877192629645, 0.09283225215425168]"
