,T,P,zs
0,193.74755929166216,685430.8566644101,"[0.6366649367136561, 0.36333506328634396]"
1,283.3102267867567,524482.6745050736,"[0.946794464154161, 0.05320553584583897]"
2,147.5486456355905,303648.64326351124,"[0.08009244084376053, 0.9199075591562395]"
3,969.6494620599228,933787.406284664,"[0.1054370581577821, 0.894562941842218]"
4,704.3297036563849,914244.5496426666,"[0.17188343868149714, 0.8281165613185029]"
5,584.0513009391852,482762.42853588506,"[0.5946096116001136, 0.40539038839988634]"
6,280.34963429608223,941450.8829322188,"[0.20798413948577102, 0.792015860514229]"
7,626.1773826619641,808800.321991784,"[0.9952862507803745, 0.004713749219625607]"
8,350.1221993481552,305354.9970738322,"[0.25212994566274044, 0.7478700543372597]"
9,266.7506368254911,218099.1251337068,"[0.3131574101143456, 0.6868425898856544]"
10,902.8979003325908,175689.78784671362,"[0.6141392909142993, 0.3858607090857006]"
11,966.8382743151934,926586.5921641048,"[0.638097320605544, 0.361902679394456]"
12,511.6449591729576,359748.43601865333,"[0.8153887229875185, 0.18461127701248145]"
13,224.7167038743412,329055.7684280607,"[0.16165193724198962, 0.8383480627580105]"
14,261.43560572184765,964825.8087282248,"[0.1097315996180654, 0.8902684003819346]"
15,264.7730941024506,634763.4953507477,"[0.7467350278469852, 0.25326497215301486]"
16,461.671678681085,566630.1364999735,"[0.5631769927492257, 0.43682300725077433]"
17,221.1130302368061,297796.51279835124,"[0.05662202360134042, 0.9433779763986595]"
18,740.692105915862,568155.0464803114,"[0.7307809813876079, 0.269219018612392]"
19,660.5491998862691,460158.0813436252,"[0.8523884140864039, 0.14761158591359613]"
20,706.9972805606628,427969.0750137954,"[0.3805693022816132, 0.6194306977183868]"
21,101.96365793836196,860526.9079290652,"[0.7742569500223025, 0.22574304997769737]"
22,152.63680936914128,733496.0577385025,"[0.6413466819513473, 0.35865331804865275]"
23,285.46698920636777,508829.4914964749,"[0.5310307179686181, 0.4689692820313819]"
24,911.3547755479426,797564.229274842,"[0.924709269008645, 0.07529073099135508]"
25,330.34798526719936,723166.1819459699,"[0.8512840586885281, 0.14871594131147195]"
26,622.4517667151057,301686.61654018884,"[0.8641994016072908, 0.1358005983927092]"
27,264.1471241712764,310854.554717636,"[0.31829211484166736, 0.6817078851583326]"
28,335.51676803917246,506706.86259553407,"[0.4268845886347461, 0.5731154113652538]"
29,525.0307161294941,998682.348156782,"[0.7163740644149643, 0.28362593558503557]"
30,334.9552973670752,848950.6250446755,"[0.9750110053677612, 0.02498899463223887]"
31,605.7034651205084,642877.651988889,"[0.5532638348772594, 0.44673616512274056]"
32,978.039313153621,750990.5936889052,"[0.6183444881475334, 0.38165551185246666]"
33,659.7176630787114,621879.7493013351,"[0.8469819067657276, 0.15301809323427248]"
34,972.2285794413108,433646.1040754058,"[0.5366047881416288, 0.4633952118583712]"
35,697.6715752384914,816660.1351443303,"[0.3530317268307309, 0.646968273169269]"
36,647.1316045107812,425486.07902105135,"[0.31265465486053035, 0.6873453451394697]"
37,717.665647056249,371974.0677254841,"[0.670400331338702, 0.32959966866129803]"
38,652.5142352761811,947311.3419069484,"[0.0833254780605814, 0.9166745219394187]"
39,737.3041970006653,505227.5150602864,"[0.6051821183131322, 0.39481788168686793]"
40,173.62199864294467,538954.9562723627,"[0.3058586422017781, 0.6941413577982218]"
41,642.9852410309342,350817.2871864757,"[0.5237849947689451, 0.47621500523105476]"
42,275.98957180579026,533224.0756533102,"[0.6992989929007222, 0.3007010070992777]"
43,984.1319294148968,729515.8977959597,"[0.5912792103715158, 0.40872078962848435]"
44,787.0072492606857,779299.3012784468,"[0.08317032025032263, 0.9168296797496773]"
45,57.39993067050681,196204.70258050505,"[0.4531387329407483, 0.5468612670592516]"
