,T,P,zs
23974,38.61588044247583,656972.3952227571,"[0.012640209915535475, 0.2868990364855378, 0.7004607535989267]"
49202,280.6974454888363,180940.11441200945,"[0.016395519150287467, 0.9492239036211553, 0.03438057722855721]"
3911,710.8059535096016,469725.3202483969,"[0.13481299798152832, 0.25590764938304084, 0.6092793526354309]"
19582,386.7097595680672,710266.5266683061,"[0.40545193167324783, 0.27616000899583343, 0.31838805933091885]"
13847,438.045375907922,187058.3585303345,"[0.13090968618804136, 0.5334440908425472, 0.33564622296941155]"
21526,426.07107720602926,512700.061023736,"[0.002913780568998791, 0.7638967593809491, 0.23318946005005203]"
44150,533.2709378302168,950559.4046335716,"[0.445895608179564, 0.24485045921822865, 0.3092539326022074]"
3742,448.09854808898285,829198.5046876137,"[0.763150174495037, 0.06270528820540543, 0.17414453729955764]"
46037,735.8278541330999,263980.8436399301,"[0.45540400037166173, 0.07029904926843437, 0.47429695035990393]"
22204,955.8243042417732,255399.5505385117,"[0.46813234333411696, 0.3229065240515258, 0.20896113261435717]"
49616,385.8060592568002,695251.3110397982,"[0.21306746161851756, 0.5174443834053765, 0.269488154976106]"
7239,78.11485048006094,945922.2783084324,"[0.3425217158240931, 0.25900944880216525, 0.3984688353737417]"
17055,275.8937936122216,756250.5932509846,"[0.37589173759742195, 0.06185179941011344, 0.5622564629924646]"
45202,297.9448710625523,430930.8668539529,"[0.012446880174727034, 0.36215045935469703, 0.625402660470576]"
15339,40.77928775372487,701175.7123097813,"[0.23250702329462575, 0.3562169911370583, 0.411275985568316]"
28583,452.07352593132566,828755.3411766832,"[0.20008258153477856, 0.7100362246965517, 0.08988119376866961]"
2811,883.0169226209339,406372.74702355335,"[0.4202770783737268, 0.4776714724214174, 0.10205144920485577]"
25394,285.5291162240488,480384.3484018432,"[0.25075423909814276, 0.6384835782617605, 0.11076218264009677]"
49883,416.1600598410703,951510.5074590518,"[0.5835069722062844, 0.1547124284128123, 0.2617805993809032]"
5055,743.6169678723174,279716.77657396643,"[0.3188631806876843, 0.498350337430231, 0.18278648188208463]"
14272,843.7845712398542,472434.9956528043,"[0.5637559254248568, 0.1801290814342218, 0.2561149931409214]"
34309,266.0356150233267,728132.6409962776,"[0.3959395309946793, 0.14760662470410033, 0.45645384430122043]"
21175,454.20520731207495,553235.6445670675,"[0.262197745238264, 0.011068072870691333, 0.7267341818910448]"
44796,245.8703478999369,569640.7767021225,"[0.07143029804288051, 0.7158459694142565, 0.21272373254286292]"
18127,392.5024396180594,623074.7532694148,"[0.2729291129193674, 0.7221542685426211, 0.004916618538011476]"
30186,955.030760095619,100142.17787224396,"[0.5501202609967192, 0.34043707215673563, 0.10944266684654509]"
10303,774.1283782397495,481086.0829406484,"[0.5903653135493511, 0.1923542972925878, 0.21728038915806108]"
4982,222.04674684684647,511787.6877102535,"[0.27803192146964384, 0.6870410317897758, 0.03492704674058033]"
276,559.0306439368505,781401.1926138124,"[0.08550958458713379, 0.7951257817447702, 0.11936463366809592]"
12965,929.0334617149724,780367.4965138879,"[0.3071004291059624, 0.09391518753220704, 0.5989843833618306]"
13598,520.4796520533678,114915.26159372368,"[0.0212789899311772, 0.945830456514779, 0.032890553554043786]"
9320,287.34910137392086,249561.85392018684,"[0.06828023203223238, 0.9124553468684401, 0.019264421099327383]"
30226,269.57139160173654,331815.607970266,"[0.3462228827586765, 0.3855925509121428, 0.2681845663291806]"
8365,849.5933590060894,492895.5739478581,"[0.2336854200018847, 0.06527457101014265, 0.7010400089879726]"
23343,279.77331516596746,777554.8710087821,"[0.15745750889037763, 0.6556725586907934, 0.18686993241882885]"
42950,516.7182989635378,656849.007433419,"[0.6440624121768547, 0.01542671192943846, 0.34051087589370677]"
14780,418.4804736120971,195150.51676674176,"[0.3772350931900341, 0.48233011671067116, 0.1404347900992948]"
23296,539.6175971314067,805633.7269694546,"[0.014397020482318137, 0.29994706788486475, 0.6856559116328171]"
32961,879.1622476767241,591552.3871359861,"[0.014484300101994672, 0.8935545600029879, 0.09196113989501757]"
23864,759.8494548536719,797418.3004572338,"[0.6569485120402354, 0.022815876256609562, 0.320235611703155]"
