,T,P,zs
21003,432.2562440574986,977514.2451889444,"[0.30126394420879415, 0.3702049376965824, 0.32853111809462343]"
15424,994.4409842926584,483544.36061659217,"[0.03390816164085291, 0.43094569216185535, 0.535146146197292]"
48745,478.967287376842,749197.2759035212,"[0.35740197496945425, 0.4892044943992061, 0.1533935306313397]"
42616,609.0853652926318,654205.1568536387,"[0.342236918527404, 0.0573399170912714, 0.6004231643813246]"
1846,257.8498850069972,596039.6204115895,"[0.21221994238442085, 0.11567694380812461, 0.6721031138074546]"
47633,224.42770691344188,374104.1381141649,"[0.42885165939116887, 0.30826263427603173, 0.2628857063327994]"
16728,213.95199361015528,215656.38118604093,"[0.2175323552826664, 0.6160743421467658, 0.16639330257056772]"
47773,145.98662326511527,136308.54715517623,"[0.46228616793110333, 0.3785795822760756, 0.15913424979282098]"
15500,66.18667151552732,196697.26096940567,"[0.3316746636444748, 0.544619286723164, 0.12370604963236112]"
28028,754.7044090085783,631177.1708870423,"[0.44480921008577257, 0.11217628005285599, 0.4430145098613713]"
5252,677.8451500788951,996901.3418406942,"[0.3720795932485308, 0.04010526226468437, 0.5878151444867848]"
29286,526.8702559681724,439210.3551728504,"[0.7371782283763216, 0.0005954725144146166, 0.2622262991092637]"
22107,825.5342132947457,969580.175792509,"[0.23290088134245338, 0.16822363698051288, 0.5988754816770337]"
14126,262.6654880975352,375033.4221477826,"[0.04544310197167506, 0.3248434069991773, 0.6297134910291475]"
24903,36.66316323786018,898077.85394904,"[0.3925183154450108, 0.4138656054945077, 0.19361607906048156]"
37846,361.5892489373982,108337.18284047462,"[0.8331953073585713, 0.06972238882000814, 0.09708230382142058]"
2771,528.4242854181813,413486.3537039948,"[0.14057439109735997, 0.3988162209291208, 0.46060938797351925]"
17520,203.9424171863887,129119.63528300072,"[0.32198296771051704, 0.41158275295165886, 0.26643427933782404]"
49657,480.5722532236391,153444.51292276577,"[0.8817802160568671, 0.1025345290580885, 0.015685254885044592]"
16483,447.0055560743262,257172.3148325679,"[0.059067283794727754, 0.6853851626496974, 0.25554755355557485]"
21320,54.11003612623334,751222.5864202749,"[0.28982446057430894, 0.5987761574188402, 0.1113993820068509]"
35243,385.08176992338025,946336.5599070264,"[0.06475259338999367, 0.30052830805483244, 0.6347190985551739]"
42941,805.0859273863007,421217.6593739456,"[0.41200233119411267, 0.3686457313578511, 0.2193519374480363]"
36406,965.5677383857048,238704.68261536185,"[0.6453163449058276, 0.32889936979768136, 0.02578428529649114]"
24021,619.7378720475597,125460.9290888152,"[0.24756169444972256, 0.009515642421971128, 0.7429226631283062]"
7544,558.3574043822582,594856.4606336895,"[0.4019193619866938, 0.24888243666288337, 0.34919820135042284]"
20411,82.4523344227713,911721.710253872,"[0.4781925383145979, 0.24145605054068087, 0.28035141114472123]"
30168,332.7205531070134,423683.7218748695,"[0.017693122463974097, 0.35084384440356703, 0.631463033132459]"
10208,83.23961708874835,431991.57312641,"[0.26637627941053643, 0.6289974382609623, 0.10462628232850123]"
31528,891.6638288067956,655109.5534542016,"[0.5659168227305996, 0.011125732863978728, 0.4229574444054216]"
37068,109.44764491812002,624754.6231938349,"[0.806599441463008, 0.010113048833347337, 0.18328750970364482]"
49357,667.7109935898187,508747.18291154486,"[0.006483084602401882, 0.6626724149589366, 0.3308445004386615]"
26171,383.9585553606137,600645.7970050871,"[0.31308678987473504, 0.20666033392040117, 0.4802528762048638]"
23309,844.7149278833124,240898.20731062,"[0.7383001504525751, 0.0274040680948044, 0.23429578145262056]"
7895,732.6087694154152,401263.5339986234,"[0.18869656203909121, 0.5904804923733021, 0.22082294558760662]"
28095,877.6588541605586,838369.3296395241,"[0.03261338010368045, 0.2906120750523885, 0.6767745448439311]"
41450,390.33534709960816,293795.92365608644,"[0.019478875096327414, 0.9041780349259125, 0.07634308997776]"
2780,384.7899285166662,195528.07175978413,"[0.17432528096781927, 0.5259308170622395, 0.2997439019699412]"
7520,643.9655367524219,703982.4732056803,"[0.41554921260310573, 0.5421457892895679, 0.04230499810732645]"
42662,780.4663756720137,544108.6953639217,"[0.6365444403132201, 0.1260639859115508, 0.237391573775229]"
26949,52.84375563003606,509195.4125777551,"[0.14245016840251146, 0.4901991142494837, 0.36735071734800495]"
48481,764.5440792192453,721330.1349851348,"[0.45312332179930315, 0.4210489751203282, 0.1258277030803687]"
21288,826.9092337294037,351780.5896416776,"[0.2551961312415927, 0.2229794891609173, 0.5218243795974902]"
36883,325.8829722586187,144602.9937682836,"[0.684869563242735, 0.17413396264733222, 0.14099647410993277]"
47935,248.4542933377264,631279.3675639045,"[0.05730735575801377, 0.44165568624908463, 0.5010369579929016]"
36654,795.8707664315989,274167.5346894177,"[0.5612577278740866, 0.23277209350262232, 0.20597017862329112]"
1706,347.2504127767832,446064.856390488,"[0.3403816780593857, 0.596025938177514, 0.06359238376310014]"
36689,956.294656218563,746150.7463434528,"[0.49993749671183785, 0.3022070051628668, 0.19785549812529532]"
1402,213.8535307219684,540641.0855603805,"[0.21730587680008845, 0.5284783853056038, 0.2542157378943078]"
30759,467.6219801134748,457898.8243853964,"[0.11635363427695614, 0.07817180699973218, 0.8054745587233116]"
8472,755.4901559374897,147227.5772053051,"[0.010466175378228254, 0.14406300107151612, 0.8454708235502555]"
17956,54.2623425463683,475141.2771567096,"[0.2329546310234902, 0.710378255744157, 0.05666711323235257]"
6931,438.1154470451045,270949.20063383307,"[0.44433218222584875, 0.03596413203867441, 0.5197036857354768]"
20080,323.4981712073526,319621.9204816601,"[0.3747276884353943, 0.2168971544304234, 0.40837515713418227]"
49785,106.85273767055072,327512.3395444751,"[0.39877062790298623, 0.4804595489078787, 0.1207698231891351]"
6101,131.5882805838373,827723.0702323839,"[0.2392028357726979, 0.05292066454914244, 0.7078764996781598]"
19949,620.0704075926386,960258.791804162,"[0.18668180853988445, 0.5585858495226008, 0.2547323419375148]"
42046,988.660564782648,696033.0311517256,"[0.3371677501534037, 0.5350765337730344, 0.1277557160735618]"
7438,923.6206336087952,847623.7327255845,"[0.6600326816467723, 0.09124841319160207, 0.24871890516162556]"
39631,412.2531254069215,939408.8427498816,"[0.08384591356760673, 0.9091016468944616, 0.007052439537931645]"
22737,547.2004776672295,901939.3042480116,"[0.04490942127440407, 0.20694524333388042, 0.7481453353917155]"
26247,439.69485843441794,482913.3151110601,"[0.3965291810159186, 0.4146445909700339, 0.18882622801404747]"
49243,477.7387683368716,322623.70502742886,"[0.5265697042583727, 0.0802065274711348, 0.39322376827049277]"
30379,938.507554077895,913476.926974318,"[0.18442135842685797, 0.4805945103450368, 0.33498413122810533]"
31596,859.031467484994,571318.0474076822,"[0.14135711695979344, 0.5599765770755983, 0.2986663059646082]"
13542,396.44550119222953,119188.97012211414,"[0.13278711110804092, 0.010919125360982272, 0.8562937635309767]"
38822,614.2998207353899,594202.1882029504,"[0.22314099363095827, 0.5817135021735952, 0.19514550419544663]"
28795,768.7151293013158,721234.5597376607,"[0.048847334073420866, 0.5400717378966178, 0.4110809280299613]"
4479,934.7379262985678,707135.4871178129,"[0.2268876004763401, 0.010300100314755466, 0.7628122992089044]"
18118,995.5080557627706,262474.2179567829,"[0.5742317645257508, 0.2816879681747553, 0.14408026729949389]"
14942,279.26589004735155,360080.7257453548,"[0.7007811677489404, 0.051975694856254424, 0.24724313739480525]"
2240,487.207507678676,931283.9123049076,"[0.3049422751852616, 0.1580061293298215, 0.5370515954849168]"
34750,567.2555885628219,746095.8750084942,"[0.3207660116974077, 0.10483284260300003, 0.5744011456995923]"
6375,793.4965282377923,765096.940394721,"[0.21955251669528045, 0.47487860861095427, 0.3055688746937652]"
29237,510.7063341953132,761734.4364033581,"[0.008725415548731746, 0.7641848138277895, 0.2270897706234789]"
47687,218.0763435029536,936786.9448227206,"[0.1844543848860189, 0.6266214884606701, 0.1889241266533109]"
33577,841.033685124134,829344.7668253198,"[0.46526921158766626, 0.3321403430279844, 0.20259044538434923]"
37246,112.88057752770423,976181.3621088044,"[0.5690361763487959, 0.15580732175164347, 0.27515650189956053]"
10639,315.1898356574921,271489.3168057036,"[0.35233753963594444, 0.47189238398206046, 0.17577007638199507]"
15057,36.73122070446361,232852.3040677701,"[0.526339182017505, 0.1737246648876676, 0.2999361530948273]"
45926,188.6203638882439,306407.61133942776,"[0.6544121735519197, 0.014571003670887385, 0.33101682277719285]"
32926,43.80319006211147,792301.854514288,"[0.16862048646270358, 0.5919354254251192, 0.23944408811217716]"
11508,241.1537099551568,899203.3991248641,"[0.4393403873720607, 0.35790714221556785, 0.20275247041237146]"
12570,295.8737205581744,653129.7594004779,"[0.4157016782702423, 0.5371988513603504, 0.04709947036940711]"
30760,38.06102495340595,651389.6584678682,"[0.5746568979039121, 0.0578467857342424, 0.3674963163618457]"
33152,221.9785791746852,399822.8427686952,"[0.32745321184887577, 0.6129334230740862, 0.05961336507703803]"
5184,711.8175386967395,875119.3122179316,"[0.7879719328432521, 0.04643341191048898, 0.16559465524625888]"
32797,979.8802033616336,444675.83138428745,"[0.7793792447910504, 0.058192352441675865, 0.1624284027672737]"
49666,403.6490031157802,879227.3077265294,"[0.08463956266749414, 0.22572662114722164, 0.6896338161852842]"
25101,17.076047344408106,945851.6190220172,"[0.6172871472949797, 0.2509426042215351, 0.13177024848348523]"
18424,279.142484813043,368170.7075226811,"[0.012688583338761937, 0.9786710195083029, 0.00864039715293519]"
26332,635.5043235667862,849149.6153892457,"[0.5372186082127383, 0.42320309311876597, 0.039578298668495764]"
38545,413.9047170124612,682005.4278585715,"[0.5060710127299269, 0.2731298248860624, 0.22079916238401057]"
30633,850.1830942709939,292970.1112200569,"[0.3969967094540905, 0.13763264742549514, 0.46537064312041443]"
46841,871.9194696886067,894512.6844459377,"[0.2873531134805956, 0.28185445162076594, 0.43079243489863833]"
10173,683.6775751230639,210563.78608556843,"[0.04971184519412073, 0.8489814144270416, 0.10130674037883777]"
36212,689.9555573275062,980866.2965920598,"[0.5091785054699735, 0.12985064713714378, 0.3609708473928827]"
14060,635.2898161630599,539477.5639936607,"[0.2966431027991944, 0.6892583658590725, 0.014098531341733141]"
38085,705.6418209600213,371859.47753906,"[0.09687328414729457, 0.7516674837505795, 0.15145923210212597]"
47123,552.4736156201895,839915.8149973673,"[0.40011207791352826, 0.044283298855352274, 0.5556046232311195]"
28694,983.1770902590066,100068.8636117037,"[0.15584511085505798, 0.11918781594941111, 0.7249670731955311]"
44637,346.1130683425163,527570.6610244339,"[0.06156412397314487, 0.642214258239267, 0.2962216177875881]"
20086,297.5463501885265,986432.8818508536,"[0.169583561879897, 0.22009054972698544, 0.6103258883931175]"
2607,570.0589394214032,288485.60300684016,"[0.05491030443194356, 0.2918255328264274, 0.653264162741629]"
605,504.206476496472,840094.279848182,"[0.15341279000205096, 0.7458432069779755, 0.10074400301997365]"
49419,741.1075497648092,297662.7947518364,"[0.30942145883225763, 0.6176572744835376, 0.07292126668420472]"
3878,677.3957184293346,380597.16947309807,"[0.4151061171963194, 0.17680136120191847, 0.4080925216017622]"
1050,255.67858514123904,812996.0250758238,"[0.09074725257739093, 0.08222123334708295, 0.8270315140755261]"
2522,716.0706409425103,563485.2934049484,"[0.4067465485360284, 0.2362857415735412, 0.3569677098904304]"
19892,822.4984040699741,748156.2072215406,"[0.3278488313212406, 0.22293268367391528, 0.44921848500484407]"
49864,421.77785902817993,505303.8869905591,"[0.0058006494155977625, 0.7467805438778974, 0.24741880670650487]"
29070,38.96905454733494,916667.019507819,"[0.12421002496788852, 0.15166686918250316, 0.7241231058496083]"
4784,630.852738170172,491206.9911160799,"[0.5743344460947645, 0.333805058137978, 0.09186049576725751]"
34474,255.52485575730472,171138.37337755586,"[0.3671580195663562, 0.4884967530724214, 0.14434522736122238]"
9839,338.37345476229626,340916.94280977035,"[0.38334544821834055, 0.45064841337895345, 0.16600613840270606]"
4600,582.800414744343,131590.84984480403,"[0.12361869776521618, 0.843970144904361, 0.03241115733042286]"
9072,651.870525849419,680160.6185646685,"[0.19650528432217126, 0.027441681970050157, 0.7760530337077785]"
4371,213.5385811261956,565061.8085890528,"[0.6506390771663431, 0.27453688427354916, 0.07482403856010786]"
