,T,P,zs
16011,633.3205333002447,283628.35518447857,"[0.09785617178111111, 0.5707806959814138, 0.28373253647028057, 0.047630595767194514]"
44232,740.0962999590597,931891.428752226,"[0.34632684086097526, 0.3758760939415883, 0.023709700060537367, 0.25408736513689917]"
36921,483.5751359035504,985865.742259152,"[0.05435393097408376, 0.07644220995652758, 0.19099406419412804, 0.6782097948752607]"
35309,881.2936473343927,328241.7995890745,"[0.012268830011734426, 0.4969948435804331, 0.45828064887854386, 0.032455677529288615]"
39239,810.2569443356281,834498.6101568863,"[0.01007649640556335, 0.10846757032365281, 0.5206792795404311, 0.3607766537303528]"
38760,889.8714285625185,872342.5116691163,"[0.24069836846247938, 0.15068687452906454, 0.5454564055544826, 0.06315835145397335]"
32396,968.2869101476332,987761.7168450968,"[0.3277915417416425, 0.4185598474869675, 0.17894141293586102, 0.07470719783552905]"
39500,875.884691884244,407733.7221011735,"[0.37511279820485044, 0.1474912708838584, 0.09353093573126756, 0.3838649951800236]"
19564,589.7389596329875,646578.7877324139,"[0.5049297665143502, 0.023643362775443343, 0.0487425739985654, 0.42268429671164093]"
35034,56.35172553606404,839488.7137856061,"[0.12918438442100208, 0.41727601279831994, 0.43975276110278727, 0.013786841677890826]"
14133,577.9767802379782,273406.2058359877,"[0.5701113810320727, 0.06643369084148247, 0.3526886329515842, 0.010766295174860578]"
29751,130.25336507515624,699045.1869978189,"[0.16719044119715196, 0.428151327917121, 0.19305334137220517, 0.21160488951352202]"
42490,592.6802347624264,439605.6275393375,"[0.19253569695271164, 0.03483429210400497, 0.4820055100274353, 0.29062450091584796]"
2092,771.4492985993635,296628.3872598012,"[0.05500034708329503, 0.13851461945257262, 0.5526728045892247, 0.2538122288749077]"
24625,146.43948214954452,306016.0468850514,"[0.3698446318379687, 0.02034233086328779, 0.05950359793987971, 0.5503094393588638]"
1451,110.36648553088804,341590.63844559784,"[0.07555814305293675, 0.08669976919568753, 0.8305007760543699, 0.007241311697005915]"
31982,35.25032215514955,451409.8133631307,"[0.5892714372624765, 0.04953810775823562, 0.16810494014912492, 0.19308551483016292]"
11942,290.67496740533056,497381.108660078,"[0.1570405273754341, 0.6022837783002597, 0.12566952958104277, 0.11500616474326326]"
21414,556.5222055346853,626390.2042505417,"[0.7276478288352639, 0.2210312022756921, 0.0019077260386963634, 0.0494132428503477]"
25084,473.54205579316726,170869.17946021754,"[0.285438537025108, 0.4263573094153946, 0.04588473032838384, 0.24231942323111336]"
16389,265.43620372461083,110449.92931172148,"[0.05786868012032166, 0.40415662124994206, 0.43505432580216663, 0.10292037282756947]"
28999,952.1765654792424,200353.0743163392,"[0.6068811649688075, 0.16043224836283543, 0.21638112105725385, 0.016305465611103246]"
5176,125.54001566004617,531505.1953188875,"[0.6278543758537632, 0.0008366625944203409, 0.23852536292219656, 0.13278359862961997]"
15096,994.0191131311034,614659.9318996528,"[0.11492503431893816, 0.12785865604857619, 0.5527437912661795, 0.2044725183663062]"
13177,873.9161622532612,819098.045982079,"[0.06572651855020598, 0.09462240174879177, 0.2783195646136096, 0.5613315150873927]"
17769,720.0905629888545,794193.9640155578,"[0.07571335910483418, 0.09088130441776446, 0.05455646875012646, 0.7788488677272749]"
1003,718.3857130800045,471125.7371408052,"[0.3046477198749087, 0.023086486770794792, 0.44750095113304283, 0.22476484222125356]"
44890,249.2219098471132,555874.2150007617,"[0.027313804149403754, 0.5180869488131723, 0.27248104206944446, 0.1821182049679793]"
9678,104.45236354896524,507347.7251278974,"[0.7168481688463934, 0.04888105790023363, 0.05132950968238221, 0.18294126357099097]"
14741,149.21727489331047,847296.8216956118,"[0.14258545346986842, 0.24865162274842986, 0.03403854305007453, 0.5747243807316272]"
6123,946.2426123072902,240098.2206044405,"[0.3927503405170213, 0.09133727541889315, 0.3934090182175288, 0.12250336584655663]"
18232,900.2763916870686,609720.334112922,"[0.01113022901224874, 0.679753384002431, 0.055416255132738346, 0.253700131852582]"
23837,841.5898601699791,686798.8969517449,"[0.17036189778407612, 0.10778004199277882, 0.6454716688669119, 0.07638639135623329]"
9846,17.271379810131666,393499.5475149741,"[0.3372305627103971, 0.36962571920537246, 0.2728107745881555, 0.02033294349607506]"
36029,786.3775049389576,945447.7783383016,"[0.2546751848219415, 0.40535426542976033, 0.08309448241439825, 0.2568760673338999]"
19854,385.5197074824499,193617.55320094083,"[0.18653706637896753, 0.08578108413697526, 0.15582545153143937, 0.5718563979526178]"
7020,498.28458706846686,339734.9812063244,"[0.3958666411421119, 0.05606757569852696, 0.007501309055659499, 0.5405644741037017]"
39019,578.2731738644957,288368.0312750018,"[0.2682927813470937, 0.13116801945198464, 0.4090037386082682, 0.1915354605926534]"
44738,432.5791454550974,317597.2108705142,"[0.09926528555999892, 0.016501856794728886, 0.2515912544729003, 0.632641603172372]"
31923,40.8447550041849,500656.9796158568,"[0.01246909944856575, 0.4176980983939622, 0.1144641446811721, 0.45536865747630006]"
49457,120.5537592040684,793948.864094641,"[0.1641797902036691, 0.11142236841152567, 0.7100320605440691, 0.014365780840736031]"
46686,214.9114310210404,828648.1819827994,"[0.15347895271890225, 0.12736562321486927, 0.6305349010446865, 0.08862052302154196]"
44778,807.275811336388,786832.7341917239,"[0.45078651219506755, 0.2914624035905055, 0.16378145315901313, 0.09396963105541377]"
33082,419.3193048967559,857150.5962194203,"[0.1655975728246921, 0.4537910219996908, 0.2567220459850479, 0.12388935919056922]"
2231,612.5541377766413,854798.5799340446,"[0.13098492632291878, 0.2873407863512884, 0.5284564558983705, 0.053217831427422306]"
35639,266.66563019733366,256534.1710528069,"[0.04099985173440768, 0.29250183196288876, 0.034523234063274635, 0.6319750822394289]"
49529,844.8186976936722,988329.7391277482,"[0.8623807038947562, 0.0061908266000810395, 0.09298194789478118, 0.03844652161038176]"
20935,282.9217393893797,259808.47977770743,"[0.37818536083198406, 0.518439357286651, 0.07939333017603313, 0.023981951705331867]"
31802,917.486727911646,273739.73530673527,"[0.31839968975921756, 0.01060877863775261, 0.46420713809189396, 0.20678439351113598]"
36567,418.0205283341461,536709.0259526111,"[0.29017019466584365, 0.45480947263875426, 0.09820338696951846, 0.15681694572588362]"
44481,506.8501814822945,651874.0644942601,"[0.034023134969456144, 0.004662238406538182, 0.13524596179773307, 0.8260686648262726]"
27571,379.2898874585407,784266.1229689178,"[0.7053411557867988, 0.08180176947178783, 0.024728890825836562, 0.18812818391557676]"
24990,463.00628010045807,972621.1770498136,"[0.15737767000260988, 0.11709131350211065, 0.1256303955161586, 0.5999006209791208]"
6983,138.3000789726933,376289.9303619282,"[0.3421406026938722, 0.09808791267052688, 0.09192737247101361, 0.4678441121645874]"
16300,380.6769550596429,423535.9272290346,"[0.09515636018771177, 0.11452974983964377, 0.3421623032697058, 0.44815158670293864]"
44904,810.0000482386192,518831.8568631783,"[0.367643079348494, 0.0896519555645829, 0.262132615178213, 0.2805723499087101]"
4182,874.4018294922565,347492.880548819,"[0.02954019388572675, 0.16232050959448324, 0.5602064044576273, 0.24793289206216265]"
33444,315.16307563449897,650730.028077678,"[0.6094844544714244, 0.08845106661199686, 0.10701849687564072, 0.19504598204093812]"
6927,648.1752673031066,531210.8795157901,"[0.3110325236658325, 0.5326976002039324, 0.03476113616466919, 0.12150873996556588]"
10441,289.71439752742435,760712.3436374447,"[0.34356292689988127, 0.4749811633762039, 0.12141147876696794, 0.060044430956946726]"
10497,144.00186193114294,712641.8287327485,"[0.43957969680788433, 0.33321675585136057, 0.19585754213886963, 0.03134600520188546]"
38398,982.587582755558,224446.21087019923,"[0.5166426305602343, 0.1474782461732315, 0.23316701077449883, 0.10271211249203528]"
23934,339.53452346779915,761418.199355977,"[0.7437627141896505, 0.06943057966089111, 0.035626228204588314, 0.15118047794487013]"
28066,118.0744694474808,761324.5465410892,"[0.09282235525908629, 0.17291761318382254, 0.03442516931646551, 0.6998348622406257]"
