,T,P,zs
12800,454.9418533999449,637553.7286012261,"[0.001592310561092959, 0.0019895725236998138, 0.16852070539932318, 0.4258097513603847, 0.4020876601554993]"
42726,311.85091151070753,395865.9598457531,"[0.1268598874533952, 0.31765277540102344, 0.03356828436370033, 0.20069465032223308, 0.3212244024596478]"
22919,517.1770126207375,810265.2169310222,"[0.1245011241566101, 0.1733801211819639, 0.45848072916332755, 0.07666946618960332, 0.16696855930849508]"
40629,783.9571095315654,166363.1870660066,"[0.0900900545350963, 0.2713495446185331, 0.02056394659230131, 0.40335417707369875, 0.2146422771803707]"
49902,491.8230420642562,802123.267431218,"[0.005571883122064558, 0.043248016717317615, 0.2088888225584193, 0.6044516342500045, 0.13783964335219415]"
49060,859.7376245625276,550215.8409051434,"[0.035670055724679246, 0.6408032286929378, 0.020383668152782135, 0.29962178188014704, 0.003521265549453549]"
23103,179.37271026162247,835371.1803832558,"[0.07980766976274295, 0.17535973610192845, 0.2564055364651432, 0.222193010692556, 0.2662340469776293]"
34965,488.18128940505466,619247.8886086117,"[0.33725273291136815, 0.18038123915199308, 0.04532420769068519, 0.09496855426506863, 0.34207326598088494]"
3169,28.35023980469405,694069.0089775529,"[0.028814606418001747, 0.2763361554421123, 0.06294516450193284, 0.6248668924824259, 0.007037181155527106]"
43466,574.2071282923305,762022.2775313341,"[0.06485204715534465, 0.12391333690700848, 0.36175315211446973, 0.2834887783841256, 0.16599268543905146]"
22451,940.4996868710036,756407.1576992518,"[0.33369725303703507, 0.22170473194761614, 0.1660428821984575, 0.051546356869316995, 0.2270087759475742]"
36693,622.5452901137342,631787.9411981839,"[0.16512764084136433, 0.11274719660171406, 0.03168435409990828, 0.18059193274907664, 0.5098488757079367]"
48008,875.8466138832512,493901.08951445617,"[0.19558299576670382, 0.335634640928209, 0.15478913102397968, 0.08642142165089509, 0.22757181063021262]"
24060,639.0042236533722,860205.0209118425,"[0.17217094076158052, 0.1599806591012299, 0.2377154962685277, 0.017618559556730064, 0.41251434431193196]"
43790,368.7035458921577,825234.8428883569,"[0.05311524442566157, 0.008349350294822611, 0.18316772243370213, 0.061069675023219666, 0.694298007822594]"
20784,537.6155112712099,484842.4290465729,"[0.09681083799930139, 0.0855917139115822, 0.2533945870776223, 0.37615545675401024, 0.18804740425748395]"
39711,850.0787454631151,166587.48040748178,"[0.04350233519521173, 0.060583296976331996, 0.3808309767235289, 0.5144799762421189, 0.000603414862808393]"
18103,603.9628219902977,232088.36476359656,"[0.40974163546571996, 0.12402365754726681, 0.0455603779681418, 0.27097969235781993, 0.14969463666105162]"
28235,595.0724089259751,282834.109986303,"[0.0010634326254090093, 0.1360861449085482, 0.5719053518745305, 0.015353408458154019, 0.27559166213335823]"
31748,613.7440005212376,623260.0277561782,"[0.4567486214828472, 0.3156265348329143, 0.04900168323563013, 0.12321772468955328, 0.05540543575905518]"
18953,845.6642696710996,266979.02535079233,"[0.27855482373126117, 0.3868428670239886, 0.18390152982189223, 0.11398439320007385, 0.036716386222784225]"
4885,263.428346215848,595414.463129437,"[0.05490098359935228, 0.17822019624893096, 0.3819138107312972, 0.34998269293418555, 0.03498231648623415]"
15793,730.8518719884534,273649.30412016576,"[0.2074583495342344, 0.2108736819780022, 0.14771991549325555, 0.4275348263262306, 0.006413226668277304]"
17536,881.7110927246168,324355.6740374016,"[0.2077759785019535, 0.029250424290045887, 0.13691100572041207, 0.04517580192577184, 0.5808867895618167]"
6836,550.9475051125227,983645.3406580612,"[0.1116733945357182, 0.7447243407879954, 0.0016995727834127586, 0.11635883845282563, 0.025543853440047927]"
37520,804.4205708959099,899811.2683198537,"[0.5869309671848868, 0.08823692544763642, 0.14459029679620397, 0.10857550106081945, 0.07166630951045347]"
16837,352.3209457810428,714185.9547537854,"[0.18260847848657522, 0.13759502633518628, 0.052169886343815336, 0.5541051206561219, 0.0735214881783011]"
43916,294.3962062265146,676505.5386740919,"[0.057318990756763284, 0.1394419643564364, 0.01637537788499528, 0.45819665525431796, 0.3286670117474871]"
18981,976.0078127964432,432553.0363342556,"[0.11099588228195435, 0.36953031260093205, 0.1218960882897768, 0.31782673868457906, 0.07975097814275776]"
33630,854.0081077171168,337548.84630332526,"[0.3445894431836638, 0.11593153179352701, 0.010402975813077989, 0.43847824983737854, 0.09059779937235277]"
47105,458.5227420304864,323468.76824613975,"[0.1148683325198927, 0.14326281531059473, 0.0745404409737627, 0.20731694941535647, 0.4600114617803935]"
36739,773.4463032048244,460238.1805744344,"[0.3781453298127682, 0.018425513302361578, 0.1100328084786788, 0.1009291035558135, 0.392467244850378]"
19053,687.6731917995714,231535.55823226465,"[0.32761234679919365, 0.4871092607742289, 0.06284437118692332, 0.07885544162832664, 0.04357857961132746]"
14634,375.2902957617551,788949.211536314,"[0.23807659995320476, 0.015337471601698271, 0.11785867941839567, 0.06662150999860476, 0.5621057390280964]"
15335,794.4501195151263,343740.11649449443,"[0.008104748585862586, 0.2820876886918946, 0.627436337123081, 0.03816430069226171, 0.04420692490690017]"
10682,693.4209603257999,905206.53538484,"[0.005899890329268733, 0.09184191758594552, 0.7831640630250429, 0.04618221553360289, 0.07291191352613995]"
15139,268.2639713583572,781066.7636171995,"[0.13843722023886287, 0.1070472077977835, 0.35489381848177326, 0.07706459467341434, 0.3225571588081661]"
18051,600.8131375069324,541531.6929802243,"[0.3306546332322773, 0.3737368111912937, 0.07191330766679313, 0.1223709726369088, 0.1013242752727271]"
37707,868.732832986451,550450.7018398414,"[0.4297176923686263, 0.19594917963078975, 0.06271124299279904, 0.10084681514192659, 0.2107750698658584]"
11702,790.1239852620117,846279.0975832926,"[0.5938277040310108, 0.07386379494964353, 0.22353390603803608, 0.03260275969681007, 0.07617183528449943]"
37357,523.0847880487986,655693.1802620073,"[0.05287574689695803, 0.37299163523486906, 0.3883746445419311, 0.00010712697470106902, 0.18565084635154067]"
5091,29.6530521198369,494179.7853518065,"[0.07355640241776172, 0.1495070550641293, 0.011611899649779584, 0.658106785304587, 0.10721785756374239]"
47478,950.8068073714848,130728.52611406527,"[0.03992693065175122, 0.14544318955042626, 0.4308655694458546, 0.2612133693129454, 0.12255094103902249]"
14931,661.3461886805364,246730.84882635923,"[0.15896214223017124, 0.0633142114968286, 0.07471401438464836, 0.4434554497705171, 0.2595541821178347]"
2809,432.6744383862807,530043.0230390977,"[0.20354109202844198, 0.5475118964277218, 0.12111973385335195, 0.019258065666466956, 0.10856921202401726]"
44198,649.256731273779,872989.002037587,"[0.16298473700818714, 0.11098322591960337, 0.42156011944083616, 0.20477018184921855, 0.09970173578215495]"
41200,814.288108849596,186302.0055241002,"[0.136468136401726, 0.577844453291164, 0.06425454633661125, 0.0348997950638275, 0.18653306890667126]"
37919,968.7636413577744,588821.6004782948,"[0.2369636157050002, 0.03568687495982038, 0.14549940773168127, 0.12767240588079182, 0.4541776957227064]"
5222,375.4061521251525,650458.4865911766,"[0.19646089543049203, 0.1644031602258555, 0.12021556613162228, 0.4740011384711638, 0.04491923974086632]"
36342,809.9193087909908,261772.7347806077,"[0.07864343262172753, 0.09878217032559242, 0.48423517161193, 0.28864043327365296, 0.04969879216709711]"
39845,22.51858849899256,217718.8930122833,"[0.3507099887349042, 0.3300440110182802, 0.11109860738618922, 0.03607759926650765, 0.1720697935941187]"
27807,623.7223001183971,637071.4563560832,"[0.19436507946847645, 0.4972177599309014, 0.007725311882650745, 0.2927211063549129, 0.007970742363058532]"
43071,981.6211950479986,621855.1555175759,"[0.4879224716772381, 0.1636941406552371, 0.03152402749281905, 0.27485633678580423, 0.04200302338890148]"
14428,618.3207238560228,251686.4276896815,"[0.21211427995180865, 0.08712587020395372, 0.5535483133558545, 0.11209368144128391, 0.035117855047099106]"
10204,560.9407495442601,288283.03308592987,"[0.07053458643649262, 0.2745384614771794, 0.3108349396908805, 0.036205815281219855, 0.3078861971142276]"
40202,517.9579336890099,978627.205868423,"[0.0643438112199522, 0.21384146640570617, 0.22023163504697502, 0.10550227418759643, 0.3960808131397703]"
24076,889.7876061956114,804046.9910427528,"[0.36347763615156964, 0.2834947826284308, 0.0914944359430222, 0.08215349561056116, 0.17937964966641626]"
34244,411.0107581965053,507984.8512215777,"[0.15564617035057202, 0.2938343208348345, 0.04226337870164704, 0.3884929287458604, 0.11976320136708606]"
11026,128.2572391830771,588823.2220063757,"[0.42764980664275687, 0.1211446291531851, 0.11972675422584887, 0.19814522411361443, 0.13333358586459487]"
22400,866.9130456405036,921205.1818508256,"[0.21056555978809466, 0.02598759599591152, 0.6397501724209378, 0.056478448214822924, 0.06721822358023308]"
13365,223.1724458078961,416141.88102820463,"[0.07399513594991498, 0.1650006449013389, 0.4453421443265208, 0.12131572209688117, 0.1943463527253442]"
27445,906.235696003385,127993.0006794924,"[0.10736876582238945, 0.2712410274240366, 0.1565495601841358, 0.03685996602704598, 0.4279806805423923]"
39353,105.25169788331742,876293.5526915438,"[0.40139329505822147, 0.18042114795164493, 0.15784910084419224, 0.1214355774635237, 0.13890087868241766]"
23672,962.3761575947492,114306.62535141864,"[0.1723129559627513, 0.37154631005535255, 0.26721665670938577, 0.14695302403981816, 0.041971053232692394]"
33917,14.742267531545778,392132.5393724867,"[0.2487422997180551, 0.016954371219397524, 0.3025412663561021, 0.18825402244896897, 0.24350804025747627]"
38262,300.185345042262,289637.65773524775,"[0.13671326961035554, 0.22514644619069396, 0.18965488920954524, 0.30830034991373534, 0.1401850450756701]"
36555,644.8059548969429,605469.2282872824,"[0.17911836698814104, 0.2109313222958276, 0.2497338139690877, 0.10615397201295512, 0.2540625247339885]"
26809,807.6125544115517,561141.9852597842,"[0.27540044449557427, 0.096099092435513, 0.5413584442152026, 0.07790621505221522, 0.009235803801494961]"
29245,189.19828417241257,627409.7194243502,"[0.5582479333934244, 0.05407211218205312, 0.09840436130704111, 0.027148034197922374, 0.2621275589195591]"
17584,700.4389061029763,149238.83266225737,"[0.027698184393528443, 0.08683355706686324, 0.08151674639868045, 0.6562732564929638, 0.1476782556479641]"
12333,183.1813389317664,261688.79390790145,"[0.4436640040900578, 0.1804834233636934, 0.1871041556450117, 0.04073917841098469, 0.14800923849025244]"
21700,558.6063541454887,402821.2419741903,"[0.03499731699916514, 0.08170981929494306, 0.20744027985930238, 0.06486079952545318, 0.6109917843211362]"
44020,509.5212059201375,773559.2220430238,"[0.49020932979540904, 0.06880153229004538, 0.21227219287749372, 0.12228095104119699, 0.10643599399585481]"
37861,524.9652642123018,504008.5843237987,"[0.2626400972912619, 0.0022392479069199634, 0.019957389800480493, 0.5960191622760899, 0.11914410272524782]"
16448,635.7642468521763,653017.0974703997,"[0.035091427044269125, 0.11299010501615186, 0.4762410499143784, 0.21679627186065017, 0.15888114616455043]"
40501,590.4561453500121,371645.7575360604,"[0.055068650256630575, 0.17980860644512012, 0.03793134224001146, 0.28191585544141046, 0.4452755456168274]"
9183,577.0302277449497,912839.5185392848,"[0.027601153351634263, 0.15541022301460358, 0.5310179513239495, 0.0701712044676946, 0.215799467842118]"
20581,670.2108342617814,169570.11225772006,"[0.3002547559884459, 0.23534065538875834, 0.14221077756115855, 0.11310245631647826, 0.2090913547451589]"
20430,233.6941332554522,901212.2980945584,"[0.2697222967515409, 0.11789007155130606, 0.2672280429016635, 0.08101055943447814, 0.26414902936101115]"
29850,269.5159631064484,773367.7508848646,"[0.010669863172454773, 0.31543934760104847, 0.17015576673318916, 0.35244313881670286, 0.1512918836766048]"
44878,96.47053322651952,405488.0860471511,"[0.3236928186921382, 0.16119367722581088, 0.16269907809259923, 0.15458014481362287, 0.19783428117582866]"
27240,933.148641429869,669559.434221705,"[0.002478623881669909, 0.03662686914281229, 0.3500298305298419, 0.4289751361625478, 0.18188954028312804]"
16011,370.8157830400975,266935.8243577908,"[0.44919866029115474, 0.06299569873193202, 0.3866502053882821, 0.07266396802852662, 0.028491467560104546]"
11357,238.1803838297606,283716.15593315184,"[0.06808651022813912, 0.15770802767344852, 0.3206730443677581, 0.4023207384649042, 0.051211679265750085]"
49910,562.7500720770865,997458.8657789011,"[0.08932092018081449, 0.10487344328158273, 0.6203203069944694, 0.16535201741834765, 0.020133312124785804]"
41403,637.681400638046,118756.56172251278,"[0.15478660098595803, 0.030866167995977772, 0.29569335088083126, 0.3366310814025135, 0.18202279873471952]"
9489,958.6912993868276,319517.25464960374,"[0.0812075878993485, 0.10278214657646845, 0.12347745779975869, 0.0794887966098665, 0.6130440111145579]"
40504,45.55994751541614,657894.7584897516,"[0.28197338469537075, 0.21443952698008145, 0.09106916966597096, 0.019930535488866634, 0.3925873831697102]"
39884,998.7401028873744,426846.4438895796,"[0.051384257678815506, 0.11775897303073443, 0.027146410580743047, 0.39236930574918466, 0.41134105296052226]"
26632,412.2557549815147,485253.4918243711,"[0.18646878128487965, 0.011250869527561165, 0.07058225191295146, 0.5216136685780943, 0.21008442869651353]"
21257,192.06161031545048,545287.3131964351,"[0.09411251791041844, 0.2289707050344735, 0.27167162358285113, 0.15643457267324484, 0.24881058079901197]"
49751,833.8414813495507,456979.39155984775,"[0.5086432216407992, 0.004296760429804565, 0.1917706771718022, 0.07056904046050758, 0.22472030029708642]"
22787,506.5080937310616,518513.970065578,"[0.02550913145733266, 0.14152888120428886, 0.3850739948363717, 0.16630886993692856, 0.28157912256507817]"
28686,955.746319441309,407431.274425879,"[0.21522015256887497, 0.08424449999355571, 0.22367097687225068, 0.36197291945181703, 0.11489145111350163]"
22312,546.3111060139653,704324.7335617287,"[0.05900681362245384, 0.04866949637069724, 0.4635451732108907, 0.3611330536858988, 0.06764546311005945]"
47975,941.8232208662696,667065.5234061966,"[0.05769973477596746, 0.04973036810346661, 0.14350785433013985, 0.4084520443438451, 0.34060999844658096]"
3347,925.0773883318154,381754.1504278299,"[0.014872677358472497, 0.38573541695094266, 0.04148828352369579, 0.207904890962331, 0.34999873120455804]"
44980,989.6831933119614,579452.2734842903,"[0.053550425012533646, 0.04835565561572624, 0.10630089804931865, 0.037529084204815724, 0.7542639371176056]"
34864,158.54805206665694,643892.561836035,"[0.2140857735720153, 0.07657536647684593, 0.0776090814034715, 0.2740661756402431, 0.35766360290742427]"
33299,796.1535914927775,596118.0782480376,"[0.6668324371459722, 0.14924067548861417, 0.05696797646488557, 0.09258059969499015, 0.03437831120553792]"
49600,406.9503078808977,573683.0600719154,"[0.002106346189887392, 0.0678722188104545, 0.08588231233053148, 0.6856308042744511, 0.15850831839467527]"
49154,322.1859134800594,428181.7577229856,"[0.014345941888005415, 0.06446568227851797, 0.20346516803797665, 0.3662073119220457, 0.35151589587345433]"
11435,458.1722262695697,684059.4490043202,"[0.24429819397627667, 0.004507415582789127, 0.5239137133998606, 0.06704677904217102, 0.16023389799890245]"
4565,792.0662346073756,313382.7726140912,"[0.28152362236183703, 0.14416314399938374, 0.3696679015611451, 0.1792173138302226, 0.025428018247411508]"
43766,202.25732537331183,624851.8575154938,"[0.06426905822310498, 0.04601716053972385, 0.01219796120504175, 0.0408913808919556, 0.8366244391401738]"
22563,258.7685101982561,497126.5436464514,"[0.2214281518882585, 0.10990910922827621, 0.20072734154524055, 0.2176317505595242, 0.25030364677870043]"
46921,824.365986687699,934702.4012032164,"[0.4659437211849475, 0.09119080281269236, 0.09035267050878495, 0.3154647167548643, 0.037048088738710676]"
16926,175.34707559790036,100319.5208261444,"[0.39634604794366757, 0.04741098009860459, 0.4166532062590749, 0.05834189591799424, 0.0812478697806588]"
23871,148.4908870593802,387057.450042642,"[0.1583091802841419, 0.06318926179565726, 0.2601833622584213, 0.37351285686458197, 0.14480533879719765]"
46788,95.28164143272882,354918.8888550962,"[0.13974354841918576, 0.14161320308237105, 0.13125980688901975, 0.48581601040592154, 0.10156743120350174]"
19692,610.8587570018467,602677.2060742453,"[0.14828482007821436, 0.5134652521711087, 0.10600015847148705, 0.1349292649632, 0.09732050431598978]"
25479,135.2598941009952,702809.0507652881,"[0.4769196071159549, 0.00724836925730313, 0.17736900008563605, 0.015240949656950963, 0.3232220738841548]"
6977,501.9162757874508,724307.4286118207,"[0.2806711964780295, 0.14554718359539423, 0.15631222719756827, 0.3926434744314514, 0.024825918297556714]"
21776,968.2120894435136,762347.001519411,"[0.37166254714182534, 0.02457804102667904, 0.21356396529368862, 0.12448878457718293, 0.26570666196062426]"
