,T,P,zs
48921,25.78653313355797,951168.4518686822,"[0.026951572673996612, 0.745143861977347, 0.2279045653486564]"
17598,569.601302597265,622433.3394033138,"[0.7289653669981433, 0.13176394458608967, 0.139270688415767]"
8429,699.0088124349583,308122.3782608554,"[0.07394360665469867, 0.02719563472252386, 0.8988607586227775]"
48142,527.2632485975682,430864.9197165856,"[0.4917274757669179, 0.1899505019148338, 0.3183220223182483]"
17044,363.9576029865399,702108.3972415337,"[0.5485627798200658, 0.049960420925495026, 0.40147679925443897]"
40935,573.0606912364011,299471.4432071565,"[0.4167643229977353, 0.03719768110593075, 0.546037995896334]"
21582,692.1927749982757,545146.9627963479,"[0.29827557505824476, 0.3875900065737789, 0.31413441836797634]"
37491,53.224526526636325,323831.66851153574,"[0.09846644765059683, 0.6566195007996238, 0.24491405154977935]"
37626,481.8322257180777,746834.6058771763,"[0.7217688596374839, 0.09298106496140768, 0.1852500754011084]"
39763,60.15918726374139,806109.9000592512,"[0.09380276031890857, 0.019899722591952353, 0.886297517089139]"
21529,858.1117821209309,925185.3542142496,"[0.2637081024269414, 0.1557254598753435, 0.5805664376977151]"
1043,509.852057679326,454678.981373894,"[0.4410594400386332, 0.09772834425138634, 0.4612122157099805]"
37396,60.68661593177534,600356.5864661192,"[0.49376288741966234, 0.36725841357252115, 0.13897869900781643]"
26013,301.6050514936244,391292.42130914313,"[0.31162646522860704, 0.04931880815179969, 0.6390547266195933]"
42029,221.9708405588176,975266.3774508104,"[0.3253119298769999, 0.4845420319937903, 0.19014603812920972]"
44483,751.8260077898292,934414.782751071,"[0.32649015184792446, 0.6521960742855843, 0.021313773866491345]"
37555,214.5382662835347,727373.6943583175,"[0.20347564549380387, 0.008496878970769508, 0.7880274755354265]"
20005,945.523635812606,406734.6254851014,"[0.05370948630937948, 0.8072806243252173, 0.1390098893654033]"
5127,833.6538307830527,352037.7592716933,"[0.32269171849079853, 0.09527906223695079, 0.5820292192722508]"
20615,209.85968956619732,305100.3706818996,"[0.527612095833635, 0.17452762246991818, 0.29786028169644657]"
41307,358.8878577160962,661621.1249352135,"[0.4032824833465055, 0.08517004225152532, 0.5115474744019692]"
35478,174.58724768750275,905837.1388703446,"[0.0684294101004069, 0.7844149144875467, 0.14715567541204627]"
36520,540.0874551543379,280827.0639134399,"[0.7647183258299566, 0.08742733766225899, 0.14785433650778435]"
39371,236.8284449805947,226889.61617495312,"[0.5593220933375477, 0.1928377493323006, 0.2478401573301518]"
11986,82.76685075314319,867406.922567079,"[0.3305867770810471, 0.41638519945315133, 0.25302802346580155]"
23272,647.3018217893039,214114.16183757552,"[0.011648730931566174, 0.430416399485458, 0.5579348695829758]"
25955,444.5842605930181,838462.8348206175,"[0.24233792738643944, 0.08188676940668163, 0.6757753032068791]"
16024,194.10602662333275,594851.3708460701,"[0.47198550336822365, 0.33606466373682214, 0.19194983289495415]"
2905,194.89904520268632,255741.0577949244,"[0.3481659570178445, 0.08499611579996408, 0.5668379271821915]"
15492,27.526248620622297,376808.4092248307,"[0.28339284355141425, 0.27328966794667386, 0.443317488501912]"
12797,344.6043139480746,634486.1605821216,"[0.5530040527241836, 0.08314431607574052, 0.36385163120007596]"
36150,893.9302377551975,703208.7675551735,"[0.8201656334313047, 0.13470251871778274, 0.045131847850912586]"
46325,926.6546972773366,737417.9060391168,"[0.7071753677599213, 0.06720416282383083, 0.22562046941624786]"
4293,457.5971917787652,765865.7642207912,"[0.368029468155145, 0.432832315164646, 0.19913821668020917]"
33262,541.8711009831874,824347.1207719321,"[0.006941867663416924, 0.7569502707202866, 0.23610786161629643]"
11303,85.1993853872111,626358.2691775651,"[0.4558594429673957, 0.350223615513196, 0.19391694151940828]"
46525,485.96892098391146,167328.27725392446,"[0.4961900511834969, 0.32750549388987, 0.17630445492663308]"
41121,631.1228107394256,846797.3259407604,"[0.5050867899229454, 0.4008268582168853, 0.09408635186016928]"
49647,168.3883227606772,819076.0032848842,"[0.13789642173198258, 0.14385124926564197, 0.7182523290023753]"
16427,282.0870451327644,970400.9811975964,"[0.00498389137044744, 0.5004964259632796, 0.4945196826662729]"
3444,610.4932342683535,678103.7567535993,"[0.6139267301802269, 0.10577260240072371, 0.28030066741904935]"
43009,324.51107753558546,415844.9750673957,"[0.2355487145234491, 0.16529686582360872, 0.5991544196529422]"
28287,171.56806049859406,412055.82152895554,"[0.16693055738722198, 0.28237911910526137, 0.5506903235075167]"
34503,474.0968151653731,430447.429554317,"[0.2862312928435229, 0.18042537702603959, 0.5333433301304374]"
25559,401.2707574513731,533722.3912124336,"[0.33786024141804843, 0.11026361186620018, 0.5518761467157515]"
37597,871.379448454277,459998.4936718546,"[0.44808199690542616, 0.012574904362893831, 0.53934309873168]"
6216,408.9445410473777,789708.159225423,"[0.23426452490935254, 0.1950137296952754, 0.5707217453953721]"
39457,546.5314466228431,528345.9803997763,"[0.2100237813787718, 0.021006081903246793, 0.7689701367179814]"
2643,337.7908686193644,319517.06069528766,"[0.42466745718665755, 0.024031419897026427, 0.5513011229163159]"
34087,905.727636307317,528659.0424520504,"[0.8100624375037685, 0.18499683219243937, 0.004940730303792107]"
37944,587.7265311923267,613066.062090154,"[0.06640438061768116, 0.6500236456945341, 0.28357197368778475]"
43557,334.8140017777544,741335.1061228159,"[0.25716993143936673, 0.1395448704538221, 0.6032851981068112]"
40904,804.3724056316519,866145.8882317827,"[0.13121978154563949, 0.25276294960381324, 0.6160172688505472]"
23475,527.1450585191918,247079.59619406363,"[0.4128994850409069, 0.5321726843405951, 0.054927830618498034]"
41449,882.6535292283369,443209.0271902323,"[0.5355298766563178, 0.3097640868936857, 0.1547060364499964]"
7140,20.51123453259212,255809.1085350515,"[0.397868436500294, 0.491407538031325, 0.11072402546838099]"
2953,236.46717240363844,965405.3863797508,"[0.7140581210675974, 0.05759537699781434, 0.22834650193458833]"
41013,291.07323777427894,505983.22056649,"[0.25841589307933704, 0.25188086386320574, 0.4897032430574572]"
48674,782.8934385783758,472793.8166148807,"[0.6271845097133523, 0.30891243999714296, 0.06390305028950478]"
38887,182.00310889739507,495148.9878494714,"[0.40605322982789416, 0.2730197225391761, 0.3209270476329298]"
30486,177.5585516247812,258897.5489344973,"[0.16057228124866943, 0.4292599210444404, 0.4101677977068902]"
45993,27.62208517433823,202033.0798982829,"[0.008249724610723212, 0.4132741486958366, 0.5784761266934401]"
