,T,P,zs
38571,165.44570092434537,188795.98313512967,"[0.2213238368680655, 0.5616069728677747, 0.21706919026415977]"
44045,675.6295732248567,379946.0211084862,"[0.6654998374779318, 0.22918080297842666, 0.10531935954364151]"
25380,51.53028242930863,396984.06125673937,"[0.3693832946171123, 0.18172401431330645, 0.4488926910695812]"
41637,719.0042881932952,119991.54014955917,"[0.19436741230506682, 0.15459287283064646, 0.6510397148642867]"
30788,961.9734158357344,721602.557114429,"[0.4564263655575468, 0.38663785034014014, 0.15693578410231296]"
23461,207.58962379906453,529693.8000678192,"[0.7744307351816563, 0.10436174169206947, 0.12120752312627425]"
17436,78.36240558370123,192819.28822192148,"[0.5432215594012887, 0.20775438878489813, 0.2490240518138132]"
27368,604.497149403123,891431.2321332598,"[0.12804521851167383, 0.3570947387366298, 0.5148600427516965]"
13311,598.9730431225166,398643.45164599066,"[0.17771400933190384, 0.21500762563678188, 0.6072783650313143]"
2212,748.2347473998921,810088.2041651695,"[0.8533857373723271, 0.12141413146817523, 0.025200131159497537]"
13562,823.1473497870144,553589.7322108825,"[0.17913045898453084, 0.3115062475497746, 0.5093632934656946]"
8507,846.7038604675,731224.0429751278,"[0.8557867846249689, 0.1088514888779276, 0.03536172649710345]"
3452,635.5812514242131,257990.7774819437,"[0.0751199033055739, 0.522985249812515, 0.40189484688191085]"
2357,803.3439840304866,980517.29927748,"[0.3388602775101219, 0.2244103480660182, 0.43672937442386]"
1287,346.45117588643654,539778.4855490072,"[0.038411267747325846, 0.16598651132190906, 0.7956022209307652]"
19748,837.7720266262874,541328.0187664087,"[0.5747253101706471, 0.3569595323177395, 0.06831515751161336]"
2503,916.5271660657831,900824.0178270122,"[0.07422241569501307, 0.31330872943908145, 0.6124688548659055]"
19299,175.3466993009249,796941.0799935252,"[0.2057865769169026, 0.007603124637987102, 0.7866102984451102]"
2738,556.9140698315916,151531.16874693928,"[0.29714226760624585, 0.330029389462715, 0.3728283429310392]"
36762,425.929422633155,128578.14910658955,"[0.3980949709490426, 0.553426170643687, 0.04847885840727032]"
24714,753.1141619980106,291418.36747373786,"[0.8026209382768772, 0.11500114803440462, 0.08237791368871829]"
37936,430.6928893816615,345212.13695054257,"[0.04073139315029661, 0.6759626102123285, 0.2833059966373749]"
33766,835.4173799600059,891178.8991447192,"[0.15673559704961557, 0.6020603016474433, 0.241204101302941]"
3802,115.52585750796074,492869.15793732327,"[0.05158759157217026, 0.15043338398814307, 0.7979790244396867]"
25056,76.40282949092163,281095.7723508023,"[0.4473797715173045, 0.17694589502545038, 0.3756743334572451]"
41111,54.19487663400845,831163.5098983513,"[0.2390862797488384, 0.4008797213655117, 0.36003399888564996]"
1404,888.351928021689,161710.5843571305,"[0.7036409825510394, 0.22063413289418837, 0.07572488455477233]"
17778,253.5422218609658,496527.4736981071,"[0.1664641859394855, 0.8076853455612124, 0.02585046849930203]"
23161,127.5485346637202,897082.2417943167,"[0.40614617227432354, 0.005654241200356862, 0.5881995865253195]"
45453,938.9319748460688,954810.4420527036,"[0.6794519466146738, 0.007729504479849183, 0.3128185489054771]"
12585,788.2146710881412,269056.19727836386,"[0.1011843036190035, 0.17610378865235043, 0.722711907728646]"
