,T,P,zs
0,925.0442199170051,125087.13766883411,"[0.26597640934492106, 0.09846087240389477, 0.3292143705078099, 0.022760876723034465, 0.12086927953420162, 0.16271819148613828]"
1,357.36412970276183,844814.6075790102,"[0.007984020674562506, 0.08355019184988531, 0.09000450472312162, 0.6144347575840283, 0.017310562405864864, 0.18671596276253738]"
2,891.8976272187133,507848.17652185756,"[0.17902781644301968, 0.1789761725575048, 0.25431445838621464, 0.2288878686435207, 0.15034242652470742, 0.008451257445032691]"
3,22.67392321940963,905158.3582651793,"[0.10696075718572963, 0.10451544609557595, 0.2121796470900652, 0.23469369943006788, 0.07716531673849744, 0.2644851334600639]"
4,953.9231030636022,812511.243588707,"[0.19396777031556217, 0.053280759994958, 0.1777030028494899, 0.27296069846291815, 0.042107418946450814, 0.25998034943062104]"
5,601.92974562874,543117.4735257097,"[0.20763736360043, 0.46058728824990497, 0.2368586577348644, 0.0384290543460232, 0.04711438138018421, 0.009373254688593185]"
6,725.4814994637042,783515.9820716509,"[0.22890889681025656, 0.19142416235405993, 0.07095239114388911, 0.05268809175747352, 0.20499218721532678, 0.2510342707189941]"
7,244.10251330050193,251183.90191343165,"[0.15115965614930854, 0.007378054469624332, 0.1491769213123546, 0.0946680629727145, 0.09821098016631058, 0.4994063249296875]"
8,88.31635911929168,502289.0354518195,"[0.03024760407211711, 0.050349077913782236, 0.22172849125620164, 0.4191600487234878, 0.003806926474595788, 0.27470785155981536]"
9,986.1245998416938,219437.7055477439,"[0.3763190009765884, 0.41481431629860577, 0.07877244828555456, 0.0630791339476707, 0.058406718811599916, 0.008608381679980967]"
10,811.3675452334639,335246.10716162657,"[0.16086376832727145, 0.4543852523795778, 0.08252650251326307, 0.016944190259221628, 0.22131515407129804, 0.06396513244936806]"
11,34.17741042801288,327055.3557195171,"[0.1807439931189966, 0.06490644637076379, 0.22322754366116832, 0.19549897609202474, 0.12359415769571894, 0.21202888306132764]"
12,823.820361380045,204398.66534499067,"[0.33061650162458844, 0.008171289757819394, 0.03839940048447773, 0.2423428270405769, 0.22871267579498597, 0.1517573052975516]"
13,920.1052025071283,687713.3890715276,"[0.259346314881182, 0.11018320980012347, 0.039545336935414684, 0.30289063551944395, 0.11547731040599686, 0.17255719245783904]"
14,836.1470303129746,855005.7847330723,"[0.22101621374136568, 0.2400297233082141, 0.268593971460231, 0.0986431074239406, 0.01752015215735668, 0.15419683190889205]"
15,11.030603833807188,991833.0203493384,"[0.17761528708490792, 0.08294467185212717, 0.18526637295936924, 0.4872933903807732, 0.06043060585361153, 0.00644967186921105]"
16,355.40829515488696,303787.7998236966,"[0.06108822850927089, 0.06873194840884313, 0.2446098457424103, 0.2812062442851044, 0.2230446511214822, 0.1213190819328891]"
17,589.0780440886366,764119.0956796475,"[0.07218612130973474, 0.07502679883797955, 0.16428872025707447, 0.1190123791360983, 0.3323134835316172, 0.23717249692749576]"
18,617.5204384020136,669625.6791062235,"[0.15366414217845395, 0.21179777632229663, 0.1661049620516903, 0.2007863372813265, 0.031324454250302065, 0.23632232791593052]"
19,746.6568910544976,246762.31229816965,"[0.009867687431437913, 0.264264754763937, 0.04130387454160863, 0.12712898633958464, 0.4468792072059502, 0.11055548971748151]"
20,750.2267430484684,161268.0262863395,"[0.2252985948107441, 0.019882382490338232, 0.17479037968530425, 0.26211929177457877, 0.10128504495423775, 0.21662430628479673]"
21,168.15455217988853,386823.4253068092,"[0.5481467124894651, 0.020388242124905004, 0.18323987144632803, 0.06752922161368129, 0.13033316375028067, 0.050362788575340045]"
22,676.9247267463749,682668.9792024092,"[0.13612863764974667, 0.23043831231024212, 0.013733629304226641, 0.31077559156160167, 0.1620618611201567, 0.14686196805402618]"
23,272.1152069025898,737324.4487555576,"[0.25835268376024223, 0.03857938392791996, 0.35710614232923166, 0.04657151338870118, 0.1453998338802294, 0.1539904427136756]"
24,965.2513678436475,576110.5445604805,"[0.27130827638145094, 0.326844181443726, 0.06366476415945622, 0.12938138663404117, 0.1802548966817287, 0.028546494699596987]"
25,703.2538870646277,767311.3455804152,"[0.039451775578056944, 0.23718249033223662, 0.2735122738499007, 0.017232384755252902, 0.30036857182604254, 0.13225250365851043]"
26,715.1165862133324,307241.3818004481,"[0.06652188469082777, 0.07984061283803004, 0.03848723145188547, 0.046899990311221204, 0.3471548462682814, 0.42109543443975406]"
27,119.51815869150377,658004.0457778772,"[0.270388187100165, 0.1063500734579578, 0.10636086596765282, 0.1922326902442301, 0.05656991668180697, 0.2680982665481874]"
28,114.69974933477593,335917.3196243184,"[0.15321371432763706, 0.19563786014328596, 0.21609290054756064, 0.37988537906362757, 0.03914604055199373, 0.01602410536589501]"
29,819.0888385731472,775517.3557722034,"[0.09035702815594807, 0.33233201448545574, 0.12668365527815162, 0.186107156770606, 0.24307900017208872, 0.021441145137749907]"
30,130.34266031627783,659060.2761670754,"[0.1614780412215775, 0.38597072841123387, 0.18464573688991961, 0.0004551784086034005, 0.0028897327979371186, 0.2645605822707285]"
31,261.940188235322,876368.3132269476,"[0.02490660036419092, 0.0015947421122217338, 0.11528893403234274, 0.19063934271602734, 0.2654446593988101, 0.4021257213764073]"
32,224.0443113155302,663942.1411016438,"[0.007360236046192612, 0.05573016434460367, 0.23094185080333365, 0.16445652978225805, 0.002078345479936588, 0.5394328735436755]"
33,604.0338245768144,286894.9578395877,"[0.21138955323462544, 0.1307888721566747, 0.30536521115495374, 0.3196625590404134, 0.006706234964652397, 0.02608756944868043]"
34,883.5151035958885,465845.5623478596,"[0.5556962761299968, 0.018759766796088966, 0.22634051119222925, 0.06597154539469789, 0.05343907073802993, 0.07979282974895704]"
35,480.4081753886924,250873.28866503626,"[0.28448844259909345, 0.117215320019519, 0.09617944650816018, 0.0672255744856526, 0.355574570434145, 0.07931664595342977]"
36,506.85267145698504,929226.637557496,"[0.10308143449904128, 0.2170238697595683, 0.015718564078728826, 0.072883744114342, 0.4504839361551807, 0.14080845139313894]"
37,272.3064692984213,429872.1183281523,"[0.15116675586299885, 0.0172272552112591, 0.03580979902970393, 0.25049261494746966, 0.5101519190829423, 0.035151655865626304]"
38,192.2573757423423,707249.9496026018,"[0.15080051677300746, 0.18870860437101922, 0.3322194561203938, 0.15217103535952026, 0.0077933258241300665, 0.16830706155192918]"
39,230.86246337295128,229641.4506579936,"[0.16511564436572368, 0.03286473777761722, 0.10763048680403177, 0.1438516071308482, 0.3132653448102189, 0.23727217911156026]"
40,996.5903206206522,384632.32317270676,"[0.15012475884649332, 0.26265155537795837, 0.0628128114125669, 0.0009933156114255905, 0.4380397698117144, 0.08537778893984144]"
41,185.56752033142277,545221.9667792525,"[0.35157343549230496, 0.14961602267965515, 0.003852990459265577, 0.23888133152704888, 0.12018316383410264, 0.1358930560076229]"
42,60.012275394184854,867123.6700340586,"[0.09624684679077085, 0.049134414746760884, 0.28207963288367627, 0.3085534851820414, 0.201136004871855, 0.06284961552489544]"
43,759.8312779857561,928175.9146508351,"[0.48718535900739246, 0.005564047896317018, 0.10975971191899124, 0.2579458872111079, 0.02201188323549288, 0.1175331107306984]"
44,118.15141098223148,635064.6068896884,"[0.182553664237091, 0.1196123320451193, 0.0064159978296637376, 0.24439351351718724, 0.3929415750130788, 0.054082917357859896]"
45,187.47734532153365,630742.0222576523,"[0.19709146176067607, 0.20135510829157457, 0.26517870589190623, 0.20967598678940422, 0.10138711324619484, 0.025311624020244068]"
46,962.8109700813685,331186.6484758262,"[0.3470592521015036, 0.2087563929706445, 0.2652730434544519, 0.03134708854596499, 0.13924170719740103, 0.008322515730033958]"
47,726.6366689343006,120901.43982396589,"[0.144636920180216, 0.009303867724500101, 0.24186378989559051, 0.46085678674680547, 0.1312460440935625, 0.012092591359325498]"
48,474.01290695034953,610488.8571804806,"[0.11858795523263167, 0.07573962070573677, 0.08011476525793165, 0.2088246061658371, 0.041725124857879374, 0.4750079277799833]"
49,97.52676184275072,834103.4522958029,"[0.34697048311816503, 0.38003472776604413, 0.025343632568635966, 0.08689496765334895, 0.06664963790704957, 0.0941065509867562]"
50,963.0835373682735,577275.9432429466,"[0.4015340229653695, 0.07554030022466814, 0.2376632763277045, 0.028444422694452666, 0.1509881363117748, 0.10582984147603032]"
51,132.5761110214973,796507.2345254075,"[0.0696542269694774, 0.23036923141347718, 0.14019427392341854, 0.21013839825228622, 0.2711113751711832, 0.07853249427015739]"
52,923.2754055704229,240941.4506336398,"[0.22134246028237356, 0.4232629749182798, 0.03832307030185056, 0.08885948886211177, 0.01867465881051291, 0.20953734682487138]"
53,941.1683617392689,733381.4057606579,"[0.278001044085691, 0.24485382494961602, 0.12248946833074274, 0.13639694496468177, 0.08333401994063257, 0.13492469772863583]"
54,693.672396320067,978746.9593833808,"[0.310594449501948, 0.40325647711566664, 0.05055970379945614, 0.015837179837688405, 0.20061401909269785, 0.01913817065254308]"
55,945.5397342318573,968279.9738920887,"[0.07020435326017609, 0.20695162061570055, 0.0767750779775179, 0.240060456909443, 0.09894466899379989, 0.3070638222433624]"
56,935.9375015452596,400616.1278040875,"[0.39956401151215243, 0.08229153783620567, 0.05086677347206582, 0.26816548345948094, 0.16139351515828457, 0.037718678561810624]"
57,200.98272738966006,587145.0539889187,"[0.020635301841912954, 0.17190357381008992, 0.3211794196105598, 0.10056431048942985, 0.09520474299746433, 0.29051265125054304]"
58,950.1107084089285,264912.1981573028,"[0.10125832307818879, 0.04319947106695687, 0.31136372087200426, 0.2328129413677163, 0.26506097519343597, 0.046304568421697806]"
59,379.1686181571601,113465.38575921395,"[0.3126802304874306, 0.08264792881650729, 0.28190813648020224, 0.13180743928896382, 0.009713778280190146, 0.1812424866467059]"
60,874.387209578079,518308.026232593,"[0.7184520628491424, 0.05597276780041912, 0.008375083746993174, 0.004023372675385072, 0.1080367564096469, 0.1051399565184133]"
61,427.5378007719168,364039.5658256818,"[0.06071088598788087, 0.22203497172407652, 0.22288572859920064, 0.4455365454017668, 0.04238466447606099, 0.006447203811014398]"
62,86.98065485931568,372433.84137729113,"[0.24996307763292708, 0.15408114001521783, 0.3496746578862303, 0.038036783317812725, 0.17336522178523567, 0.03487911936257634]"
63,750.3235931764378,328274.7133779831,"[0.30298576624618906, 0.318374792746475, 0.14734910416037555, 0.04215828629878976, 0.05629136783582061, 0.1328406827123499]"
64,549.5470061566086,923271.078741795,"[0.042606283200825476, 0.051265670369608836, 0.19296190412174838, 0.12296597941783746, 0.29626580102704064, 0.293934361862939]"
65,86.41219996220438,651175.9841364926,"[0.4426175696051062, 0.011825575590328923, 0.026686563513779744, 0.26436841056522326, 0.0032881102085261364, 0.251213770517036]"
66,997.7607523067987,754837.273288106,"[0.11241779932393763, 0.3135732078486179, 0.15388368788531837, 0.022355592457519318, 0.2793108836472797, 0.11845882883732727]"
67,589.256878065053,703000.5121382154,"[0.15526227006034013, 0.27459681086054366, 0.15568539711680454, 0.054467168478670044, 0.35862954291620386, 0.0013588105674377062]"
68,761.5477937942945,977107.9874699294,"[0.16039635342856123, 0.12361768254568083, 0.2918330598917163, 0.20985020809576393, 0.012790783725912303, 0.2015119123123654]"
69,319.25235749934654,662879.162299082,"[0.1539906543308683, 0.25296387202935094, 0.16646705314160992, 0.31351920857741894, 0.09464096380498432, 0.01841824811576758]"
70,522.9141143440294,642452.1541494353,"[0.27555504701711026, 0.015752738206857693, 0.02450864637695497, 0.28680402928479704, 0.3494358324891894, 0.04794370662509079]"
71,375.55863893767275,128200.5817444491,"[0.0813767488322698, 0.006709749736825772, 0.8188076976731623, 0.007211293192295503, 0.07674534055152359, 0.009149170013923187]"
72,870.1981513098282,297082.4153858103,"[0.010436843242226188, 0.04972264655699401, 0.3598719626840939, 0.06589909983188552, 0.22654165632795628, 0.2875277913568443]"
73,621.5093431206521,825665.5890368028,"[0.21116277305159017, 0.3568237745578907, 0.0682547924980665, 0.10607812536593221, 0.07219366353111625, 0.1854868709954041]"
74,590.6184744443174,354325.5601270575,"[0.2923733182274464, 0.007520650505934822, 0.2496248821675316, 0.0008071345942838395, 0.18604834585130425, 0.263625668653499]"
75,864.3403036740183,472738.58396921924,"[0.06037856575612138, 0.2182308493067095, 0.07851632125259904, 0.07465209898230386, 0.3541128156760881, 0.21410934902617818]"
76,104.31554154268416,374083.5563798669,"[0.03252682933162254, 0.003795051322861663, 0.09764800125726099, 0.20342181807506768, 0.10700244927573065, 0.5556058507374565]"
77,989.7605823404052,152442.2385222224,"[0.20335135923777697, 0.20025723832039413, 0.2608935035901332, 0.22022713147656914, 0.10372222340915824, 0.011548543965968326]"
78,474.1233467848892,161724.7440511072,"[0.19436582976156827, 0.2704518618991924, 0.20967947285368238, 0.2285083979196212, 0.09374025408811978, 0.003254183477815974]"
79,607.6626324529595,612324.414497213,"[0.1366800492089122, 0.017795965298516372, 0.04628516836412445, 0.005620878386394552, 0.29519030497297105, 0.4984276337690812]"
80,861.8916157269188,260765.49412379623,"[0.41906179962101797, 0.34539519031315813, 0.20018317589283532, 0.005529728653240158, 0.015407285378022034, 0.014422820141726286]"
81,893.5516775007189,862644.6469845059,"[0.6540723744694229, 0.030003192852331818, 0.0019599237831948225, 0.05328248090397536, 0.2108364352413243, 0.04984559274975099]"
82,894.8592242238686,991939.1985020573,"[0.007860606443201117, 0.006818020168533327, 0.1733854287518729, 0.12283225387954255, 0.5447752037019371, 0.1443284870549129]"
83,271.87991097508706,582524.1788734673,"[0.11132260939449624, 0.045257610682156245, 0.09081333633396026, 0.43543033095298195, 0.05112270611930208, 0.2660534065171031]"
84,391.99579927508887,220550.1573230076,"[0.05114695415919433, 0.15366341480822224, 0.037092589954312694, 0.3129005861381167, 0.2333948227605707, 0.21180163217958342]"
85,499.566533905506,317050.8731581515,"[0.2551288049364546, 0.2571262610678165, 0.20380719853534457, 0.039237253220617364, 0.0847462398314583, 0.15995424240830863]"
86,405.8453372429569,489642.04219817504,"[0.4021840857940132, 0.08945053348225977, 0.00568995044428177, 0.07839042211186897, 0.1371915465347764, 0.2870934616327997]"
87,883.6599065563809,250396.615214627,"[0.055919076301179316, 0.03769266816198709, 0.8046270111206897, 0.09299951284926336, 0.0035808218824987573, 0.00518090968438187]"
