,T,P,zs
0,137.98015671469125,296695.1051866119,[1.0]
1,102.28958737312611,299806.90210117516,[1.0]
2,521.1920302713828,643246.7561974075,[1.0]
3,780.8563281994744,200330.0046837607,[1.0]
4,485.9112690016403,642224.6376566129,[1.0]
5,549.2751005213975,185133.4428140917,[1.0]
6,115.90935751731877,792025.6690667307,[0.9999999999999999]
7,966.8804783975438,353652.49429384957,[1.0]
8,794.0272313476834,350915.7620263222,[1.0]
9,119.18082650726164,910933.5400521369,[0.9999999999999999]
10,735.4777789944994,821986.1817987256,[1.0]
11,800.1782190915255,657149.7924527288,[1.0]
12,892.3582825310745,234388.28699155783,[1.0]
13,164.68288121278596,499565.4314246591,[1.0]
14,335.3478263302446,611639.239768532,[1.0]
15,578.2130076352903,227797.85186920507,[1.0]
16,278.0055134125217,235806.90604374182,[1.0]
17,921.6050537773211,143863.16742400103,[1.0]
18,100.21241658308824,933373.190096369,[1.0]
19,849.4966496256421,957382.5684268789,[1.0]
20,589.1157514678548,941113.4119977284,[0.9999999999999999]
21,165.98590593532882,403761.10436744685,[1.0]
22,884.3535853729705,421862.7510559517,[1.0]
23,417.3377039043991,488653.1568539614,[1.0]
24,676.6988535701068,978802.0466710466,[1.0]
25,768.4538515988778,888914.1338237242,[1.0]
26,324.5833866745305,709560.702356428,[0.9999999999999999]
27,824.935845028559,557273.8277944997,[1.0]
28,680.7772574871161,871955.2580579107,[1.0]
29,128.42963358473128,935624.5271812016,[1.0]
30,707.9706071346008,798052.3252570739,[1.0]
31,915.857519988345,823035.5662312781,[1.0]
32,711.2555319903631,680483.3901997908,[1.0]
33,943.4667681309019,703343.8807435211,[1.0]
34,497.755900334453,866497.8243199027,[1.0]
35,384.2526136278822,111174.27106131306,[1.0]
36,638.7121648417939,468292.00831338885,[1.0]
37,962.8635607942916,280921.1082262054,[0.9999999999999999]
38,78.61071350196357,451530.1418613256,[1.0]
39,587.2532660568053,696492.8865439987,[1.0]
40,379.3387475615348,278325.74391224165,[1.0]
41,76.42419496138872,345886.3612457206,[1.0]
42,337.9853197083589,946099.008178283,[1.0]
43,493.46264609827915,467652.1563699341,[1.0]
44,727.152191267563,772960.0875607413,[1.0]
45,946.3664279574158,852492.685120206,[1.0]
46,737.9751265436955,491543.37476955133,[1.0]
47,903.2747703217461,817780.0431090717,[1.0]
48,213.0687056066952,448211.38216517796,[1.0]
49,395.39104836377305,358334.95965796197,[1.0]
50,685.4026968440555,985719.2232173482,[1.0]
51,53.19127231621731,710994.5833098794,[0.9999999999999999]
52,354.4628802613905,869107.5798921512,[1.0]
53,132.6971747261872,923430.6386338017,[1.0]
54,465.1071524059687,222933.37627592793,[1.0]
55,581.8160985106979,225105.6204738969,[1.0]
56,166.33633984734567,274430.05731264286,[1.0]
57,791.565422509477,550148.0526860817,[1.0]
58,899.2727926891315,778624.9246549365,[1.0]
59,515.3566167615136,399682.6473247793,[0.9999999999999999]
60,448.6726647835617,665475.1764849254,[1.0]
61,853.0568009843062,303851.9811066579,[1.0]
62,322.86427389453706,352124.1536245516,[0.9999999999999999]
63,907.1457576606372,687993.4413731227,[1.0]
64,638.5672843307343,144433.3262172895,[1.0]
65,725.9500994352095,546114.2996231063,[1.0]
66,509.8608642909363,340244.3207220055,[1.0]
67,574.6062710833334,301224.51870324183,[1.0]
68,661.4496994004563,314953.45566954964,[1.0]
69,657.8983522896219,269732.72669621825,[1.0]
70,365.59508722268333,136081.35191735922,[0.9999999999999999]
71,362.04035195919107,745566.9822287868,[1.0]
72,171.0640745716023,339395.28185568925,[1.0]
73,747.7312115867339,144958.43545732935,[1.0]
74,855.8576116541877,780179.8200271297,[1.0]
75,217.66577971835198,323112.3485797274,[1.0]
76,906.6251921677815,879290.7627445234,[1.0]
77,598.0627663019774,565339.9434829564,[1.0]
78,749.0591691016829,919619.122924394,[1.0]
79,211.82818503825595,802077.5854579414,[1.0]
80,717.4548824426943,242230.59647581336,[1.0]
81,850.9639159419323,157539.88757387805,[1.0]
82,188.88738113788384,720024.2158827763,[1.0]
83,297.75652445334555,805087.3331409796,[1.0]
84,625.0397960619698,928963.4691869954,[1.0]
85,143.7100332899282,116544.724915752,[1.0]
86,952.6310475466208,773085.9060808669,[1.0]
87,983.7369024243533,784861.2390042789,[1.0]
88,999.3885107489536,440210.17622941703,[1.0]
89,888.4531928963672,589350.6335331823,[1.0]
90,529.5973331196138,205449.9105545817,[1.0]
91,715.022274580958,472521.55083950533,[0.9999999999999999]
92,364.08615707550723,558360.24645197,[1.0]
93,117.53673301363027,830156.5674587464,[1.0]
94,426.73159455702745,348676.25595831696,[1.0]
95,106.3619361144234,705840.8797476651,[1.0]
96,748.1010988822396,732822.016307394,[1.0]
97,139.9298360033357,495894.0516936873,[1.0]
98,383.0798883811378,405906.83831888996,[1.0]
99,430.3825396366179,608661.5341749471,[1.0]
100,499.8890558072525,910480.1079310015,[1.0]
101,708.3828611308285,602371.8341776617,[1.0]
102,996.6625476315336,584072.8838891956,[1.0]
103,639.648568501821,737608.494721734,[0.9999999999999999]
104,735.6624283330808,349367.64950351615,[1.0]
105,855.2212400297176,844371.8351555532,[1.0]
106,343.5725771984266,634190.9003098463,[1.0]
107,793.9682387241503,845567.862578935,[1.0]
108,791.8764644979965,836789.7447633519,[1.0]
109,989.0158335350951,364099.1422142831,[1.0]
110,579.2024333704678,262886.7040568454,[1.0]
111,793.8765344371466,975465.0852683972,[0.9999999999999999]
112,706.1719639805361,468763.59284777264,[1.0]
113,813.6310408034839,580144.7176921741,[0.9999999999999999]
114,321.29467592567005,281726.1206531954,[1.0]
115,224.03359584860144,212399.3015820288,[0.9999999999999999]
116,714.3439714229122,211265.1389212646,[1.0]
117,68.401216199263,208645.4582327371,[1.0]
118,844.3007214071451,581680.766121357,[1.0]
119,86.74905540837054,397097.5134958872,[1.0]
120,795.1049482493137,581493.3922607213,[1.0]
121,665.2107622773792,491310.6612032123,[1.0]
122,97.52335470571418,868911.7273079901,[1.0]
123,268.04586917850287,959729.4378663071,[1.0]
124,250.15550525065646,217046.83538967554,[1.0]
125,486.8876870733596,856193.281108542,[1.0]
126,259.88624368564695,908753.7099854469,[1.0]
127,331.09100632605976,297194.5131041136,[1.0]
128,204.11719090567726,550941.6548669328,[1.0]
129,537.776066813919,256353.77677976512,[1.0]
130,19.01859101839475,855113.0921552917,[1.0]
131,358.3733158165846,220785.20738952357,[1.0]
132,960.8809701566831,232543.70797070177,[1.0]
133,200.68766103778037,295150.1698049308,[1.0]
134,149.86185974762856,762366.8761352764,[1.0]
135,969.9882534936685,758692.2342310656,[1.0]
136,651.7683249277889,860389.4549405309,[1.0]
137,179.74786222139366,652017.3935483393,[1.0]
138,755.7510023658551,598872.7967256985,[1.0]
139,944.9571121751202,356943.5631805841,[1.0]
140,515.7409748420584,802961.3644389065,[1.0]
141,376.9150184259726,416013.4369174803,[1.0]
142,25.582467132083266,793883.7741468707,[1.0]
143,858.3412483354996,946604.5589938066,[1.0]
144,296.51812567359815,656417.3857919435,[0.9999999999999999]
145,975.8411920791572,731013.2983243971,[1.0]
146,217.43740924241305,244736.0522332232,[0.9999999999999999]
147,919.7949307703911,521896.6274128477,[1.0]
148,765.8739853180165,747845.2609112583,[1.0]
149,891.0606205259639,668972.0842056248,[1.0]
150,188.40513577279464,426094.6103162491,[1.0]
151,118.89215730938588,817937.3474393814,[0.9999999999999999]
152,878.7122315945152,186861.27772091917,[1.0]
153,927.0110502568754,684035.3279347759,[1.0]
154,956.5355943781741,501301.967358238,[1.0]
155,894.1197528202506,151385.23295117315,[1.0]
156,948.7491302970052,119653.1402217018,[1.0]
157,655.3176236477533,612066.4188697939,[1.0]
158,445.5402171288852,847270.426613969,[1.0]
159,238.81424747857815,225862.40999551525,[1.0]
160,651.944651979033,751888.0564417964,[1.0]
161,415.43208504903856,416573.1890328461,[1.0]
162,543.561488511935,989966.5791300604,[1.0]
163,361.78239092142894,907665.2290135211,[1.0]
164,273.0935067158654,720364.37105077,[1.0]
165,432.04268662604704,749063.3429700122,[1.0]
166,925.067985608003,428196.39607051515,[1.0]
167,651.2669421798466,258411.00595994454,[1.0]
168,437.4884209477996,104461.44353724708,[1.0]
169,430.73870409055525,512520.97852529056,[1.0]
170,487.62722172484115,965467.3840136941,[1.0]
171,132.47713118369091,740511.8512377501,[1.0]
172,935.087954093193,453072.1534601616,[1.0]
173,88.53113869079871,881933.1956748482,[1.0]
174,928.6981979142939,786866.8663856955,[1.0]
175,684.4830407149377,151123.08603896524,[0.9999999999999999]
176,305.65567793381626,814241.5013881129,[1.0]
177,557.3864104831741,581988.1389058674,[1.0]
178,14.406412205824651,867501.1308680187,[1.0]
179,315.3553727110948,264134.5262603953,[1.0]
180,488.559347611205,886966.339204549,[0.9999999999999999]
181,571.9086852797479,865509.176996355,[1.0]
182,699.3444066195582,808369.0389899551,[1.0]
183,70.1987691079418,803658.8061155342,[1.0]
184,834.2774264410936,398331.87375058385,[1.0]
185,670.9870826848685,650842.178720511,[1.0]
186,720.7470156564655,937481.9523088816,[1.0]
