,T,P,zs
0,639.1689468734062,844537.6713938907,[1.0]
1,717.040456436288,689167.4612588666,[1.0]
2,131.4370134789723,737737.0872237488,[1.0]
3,514.6399483907726,603923.28571122,[1.0]
4,37.04001168778474,932229.4203761931,[1.0]
5,562.9788658817399,148527.2357411339,[1.0]
6,418.11936881563344,458281.89942332904,[1.0]
7,346.35458811749476,124253.9791072366,[1.0]
8,670.1456338667963,453814.98325744283,[1.0]
9,42.968921670124644,931040.2763515346,[1.0]
10,754.9366738374939,101935.43171524044,[1.0]
11,818.3355810620984,589456.7686267827,[1.0]
12,183.49288569537865,633161.0427994011,[1.0]
13,629.7846454603206,268878.58446801134,[1.0]
14,270.4866095411123,472875.6011174287,[1.0]
15,567.3194301460462,604372.938943053,[1.0]
16,297.1373212524969,688777.0948742328,[1.0]
17,301.07257641181485,490458.2597728766,[1.0]
18,665.0580741512491,204875.5233639104,[1.0]
19,745.8011971736692,978940.7036654232,[1.0]
20,43.3219908042541,762853.9565793396,[1.0]
21,312.5672846676824,698352.127022777,[1.0]
22,970.6767718213902,729303.2718737115,[1.0]
23,296.5017276029733,567530.442116899,[1.0]
24,839.3344836077558,150755.97128409072,[1.0]
25,37.84738392894832,377774.6031354773,[0.9999999999999999]
26,411.8618524312351,871264.3916881832,[1.0]
27,507.83842688907674,121489.7605871046,[1.0]
28,417.77169870175584,648833.8262692775,[1.0]
29,910.6515382182224,376845.097829123,[1.0]
30,79.20096427471788,286836.2453050193,[1.0]
31,11.902447328511553,835072.7565952118,[1.0]
32,317.1196189308354,261700.15066966703,[1.0]
33,994.6159746796077,327243.24295161467,[1.0]
34,714.7768458641435,239098.78572321078,[1.0]
35,761.3908117393776,393430.1230559528,[0.9999999999999999]
36,916.8983728914477,186453.2909767604,[1.0]
37,153.80720645709337,659851.2800125872,[1.0]
38,588.6688609837399,857030.2619960924,[1.0]
39,352.3724697236201,690759.9439843822,[1.0]
40,649.9049186186174,421250.0814440304,[1.0]
41,975.4038782317463,948511.352212604,[1.0]
42,417.5531774459728,962525.1135300483,[1.0]
43,299.93366922492095,813580.184343756,[1.0]
44,530.7952185609664,836061.2704199734,[1.0]
45,118.9135739847096,736844.320542379,[1.0]
46,105.13383331857924,871833.1845341396,[1.0]
47,576.5142415272705,888033.5394412676,[1.0]
48,479.5078819767628,285728.4670589965,[1.0]
49,256.9848977950173,993593.1337170141,[0.9999999999999999]
50,804.9484359108234,845737.5102870746,[1.0]
51,535.207482845791,266570.0979835127,[1.0]
52,64.52747754901335,466641.6956931989,[1.0]
53,527.5627537507119,303240.7415890157,[1.0]
54,829.2399461002775,271221.19404262456,[1.0]
55,23.099982186735286,908924.2361955473,[1.0]
56,381.4923973172271,593621.797131285,[0.9999999999999999]
57,603.5149184095375,307444.22019529936,[1.0]
58,872.0770447004612,189693.7866073849,[1.0]
59,931.7413568156744,191152.21229974902,[1.0]
60,890.7333846816055,301150.79707463225,[1.0]
61,44.850286165469186,509836.9933752781,[0.9999999999999999]
62,489.92472488085826,295697.54223390826,[1.0]
63,739.4806278014693,789640.8171422931,[1.0]
64,259.46662903262416,208576.44671012866,[1.0]
65,864.1255532393156,305466.88015667617,[1.0]
66,860.0408010981115,905929.1009430126,[0.9999999999999999]
67,84.55451592204143,354010.62194216537,[1.0]
68,47.33095956499855,296624.0188277837,[1.0]
69,131.52057602501566,408823.6063128135,[1.0]
70,476.245827711412,897813.3688065452,[1.0]
71,143.3988624286312,488570.96577843756,[1.0]
72,145.12574738680794,190496.9256529532,[0.9999999999999999]
73,134.36750798392063,913802.7424435769,[1.0]
74,340.90397137923264,420198.96219639084,[1.0]
75,219.03921346092773,885099.3623116013,[1.0]
76,991.9744774003394,633249.9386944484,[1.0]
77,698.9694695006763,598589.8519901681,[1.0]
78,923.5222197804217,851262.3550665438,[1.0]
79,948.4512582409693,908665.8313052697,[1.0]
80,127.34104000446348,558893.6320736883,[1.0]
81,501.16650734692934,815057.6439553025,[1.0]
82,955.883373953119,473167.11932482774,[1.0]
83,234.57860462208143,284037.83751956513,[1.0]
84,336.0476722700691,293413.8784979528,[1.0]
85,124.01507515566021,557626.8433647238,[1.0]
86,487.56113114855157,421324.6195772609,[1.0]
87,829.0918669656419,514325.3058220943,[1.0]
88,165.5729772499145,232041.14348905487,[1.0]
89,330.55099170512807,620999.8972491918,[1.0]
90,688.8778228487026,164715.014634641,[1.0]
91,192.02214723437172,888130.3205439165,[1.0]
92,857.2602872611183,142610.78457064083,[1.0]
93,500.5586176949288,685595.2818563908,[1.0]
94,459.0557518714841,589757.5342156775,[0.9999999999999999]
95,266.0701085186539,399267.46558990254,[1.0]
96,691.627493870202,601292.3401957368,[1.0]
97,346.82038774913,562832.8573049833,[1.0]
98,820.7436563739278,419439.5269388416,[1.0]
99,102.81438979488762,436875.95151056466,[1.0]
100,351.1308372174761,336510.73483066587,[1.0]
101,360.5888078939298,307611.0940751022,[1.0]
102,759.8282352942462,133395.75262467933,[1.0]
103,697.1119988134118,363814.45149702847,[1.0]
104,119.79095039229371,467503.9628231566,[1.0]
105,652.109359595463,618876.4784908507,[1.0]
