,T,P,zs
0,918.6998801281817,620757.935982455,"[0.4053956723942414, 0.3550891656308187, 0.2395151619749399]"
1,603.3178388185728,339818.85775925964,"[0.02634930035667097, 0.8087211812016617, 0.1649295184416673]"
2,871.7571868931992,584029.9502339773,"[0.31683809704697574, 0.3468677176022062, 0.3362941853508182]"
3,187.72895268619777,737572.4288528247,"[0.1458384320809273, 0.0623549560279096, 0.7918066118911631]"
4,39.985495606134485,836565.0689113119,"[0.10765810528818476, 0.2212800309459802, 0.671061863765835]"
5,990.8542472048334,112867.36257128106,"[0.6103359364147938, 0.019379668268631463, 0.37028439531657475]"
6,63.97016615281177,443398.09270535706,"[0.7299548574952972, 0.1483346239974604, 0.12171051850724249]"
7,102.37318200044209,605832.9078483504,"[0.4860029318884536, 0.3081233913656643, 0.20587367674588225]"
8,601.7804492798514,571084.2683697972,"[0.4414988799295691, 0.37850416368757916, 0.17999695638285174]"
9,112.46053600883268,204159.00673314245,"[0.003387937573993062, 0.48854213305278493, 0.5080699293732222]"
10,714.6154167892994,732897.1755227549,"[0.19182161359082578, 0.020694222102365545, 0.7874841643068087]"
11,649.7650188955082,345545.0711709511,"[0.2753750904481257, 0.3113627030595682, 0.41326220649230616]"
12,657.9634256182536,985810.2330735645,"[0.42925980412999115, 0.19282686600161164, 0.3779133298683973]"
13,63.182847434739955,110660.06365330372,"[0.6733003963149261, 0.15150321078940898, 0.17519639289566497]"
14,206.88762884279484,193139.86657501792,"[0.35762932031575473, 0.34312782695253596, 0.2992428527317094]"
15,647.0318883442742,623002.3544623103,"[0.09202528958853134, 0.5754894424579249, 0.33248526795354394]"
16,830.5652724435989,213313.7367233013,"[0.29166805033504295, 0.02663857107866802, 0.681693378586289]"
17,690.4406312797431,686889.8812693619,"[0.2773830140177163, 0.015629114873403415, 0.7069878711088803]"
18,923.5413424835148,476754.2791488665,"[0.23106465153453026, 0.007001168666035933, 0.7619341797994338]"
19,988.4083666827242,174699.691365153,"[0.07934903162041095, 0.32829303538622107, 0.592357932993368]"
20,241.53836352467985,277038.1565920018,"[0.3435559872708927, 0.4788839956999936, 0.17756001702911384]"
21,940.1175237295806,357843.30076483754,"[0.4809007516347534, 0.05691728187659105, 0.46218196648865545]"
22,698.424576615905,919698.0720635648,"[0.05439668609442551, 0.8464751814440201, 0.09912813246155436]"
23,751.4196140376046,410126.3903645476,"[0.269766006230184, 0.08129766552504038, 0.6489363282447755]"
24,106.3286819856463,296771.51478373486,"[0.038654789098479386, 0.1958299701001849, 0.7655152408013356]"
25,202.6639506014055,976616.2736199237,"[0.6520529646499283, 0.18337162883069116, 0.16457540651938046]"
26,886.688685456227,309940.53428753454,"[0.22574721183528118, 0.6670083384751051, 0.10724444968961376]"
27,306.9401908964575,976815.9897773089,"[0.09935080108422464, 0.8378569145323626, 0.06279228438341285]"
28,643.3222695367008,178649.6952240303,"[0.21143913890227176, 0.31714438116789523, 0.47141647992983293]"
29,975.9695748304504,864513.450050107,"[0.8551671236606432, 0.07845279206907955, 0.06638008427027733]"
30,748.806888219894,156214.93458535676,"[0.6303596453411987, 0.011613384871177737, 0.35802696978762355]"
31,721.4240821505267,457684.9066859332,"[0.23395008537055892, 0.0974990528633469, 0.6685508617660941]"
32,334.11386011995234,963002.6565003103,"[0.3565154214252108, 0.22807693079242772, 0.41540764778236156]"
33,451.2159375949792,689605.3224224189,"[0.1847451541484974, 0.0014421465339917571, 0.813812699317511]"
34,466.05994411239254,751762.1725641395,"[0.5201473329023169, 0.3928636009959893, 0.08698906610169377]"
35,94.36319726204312,893244.1027349924,"[0.26188635317643316, 0.5580469459804245, 0.18006670084314239]"
36,87.09197711719602,969856.5899955821,"[0.31517144777855033, 0.34848444212332724, 0.3363441100981225]"
37,530.4299873122364,700855.5746978666,"[0.7396099560086548, 0.0659953101309555, 0.19439473386038972]"
38,563.801142717982,943853.8588342888,"[0.2734998572172531, 0.3147345239470699, 0.4117656188356769]"
39,36.5449256162166,309398.4930756345,"[0.7756267180528222, 0.0863331168114825, 0.1380401651356952]"
40,318.57752128971333,186381.73605197112,"[0.043628986772223925, 0.34093618622778027, 0.6154348269999957]"
41,753.5805943336858,487800.9368753944,"[0.39455309206156636, 0.1170841958357248, 0.4883627121027088]"
42,78.38263451322298,804351.6777643145,"[0.5056828563603417, 0.1978992303423541, 0.29641791329730416]"
43,967.9273836475176,542800.1131560897,"[0.27523192652973016, 0.3233509757939981, 0.4014170976762718]"
44,215.81866775088758,530341.0192719101,"[0.3551602785808532, 0.24754973346265252, 0.39728998795649434]"
45,843.4216377578216,970605.8195324731,"[0.1805958081762856, 0.2116075133915046, 0.6077966784322099]"
46,136.93076001478335,238875.0058186304,"[0.5128147557156603, 0.26152331032240034, 0.2256619339619393]"
