,T,P,zs
0,618.7934183116605,363716.0987152733,"[0.09128624462139968, 0.02386876490638625, 0.3077898510243097, 0.5770551394479043]"
1,304.1295121894211,423188.5112125506,"[0.003422178688230101, 0.1206492652194941, 0.05241028652540058, 0.8235182695668753]"
2,960.0742294041979,937633.1418043772,"[0.17204171342308794, 0.3700926323639772, 0.07238465123035269, 0.38548100298258203]"
3,739.5909558001067,548602.2285834202,"[0.013423117512597641, 0.3861341325850048, 0.19562032293316986, 0.4048224269692276]"
4,755.8029983339206,898034.6588709655,"[0.1711895960422472, 0.36556804122749764, 0.1696262499096871, 0.29361611282056804]"
5,300.79376377030275,161481.14381198172,"[0.4334519267805556, 0.19553019902424015, 0.3644850224355559, 0.006532851759648276]"
6,684.8680683382853,193656.28059252276,"[0.11471284794326198, 0.49324416873775073, 0.170701285629469, 0.22134169768951825]"
7,633.0401956154984,598367.1855349627,"[0.3126057935088196, 0.2132802051100912, 0.23427955691026514, 0.23983444447082428]"
8,272.9627452760871,740068.4088496224,"[0.30362664654967336, 0.4529832597767839, 0.11969916913814534, 0.12369092453539739]"
9,166.6730158985013,897572.4890986725,"[0.17943670413403653, 0.4387840393517036, 0.27599449212522636, 0.1057847643890335]"
10,346.1896169711996,718959.3655101409,"[0.23127916111902022, 0.10551108324624943, 0.4343802607453856, 0.2288294948893447]"
11,621.9818615736646,187931.38960288838,"[0.1128919319785036, 0.096413335929705, 0.3162627025176711, 0.4744320295741203]"
12,300.430132500622,936276.7275438076,"[0.23788664611308025, 0.08380735359026573, 0.45674156470443, 0.22156443559222394]"
13,423.45060651439894,939275.070896378,"[0.008720580884221394, 0.35992323681082633, 0.1509482002764357, 0.48040798202851664]"
14,548.3124871237508,912517.175180721,"[0.16780612266175765, 0.20534890886176524, 0.09922483338209129, 0.5276201350943858]"
15,640.2945080113942,162589.86135000119,"[0.22668478727715352, 0.26129116266873187, 0.3569511318698668, 0.15507291818424793]"
16,137.82550627988917,197798.73521327507,"[0.12762663373979188, 0.036839835788222315, 0.6249445140033928, 0.21058901646859302]"
17,740.596175349465,296124.8911636097,"[0.05623491028604865, 0.48996447877954874, 0.13441633523450916, 0.31938427569989325]"
18,742.7216336487123,119685.2064856978,"[0.018988600684122996, 0.4157916871586906, 0.4446191254438005, 0.12060058671338614]"
19,701.169165531064,216336.0858521928,"[0.1841860783235099, 0.20764677945943896, 0.4071497725556534, 0.2010173696613977]"
20,709.2289655622126,314936.9773045277,"[0.16753720771860728, 0.1416835407234049, 0.41767248564458503, 0.2731067659134029]"
21,411.0365382424986,932538.7332814713,"[0.6646284568229809, 0.040765357068603195, 0.24343475190386982, 0.051171434204546]"
22,573.3291916906254,275802.87195873784,"[0.3597505646001988, 0.06350575668263661, 0.23040646489080993, 0.34633721382635474]"
23,256.53574536467863,943097.3309086516,"[0.08777696652577649, 0.23178811566550217, 0.11092454496468322, 0.5695103728440382]"
24,642.1324474838253,844257.89411082,"[0.46099678222776164, 0.21755028230036602, 0.31561475791477267, 0.005838177557099822]"
25,464.4852520238423,427040.5525843005,"[0.09397912123992234, 0.2692267397705941, 0.05352550013018225, 0.5832686388593015]"
26,603.5431083212643,539032.8469191617,"[0.3806273067735918, 0.03458459128045694, 0.12339744505884132, 0.46139065688710984]"
27,712.4638084632792,924483.9520878218,"[0.34693897930229645, 0.4276612962751862, 0.05556938586856431, 0.169830338553953]"
28,406.78971203008393,517094.8379107685,"[0.03381911100982266, 0.6441807570024896, 0.02591169047510207, 0.2960884415125857]"
29,316.19041104406256,111584.22003540634,"[0.023714263927805988, 0.26654564743008907, 0.4124789883185423, 0.2972611003235626]"
30,266.5430979576131,135983.62858861568,"[0.5727940814065259, 0.0642018580630989, 0.05106041149316038, 0.31194364903721483]"
31,842.2401733339877,426093.46033109265,"[0.1854920154801021, 0.04139234839338988, 0.6317585181116793, 0.14135711801482875]"
32,359.82593426073294,210457.16650677007,"[0.5818342146812059, 0.1789631153174057, 0.23515519598049353, 0.004047474020895107]"
33,63.57222880666731,746413.3944048116,"[0.012927284365025814, 0.3130668858621005, 0.33558815098462896, 0.3384176787882446]"
34,547.738748915311,284600.03421728744,"[0.3040235784407517, 0.41496224520053415, 0.023715234337672593, 0.25729894202104175]"
35,215.3995927102371,530799.3997786113,"[0.5230808785383537, 0.0524976755164084, 0.05952620401728819, 0.36489524192794964]"
36,651.5543338072372,946851.6987377823,"[0.07846583256564446, 0.09373006881271227, 0.6559087921971679, 0.1718953064244753]"
37,58.44017331416584,783512.5584360458,"[0.5991212394293195, 0.37238872247500865, 0.01985978167198512, 0.008630256423686668]"
38,131.7048249706757,627912.1938225472,"[0.4882951429211677, 0.2507514956154082, 0.12098387298495616, 0.1399694884784678]"
39,231.51938780843716,338129.8422092927,"[0.028856880675730452, 0.7611319206766157, 0.11128114876291688, 0.09873004988473706]"
40,155.9169553105054,769213.2177768301,"[0.40214089624463795, 0.25448962170366485, 0.2701791430542839, 0.07319033899741335]"
41,196.8041296015632,507645.1637018343,"[0.5357700319254879, 0.12298869113314302, 0.05401400856852197, 0.2872272683728472]"
42,335.5560126385283,638941.4317748356,"[0.10163382505903495, 0.8968480456519664, 0.000891215912005222, 0.0006269133769935769]"
43,264.0751424019418,335261.3636808229,"[0.060633646392800535, 0.05367608763864772, 0.20524491110479126, 0.6804453548637606]"
44,935.1689263131444,489709.7804582055,"[0.08041744815328508, 0.4861595585716008, 0.07145227291252645, 0.3619707203625876]"
45,722.2716272985995,674156.6130809563,"[0.554867456185767, 0.07036335696222164, 0.26434361649031557, 0.11042557036169597]"
46,840.434544125392,432451.62411633664,"[0.25774696863385604, 0.3784298083823697, 0.0030513200408544116, 0.3607719029429198]"
47,440.82247452037825,660443.3657328741,"[0.10180487186053466, 0.3972230980451086, 0.02797989800304144, 0.47299213209131535]"
48,711.8819292498753,815404.2942575215,"[0.007444425561170671, 0.1750401507527176, 0.2988822061231509, 0.5186332175629608]"
49,477.1091013976346,335003.85224017105,"[0.1491272092460511, 0.4135445073694668, 0.22584056940308592, 0.21148771398139618]"
50,910.9517811702923,646540.1031998522,"[0.11839844050603157, 0.2913213850727983, 0.514560987682056, 0.07571918673911397]"
51,215.79460968115117,982798.7064187294,"[0.4399248137661999, 0.21547497572198046, 0.1374078069687563, 0.20719240354306337]"
52,541.533228621252,232055.17711029653,"[0.8532549633598776, 0.11180492871019554, 0.034818714352217874, 0.00012139357770899056]"
53,687.3943400534012,516317.29861977627,"[0.21183137339707672, 0.41142176969888283, 0.22582081817334107, 0.15092603873069932]"
54,951.1597824668498,644840.3627274774,"[0.04207805110083349, 0.28373925707548925, 0.40554830987164425, 0.26863438195203276]"
55,619.2475224759136,729904.7668077042,"[0.562327680503619, 0.26591112773944525, 0.14340603909036792, 0.028355152666567823]"
56,882.5988825516582,283779.0804129104,"[0.1679896322419438, 0.26502115823336936, 0.49975622144520127, 0.06723298807948554]"
57,50.36436747106422,967341.9069103178,"[0.12425591706674441, 0.100250199911865, 0.46815452548037856, 0.30733935754101216]"
58,880.071811366345,411458.39927490987,"[0.05122777848223286, 0.4777988659929822, 0.16481005745463864, 0.3061632980701463]"
