,T,P,zs
0,559.1065064427753,393796.5628987163,"[0.12071845757413532, 0.6211830940239849, 0.09125794476630696, 0.033560641313271786, 0.13327986232230107]"
1,229.3303346168471,747377.4254182541,"[0.09949229748548676, 0.3215457166249337, 0.28659835013456386, 0.2654041512184394, 0.026959484536576078]"
2,785.9244167845503,544359.2628097783,"[0.13245694732827676, 0.21894635612604596, 0.21150419059021233, 0.3684188230458644, 0.06867368290960073]"
3,733.2100240219182,562026.509334342,"[0.0633111726061333, 0.5692709741566836, 0.30225918565623805, 0.023438552005556335, 0.04172011557538879]"
4,865.5145197878242,769036.2900242343,"[0.3296429395310154, 0.49800311110864826, 0.01515963191940653, 0.012973464495603115, 0.14422085294532677]"
5,105.78163303690032,328512.6229404938,"[0.617820084868183, 0.02579378877039801, 0.021249671356752677, 0.26940317984899825, 0.06573327515566803]"
6,20.277539336516817,260781.52656757738,"[0.4415536234520789, 0.09822679495435097, 0.023225550854051345, 0.1751955724514879, 0.2617984582880308]"
7,899.1888554705406,764275.3769041453,"[0.3002829056690248, 0.03713959595866776, 0.1631782082108083, 0.43721253236350643, 0.062186757797992646]"
8,968.213305698256,177826.1192280473,"[0.060530013386271085, 0.6885083881496671, 0.05017169267989701, 0.06879738369031121, 0.13199252209385365]"
9,94.00066858324584,219445.2564160872,"[0.32851099233202147, 0.24863419296155959, 0.19010536197991004, 0.06951911966137338, 0.16323033306513554]"
10,50.8447955905464,854715.0823661521,"[0.010937734352480568, 0.021765651017110307, 0.701473955015644, 0.018782407185379962, 0.24704025242938513]"
11,253.03549569341598,840339.1081628469,"[0.030213014974208197, 0.03493689256031423, 0.27451271234219665, 0.34830489035897233, 0.3120324897643086]"
12,352.94290434704334,469046.72048965935,"[0.28751796114171124, 0.39511991095579035, 0.03817264980570926, 0.03993289231219472, 0.2392565857845943]"
13,812.1769335363697,721322.7435649766,"[0.7430716011737856, 0.042377657662917116, 0.012563774165850902, 0.1866254587864017, 0.015361508211044681]"
14,72.32806193282582,330690.45349898154,"[0.5239038559331759, 0.005165234593008128, 0.07741510901087818, 0.35950892322458167, 0.03400687723835603]"
15,445.6384288668228,256005.30547586345,"[0.09839544214943212, 0.1581930050869387, 0.34988169522997825, 0.3724726788430483, 0.02105717869060268]"
16,744.6696769683924,923251.6368969496,"[0.18245222927841415, 0.03631547393757273, 0.17909375182895737, 0.5756053124443515, 0.026533232510704195]"
17,797.682770095556,471082.3665747958,"[0.03500425580054228, 0.2621806699564206, 0.10043437581320597, 0.5240231740012669, 0.07835752442856425]"
18,213.19329706871784,294238.7176645324,"[0.06248532525350482, 0.1966218050807374, 0.16677941896642492, 0.5240173336025887, 0.05009611709674424]"
19,407.007238475298,573131.4390734318,"[0.0789398551478428, 0.10761454806118233, 0.1908435612249392, 0.43377665231603413, 0.18882538325000145]"
20,76.27735228895814,448545.77975764964,"[0.050758292754956226, 0.20575249482431301, 0.16881016656596717, 0.2888138568682636, 0.2858651889865001]"
21,203.0481008501533,694972.3466188452,"[0.37008610783962187, 0.3450122794477506, 0.024229708207816992, 0.05431122422150155, 0.2063606802833091]"
22,824.5574284619587,597350.5482235851,"[0.0009873970420073075, 0.24636640941331595, 0.36958862413028976, 0.1502649436907622, 0.23279262572362477]"
23,567.6342828527854,914419.8582000254,"[0.04113430571085219, 0.08314175509045484, 0.48676212473834196, 0.31837672912433207, 0.07058508533601894]"
24,356.14228808461246,105905.96418934988,"[0.12463183138420343, 0.2704205143168001, 0.45891615294526916, 0.00031788490108185057, 0.14571361645264566]"
25,493.84556911550754,561536.5114396494,"[0.03805619852043044, 0.004779967883530501, 0.47405477477321895, 0.06939789859150877, 0.4137111602313114]"
26,753.9729717652517,545598.2685494092,"[0.028076798263480994, 0.13735120747865637, 0.08229775946828305, 0.07471086077173457, 0.677563374017845]"
27,180.94905690339644,282807.763567012,"[0.4647315936470996, 0.34287891682675137, 0.0675810513787538, 0.05291525549004132, 0.07189318265735396]"
28,668.561480636649,963771.1124982493,"[0.4239821137400695, 0.022458118500265998, 0.049963427639981316, 0.22439275181607454, 0.27920358830360875]"
29,920.7701182354714,272140.35860501335,"[0.05180369216725767, 0.38345479543621724, 0.08418413120576826, 0.06271030744086335, 0.4178470737498935]"
30,724.1635716062513,229698.4221737634,"[0.06001377410016057, 0.2383633740257939, 0.15610448166870416, 0.0012381318401554796, 0.5442802383651859]"
31,685.4458181172625,940342.6973382024,"[0.25124411570203276, 0.03522170337343296, 0.048750130590393494, 0.1213218116242196, 0.5434622387099212]"
32,703.2092415362432,524955.3732006635,"[0.0839196397797514, 0.2214932061539387, 0.07464271488602041, 0.24192950205029248, 0.37801493712999695]"
33,830.619582088086,566558.1469563516,"[0.18582862258521488, 0.24622444151735212, 0.2518185128697155, 0.05422214762242876, 0.26190627540528866]"
34,395.0090571498454,356749.458443576,"[0.26231462353786794, 0.25154271513029014, 0.010108662892767292, 0.004294103093640578, 0.471739895345434]"
35,44.32546460560625,252885.48745628932,"[0.2811798908469789, 0.027101677006243663, 0.08541673046944621, 0.3790096065638304, 0.22729209511350082]"
36,355.308978592707,804425.2563082217,"[0.23109486525106795, 0.09983407059806654, 0.20346029248773811, 0.01573984288597938, 0.4498709287771481]"
37,297.58723764325026,799137.1387243401,"[0.06676985583935645, 0.02333399950672533, 0.7153779539687961, 0.03426817605942022, 0.16025001462570182]"
38,375.92320961434547,239872.91900543543,"[0.5597235915086134, 0.05266031876258973, 0.18767309002577548, 0.11142984425365397, 0.08851315544936748]"
39,753.9098234843402,194670.8173280912,"[0.01801786473459472, 0.2291472752414635, 0.06462345046034434, 0.529667785925231, 0.15854362363836644]"
40,139.10496172285687,572402.6321126006,"[0.34225135167454745, 0.14810017066761197, 0.1539671336648561, 0.18730467055324745, 0.16837667343973706]"
41,263.12754418325795,441356.3288844723,"[0.08043454529627542, 0.15114492295453813, 0.20189466203087894, 0.2942040732336518, 0.27232179648465593]"
42,509.36775783548103,703932.3063684502,"[0.11065564521282453, 0.2969973014477205, 0.08465398049573482, 0.019595406751134015, 0.4880976660925861]"
43,517.5335333764156,549932.4674859944,"[0.42369332683036826, 0.05655837313704907, 0.10439929393965576, 0.32521681235968647, 0.09013219373324044]"
44,347.0480166259706,379179.081100546,"[0.26659189670099975, 0.13196529932354253, 0.15726661770109576, 0.35921747173611246, 0.08495871453824967]"
45,801.9953024069649,731272.3214829183,"[0.10662797316879877, 0.3610922123332238, 0.19979848485179472, 0.11090862234746744, 0.22157270729871537]"
46,61.41997255294107,925667.2486051812,"[0.15127481202847734, 0.6888672858659152, 0.11900461252685615, 0.02126613987431959, 0.01958714970443177]"
47,290.2331674031679,741296.4102517571,"[0.36807686903190556, 0.08852784380305566, 0.10881773023668717, 0.42931657260436096, 0.005260984323990618]"
48,378.4511108944523,851825.6967743742,"[0.03301304783665257, 0.08662496173946949, 0.33317215627362307, 0.1146096671197875, 0.4325801670304672]"
49,424.28786390667096,959529.773301568,"[0.34027949575390326, 0.08221783885550868, 0.01577810354693557, 0.45651917669307934, 0.10520538515057326]"
50,562.1910197364482,325577.4884945537,"[0.010741299085715417, 0.10964927170462499, 0.4408961438206406, 0.09256194540210792, 0.3461513399869111]"
51,160.03707796087252,374717.2916343513,"[0.5668105109485377, 0.05122229273751343, 0.11066003924371391, 0.10099881114678093, 0.17030834592345412]"
52,430.9061086067133,738649.3498547156,"[0.01637349730582668, 0.009284163110795409, 0.5897645157646426, 0.3044702711090512, 0.08010755270968423]"
53,169.89707771337854,381036.8249163895,"[0.25413705745712795, 0.2980206788564448, 0.17574930585946869, 0.016698748328972435, 0.25539420949798614]"
54,50.29467019536151,522127.7673411932,"[0.0010217000075597815, 0.5106285488472625, 0.09506024391432137, 0.09117347991385563, 0.30211602731700066]"
55,256.05428155629676,846728.253025135,"[0.07615401984349018, 0.38757725822111994, 0.09850061062105564, 0.2340685968022376, 0.20369951451209659]"
56,889.9873730035417,475108.1731736565,"[0.12011867658491499, 0.5707725210198831, 0.003462436946272972, 0.30359296687642484, 0.0020533985725043735]"
57,958.1994254170916,191683.8340633382,"[0.34625236046672414, 0.018122098693866506, 0.19311024010814426, 0.10645666765047887, 0.3360586330807863]"
58,998.6394800308879,660418.3686838798,"[0.09650041819359362, 0.12864308732545812, 0.06120292521997075, 0.5862451109921217, 0.12740845826885586]"
59,873.4736457206063,778596.9234054083,"[0.16268813371818308, 0.6125225399776006, 0.19585301191780885, 0.004218144481721785, 0.024718169904685703]"
60,336.5556748096883,348173.9657332778,"[0.15500120167983075, 0.06432887573154496, 0.42069158068696905, 0.10512266903339709, 0.254855672868258]"
61,942.6975539074443,347111.9010738232,"[0.4020384046267021, 0.2703527042817052, 0.02396156049677864, 0.15964125319683548, 0.1440060773979787]"
62,872.7920601777258,378454.4152847178,"[0.07414087823586846, 0.3530202094459327, 0.14375958691999138, 0.19778351564179425, 0.23129580975641337]"
63,302.0486018654925,910555.9573901746,"[0.04845078564984348, 0.14824962841700137, 0.2801816394298831, 0.4970343560002803, 0.026083590502991874]"
64,656.120053466233,706108.012290316,"[0.24354768422616413, 0.3636090064571579, 0.08134998124384336, 0.20331544786571903, 0.10817788020711552]"
65,671.2206454065414,190009.47423037642,"[0.1364728486438073, 0.03395143572003704, 0.19904346583933735, 0.21172700706442374, 0.4188052427323946]"
66,511.5097438887963,677795.9767936098,"[0.00849782505822961, 0.6144140283990817, 0.11135655230809514, 0.10455944611007585, 0.1611721481245175]"
67,846.6218783374535,761485.1845506531,"[0.0017301665388669946, 0.34859221447691546, 0.24885294584537565, 0.33341577776679965, 0.0674088953720424]"
68,150.43772482387934,739838.2525204513,"[0.13493015398448566, 0.3094996208362006, 0.03438554375665442, 0.3692227112068574, 0.15196197021580196]"
69,709.7786571692379,612602.2452931269,"[0.15053105522210417, 0.1438874058945811, 0.16173078304616478, 0.09808394276302917, 0.44576681307412064]"
70,172.38765567822358,382994.99405950727,"[0.30137541038958965, 0.04104126828355455, 0.3032276831425276, 0.10889265760182959, 0.24546298058249857]"
71,432.7424495667118,694096.2559018249,"[0.03423519648219251, 0.10374363004702379, 0.19508199750812608, 0.41664429793789537, 0.25029487802476214]"
72,865.6435697479683,991161.7689324438,"[0.24641577492508498, 0.35680439961758637, 0.17186519787739538, 0.12794999382280972, 0.09696463375712357]"
73,477.53173883428525,728081.8201508152,"[0.33480759616996775, 0.47140012463897346, 0.025288983766965284, 0.06788704687887198, 0.10061624854522165]"
74,868.0578403042254,868116.9592769016,"[0.14288553501721582, 0.16808694862636234, 0.26913163459798656, 0.24509186927431037, 0.17480401248412492]"
75,307.6260671562756,688098.9641605307,"[0.022193226833880145, 0.5259099911178575, 0.3225559517657753, 0.020085233047046104, 0.10925559723544118]"
76,842.050298528808,274090.6587609056,"[0.2763075434354126, 0.06831123971247353, 0.1339892654964329, 0.3995380336052872, 0.1218539177503938]"
77,100.02665172585964,208052.69376692394,"[0.22893039749946092, 0.196112197297212, 0.12125358937302572, 0.41943814584205424, 0.03426566998824696]"
78,751.2524978107743,775711.3076537553,"[0.2923898034460062, 0.1418872055259151, 0.16800637376491437, 0.35595632251466347, 0.041760294748500966]"
79,273.1380783915033,173243.67918149725,"[0.132473234665296, 0.14068914297230353, 0.3269748841194582, 0.38242321007365154, 0.017439528169290727]"
80,547.6740323817975,152713.90344362461,"[0.13090037667414467, 0.04031921845292948, 0.6681338363948183, 0.08941098200174288, 0.07123558647636458]"
81,65.86322175152242,221590.44118014802,"[0.036900268666446294, 0.5916012527929219, 0.13018042503512256, 0.07865283333721018, 0.16266522016829912]"
