,T,P,zs
0,525.8559539829236,398615.65211856697,"[0.893729932702246, 0.1062700672977539]"
1,109.19423948316378,390588.4668482357,"[0.7366229152925836, 0.2633770847074165]"
2,400.53582763414164,909054.3345996443,"[0.49922803452975534, 0.5007719654702446]"
3,902.0404106641275,871447.5212141249,"[0.025917493345525146, 0.9740825066544749]"
4,836.1250900496068,345497.18905798986,"[0.13344224170584065, 0.8665577582941593]"
5,552.1215174110163,677796.5960067634,"[0.944633075922929, 0.05536692407707101]"
6,499.80249663467936,905503.9921841209,"[0.3331336594521083, 0.6668663405478916]"
7,791.1552203367511,160262.18224602728,"[0.7543521964167429, 0.24564780358325697]"
8,645.4120336702381,508145.2243792967,"[0.5664828198415841, 0.43351718015841584]"
9,585.8358520970886,729806.952469319,"[0.9620666166677662, 0.03793338333223388]"
10,438.99715609272107,178373.8424192872,"[0.5678985823534306, 0.4321014176465694]"
11,192.23537267348578,949664.2024088238,"[0.4569960358883788, 0.5430039641116211]"
12,596.6246706147209,573225.8993659967,"[0.03379973381522397, 0.966200266184776]"
13,870.9379297927843,565208.4036899328,"[0.6126726292354432, 0.38732737076455676]"
14,303.0280279946602,746793.1262188664,"[0.39445404115292754, 0.6055459588470724]"
15,168.6025101857366,991412.4862787119,"[0.856790272435948, 0.14320972756405198]"
16,530.9285337364822,402279.58617670916,"[0.7599480371383104, 0.24005196286168978]"
17,386.6195195349426,985506.5608855813,"[0.7608419661077943, 0.23915803389220566]"
18,28.637904868711153,475738.768117029,"[0.9075844969400721, 0.09241550305992803]"
19,622.8857505645968,997964.9202558056,"[0.44364669242859195, 0.5563533075714081]"
20,99.33026273300979,354188.69575716497,"[0.001520312327465106, 0.998479687672535]"
21,116.76811211216281,679731.3653410506,"[0.3969065166977299, 0.6030934833022702]"
22,810.4502163357355,100433.95866644637,"[0.807860168563749, 0.19213983143625094]"
23,314.53185469106126,713556.7218802029,"[0.35631414205117856, 0.6436858579488215]"
24,143.05203149913726,686204.6073371564,"[0.08763822773920306, 0.912361772260797]"
