,T,P,zs
0,491.7664421968739,417954.0270784284,"[0.2536907550757585, 0.2510108077349182, 0.11498636509378876, 0.3803120720955346]"
1,224.86982054603044,864282.567942143,"[0.08918129502580528, 0.21027236844681502, 0.6884027959409709, 0.012143540586408893]"
2,153.56805434960083,768796.6126572636,"[0.04920278582342575, 0.19286638645863366, 0.6794775993940351, 0.07845322832390558]"
3,79.11386445359857,959623.8650945374,"[0.06747471072429968, 0.11126066301915531, 0.8121893491975266, 0.009075277059018252]"
4,626.6405261616208,448983.5369150502,"[0.08099907022462696, 0.26414636960960075, 0.26740810625883243, 0.38744645390694005]"
5,445.346997898224,875275.7757432612,"[0.394825680980449, 0.19350583808358005, 0.30512036260026654, 0.10654811833570454]"
6,234.62167520297976,914538.6964219866,"[0.14636888363004355, 0.03076694031861004, 0.6177041959633225, 0.20515998008802389]"
7,461.46452146365135,275228.45882482105,"[0.3332080807587708, 0.34295522945659784, 0.02702828381644092, 0.29680840596819036]"
8,886.2981595992039,134846.2768996065,"[0.39368846783427147, 0.0864733447153386, 0.09426841752945717, 0.4255697699209327]"
9,446.19098670212367,619394.9371900394,"[0.021117879178954652, 0.004860406201252898, 0.5284016314530897, 0.4456200831667027]"
10,813.0920872831412,412653.80151097727,"[0.23748165970416027, 0.29981653103425876, 0.2535505933699612, 0.20915121589161975]"
11,104.95290624802675,648972.6771823202,"[0.7427110108701153, 0.11062151014157581, 0.1339493073105826, 0.012718171677726443]"
12,898.567921132509,740326.0464096346,"[0.48043262494019556, 0.10055001210235474, 0.22594536167008514, 0.19307200128736457]"
13,722.118656522969,798604.9414850409,"[0.2270431328626551, 0.053979462060177355, 0.5622601502274814, 0.15671725484968613]"
14,968.5240768876507,263557.0519063546,"[0.04088551514947901, 0.4871532005398236, 0.4084685575267358, 0.06349272678396158]"
15,90.03844943056149,672248.1508080864,"[0.040669727340584466, 0.07077659768160517, 0.2435492264375057, 0.6450044485403048]"
16,988.9425322851953,660877.3279178303,"[0.5538103890854439, 0.16102144387890455, 0.05099271230922242, 0.23417545472642934]"
17,64.44666697417334,853346.1675907039,"[0.2774596107204835, 0.1409534862813454, 0.434183366027572, 0.14740353697059908]"
18,843.649553865625,848794.2932733576,"[0.018102475863336104, 0.35652739291753677, 0.3986058342073799, 0.2267642970117472]"
19,922.549947909685,828264.0504424125,"[0.4918077566337504, 0.17811469214553097, 0.3173357296629394, 0.012741821557779327]"
20,918.3481622426199,176377.78474259787,"[0.4466755099912587, 0.03009560646789139, 0.1625083249277548, 0.36072055861309515]"
21,758.717387649209,894063.704436697,"[0.7383922537013458, 0.01650828544477784, 0.07327861191019865, 0.17182084894367766]"
22,920.4412205683075,769157.7049468646,"[0.097236995449763, 0.1905342562104779, 0.6083277838377986, 0.10390096450196051]"
23,837.1759560711496,949834.176458255,"[0.3999516181241025, 0.013614213478235033, 0.2752586204671918, 0.3111755479304707]"
24,282.8022698723341,777156.633675775,"[0.17714884118406554, 0.4507899952852788, 0.07999810372849205, 0.29206305980216346]"
25,41.73192156086023,191524.89168317418,"[0.5901900368864793, 0.13054600843804867, 0.19483572699282994, 0.08442822768264208]"
26,602.0047326263142,832173.9949560895,"[0.4022523896413133, 0.2759972638521372, 0.07377080764230244, 0.24797953886424712]"
27,585.1338602443308,717440.3271842418,"[0.09363335243545197, 0.1588876629209322, 0.46700466936824725, 0.28047431527536865]"
28,128.77077238582132,388294.6602879729,"[0.004675353725395204, 0.4813410474754056, 0.3639539337783452, 0.1500296650208539]"
29,439.42000065527594,477793.12732395047,"[0.2672659132991309, 0.28773438848478483, 0.14540628595953856, 0.2995934122565457]"
30,217.4628286533279,653545.0408854436,"[0.06607676226958344, 0.5142093647497933, 0.20259090296792853, 0.21712297001269473]"
31,909.8261181131177,473604.1829845659,"[0.022556586820745947, 0.18735136772061037, 0.5511098490844056, 0.23898219637423818]"
32,935.6673178144363,143749.90309662643,"[0.21194862177520454, 0.5061714907152716, 0.04704900765195029, 0.23483087985757353]"
33,34.26019504786264,734937.1111197713,"[0.4611567136615723, 0.38975657928224566, 0.04331624293350428, 0.10577046412267765]"
34,10.612424142926542,756347.3484966726,"[0.06990317186151242, 0.061634065191596116, 0.8038933806708402, 0.06456938227605127]"
35,966.856171367729,837716.3608481417,"[0.09387209082023916, 0.14633721028978297, 0.3493247729096171, 0.4104659259803605]"
36,102.45102870222756,783859.3016759587,"[0.6021781637979342, 0.059730729439177704, 0.23334753648220433, 0.10474357028068368]"
37,227.61000520485408,118211.17468493292,"[0.3080817347712106, 0.3741209549293093, 0.14722909688583685, 0.17056821341364312]"
38,459.0501959733811,690310.1387769335,"[0.549765344702302, 0.003608448853878562, 0.03233077552431686, 0.41429543091950255]"
39,209.85199744607283,234921.12719938072,"[0.7823926588223185, 0.014752002860222322, 0.17149216764655836, 0.031363170670900845]"
40,790.3460970161069,366790.4556591727,"[0.5565981896448478, 0.052302964785776056, 0.2755182694482619, 0.11558057612111433]"
41,964.1456473012325,360680.6973646431,"[0.1143569180696505, 0.41192029006600384, 0.4145876354805509, 0.059135156383794685]"
42,334.4497560924149,769422.0459838567,"[0.34471831891007154, 0.04773588198243413, 0.45414049683161967, 0.1534053022758747]"
43,916.2352163889972,639035.6761619255,"[0.030877148577685875, 0.5478733104966159, 0.21351695167332446, 0.20773258925237376]"
44,180.51973301625722,643681.226271914,"[0.09103744106903375, 0.8944297225755664, 0.002323570573945134, 0.012209265781454703]"
45,663.6255290154181,400512.3813932257,"[0.35679658228483024, 0.09591057162573825, 0.09710598364038983, 0.45018686244904155]"
46,500.0982721314519,242256.045469075,"[0.21940099473298216, 0.4140928324058088, 0.320512642622354, 0.04599353023885511]"
47,169.7662358720318,391936.7457637502,"[0.03152511454561397, 0.44636720739684566, 0.3571943564869301, 0.16491332157061045]"
48,915.2725499012511,799251.6474745392,"[0.14767864907219333, 0.18840304450567827, 0.20527183795632634, 0.45864646846580215]"
49,213.13021929695597,508123.03906235367,"[0.004014149200466014, 0.599166014392304, 0.3779923491302172, 0.01882748727701283]"
50,910.2945776975697,641124.4371936698,"[0.7109654544602886, 0.09748612689016316, 0.021681186320460056, 0.16986723232908812]"
51,411.90531831672257,352865.1409443469,"[0.11965653708486867, 0.019651158954903422, 0.31858738791393687, 0.5421049160462911]"
