,T,P,zs
0,153.23578085825403,379677.1426160334,"[0.28542426412110733, 0.7145757358788927]"
1,650.7133628059634,840254.6635921845,"[0.07175990254914753, 0.9282400974508523]"
2,161.49787504756668,197513.1136630348,"[0.7589427661094502, 0.24105723389054984]"
3,214.0865810005622,672719.3718100629,"[0.893416010068577, 0.10658398993142293]"
4,61.38709239940029,582723.297813524,"[0.11250999343344764, 0.8874900065665524]"
5,817.3151010637873,505144.61334507325,"[0.8864842025551385, 0.11351579744486145]"
6,580.8852496386428,140946.7233710863,"[0.47464153003734394, 0.525358469962656]"
7,852.2514830839962,338374.99561313295,"[0.8698118100861906, 0.13018818991380945]"
8,293.5043698849887,123686.80987527315,"[0.6626244226838527, 0.3373755773161473]"
9,373.183532779055,265577.1222200043,"[0.6170164277599004, 0.3829835722400996]"
10,347.47127281077866,290154.1859643883,"[0.15151901728428344, 0.8484809827157166]"
11,654.0822875403104,906882.9525221619,"[0.6018747949925269, 0.398125205007473]"
12,875.110196654697,805956.8655820882,"[0.8068876730379081, 0.1931123269620919]"
13,332.80669123436513,255854.30449102353,"[0.33435233276340814, 0.6656476672365919]"
14,185.18696367046851,759721.0725481249,"[0.9375259117338894, 0.06247408826611061]"
15,707.8538599306895,141494.28540640816,"[0.062147049147283764, 0.9378529508527164]"
16,484.73121203401166,893657.1450886498,"[0.7180157037084623, 0.28198429629153754]"
17,327.09852910954993,811568.8945276823,"[0.9960753604790932, 0.003924639520906903]"
18,258.0564935955952,373374.43876705016,"[0.5807170496813777, 0.41928295031862217]"
19,786.7219209941745,829521.8063371133,"[0.39025862911935966, 0.6097413708806404]"
20,22.850270619712262,296784.92819340114,"[0.6864343049483524, 0.31356569505164766]"
21,629.0816175445458,473959.30731503235,"[0.16637635859394714, 0.8336236414060528]"
22,893.8485793912365,428903.53348943806,"[0.515723841140637, 0.484276158859363]"
23,990.4778307058866,908430.9243483496,"[0.2432603795830617, 0.7567396204169382]"
24,523.4979913376199,705550.5229843522,"[0.1517682177978228, 0.8482317822021772]"
25,909.2075370443841,384381.19473090174,"[0.2629945653806554, 0.7370054346193446]"
26,973.4190017842424,853004.2923639315,"[0.4398005300923729, 0.560199469907627]"
27,295.74866841453775,993550.2979450143,"[0.2396079115188046, 0.7603920884811954]"
28,386.393319749675,201709.70392261315,"[0.5990389671320099, 0.40096103286799006]"
29,298.30838040517915,597005.2864877377,"[0.0883430702988952, 0.9116569297011048]"
30,770.5626013321681,844983.4484745875,"[0.07775291337561391, 0.9222470866243861]"
31,725.5231138634458,114279.24648150912,"[0.1659570597081292, 0.8340429402918709]"
32,371.02537428807966,373059.89753322536,"[0.013677791286086663, 0.9863222087139134]"
33,706.4327234143332,996947.4283425417,"[0.6433211054873031, 0.3566788945126967]"
34,806.4303145789974,199844.4994031978,"[0.10283169133004162, 0.8971683086699583]"
35,114.12129311804064,559010.341136096,"[0.04971446140629151, 0.9502855385937085]"
36,787.5605194364887,791680.1061900666,"[0.6382200149075572, 0.36177998509244275]"
37,163.39375411897504,276152.3030117294,"[0.6336710456988756, 0.3663289543011244]"
38,826.2740033416376,927659.4308866259,"[0.35911746434209846, 0.6408825356579015]"
39,692.4066202435523,288645.08016461565,"[0.32234317441949617, 0.6776568255805039]"
40,317.8834660329756,634426.6838273404,"[0.2788109994589571, 0.7211890005410427]"
41,215.5543643221829,863136.8445820346,"[0.33888508857896965, 0.6611149114210303]"
42,458.5681378374898,669772.8673537881,"[0.3048055253843948, 0.6951944746156051]"
43,734.4798034727847,900393.8414091052,"[0.17458261680084133, 0.8254173831991587]"
44,959.2921422425221,140443.02361831866,"[0.29164542188326553, 0.7083545781167345]"
45,539.7774035409168,115661.12787162956,"[0.7392217963497827, 0.2607782036502173]"
46,299.80451026060166,120186.42269284018,"[0.3387255922174914, 0.6612744077825086]"
47,746.5600718238068,959990.2063498213,"[0.4930693810635161, 0.5069306189364837]"
48,953.2953148376126,854922.8497610763,"[0.22542437878897365, 0.7745756212110264]"
49,75.6243766496805,203606.5130380927,"[0.1394609719172586, 0.8605390280827415]"
50,662.8409945009752,795837.5571211393,"[0.006202628073782425, 0.9937973719262176]"
51,547.5218032817971,998242.393166626,"[0.7490059107563581, 0.250994089243642]"
52,153.4679794995304,958007.248515467,"[0.6235924800523373, 0.37640751994766275]"
53,64.8499328486794,800132.0463042983,"[0.39928810948128984, 0.6007118905187102]"
54,316.65485269855213,579743.855667779,"[0.008470018981218306, 0.9915299810187816]"
55,615.2002672508557,887666.5106740274,"[0.860581094622746, 0.13941890537725404]"
56,301.49414954496774,737452.4049686408,"[0.9985359815592826, 0.0014640184407173243]"
57,93.96832412360024,314294.2036555935,"[0.5733738094613523, 0.4266261905386477]"
58,301.8261735520291,914556.7043592877,"[0.8945814569966777, 0.10541854300332232]"
59,608.2067636808215,638127.8210253342,"[0.93416863413882, 0.06583136586117998]"
60,311.1797546460696,400021.8240145202,"[0.9897834047451118, 0.01021659525488796]"
61,636.1271627254916,192532.97383841837,"[0.616115408403522, 0.3838845915964781]"
62,931.2076089200414,692885.5251822982,"[0.7912740682085896, 0.20872593179141044]"
63,561.9425581398004,680183.0779632172,"[0.007378123213936332, 0.9926218767860637]"
64,217.39112052626155,971850.0533971346,"[0.4687025456990046, 0.5312974543009954]"
65,86.7092255631711,178253.83476945333,"[0.6748223256054123, 0.32517767439458767]"
66,575.6710174981739,470342.69526969607,"[0.440131265489217, 0.559868734510783]"
67,48.107629675993344,307981.5992612112,"[0.6624858070006846, 0.33751419299931557]"
68,303.500678006909,562200.0894851297,"[0.8951273892760839, 0.10487261072391608]"
69,522.0383108888603,729179.3925037311,"[0.1950805034606649, 0.804919496539335]"
70,106.93484075083127,326422.9453321644,"[0.5567838599119134, 0.4432161400880867]"
71,976.6859058702735,294749.4357922104,"[0.4986486736760716, 0.5013513263239283]"
72,103.17292306672972,602170.887522971,"[0.5042418320223594, 0.4957581679776406]"
73,840.9009768836953,245275.26364273822,"[0.22926996665756247, 0.7707300333424375]"
74,530.3515508524999,225597.95067478914,"[0.2870712627938792, 0.7129287372061208]"
75,451.8588281719723,618273.5384478171,"[0.40754692626867334, 0.5924530737313267]"
76,847.1665029671143,948188.8251973379,"[0.3689935199794272, 0.6310064800205729]"
77,824.7896914207356,412337.607878631,"[0.5508348375334339, 0.44916516246656624]"
78,266.66765505099016,717386.1890718956,"[0.5425203937940439, 0.4574796062059562]"
79,406.19600989903785,621602.5655816381,"[0.113259022719676, 0.886740977280324]"
80,700.220166908802,916901.7725346648,"[0.5014380228375576, 0.4985619771624424]"
81,710.051910026814,654982.6804362717,"[0.05628358519173526, 0.9437164148082648]"
82,600.5858064238104,750376.4893929466,"[0.8420505829670867, 0.15794941703291335]"
83,593.6273601761867,288500.4508506813,"[0.8286289470128331, 0.1713710529871669]"
84,464.3878395997804,573810.1847126312,"[0.9601810622356198, 0.03981893776438014]"
85,154.1344375000184,850120.5187831767,"[0.36584253679879175, 0.6341574632012081]"
86,918.5938413572087,907761.811539586,"[0.9374377969347006, 0.06256220306529926]"
87,203.90342782004092,190200.22707054694,"[0.11516482593595632, 0.8848351740640437]"
88,862.1652647952003,495839.45481749356,"[0.9155813409884084, 0.0844186590115916]"
89,272.43360968194065,211585.42503944912,"[0.04709634456113261, 0.9529036554388673]"
90,230.49505126102832,234129.6948705685,"[0.3893802462688935, 0.6106197537311066]"
91,857.9161299936641,767861.2574457609,"[0.8974700611965408, 0.10252993880345918]"
92,37.629042579196586,348331.52126925834,"[0.7330845817946614, 0.2669154182053385]"
93,213.11015400578998,675708.9989252801,"[0.9454885625912947, 0.05451143740870527]"
94,681.8796951505526,984212.2845552848,"[0.2933607302492574, 0.7066392697507425]"
95,450.1886187601159,434190.401018528,"[0.2251974085677818, 0.7748025914322182]"
96,816.8611695568252,983639.8607727537,"[0.7023651811871626, 0.29763481881283743]"
97,253.0648568369707,834134.734538063,"[0.4349737957831885, 0.5650262042168116]"
98,350.7045042538582,736819.2412805437,"[0.8422864939249556, 0.1577135060750445]"
99,489.2693482207074,251912.2535267377,"[0.5177011937523119, 0.4822988062476882]"
100,645.6813652820924,341598.18515160546,"[0.17335858010656985, 0.8266414198934301]"
101,323.82135472995384,416665.5628429187,"[0.9079807892989799, 0.09201921070102027]"
102,276.98891256340414,180642.93212169927,"[0.17846847343885486, 0.8215315265611451]"
103,930.9427130672765,477351.1863546327,"[0.7763747143832718, 0.2236252856167283]"
104,556.3426432199395,976615.7546838386,"[0.5366122339562572, 0.46338776604374277]"
105,887.5292676495077,569410.3767748906,"[0.15925870199068642, 0.8407412980093135]"
106,939.7712355007952,571849.5250070617,"[0.2901682146339595, 0.7098317853660406]"
107,583.743515862135,450146.25749136176,"[0.07803995485796643, 0.9219600451420337]"
108,492.28980688046084,468686.7311400141,"[0.4339210360762162, 0.5660789639237839]"
109,838.4210984097163,748249.4555574278,"[0.8494397900429745, 0.15056020995702557]"
110,81.478614449855,324944.608914507,"[0.7757799898514154, 0.22422001014858467]"
111,586.9825354453773,561973.0470237138,"[0.3605049432328543, 0.6394950567671458]"
112,625.4227723920167,261562.9433281154,"[0.3425654773333896, 0.6574345226666103]"
113,381.90085035236393,366949.2662147259,"[0.40775323760420523, 0.5922467623957948]"
114,148.302647791881,778961.8489402576,"[0.48944773532535246, 0.5105522646746478]"
115,675.0767740478645,802713.5289341129,"[0.8376378765711853, 0.16236212342881476]"
116,843.1474509881864,144265.35515101193,"[0.8303779976866918, 0.16962200231330812]"
117,675.1629693751665,809952.5131846484,"[0.8382005845941606, 0.16179941540583953]"
118,487.48994709698354,504143.44352288445,"[0.13881488439941814, 0.8611851156005819]"
119,38.99242889762864,216786.15152763904,"[0.048956601822953034, 0.9510433981770469]"
120,461.1754684847071,782655.6704698846,"[0.6037420230494611, 0.39625797695053877]"
121,793.8502780264108,860855.315829469,"[0.5895877521017414, 0.41041224789825853]"
122,121.72453288715279,757926.4514576857,"[0.8976124860389084, 0.10238751396109155]"
123,509.02078816078716,354929.95793205197,"[0.015877508504785646, 0.9841224914952142]"
124,254.19145296707904,775762.1195444233,"[0.37028893336325047, 0.6297110666367495]"
125,200.91215506851808,461484.4999628269,"[0.8118469518503665, 0.18815304814963352]"
126,631.7593990420111,150344.86919838566,"[0.7423770071079286, 0.2576229928920714]"
127,828.1409128299497,988805.8306293631,"[0.15152320237194475, 0.8484767976280553]"
128,293.37473917075596,307978.4228092601,"[0.7784683876011773, 0.22153161239882274]"
129,829.7418589168432,914112.9457421611,"[0.4106552822805648, 0.5893447177194352]"
130,224.41986427535906,155838.931081359,"[0.9486834592910428, 0.051316540708957206]"
131,429.3280835558913,980993.6394922293,"[0.9835090350353195, 0.01649096496468063]"
132,424.23133475785943,901857.0908649961,"[0.12007248628027478, 0.8799275137197253]"
133,59.911415513335676,105556.30143181374,"[0.28143443258766476, 0.7185655674123352]"
134,566.8305030642526,862736.0859363298,"[0.3237803703264828, 0.6762196296735171]"
135,565.7722999998502,808159.6193905954,"[0.15377372013846463, 0.8462262798615353]"
