,T,P,zs
0,842.5713172904851,775686.5018632363,"[0.11034564338518607, 0.889654356614814]"
1,710.2288479243468,942464.5561121429,"[0.7360741252185062, 0.26392587478149376]"
2,274.1466297891762,329159.4232482024,"[0.7326176251032869, 0.267382374896713]"
3,621.6217367186454,636439.0741422116,"[0.9165201633283258, 0.0834798366716742]"
4,702.7257391823157,622567.1801771547,"[0.12132838057939974, 0.8786716194206002]"
5,635.4029801622997,678527.9062241777,"[0.4919192458861762, 0.5080807541138238]"
6,331.89866710961525,655719.0499379535,"[0.36944773381453133, 0.6305522661854687]"
7,446.4364081321493,667542.4805833332,"[0.2415012971329137, 0.7584987028670864]"
8,603.1301161226543,583101.8331326912,"[0.7709886056763239, 0.22901139432367607]"
9,658.1680788342129,768483.7440724192,"[0.5459082689923936, 0.4540917310076062]"
10,514.4842338005426,964307.9465556819,"[0.9741413873676134, 0.02585861263238653]"
11,796.0492481157902,522750.9440999855,"[0.5272765845495246, 0.47272341545047536]"
12,667.254173119136,780665.8976428566,"[0.7657829276377348, 0.23421707236226508]"
13,991.858114252349,902216.8896140179,"[0.393174105808101, 0.6068258941918989]"
14,61.74597351832329,247211.09051067533,"[0.6541069334947736, 0.34589306650522633]"
15,155.42889075001708,781319.9133902427,"[0.8267882468046202, 0.1732117531953798]"
16,628.8293514428838,846405.0388049725,"[0.7214249818460289, 0.27857501815397107]"
17,398.23794675936597,261837.92997890426,"[0.41017062743256255, 0.5898293725674373]"
18,603.9525653835557,328112.41277501977,"[0.3628146968424952, 0.6371853031575049]"
19,468.08054332955004,474087.3253691742,"[0.24491487219497826, 0.7550851278050218]"
20,992.5017750544597,629997.6429095764,"[0.8325573021493078, 0.1674426978506923]"
21,914.1906048865524,552438.0014489101,"[0.26448913915562855, 0.7355108608443716]"
22,495.64217933153736,395773.7904417185,"[0.3071452742370285, 0.6928547257629715]"
23,225.18942451858797,897442.5091711646,"[0.06358975381134656, 0.9364102461886534]"
24,258.49365617310286,410698.36228699866,"[0.4641250709063717, 0.5358749290936282]"
25,430.2157819596496,407314.00439423247,"[0.4735948498103341, 0.5264051501896658]"
26,582.5286055385609,147686.36444813313,"[0.041779491064375986, 0.958220508935624]"
27,748.0728752901074,240983.7964004997,"[0.9660196400132605, 0.033980359986739525]"
28,980.3982018492288,872247.3665256875,"[0.7539483788108613, 0.24605162118913865]"
29,49.61105212947627,172463.87120382188,"[0.08568470399825566, 0.9143152960017442]"
30,36.474069494742935,924934.5996058306,"[0.6490714739829193, 0.3509285260170807]"
31,322.7541132495851,943807.2570361889,"[0.5828280753166306, 0.4171719246833692]"
32,18.746574015726146,881231.3771220214,"[0.5161490639034572, 0.48385093609654295]"
33,944.9472875051448,825071.7459244824,"[0.9353062768978335, 0.06469372310216658]"
34,47.25634072900306,572781.0821251364,"[0.2086205232162885, 0.7913794767837116]"
35,488.52142491677637,168015.8637668114,"[0.750542330280217, 0.249457669719783]"
36,418.6009742241099,812656.1180715524,"[0.9826821061854859, 0.017317893814514065]"
37,608.8165146237249,269934.6887219043,"[0.7896699527325183, 0.2103300472674816]"
38,96.54206958397535,521391.0035774616,"[0.07337079886216381, 0.9266292011378362]"
39,767.077652691084,101473.93788638372,"[0.6351076883902682, 0.36489231160973173]"
40,868.7776415673252,750586.0374906447,"[0.9397811828838446, 0.0602188171161554]"
41,421.6099987265689,608898.6995372756,"[0.946849770033765, 0.05315022996623496]"
42,742.678045242493,249925.10899727338,"[0.7010864342218571, 0.29891356577814276]"
43,757.0227489402515,957379.3432189883,"[0.250358955816675, 0.749641044183325]"
44,522.0268016114547,556353.5748722188,"[0.68575501759514, 0.3142449824048601]"
45,291.17897270932536,618435.4258470798,"[0.6705397934864618, 0.32946020651353813]"
46,26.935670588656,291796.64078855293,"[0.7835318329236203, 0.2164681670763797]"
47,895.887945440118,328761.50535369833,"[0.18531118847336372, 0.8146888115266364]"
48,285.48787993533995,145281.64155344784,"[0.8339721096650657, 0.1660278903349344]"
49,902.8821874543636,583809.5105571006,"[0.7868593507149382, 0.21314064928506182]"
50,884.0012787332989,260731.6186140537,"[0.3614658200833473, 0.6385341799166526]"
51,923.4070993201691,959236.1057114132,"[0.025779584586980684, 0.9742204154130193]"
52,751.7892891459397,888443.1784788823,"[0.3809325740386662, 0.6190674259613337]"
53,750.095855972485,648458.7594744851,"[0.578244115982195, 0.42175588401780506]"
54,673.6709372891382,633191.8479486381,"[0.4124421468708546, 0.5875578531291453]"
55,733.9610214724454,326299.76507121744,"[0.30623955620058774, 0.6937604437994124]"
56,794.4467933406956,820468.939941887,"[0.7789303590137738, 0.22106964098622606]"
