,T,P,zs
0,23.351258856222714,227858.04302383558,"[0.6179495697942657, 0.38205043020573437]"
1,173.61256608114445,844746.3971316714,"[0.409458386101077, 0.590541613898923]"
2,984.2472927665774,894969.3063611463,"[0.026192243425349836, 0.9738077565746502]"
3,238.30894156439393,643479.0021713412,"[0.37658677468985996, 0.62341322531014]"
4,460.22087564024724,624213.3115723245,"[0.7047735429486656, 0.2952264570513344]"
5,525.8558582253112,297767.2000741883,"[0.17374864227401265, 0.8262513577259873]"
6,935.6516904346615,304844.8877860622,"[0.5261048526245391, 0.47389514737546096]"
7,356.7042952429733,138874.73011187534,"[0.5377533225597292, 0.46224667744027076]"
8,963.5705002093831,318537.5933884562,"[0.27974090812813884, 0.7202590918718611]"
9,656.7772923714109,708591.5376516847,"[0.16452750356434723, 0.8354724964356528]"
10,333.1969257448163,122317.92801624446,"[0.8277813347752621, 0.17221866522473792]"
11,164.346709432761,562595.683027084,"[0.9413307222140264, 0.05866927778597359]"
12,361.40727700799994,345414.5056981251,"[0.42872443724996967, 0.5712755627500303]"
13,22.905668071688133,834902.1524689295,"[0.5073952933311322, 0.49260470666886785]"
14,808.5139147580961,906913.6346787065,"[0.11261950907822561, 0.8873804909217743]"
15,458.3231412685058,254910.2324901318,"[0.6878183779763413, 0.31218162202365884]"
16,521.2438179294509,828973.7576625453,"[0.9891074093018143, 0.010892590698185685]"
17,103.35966859318351,519372.30587323033,"[0.749936863549386, 0.25006313645061395]"
18,217.74814932308797,668583.8741597007,"[0.7290284080117053, 0.27097159198829457]"
19,120.19958123077436,112628.34533329276,"[0.18661669921258656, 0.8133833007874135]"
20,677.4606446126392,441827.59404330363,"[0.7787647194356878, 0.22123528056431227]"
21,907.4591937541217,246735.71837909677,"[0.05121260424058552, 0.9487873957594146]"
22,383.3242997649148,332417.673789741,"[0.5136900732194537, 0.4863099267805463]"
23,313.41762398054084,372957.619591151,"[0.16409048436725301, 0.8359095156327468]"
24,471.754246051075,978278.6403772231,"[0.5366178225248034, 0.4633821774751967]"
25,440.83662714553856,744162.0480794576,"[0.48709713771666957, 0.5129028622833304]"
26,423.1294916746586,471154.8799981204,"[0.9903750280537983, 0.009624971946201757]"
27,178.82729453357467,952984.0696353363,"[0.38547989217219153, 0.6145201078278085]"
28,350.3089134582718,306405.73082226655,"[0.16266875481881607, 0.837331245181184]"
