,T,P,zs
0,677.5392841654353,450152.9528442823,"[0.9133424923416351, 0.0866575076583649]"
1,440.07400989383035,391243.0144050199,"[0.3354661667581937, 0.6645338332418063]"
2,943.4024045884989,261830.49727315607,"[0.8780261457706201, 0.12197385422937994]"
3,278.6248504652221,126196.6187781114,"[0.08385640512459457, 0.9161435948754055]"
4,719.5820838410582,748226.8712465144,"[0.4906189233887832, 0.5093810766112168]"
5,296.48670790641376,683567.6664340538,"[0.9337753780261865, 0.06622462197381353]"
6,349.73103141680247,390116.99654214235,"[0.34480269364907246, 0.6551973063509275]"
7,387.9662865448521,762286.6255568091,"[0.7843984054080696, 0.2156015945919304]"
8,428.8423831546431,234073.29601013294,"[0.18568686879069005, 0.81431313120931]"
9,63.40373560941927,581209.331222961,"[0.7450136717601611, 0.2549863282398389]"
10,887.4872605077728,901237.8222974356,"[0.32855324826493987, 0.6714467517350602]"
11,560.8313949382249,543828.4313473676,"[0.8474018390592218, 0.15259816094077822]"
12,232.08193922119196,691873.9348425834,"[0.05368213138770723, 0.9463178686122926]"
13,432.126957555161,323858.7764945179,"[0.8621936184686878, 0.1378063815313122]"
14,493.6271265887693,879192.808986419,"[0.7627588689608127, 0.23724113103918723]"
15,576.605286057922,647946.9551982066,"[0.28958195119862284, 0.710418048801377]"
16,602.2822008275838,274989.9007439122,"[0.6427688991652654, 0.3572311008347345]"
17,579.7763199914684,167426.8526374861,"[0.06542344917133507, 0.934576550828665]"
18,299.3064859041958,693041.1700462592,"[0.6280639892635945, 0.3719360107364054]"
19,475.24190822719964,519303.4425593137,"[0.7354788596125078, 0.2645211403874923]"
20,871.4359902438268,888802.7044780824,"[0.4679742118292612, 0.5320257881707386]"
21,31.852778228488184,617029.8646547021,"[0.7538615166721875, 0.24613848332781255]"
22,806.4861474410807,427432.3737775388,"[0.271889494779415, 0.7281105052205851]"
23,326.03085579230395,382398.6733944616,"[0.16904362145097157, 0.8309563785490284]"
24,408.54391667287814,414677.73680145293,"[0.733731185355513, 0.266268814644487]"
25,154.53171690559287,434126.4651847713,"[0.20553122170558358, 0.7944687782944164]"
26,588.5258758077504,246787.5220012811,"[0.04812641761032529, 0.9518735823896748]"
27,460.71200140543954,274668.7895833697,"[0.5811227543765077, 0.41887724562349227]"
