,T,P,zs
0,349.90600136728364,756539.7038409159,"[0.22303974062603493, 0.3828496193896668, 0.3489143580162603, 0.0451962819680381]"
1,827.5601221594632,610016.770242586,"[0.19387600187597595, 0.1402958681059109, 0.18045458473238307, 0.48537354528573007]"
2,343.73217924880475,820109.4873306722,"[0.09726986860827595, 0.347836461581123, 0.44555862157846804, 0.10933504823213297]"
3,443.43771421988157,347100.16156669636,"[0.10628732356089303, 0.08352346326172239, 0.6839329999529711, 0.1262562132244134]"
4,36.45744468027817,280557.2605974395,"[0.06294842571257027, 0.7346621783234606, 0.1054163185263683, 0.09697307743760077]"
5,165.11387580562214,550913.0573339239,"[0.8083074588393017, 0.16866295806258913, 0.0033647685952963207, 0.019664814502812898]"
6,916.7858773218023,116798.71433110301,"[0.0027943079601131723, 0.0158144733590551, 0.25267981158021524, 0.7287114071006164]"
7,179.91795728491599,851629.3006074936,"[0.6590149417472128, 0.06822648051314747, 0.2590059445260114, 0.013752633213628367]"
8,464.482795651115,740562.5999967081,"[0.7011281130936282, 0.22704283745156517, 0.013528792132983799, 0.05830025732182275]"
9,996.402847004176,861140.1589445822,"[0.5984661672186622, 0.10952019477361524, 0.11844048686921456, 0.17357315113850807]"
10,378.5376619401725,228197.34151525778,"[0.42270881911799507, 0.44505778581248456, 0.022572003857002396, 0.1096613912125181]"
11,271.2430073556893,134074.86436387457,"[0.592596545786618, 0.15245830669907748, 0.041516574184672694, 0.21342857332963183]"
12,199.82092291857688,698163.0941445079,"[0.12053502810288795, 0.7131097188071966, 0.02058430764867945, 0.1457709454412361]"
13,61.523764524973885,838150.7768700618,"[0.10858493816021139, 0.773225033728618, 0.08571628586236284, 0.032473742248807884]"
14,454.0387073843634,987917.5914937132,"[0.1113756806279159, 0.1332229294276166, 0.03152580411420543, 0.7238755858302622]"
15,198.83611761644215,619527.8195524502,"[0.27947464702368885, 0.2583444916452771, 0.3703751057571103, 0.0918057555739237]"
16,274.5886291512494,606368.6221834645,"[0.23023080023641146, 0.028923189361707027, 0.45735056107122146, 0.28349544933065995]"
17,528.849116472416,513168.58459949883,"[0.0017654568994542254, 0.009967103796250078, 0.9156907990686228, 0.07257664023567292]"
18,601.8581871099439,783356.7702601939,"[0.41158140354337897, 0.14226396365723662, 0.2146449182762594, 0.23150971452312508]"
19,909.616224840799,397820.2475659259,"[0.09557924599609963, 0.028559213414156508, 0.20957151747163702, 0.6662900231181068]"
20,405.07984575765636,587332.8792734105,"[0.34779480431797244, 0.13282038929368356, 0.2693757848578185, 0.2500090215305256]"
21,72.03481583015065,316094.64872597286,"[0.11920083364131459, 0.6621222236145642, 0.10474421650204356, 0.1139327262420777]"
22,848.0841200750074,835397.6567734297,"[0.19833608340264636, 0.03226065332578025, 0.14659194283032903, 0.6228113204412444]"
23,85.53776413625101,723700.2416090762,"[0.0705785801818914, 0.34204892610912885, 0.3651837922221112, 0.22218870148686867]"
24,859.277141949057,280270.1260799166,"[0.010647885084060471, 0.2653361732750342, 0.3404071373214762, 0.38360880431942906]"
25,580.7343859193197,453987.8261980012,"[0.16184456401606537, 0.10101938068688704, 0.3542665089770584, 0.38286954631998915]"
26,173.99067869417811,243730.98528985755,"[0.25754252417996976, 0.06251528148061866, 0.6237370704079442, 0.05620512393146737]"
27,973.2150804967739,470466.2092816953,"[0.6832892149577047, 0.02822568428857502, 0.05477083976781495, 0.23371426098590542]"
28,171.87308812085502,567915.4168139324,"[0.29090146075872797, 0.4969345762824862, 0.07947303715811978, 0.13269092580066602]"
29,981.8710840967078,238701.33461669073,"[0.5137426647803702, 0.11353170530370144, 0.16596772761754167, 0.20675790229838664]"
30,646.3877610760461,665108.9863187089,"[0.19701496372182015, 0.3576415103659707, 0.36992962573027144, 0.07541390018193776]"
31,616.9165013285133,769100.8026960744,"[0.3504886721091013, 0.24514489415594806, 0.33210808280197623, 0.07225835093297445]"
32,352.9223213507354,195400.9155037231,"[0.1598131839062383, 0.5198442893520662, 0.09249241586552892, 0.22785011087616663]"
33,482.45103955368893,128485.33028356875,"[0.0495294376321013, 0.3503621906971676, 0.26239732086228207, 0.337711050808449]"
34,259.3499085334604,896089.9983410334,"[0.09584868184057276, 0.024139345683351278, 0.41069944529296193, 0.46931252718311406]"
35,587.2217101404608,890866.2851504621,"[0.007125337397317369, 0.3607625441995067, 0.06257521964276867, 0.5695368987604071]"
36,131.065773954409,913663.9883754663,"[0.0765012466584707, 0.6649634306682636, 0.1561868380673701, 0.10234848460589564]"
37,161.33545053362997,118335.21521914352,"[0.13064541607601318, 0.2431626447462895, 0.008448851364724261, 0.617743087812973]"
38,718.5792336085517,365647.64847096545,"[0.24795685531196282, 0.025799574951395794, 0.5801209306156078, 0.14612263912103365]"
39,737.7815802030256,975470.253686625,"[0.03272120274528197, 0.12852566191530643, 0.7973737093592009, 0.041379425980210785]"
40,199.31145418686214,333292.50589403644,"[0.2059758061037263, 0.18180316021984405, 0.22841234623261303, 0.3838086874438167]"
41,539.634309930877,871619.7436132366,"[0.5016702999601783, 0.1286970038219565, 0.06630078816389173, 0.3033319080539735]"
42,909.913432549634,828018.0110075254,"[0.1315564574217024, 0.3421415044112735, 0.04761720616900548, 0.4786848319980187]"
43,256.20140024199264,591237.9919444378,"[0.35165954328122806, 0.26684272863012565, 0.05177163606205665, 0.3297260920265896]"
44,889.4389527939378,959049.3114599636,"[0.6277821953229682, 0.07300896293476425, 0.15104522817633392, 0.14816361356593377]"
45,161.36824896073503,306291.7940145163,"[0.115421012218406, 0.3414547005806177, 0.4857503642509435, 0.057373922950032845]"
46,114.6799112441217,590096.7415219708,"[0.4393338063753283, 0.2949677295947271, 0.16353711495612536, 0.1021613490738191]"
47,489.96153199061536,448454.1654136183,"[0.13979218000410093, 0.31061227189900004, 0.1698750609679287, 0.37972048712897016]"
48,310.4534708334676,167151.4256946753,"[0.22799194736308218, 0.6190453908273095, 0.09220443773048642, 0.060758224079121986]"
49,523.7404578187418,838731.6140989176,"[0.24179495296159628, 0.2787412354705205, 0.19524794422067604, 0.2842158673472072]"
50,800.4312709425426,967394.9807720508,"[0.07069201534182813, 0.18543332600893886, 0.24366385906616608, 0.5002107995830669]"
51,561.9445564879212,825518.0931297098,"[0.32150376288037225, 0.009010865012841342, 0.5438726398854952, 0.12561273222129124]"
52,487.99882338312824,487756.86697028426,"[0.4642720132318327, 0.1729466605086935, 0.18424443166667615, 0.1785368945927976]"
53,119.13773308818426,498032.7843088871,"[0.21394899344515914, 0.5152768467674992, 0.06820829694743712, 0.2025658628399045]"
54,342.48612526862087,315548.48671222385,"[0.022533427633879066, 0.47550929745204196, 0.026796932909987123, 0.47516034200409196]"
55,860.400617609304,665786.5641266316,"[0.649403803388006, 0.30279970736414, 0.006796991428244408, 0.04099949781960948]"
56,989.4008606468321,963999.1657690826,"[0.04026418235657411, 0.004393867262121467, 0.4959788786227233, 0.45936307175858115]"
57,745.3193166544986,373606.4124352012,"[0.11347686665957946, 0.11415414523324835, 0.15687258601758639, 0.6154964020895857]"
58,163.83917993585408,475950.4846418135,"[0.3270503465273273, 0.002290300161292424, 0.6194219705024931, 0.05123738280888726]"
59,736.8923742222108,768210.4381474087,"[0.0017285802367655535, 0.14488734700772743, 0.1835987691938764, 0.6697853035616307]"
