,T,P,zs
0,551.6862357283892,782854.4650902576,"[0.3586653139116602, 0.05529189695078312, 0.02786476155342366, 0.558178027584133]"
1,422.61415862987155,221537.86599289044,"[0.4112283619303809, 0.45552177663600507, 0.08979142973226065, 0.043458431701353335]"
2,365.74427043247715,623136.7625167924,"[0.05449178251563256, 0.39247845791131325, 0.0989445623054409, 0.4540851972676132]"
3,636.8218665388443,312832.4876590858,"[0.3088448721123315, 0.1346562860011184, 0.465517117808659, 0.09098172407789103]"
4,477.6730312949588,358744.3985114274,"[0.2915126600425284, 0.18404882280209206, 0.03528710552705181, 0.4891514116283278]"
5,311.71838581204395,228533.5949057302,"[0.11883413923378924, 0.09746941083556024, 0.1591772399500117, 0.6245192099806388]"
6,217.34050092017944,324320.19410308066,"[0.20632326930748163, 0.2829391569695645, 0.33744054418610325, 0.17329702953685058]"
7,371.77313845303155,309107.0608892549,"[0.2784729124023053, 0.03811651252771838, 0.518282006664074, 0.1651285684059023]"
8,491.21033998371985,301660.9823305331,"[0.07302759160981921, 0.07695155014475714, 0.1207344333187496, 0.729286424926674]"
9,112.35066731533007,846454.620128287,"[0.3499773173860307, 0.17764647833619782, 0.15808786157294583, 0.31428834270482564]"
10,133.9683131042909,438229.0339391219,"[0.4010641850310744, 0.3405733502542239, 0.028735597712185115, 0.22962686700251642]"
11,453.2224121587968,524310.0458166753,"[0.25363447520770993, 0.19818408930763956, 0.33508693674552115, 0.21309449873912933]"
12,930.9817572910979,375431.9141356888,"[0.039978633343132085, 0.3377682701164764, 0.580585505589217, 0.04166759095117457]"
13,638.316412560675,186579.3054226822,"[0.15576455817925172, 0.07623286708981092, 0.44402031212238136, 0.323982262608556]"
14,643.9580393795994,885059.2697638966,"[0.2567767577817878, 0.13723933004934394, 0.5205375832616808, 0.08544632890718754]"
15,117.8809529776181,538418.7706086412,"[0.30775439492764955, 0.15461797462444887, 0.07419773878521643, 0.46342989166268517]"
16,88.08317285708632,728971.6158891537,"[0.045487147743958484, 0.41666315392162173, 0.5307195694499618, 0.00713012888445809]"
17,506.5154079510059,986283.3104473997,"[0.051048438614373935, 0.4211156196594828, 0.18147756258342546, 0.3463583791427178]"
18,575.0019500514826,214871.02205425667,"[0.01647568877001442, 0.31145385492881067, 0.3510644051873969, 0.32100605111377795]"
19,437.2362899248775,622897.1638070515,"[0.17825902866446802, 0.4941385609936921, 0.2230019399719948, 0.10460047036984517]"
20,707.2296803548627,932876.2510172076,"[0.16286809448087491, 0.09917945794598634, 0.6302933210889669, 0.10765912648417196]"
21,160.84044624552752,321608.39318548254,"[0.06706830263449129, 0.24526865250749014, 0.5014105724452992, 0.18625247241271928]"
22,563.4493841063502,530857.7524219346,"[0.19693606216733062, 0.42026672538545534, 0.20618387416777134, 0.1766133382794426]"
23,126.91796108532307,267914.9384154999,"[0.0049268303427517715, 0.47462582788112817, 0.49597993450669614, 0.024467407269423966]"
24,467.4744850890485,492382.0697357837,"[0.13295989451731954, 0.006244909211406212, 0.08162742769929253, 0.7791677685719817]"
25,973.6930411832676,881893.4153985397,"[0.48187861995518577, 0.2967333013013503, 0.07703233672727117, 0.14435574201619286]"
26,835.2104535571942,698487.0321885691,"[0.0315708119610486, 0.19490750056341227, 0.5735128943028716, 0.20000879317266756]"
27,403.95414792046364,259885.40244175968,"[0.5117237068267044, 0.04308241932889226, 0.3326776704663676, 0.11251620337803582]"
28,804.2312098803714,236331.6658693819,"[0.17345386252781025, 0.4923630797802978, 0.022238925705053186, 0.31194413198683857]"
29,227.28092009851375,156575.35695565477,"[0.2900607959995038, 0.04570878002407249, 0.5562003829540906, 0.10803004102233302]"
30,855.4092472008009,314033.50406993285,"[0.049478136178889166, 0.617784630468965, 0.04554171117061342, 0.28719552218153255]"
31,816.5963300230294,365374.2292697065,"[0.1360199118036481, 0.15291713409701005, 0.09681063268140247, 0.6142523214179394]"
32,192.97678958900605,917599.3870920219,"[0.2579795497390674, 0.287488771122868, 0.18153361577816243, 0.27299806335990234]"
33,125.14213112660224,615484.5012112294,"[0.3431113474852182, 0.18267505468731376, 0.396985989916362, 0.07722760791110585]"
34,921.3570554051645,698008.3605617046,"[0.343725283401693, 0.16775445318521884, 0.36430384515603503, 0.12421641825705293]"
35,342.097657892567,614007.3159564788,"[0.2415540930522583, 0.04053029528751714, 0.29198860950794703, 0.4259270021522776]"
36,475.6827192096897,124840.38148394419,"[0.21125124929323455, 0.3089479237796411, 0.08408769066221466, 0.3957131362649096]"
37,383.2615246437651,494073.8825109517,"[0.11541389224705055, 0.38047116828401184, 0.2542817379811936, 0.24983320148774404]"
