,T,P,zs
32201,364.17702697285614,938576.1199042744,"[0.44205543723404495, 0.48788795930929085, 0.06693293462958352, 0.0031236688270807477]"
18463,423.4157877080632,409709.8702940698,"[0.2460578471350127, 0.4152966118965314, 0.30631597228065266, 0.03232956868780324]"
37794,58.057452957985085,252510.971546329,"[0.589471393947702, 0.33398610353015334, 0.056334507428595054, 0.02020799509354959]"
43326,670.5218230300065,112707.56653446535,"[0.1105882144406765, 0.7522048107392838, 0.07390477995991339, 0.06330219486012631]"
16060,564.4985644005684,960045.7781684372,"[0.19945324041078108, 0.3259041695732022, 0.114664383339772, 0.3599782066762447]"
46789,287.2101847752121,321338.7128396499,"[0.328006944370138, 0.2622888182917352, 0.04267273081985189, 0.3670315065182749]"
2866,114.89199061790674,306148.3259052219,"[0.1616749006198208, 0.393064770192527, 0.049303084336068226, 0.39595724485158396]"
24573,244.32044034237828,229771.86351176663,"[0.03896288760880501, 0.750322788744617, 0.12919920115774433, 0.08151512248883366]"
33718,409.4570781410838,271450.31049559324,"[0.5282402061192212, 0.09873692125395654, 0.2890374048419241, 0.08398546778489838]"
31419,886.6952322104873,126522.45357425652,"[0.11537878457698984, 0.4887502164348068, 0.08533457505145223, 0.3105364239367511]"
20444,668.7566938119018,249303.8771252731,"[0.37174916168584043, 0.08066073769267454, 0.2749284350681238, 0.27266166555336113]"
31849,972.080558639409,854769.1607055381,"[0.27502858288062, 0.041729840417679034, 0.5210294562658416, 0.1622121204358594]"
29954,49.49890367031954,380253.5098672744,"[0.12566527285023527, 0.40668634287660516, 0.37642151198125384, 0.09122687229190568]"
6479,642.9454513890705,187391.8964338257,"[0.16964440936755334, 0.32160726414407453, 0.2134256241601674, 0.2953227023282048]"
39932,354.0333108808165,662785.2341670386,"[0.10048010433726406, 0.7384400556054076, 0.10055576652573704, 0.06052407353159123]"
22024,748.7677931059719,672656.8661466336,"[0.4898894958739777, 0.2696516063846223, 0.014106258675642984, 0.22635263906575703]"
40737,117.65440466411984,620900.467806253,"[0.14489200363251586, 0.038929714918007154, 0.07783105364737619, 0.7383472278021008]"
