,T,P,zs
23821,195.9805054132433,580633.6267563616,"[0.5833450425201505, 0.4166549574798495]"
36781,105.49125383508024,762688.3162769249,"[0.5662732235388578, 0.4337267764611422]"
46286,494.50181172561554,534244.7112484336,"[0.4124751705536812, 0.5875248294463188]"
43656,996.1425034538926,992641.2256030878,"[0.4680304949075968, 0.5319695050924031]"
825,85.31263510201661,991482.5462712976,"[0.42548028765994433, 0.5745197123400556]"
23860,981.0369869494284,781133.8068457654,"[0.06307462462544311, 0.9369253753745569]"
35600,125.28891601359756,207680.47284865545,"[0.17418876240845732, 0.8258112375915427]"
25097,362.51491596794136,214238.5488907256,"[0.2042285168532117, 0.7957714831467881]"
1730,664.7000402943892,510475.4985871413,"[0.7822975195287818, 0.21770248047121823]"
36700,68.43712841639604,285027.05174998974,"[0.7268538387930815, 0.27314616120691854]"
47092,492.0777704336632,602342.4519724955,"[0.1856568160732648, 0.8143431839267352]"
1532,576.0083522680059,336145.91898208554,"[0.8711145947770653, 0.12888540522293473]"
3565,294.4916095741548,682901.0296249776,"[0.4211260393358524, 0.5788739606641476]"
22011,592.029146482901,388695.0286649108,"[0.0025355332367014635, 0.9974644667632985]"
44823,230.36001814367592,504625.5096433413,"[0.9395018524346873, 0.06049814756531268]"
18779,770.9879329101706,113604.57593688328,"[0.5641457456444472, 0.43585425435555286]"
29322,844.0019592523485,774857.2416009913,"[0.4745369193650681, 0.5254630806349317]"
26631,171.8019750588009,646472.7918726569,"[0.011323914088850348, 0.9886760859111496]"
38970,904.0978549962124,462850.8941507725,"[0.9374177849047304, 0.06258221509526961]"
10065,880.3989775419515,379509.1982213872,"[0.4309903892918898, 0.5690096107081103]"
36236,421.2330152780031,769094.4737262585,"[0.41397359669453193, 0.586026403305468]"
6724,186.34419897145048,577443.9361122567,"[0.3957982495636452, 0.6042017504363549]"
11793,874.2746861618646,535548.8184225371,"[0.3159685416836037, 0.6840314583163962]"
4470,510.2364288019225,307715.64588736393,"[0.9938417650635544, 0.0061582349364457225]"
31063,897.2650106750815,950348.9079552464,"[0.527704706360743, 0.47229529363925715]"
2977,168.0124646749911,796081.1156337977,"[0.12716031818470322, 0.8728396818152968]"
6136,636.9115758728641,128636.15199597795,"[0.07671865532541407, 0.923281344674586]"
21957,937.9112810235312,829463.0520612462,"[0.6544295378746955, 0.3455704621253045]"
16261,299.454723103414,794945.1187092144,"[0.13073823484638994, 0.8692617651536102]"
10578,893.2665091009759,431695.3672974975,"[0.6255216976496992, 0.37447830235030083]"
31888,196.190368723224,660694.1699277594,"[0.7836558084801891, 0.21634419151981088]"
5152,657.81149324231,569319.5928932021,"[0.5863984587443916, 0.4136015412556085]"
43168,792.5016131691322,454813.0524830057,"[0.4597472351860757, 0.5402527648139243]"
48665,496.2346409253236,472724.63468409743,"[0.06220421322607662, 0.9377957867739235]"
12536,365.5116814900478,875988.8521415098,"[0.43356976906234257, 0.5664302309376575]"
20317,573.6009853493426,510984.5417806241,"[0.33583520942908657, 0.6641647905709135]"
25714,178.09868850987897,370498.8157120805,"[0.30985343126247605, 0.6901465687375239]"
20582,664.287002936103,573008.5896497441,"[0.7318542787105934, 0.26814572128940656]"
48727,744.0414665164989,455872.74338811793,"[0.7099826452971817, 0.2900173547028182]"
8438,66.60331288014382,434987.772180865,"[0.5721796443245774, 0.42782035567542254]"
18335,778.472575608533,340275.0608631311,"[0.11703049462413966, 0.8829695053758603]"
17179,190.48405437148435,176248.96450738068,"[0.9344448955908625, 0.06555510440913753]"
46120,597.3905077020287,226062.73246701696,"[0.6978738971903178, 0.3021261028096823]"
21816,541.8145976285708,784278.632962137,"[0.11075180285706938, 0.8892481971429308]"
31543,992.1210068494424,998785.110878584,"[0.883787387219794, 0.11621261278020588]"
36847,478.6276409814748,997557.45320624,"[0.6895111068464111, 0.3104888931535889]"
46353,679.3038615915009,550377.2254700924,"[0.6434034204840896, 0.35659657951591034]"
