,T,P,zs
47681,975.2696227442042,746830.718134805,"[0.32230610850388286, 0.3676471678781745, 0.18433598236658838, 0.12571074125135423]"
6412,430.9719716558853,778551.2958385025,"[0.06263994030560548, 0.21743905366677624, 0.10618122954208066, 0.6137397764855376]"
14527,943.189911107054,468502.0270913427,"[0.06638031302171826, 0.07306162528740008, 0.22523940242411294, 0.6353186592667688]"
49182,926.9902615501338,205641.64041629672,"[0.28364802155164853, 0.009809880804560035, 0.3473337474814256, 0.359208350162366]"
28387,709.4168610151694,851424.6873719825,"[0.12421679269503826, 0.6951100953621917, 0.1262721192887432, 0.054400992654027015]"
18798,282.6302674426999,110926.35313525995,"[0.19548946063781053, 0.215338196443355, 0.4504443720131584, 0.13872797090567607]"
17278,280.0813472361981,814042.0595533695,"[0.073489647777639, 0.6215565790653074, 0.273242458396633, 0.03171131476042065]"
4655,406.2072944502918,165298.16891132283,"[0.06430920449719173, 0.28136512520318085, 0.0019111839303904566, 0.6524144863692369]"
8025,375.0148721926395,132249.4006880155,"[0.1799178126080233, 0.7178218961685747, 0.057010592554110735, 0.04524969866929118]"
25380,482.03167321134725,422758.2861055631,"[0.580348858767386, 0.05871040179389119, 0.3460290590138313, 0.014911680424891634]"
13815,470.6540107196577,723039.1834706928,"[0.3867366779355549, 0.38170088232327637, 0.19413046403334924, 0.03743197570781965]"
46153,905.4841831309366,512707.5282756477,"[0.38939902609234944, 0.09645498947435932, 0.21935835088137853, 0.2947876335519127]"
46953,768.9291990308386,491196.19968455087,"[0.22865061172465, 0.11450207218080224, 0.49474230796050966, 0.16210500813403816]"
13953,237.17121633350808,149781.34309105456,"[0.026443302708127628, 0.6674571277481353, 0.22499148931996074, 0.08110808022377652]"
19350,762.1416389541348,747674.5332449834,"[0.0706295715378516, 0.4525927291665165, 0.4239758047456648, 0.05280189454996699]"
25020,873.3133233763156,713748.586413924,"[0.008346226984263324, 0.1819198587076037, 0.07621952035066146, 0.7335143939574714]"
10848,769.8969018229328,304416.036828268,"[0.12525087234605517, 0.07711632408552709, 0.5771368891258065, 0.2204959144426112]"
16245,708.9230566871129,784464.1384298217,"[0.0821199851675231, 0.14742379515028417, 0.2949946778182197, 0.47546154186397316]"
7879,615.6554196751348,239585.90002369497,"[0.11155848268892199, 0.07918497711426133, 0.09501151413839506, 0.7142450260584217]"
15192,295.7202458535746,417148.77549943584,"[0.7909774364114006, 0.17189903747652296, 0.03702430031148379, 9.922580059271685e-05]"
11562,826.496895575507,477534.3007872953,"[0.20675050350257296, 0.18238346199689792, 0.03624868890341435, 0.5746173455971149]"
48547,120.57057406746972,362289.26341132895,"[0.12977374578589188, 0.07886983250607515, 0.4754443197156074, 0.31591210199242564]"
35000,674.138169599622,873367.3939630176,"[0.6736513357445809, 0.04622689565398601, 0.11780770873602885, 0.16231405986540423]"
2264,11.682739571132444,619437.1083716545,"[0.43818121620047246, 0.014156084708613218, 0.12632999838789324, 0.42133270070302103]"
5148,939.8096203917776,513225.0143691952,"[0.17860102039883827, 0.0037522342985846194, 0.655278234287214, 0.16236851101536307]"
33197,652.6999855526959,481699.9336710262,"[0.4381254445181229, 0.027491959798974216, 0.420379537773335, 0.1140030579095678]"
3099,428.3371856219715,488031.809218386,"[0.28298348720730787, 0.10972472293389832, 0.425915962257682, 0.18137582760111157]"
32963,955.5226061288696,504316.5493279602,"[0.5153092754628192, 0.0364086048217122, 0.38827728076531043, 0.060004838950157964]"
45458,495.1045130099859,760110.1957358632,"[0.009830665205487902, 0.15411840695383952, 0.004823227155695632, 0.8312277006849769]"
14851,25.116306757872152,827226.604265569,"[0.3405450813166783, 0.028253621853367526, 0.35366596285763424, 0.2775353339723199]"
25106,300.2915622451952,401588.9877597878,"[0.16332210604675187, 0.11959690620425437, 0.08909310174764763, 0.627987886001346]"
43317,822.7296007299019,899113.8375315369,"[0.20969638879317298, 0.1089651713459085, 0.13676064573969024, 0.5445777941212282]"
40435,585.887982243932,926897.6532843552,"[0.14108361486852258, 0.054377206118066866, 0.11866371722470956, 0.6858754617887011]"
35242,230.4710380334556,926610.9940095076,"[0.06608685914461897, 0.16243284885908674, 0.36809327047755186, 0.4033870215187424]"
48389,188.34176738973565,345193.32317815,"[0.38883879423175904, 0.38165887995440184, 0.22116648695522031, 0.008335838858618692]"
15010,658.9638468838255,384454.4671814604,"[0.17031745385637018, 0.4580608700941222, 0.17010295569383266, 0.20151872035567484]"
