,T,P,zs
39307,32.90747254734943,406795.8226926753,"[0.17408600482673914, 0.19335865573528782, 0.15328891139461873, 0.4265890982730015, 0.05267732977035276]"
7703,544.7734484248925,569615.6654300175,"[0.06725899825381225, 0.30806370087682633, 0.052003777329716255, 0.4199571969070631, 0.1527163266325821]"
2850,967.859358450925,506464.0679676053,"[0.06176598934450006, 0.3997283828649296, 0.13597153726625297, 0.03973109409711159, 0.36280299642720565]"
25033,65.59464774549168,589448.3125154085,"[0.016156292219077457, 0.14501240610873925, 0.49264960035480065, 0.06082917229063995, 0.28535252902674263]"
26120,468.061437284341,424592.1713779572,"[0.3614833149547757, 0.23726691352552448, 0.24366261615095272, 0.008426244016038281, 0.1491609113527089]"
14923,584.1614654504509,954184.3493558682,"[0.03959519382627909, 0.11386738440263354, 0.5623151050775164, 0.1822411626933065, 0.10198115400026453]"
42654,584.9464102068875,373034.86187640665,"[0.19499879788016594, 0.04033846658009904, 0.11772483559713576, 0.3746942810983338, 0.27224361884426534]"
45525,23.5728490439108,803445.5345722118,"[0.2779238773169822, 0.2770895330301576, 0.18004693062804306, 0.23222784152324613, 0.03271181750157112]"
20509,622.734288659345,980502.703517307,"[0.024558730839081437, 0.40607601730483, 0.2966870665327395, 0.10686931593531232, 0.16580886938803677]"
7657,949.801805498392,579477.9863436527,"[0.1945677616021618, 0.03296454753449774, 0.27469073000181243, 0.4676642340402309, 0.030112726821297214]"
25427,133.2882578631946,317032.6777034621,"[0.04858354469620302, 0.17538156532093216, 0.007947275191230082, 0.15340406795955383, 0.614683546832081]"
6628,469.5175881216842,801699.5803432707,"[0.047444943514303145, 0.001094650486772715, 0.22438588389825254, 0.560594850030906, 0.1664796720697655]"
45074,658.4019302246729,519771.302020044,"[0.14455951024731437, 0.05933433222635421, 0.14124707252800112, 0.521127722666116, 0.13373136233221422]"
37307,114.52971268359758,885065.3898572037,"[0.025329454302375105, 0.11983379119081689, 0.17211852815252573, 0.019702941867139535, 0.6630152844871428]"
6322,649.9220941590712,609199.5307258195,"[0.2928153801757567, 0.4007177864188862, 0.08083824272949151, 0.21615468648885594, 0.009473904187009424]"
3313,52.965542153488144,414937.6861512321,"[0.20530232617379388, 0.23674180972652709, 0.054141517684663895, 0.07238708388971861, 0.4314272625252967]"
34214,987.671956358378,108710.45574095678,"[0.15765746630459762, 0.04653904236061952, 0.27403759819542367, 0.4438639978145471, 0.07790189532481222]"
9585,114.2280940009504,363744.6448945772,"[0.32770293354406543, 0.048448047149640724, 0.24958445652507852, 0.18707307224743513, 0.1871914905337802]"
48117,272.4044498392357,470808.19550693984,"[0.06584700627368319, 0.6430903036030535, 0.11319884392444741, 0.07119265988445184, 0.10667118631436387]"
37624,715.0167922611577,370883.9943827476,"[0.031994124082817925, 0.16609053442535235, 0.2509211638360033, 0.23499672951261713, 0.31599744814320924]"
43181,85.142616591897,198067.0526366608,"[0.28192372726502535, 0.0527596595603887, 0.44635647112457794, 0.010552395389558563, 0.20840774666044937]"
3774,71.9785380834789,850445.8078551122,"[0.04195173975604118, 0.10109599581811919, 0.08267484659198156, 0.3390907770445057, 0.4351866407893524]"
32058,584.0476360187911,110872.89965955664,"[0.5005759572240789, 0.019458777505738798, 0.09473889457997624, 0.2723420166667134, 0.11288435402349255]"
12049,640.9176819186503,448899.1569955372,"[0.3282649035828279, 0.05978271582018985, 0.01747173939244012, 0.37785355004667964, 0.2166270911578627]"
1027,445.1934617990184,651838.6205049383,"[0.08934621363735341, 0.4041058739565271, 0.0035272217242849394, 0.4997002317892042, 0.0033204588926305065]"
37188,155.28690507533267,717499.3585935942,"[0.10717230922848868, 0.5266864533976401, 0.04091919917543626, 0.10312329042228117, 0.22209874777615374]"
27996,323.4476046107803,778894.6282873236,"[0.1566971711787287, 0.053536222743667934, 0.3906345589334045, 0.22996321802106315, 0.16916882912313577]"
36085,908.671839901014,613584.5699137037,"[0.0019686516026506096, 0.5683440325936265, 0.09669205974446128, 0.12935002578189592, 0.2036452302773656]"
40633,288.5030883037961,476822.8886580277,"[0.23038397639609223, 0.15031606322337623, 0.27691375327595746, 0.32080071412366434, 0.021585492980909626]"
38374,662.3958060389091,934529.188923674,"[0.06541815693702455, 0.13827864007993995, 0.16076820267519176, 0.6298878568461488, 0.005647143461694971]"
21629,420.9218043399721,619344.9803634208,"[0.16264948469099455, 0.05729026015360828, 0.017782360535852016, 0.02656292747508838, 0.7357149671444568]"
