,T,P,zs
43248,202.66787316350172,959211.2217067796,"[0.13200085776150958, 0.8679991422384905]"
36635,406.450697901512,379964.6978399347,"[0.8450340647596344, 0.15496593524036548]"
35871,360.51904505461255,469321.42721871095,"[0.5084409273448925, 0.49155907265510745]"
10759,974.4934537741894,467829.54296884855,"[0.7439458743601498, 0.25605412563985036]"
47212,376.16854226380303,792866.9157289908,"[0.7016045206268351, 0.29839547937316496]"
35022,716.4268508530776,891162.0494309519,"[0.750051982624691, 0.24994801737530906]"
15598,907.435319858186,966575.2352248698,"[0.8348064958217152, 0.16519350417828485]"
40861,95.59728854710907,105617.10680025736,"[0.4124854112533946, 0.5875145887466054]"
38139,759.5267178290267,536544.8840286186,"[0.9804910597723484, 0.019508940227651497]"
15793,749.5989690996269,578913.253893106,"[0.8349628208859059, 0.16503717911409396]"
44082,938.861214611309,232308.8337156288,"[0.008679061690378237, 0.9913209383096216]"
32957,57.3393061298943,392908.2568814816,"[0.4794454900221012, 0.5205545099778989]"
32687,924.1529961284097,681779.637378996,"[0.7817963041365126, 0.21820369586348753]"
14336,442.5166423979716,184453.8159987324,"[0.8841123279372793, 0.11588767206272077]"
39796,360.6093828366252,949486.5223657152,"[0.38563577550961575, 0.6143642244903843]"
22298,483.3840243849147,679155.1227245989,"[0.846279523471249, 0.15372047652875093]"
4479,776.1563800327566,927740.9011057526,"[0.595106563205302, 0.40489343679469797]"
38754,981.7502405221904,761660.0324021076,"[0.3762659609821828, 0.6237340390178172]"
36369,59.197414256297385,848597.4207716336,"[0.22270280485510624, 0.7772971951448938]"
8026,486.6611394163266,309698.8548497299,"[0.9082262572851237, 0.0917737427148762]"
17461,718.1874892136149,377415.9135080362,"[0.1477759794495816, 0.8522240205504185]"
33763,605.7466467334611,517794.0489374962,"[0.4521459733031191, 0.5478540266968809]"
19522,53.679642955306704,478503.11358525686,"[0.6025212406341722, 0.39747875936582777]"
31822,767.5462299707431,595070.8350738926,"[0.0830568531409554, 0.9169431468590447]"
21731,44.586204180851226,543469.5707548957,"[0.26728724098790946, 0.7327127590120907]"
12771,507.2274746874487,967821.8218652664,"[0.13515897091751047, 0.8648410290824896]"
29250,622.3346082989262,437743.3202287548,"[0.6428832805678347, 0.3571167194321652]"
41810,916.7005981106994,560904.7429341777,"[0.45200596340229093, 0.5479940365977091]"
17937,827.2990406589851,203556.4211968975,"[0.7657919131177383, 0.23420808688226166]"
46051,474.5122506742746,952067.7500604404,"[0.5910976692455574, 0.4089023307544427]"
20158,700.8608777792609,647924.6143996918,"[0.9281017233027287, 0.07189827669727142]"
24484,461.7918094254693,127518.54267997778,"[0.42168735136123126, 0.5783126486387687]"
6698,398.4865770963816,685132.1202727449,"[0.6464932566855479, 0.3535067433144521]"
33818,39.67526877474548,468980.804908064,"[0.37416511630252136, 0.6258348836974785]"
42401,837.723567035142,778806.6459663674,"[0.11779330478419649, 0.8822066952158036]"
21057,327.3859496174571,426991.1859802328,"[0.0769559418892063, 0.9230440581107937]"
22761,466.8849640151885,274172.2340756124,"[0.8044225136030765, 0.1955774863969236]"
40655,659.0393888180338,416768.7366913496,"[0.03987606468314877, 0.9601239353168511]"
27798,621.7152690008271,719694.1020830626,"[0.1330390771513012, 0.8669609228486989]"
37493,281.2895602162501,823908.0454889622,"[0.5637377753285885, 0.43626222467141157]"
34703,196.21107791750555,973955.3430554214,"[0.3615182898792236, 0.6384817101207765]"
30501,678.1201618649156,365895.3984867245,"[0.030264358212763548, 0.9697356417872364]"
36174,516.6033386557613,336280.51872311,"[0.14026342950509252, 0.8597365704949076]"
21355,898.5529481790501,930428.320284716,"[0.8478741341399956, 0.15212586586000437]"
129,153.198918275013,436065.0376794894,"[0.6831509993773021, 0.3168490006226979]"
40324,643.7301513936696,243176.9539324824,"[0.8116490862744948, 0.18835091372550516]"
363,171.6225674379521,921977.4366671082,"[0.4326746559068305, 0.5673253440931695]"
21390,20.66104054461445,878574.752854904,"[0.8230641888447254, 0.17693581115527474]"
38118,418.40550175736536,210873.73545147045,"[0.48315057908839015, 0.5168494209116099]"
38583,784.2548349964887,453783.66906639945,"[0.22621300601435135, 0.7737869939856487]"
28758,142.06477019067054,785250.9656012277,"[0.30979642183888473, 0.6902035781611152]"
32781,618.1418665155719,546137.7178192663,"[0.40266784633419395, 0.597332153665806]"
27459,723.9487710981525,140507.57798262523,"[0.29818464492900587, 0.7018153550709941]"
39156,741.2139101666456,757038.262335855,"[0.23680976160444991, 0.7631902383955501]"
9603,220.54842018302372,455138.9850903088,"[0.031738563950840876, 0.968261436049159]"
6667,84.12117637516269,664796.6502698408,"[0.8332736625459901, 0.1667263374540098]"
45560,142.9533179250076,805667.839283257,"[0.6470892659380894, 0.3529107340619105]"
5190,194.8314688817661,444340.221297596,"[0.6904378369208983, 0.3095621630791017]"
17820,986.3526962350624,979743.3606033628,"[0.8394774977677678, 0.16052250223223222]"
30696,517.9179386099664,351302.6677184482,"[0.19844388067293636, 0.8015561193270636]"
13505,707.6176071311336,191208.40719983657,"[0.5245365414957596, 0.4754634585042404]"
37550,176.9981892388072,816591.1503710236,"[0.3009948371386544, 0.6990051628613456]"
18022,518.02719418729,949546.836265562,"[0.5503954581056751, 0.4496045418943249]"
8366,513.2418864257595,830119.1567585818,"[0.9805971482884209, 0.01940285171157922]"
29731,317.9769069652621,614831.1791734227,"[0.6590939573353946, 0.34090604266460556]"
39595,200.10558771269632,377081.1464576137,"[0.5522718552354047, 0.4477281447645952]"
28710,315.9314165792539,426358.3740492509,"[0.8916496154698497, 0.10835038453015028]"
27611,648.6827502287979,717050.2738414726,"[0.5505131303811652, 0.4494868696188347]"
26788,722.1989554831638,990538.0971042152,"[0.22808274847410456, 0.7719172515258954]"
10501,398.47305711273,745105.9350707799,"[0.4504563073144465, 0.5495436926855535]"
