,T,P,zs
749,977.02773162301,980661.2555260864,"[0.11335074702028228, 0.4123871643827296, 0.47426208859698815]"
14368,38.88807089110563,173874.3918932401,"[0.7287731522249227, 0.04986859115465101, 0.2213582566204263]"
15054,766.3249781339692,766880.5327251494,"[0.6371176702351355, 0.0020158129603335523, 0.360866516804531]"
38814,980.8183116069252,543919.2170938596,"[0.3115256232482602, 0.5461832090753527, 0.14229116767638708]"
498,297.7453897137904,607600.534390566,"[0.40204921264906884, 0.4504950779126546, 0.1474557094382766]"
31260,901.97928204357,215560.02817722084,"[0.4348007454114209, 0.35334291267091733, 0.2118563419176618]"
19010,962.6976557119592,669892.4527957564,"[0.2782989410803059, 0.013910918083563024, 0.7077901408361311]"
24986,587.4351698754998,998303.379708938,"[0.400134520668009, 0.5380096172297225, 0.06185586210226836]"
46311,99.31268623585748,610757.8552688328,"[0.1093684511181018, 0.26023667453976584, 0.6303948743421324]"
32171,972.3563668782664,730989.4370486956,"[0.7935387307338019, 0.16680998801976596, 0.03965128124643223]"
43258,51.2588344303114,463813.5319590611,"[0.658917888383621, 0.031649112805233734, 0.3094329988111452]"
14604,656.8576118932565,509669.2288387941,"[0.0032245390336623834, 0.07667543045095977, 0.9201000305153778]"
47532,212.77825484244343,723241.5930013192,"[0.22063659829431645, 0.11068808375971832, 0.6686753179459652]"
2231,703.5955996515024,851038.0108871224,"[0.27857528502257195, 0.13458341902730647, 0.5868412959501217]"
30171,481.3650727272008,975625.028044758,"[0.14766550957768557, 0.8158365720913822, 0.0364979183309322]"
1174,559.9573793074952,887296.5540450937,"[0.6557438685999998, 0.0693311817947601, 0.2749249496052402]"
32458,324.4014861136621,543920.4576737317,"[0.5136905909153485, 0.3364003930134882, 0.14990901607116336]"
38065,977.8495258690392,895718.9065113454,"[0.44944368068837737, 0.02343319510656394, 0.5271231242050588]"
29923,100.31390794514654,964040.1337149132,"[0.5909602517660631, 0.25957000989657814, 0.1494697383373587]"
25213,481.63354482094365,518614.3680368408,"[0.276688699563601, 0.2637695616235509, 0.45954173881284804]"
30153,518.1030498318257,148256.73752090964,"[0.2697615563094195, 0.7294350661319827, 0.0008033775585976467]"
40524,86.28276581943302,392035.3557718021,"[0.30527080436910387, 0.5102639813536533, 0.18446521427724277]"
48766,99.93450309305194,467313.40886931,"[0.17774992134737327, 0.5713376699134661, 0.25091240873916065]"
49962,346.5289798437547,486853.3233476632,"[0.01756573948972706, 0.06111801907699905, 0.9213162414332738]"
49717,444.2021909236754,984736.3012305816,"[0.33874735986964766, 0.4081133156404249, 0.2531393244899273]"
10877,944.2302122398568,497133.6914688018,"[0.6993284564964206, 0.13909593112018193, 0.16157561238339738]"
21142,741.3968650790438,765797.4674519836,"[0.1892365715660163, 0.4376165822262461, 0.3731468462077374]"
15118,793.7700646383952,107951.36132865243,"[0.03766098684030429, 0.4825725768208932, 0.47976643633880256]"
44849,734.267065650011,304467.66000174405,"[0.48646518808360173, 0.28815661094746886, 0.22537820096892944]"
42054,811.4641614137131,769836.6862177872,"[0.16401853926449736, 0.40374569664280935, 0.4322357640926931]"
117,474.75631288549056,229441.8508126429,"[0.06603933629864782, 0.8211274186650258, 0.11283324503632636]"
20094,288.8317975544662,593871.7060626463,"[0.2187950054893634, 0.3797416445962357, 0.4014633499144009]"
1858,939.642796215478,883579.0311253553,"[0.09456773553751563, 0.8964423731482639, 0.00898989131422052]"
49072,232.5370327109954,275267.9392697191,"[0.014933842637883487, 0.5630263064535115, 0.4220398509086051]"
10512,75.66992272929525,309446.0096347217,"[0.4723376748573789, 0.40374964001610175, 0.12391268512651933]"
31089,223.022283179994,158047.15413275582,"[0.6706834079162428, 0.05890006342616235, 0.27041652865759497]"
1291,55.95269329531368,114653.82590514644,"[0.217129778756152, 0.1646731084200322, 0.618197112823816]"
13696,572.456633602262,502646.911840039,"[0.13651568780783235, 0.6810472847506569, 0.18243702744151064]"
48190,996.6867035531164,807097.3606364678,"[0.32348768913115633, 0.06150928702460743, 0.6150030238442362]"
