,T,P,zs
13711,204.27613911709244,277240.7924883154,"[0.6583392431042895, 0.252530490182906, 0.08913026671280458]"
310,378.3513635671159,655017.9914719603,"[0.4169879099370276, 0.005313961975935642, 0.5776981280870367]"
7533,581.8012342093131,529308.3671629225,"[0.1726585568750394, 0.009874720147171197, 0.8174667229777893]"
16758,392.61312825063743,524129.993278305,"[0.1856671454772724, 0.657879995356755, 0.15645285916597262]"
49866,408.5425462732085,605600.0338622462,"[0.49910468521564716, 0.4391702931668082, 0.06172502161754478]"
26272,342.6261546341347,117015.18346725784,"[0.5923582311554755, 0.18713498172762755, 0.2205067871168971]"
31480,389.8917459360802,550454.1327988703,"[0.6873907083787161, 0.12427877260884618, 0.18833051901243758]"
16123,911.5736675564216,951534.838003891,"[0.06363705274601406, 0.030224977511395027, 0.906137969742591]"
30093,572.8489709004614,749110.2685756023,"[0.3054350255459343, 0.32113742779117627, 0.3734275466628894]"
26360,148.06336996199164,292722.9114655262,"[0.8310873508573694, 0.05610823636554192, 0.11280441277708878]"
12373,638.6185867296256,717670.0991084249,"[0.040250813906923734, 0.6930091189710631, 0.2667400671220131]"
44972,673.0774288924848,346466.537905362,"[0.18941368038717368, 0.5331986249130932, 0.2773876946997331]"
26670,348.6011256551223,613929.1338413829,"[0.6358009539452354, 0.29710659666878964, 0.06709244938597503]"
36177,572.8828668155242,286525.3846462464,"[0.9272123453477694, 0.02326084312855513, 0.04952681152367546]"
31130,438.0991788873109,982082.977250992,"[0.3683718161772215, 0.01882344990474428, 0.6128047339180344]"
13532,181.0770363982793,393081.919672968,"[0.10541903271372165, 0.6901828723846285, 0.20439809490164973]"
35934,682.8711616673523,693106.8593776313,"[0.14445135801866715, 0.8385256947003793, 0.017022947280953424]"
38295,645.156570642324,921265.0917837652,"[0.005204998636335715, 0.3835007981038577, 0.6112942032598065]"
6566,109.61145682721111,732288.8942962639,"[0.8669978932859753, 0.05114714374586057, 0.0818549629681642]"
30214,591.732192953861,129154.34349604884,"[0.09392518872521474, 0.4651533007826873, 0.44092151049209777]"
43045,301.1272558381398,912865.0422874877,"[0.0760175686333201, 0.45679695025814193, 0.46718548110853786]"
28646,349.37959831173595,979112.3133386984,"[0.1742337137152055, 0.602395169028163, 0.22337111725663147]"
23255,964.8348235966314,342286.4472119699,"[0.5587668937436211, 0.13723434663198536, 0.30399875962439343]"
37517,260.897617618367,668552.1260619633,"[0.38824630458750303, 0.17736763036124564, 0.4343860650512512]"
37248,540.6630515951305,835479.5991708961,"[0.6457633675824274, 0.24583059898538392, 0.10840603343218883]"
8781,330.0864321640767,237924.9707491219,"[0.276255169611877, 0.559706620557273, 0.16403820983084985]"
