,T,P,zs
43151,526.9673100870853,729047.3295808225,[1.0]
21962,325.85056567370793,963963.2136839026,[1.0]
41277,974.7841067212156,774370.2785522089,[1.0]
17380,968.7484350263406,301316.80389206426,[1.0]
30681,919.1473170760112,269167.10952226666,[1.0]
43163,796.6090961337115,579600.4593111229,[1.0]
4432,134.92466330479093,357218.82737628336,[0.9999999999999999]
23481,429.4018033607245,417076.7050926405,[0.9999999999999999]
39018,806.7866068622736,983651.080532277,[1.0]
44933,545.55037698873,933350.4662828344,[1.0]
29009,856.8432295696011,857132.7376638885,[1.0]
5725,308.08096435328895,679097.1214047013,[1.0]
42635,608.3049902476164,374765.6069533396,[1.0]
23399,480.313005718442,242881.2642567046,[1.0]
23208,880.7931171031237,323823.57410806254,[1.0]
36728,234.4755416955429,616434.581727152,[0.9999999999999999]
37652,804.341393075206,567548.135804119,[1.0]
22443,910.8399219456172,464791.4603460014,[1.0]
30174,74.95313811722413,489097.0624344722,[1.0]
1129,731.7494278553368,359524.4172382761,[1.0]
7757,513.7896933509817,821195.6561186368,[0.9999999999999999]
31439,459.8068841492741,121713.19458949869,[1.0]
24433,580.381434246949,289247.27205015253,[0.9999999999999999]
23422,92.65438351478524,271692.4876192892,[1.0]
19924,14.4185881451137,675934.0845720872,[1.0]
13194,325.887350237451,400101.6178347019,[0.9999999999999999]
32705,644.8045898762674,709463.8629176082,[1.0]
42035,936.2352561132284,537342.4211700996,[1.0]
4219,731.8172690030466,403288.9233456448,[1.0]
23075,522.8710628075615,841725.884988103,[0.9999999999999999]
7610,86.7804202506879,865578.6612346802,[1.0]
33849,875.16194926461,222159.4371290041,[1.0]
44476,679.2301568659979,462907.1335674968,[1.0]
39639,30.325592657264465,860187.8953757281,[1.0]
16088,518.1054941623272,715876.5277391584,[1.0]
33085,779.4160203682014,995806.360474896,[1.0]
9303,260.30807092316775,605486.7860472628,[1.0]
13001,12.382205517399006,832122.0784885207,[0.9999999999999999]
46648,612.7291186931394,926252.6408982624,[1.0]
39536,736.596157075111,134898.90150378493,[1.0]
18000,305.58284838995587,432276.586400219,[1.0]
38786,448.0163545362271,615022.1876087792,[1.0]
11059,777.832038667118,545225.4170177935,[0.9999999999999999]
5323,13.888574300548308,215819.4208137504,[1.0]
38646,168.41683378293533,245117.0976410772,[1.0]
46397,498.7241818722132,145952.52906096252,[1.0]
20985,545.210014915487,292292.36047603574,[1.0]
7224,278.65753360749915,776197.7145952259,[1.0]
5246,473.3939791651598,642276.7091912378,[1.0]
23056,508.6198066792327,187493.52746709163,[0.9999999999999999]
22094,664.168343398095,881914.1722880169,[1.0]
1999,272.003235660654,453632.5980185407,[1.0]
46722,81.01717411738798,577012.9560471596,[1.0]
10185,302.5046548649217,387153.3922509666,[1.0]
44486,792.2713292674993,224359.7568684165,[1.0]
42740,637.0690703947415,710782.640011509,[1.0]
19047,152.22341884992824,705276.5266003174,[1.0]
45007,144.32113159483126,401561.3731418285,[1.0]
42980,265.66597854417574,771070.3015187491,[1.0]
37857,957.1597155920622,765866.6698553464,[1.0]
13327,695.3453456936049,601851.1356148703,[1.0]
7884,690.8988803015847,139897.38018211836,[1.0]
23525,105.16095922727936,923181.849336856,[1.0]
35002,505.1854937198552,332315.0670758163,[1.0]
24486,995.2064610495436,299431.8259447669,[1.0]
46262,941.83993491746,305471.01277081284,[1.0]
15716,880.5191864425998,732563.9730016676,[1.0]
31945,69.9509999038767,692746.2328845599,[1.0]
49075,766.1943253801229,874039.3724847578,[0.9999999999999999]
31775,794.760287957994,334359.4054654632,[0.9999999999999999]
22874,998.3078472697116,779523.7783701,[1.0]
40087,646.4133654319809,615966.781322944,[1.0]
23251,707.0194126650805,827924.6967506075,[1.0]
41210,852.8742661341928,766126.9607933465,[1.0]
32815,704.3926325227347,162750.37335133806,[1.0]
32634,938.9880239822604,435572.3883504362,[1.0]
25078,117.75713105907344,382966.9233705146,[1.0]
1263,860.2854498877548,251197.8711536764,[1.0]
7365,786.6210283019318,632975.6472057838,[1.0]
46499,174.90869121679904,508811.1595492387,[1.0]
41227,245.64806523724144,784422.9776822466,[1.0]
48931,474.93496973913454,165221.16869346442,[1.0]
34502,704.3097820267186,214012.87087097025,[1.0]
29765,764.522930347865,542335.7155743386,[1.0]
41575,994.7934932131924,739372.9187274843,[1.0]
20642,691.2405286812947,546806.1040309401,[1.0]
5006,214.3457116277673,136971.62168281732,[0.9999999999999999]
1509,850.7487796452224,999202.4430505328,[1.0]
40269,560.182034305286,316172.3912033044,[1.0]
14660,676.5968987690178,256377.0421365663,[1.0]
16037,583.8467487881701,866561.1882894132,[1.0]
943,509.8222463780057,580709.8315398468,[1.0]
1251,955.963892942163,305355.89644501626,[1.0]
35964,918.9340889389022,432167.811246104,[1.0]
24128,508.62673628616665,517188.9608860325,[1.0]
30360,640.1265869345025,977073.0290133884,[1.0]
30389,950.5526212418786,929385.0017343396,[1.0]
48034,528.6047808345751,495670.47913399845,[1.0]
29323,419.7180982095866,127267.3057071302,[1.0]
24702,701.7763957743838,588587.8643849783,[1.0]
40151,911.0362926631803,795086.252489028,[1.0]
32284,773.0473344815132,532425.0624787757,[1.0]
47398,665.3311449330688,496100.176419428,[1.0]
32202,596.0216518365045,731621.4598691376,[1.0]
27569,538.4687230135643,247030.8674702125,[1.0]
11485,685.9532028896475,785450.2592235148,[1.0]
39120,814.1536107536372,909311.1200288852,[1.0]
37375,400.98287091001146,354321.3656737056,[1.0]
19911,992.4785378586251,330167.1543588586,[1.0]
27407,499.0985590785774,610214.4005131669,[1.0]
35457,372.21673777452986,725323.3275592504,[1.0]
