,T,P,zs
13285,790.4750635168267,996786.3124135006,"[0.011339184828613999, 0.9886608151713859]"
46439,692.9886129715236,915689.8430422472,"[0.7212979102117093, 0.2787020897882907]"
19226,897.9701646129625,949420.0143476402,"[0.8203757395731658, 0.1796242604268342]"
2506,791.9293043242096,129404.66917456836,"[0.6592966166802533, 0.3407033833197467]"
20623,602.7660485127082,856364.9306780082,"[0.1205732189259408, 0.8794267810740591]"
28937,281.7780816919675,192290.532634723,"[0.9966937648884413, 0.0033062351115587057]"
30175,434.40343746756434,405189.1980534812,"[0.11811861903362683, 0.8818813809663731]"
16482,787.1535916989341,945483.4814777912,"[0.5776568421971201, 0.4223431578028799]"
48705,204.8460245471835,668629.9977855555,"[0.5965014539233986, 0.4034985460766015]"
47713,364.6993976442072,521795.1646893526,"[0.4870929394595003, 0.5129070605404996]"
411,650.9241076170913,807877.6400106424,"[0.7261985273936575, 0.2738014726063424]"
42054,530.6323169563727,308022.1815289789,"[0.9429983660941642, 0.057001633905835694]"
1161,107.26375664054687,960335.9146136056,"[0.40529443654849684, 0.5947055634515032]"
38409,440.05735653990985,365388.29349979066,"[0.9050054961621479, 0.09499450383785198]"
41141,927.1020329531764,278030.42049977987,"[0.896871690670997, 0.10312830932900294]"
46133,919.6331495746348,746958.18965425,"[0.5567482872422975, 0.4432517127577025]"
16938,499.7186843561409,140354.3501913427,"[0.21433342448384762, 0.7856665755161524]"
33219,603.1191126113573,552316.0073020081,"[0.8716266007653762, 0.12837339923462376]"
1120,32.72476912933355,941560.3291043566,"[0.709967741111799, 0.2900322588882012]"
36725,71.34150542944242,514890.1610381028,"[0.8671691959024351, 0.1328308040975649]"
29733,58.03772641569218,660033.7855358575,"[0.402355912970402, 0.5976440870295979]"
3054,150.27318208729002,280824.8515704794,"[0.608546851989007, 0.39145314801099307]"
9180,484.1170047888188,596433.135442599,"[0.40750677356683696, 0.5924932264331629]"
5594,374.2026018722691,124842.26348603117,"[0.9062776261099197, 0.09372237389008017]"
7518,532.2444959138219,454555.1281547234,"[0.5649717276854632, 0.4350282723145367]"
23521,528.8222577132534,790238.4956983511,"[0.7073020681131468, 0.2926979318868533]"
353,493.86560631489294,748443.424217841,"[0.8697860701238359, 0.13021392987616404]"
16252,338.48858196782066,345636.4918444763,"[0.8564806367161332, 0.14351936328386677]"
41541,481.68708209375126,917111.154214934,"[0.725275731212958, 0.2747242687870419]"
24238,526.4418382815477,175736.25083439483,"[0.7430154458335707, 0.25698455416642924]"
31174,650.2878706877746,882510.9634316035,"[0.07903111470481244, 0.9209688852951876]"
5862,250.94706693044827,916411.4738981205,"[0.8324966317261808, 0.16750336827381918]"
47062,860.5285025942571,919373.9485686612,"[0.9162742950808579, 0.08372570491914215]"
10042,707.7572710487312,118897.80877000069,"[0.18957260531035294, 0.8104273946896471]"
40570,137.4163140524767,802741.8624812419,"[0.7894937564037678, 0.2105062435962322]"
41132,491.3114862178989,193392.43851407137,"[0.07892012575968368, 0.9210798742403162]"
29833,34.30069865857816,875463.7874230966,"[0.562390901691082, 0.4376090983089181]"
12132,642.0756380068856,286189.02809799265,"[0.21372087117395022, 0.7862791288260498]"
27194,805.6545992132686,805863.6727779047,"[0.02532842074411644, 0.9746715792558835]"
