,T,P,zs
46398,80.99634621310514,212393.04363379587,"[0.8306847749922616, 0.14908725322595084, 0.02022797178178772]"
2351,537.9062658134894,357101.7853097472,"[0.11415881618808418, 0.03461105647373968, 0.8512301273381762]"
17916,417.53201458534414,354958.6404630325,"[0.7320785034040631, 0.19027929245578576, 0.07764220414015106]"
46218,460.5470526402889,705130.0238977203,"[0.9688359709578674, 0.028583446861736115, 0.002580582180396497]"
39525,119.2300940002724,310313.8261766196,"[0.21853347271601853, 0.2656751734183804, 0.515791353865601]"
35675,508.3647409605216,784050.2329085674,"[0.3853058906720087, 0.5964080596786385, 0.0182860496493527]"
30307,394.0336643925064,989353.2279109248,"[0.2558525577117705, 0.30241367261556823, 0.44173376967266126]"
1315,649.6952758650798,821683.5534371028,"[0.5947727375299908, 0.12599082906307552, 0.27923643340693377]"
30997,803.5383787374428,206183.4759326848,"[0.4331699000516469, 0.3790619914435514, 0.18776810850480163]"
11187,643.1055796869689,677617.8885175834,"[0.7246702252678058, 0.06842935445230534, 0.20690042027988878]"
39693,320.02085786376114,479836.4663098854,"[0.33046944547149953, 0.56882940310146, 0.10070115142704052]"
38080,779.4274076730442,169144.49988496336,"[0.5133184091015185, 0.012486074115713773, 0.4741955167827677]"
46429,374.53686252855226,807862.2158447573,"[0.6780247830107514, 0.24828056347683028, 0.07369465351241825]"
30040,264.7706806155534,599178.3976531763,"[0.2560382134980927, 0.7255941168623055, 0.018367669639601788]"
1783,479.90561936000194,229576.57523217343,"[0.16600914488222304, 0.8227707286578017, 0.011220126459975268]"
497,982.7159300950152,471959.0975885102,"[0.12344964830846049, 0.8357277760790145, 0.04082257561252507]"
25412,502.4386445740825,426026.3508083024,"[0.8982919181802902, 0.06881751941767478, 0.03289056240203492]"
19735,253.70231015049168,684965.0149573751,"[0.559645840497293, 0.0935799687704208, 0.34677419073228605]"
25563,874.7219227922596,515797.5770738644,"[0.5159084880793758, 0.33143060818153414, 0.15266090373909]"
7737,513.8476713171299,225700.0598186308,"[0.42952097225579405, 0.5174740941136262, 0.05300493363057982]"
8864,163.85330631668123,975589.2536953368,"[0.14508139483341478, 0.4713046234153525, 0.38361398175123274]"
17131,768.3932028364261,276467.3713529585,"[0.1536510822252838, 0.5417056599202874, 0.3046432578544288]"
35697,752.4546089128341,698909.9879430636,"[0.2998971224516473, 0.5361343450331726, 0.16396853251518015]"
26482,559.6726782750383,489519.2670164865,"[0.09229502890779603, 0.7207346129037164, 0.1869703581884874]"
39540,402.7369957876347,954875.4696773632,"[0.26840221586380547, 0.6887286554247241, 0.04286912871147043]"
661,525.4339576201053,966604.7671167244,"[0.6906649788016285, 0.13062887446879387, 0.1787061467295775]"
27396,814.2402317115141,863212.0705034669,"[0.5576707703242174, 0.03573142149407868, 0.4065978081817038]"
5884,505.6644488408169,226954.12678519,"[0.03935559929612994, 0.7768595881110065, 0.18378481259286342]"
46586,898.5446175305684,903469.892041434,"[0.38946508565272747, 0.2356719928784482, 0.3748629214688244]"
34434,831.7207209869863,526320.5565516567,"[0.34613343543337505, 0.6480935552090114, 0.0057730093576135524]"
31724,407.1924548460332,342122.65091286827,"[0.4448922603123275, 0.27077623225133723, 0.28433150743633523]"
32046,863.5032879904369,747061.8402417924,"[0.4966816546358992, 0.35390180734098853, 0.14941653802311233]"
31361,920.3554046984516,199396.0109653473,"[0.5918135671239734, 0.2713828941775071, 0.13680353869851963]"
37750,584.6640308965075,498569.4201109305,"[0.38448248772207566, 0.08623573657089018, 0.529281775707034]"
8081,130.75940683909022,423036.4904603885,"[0.17849644537519616, 0.49164378830109223, 0.3298597663237117]"
38602,790.8193756492652,837174.1315312962,"[0.38141941593827994, 0.19328353578338908, 0.4252970482783308]"
21618,139.1766435491646,692658.3982251503,"[0.5146388087597265, 0.08018389026076189, 0.4051773009795116]"
47505,246.8147844031451,189801.9193664661,"[0.18814293063961993, 0.5734801350327015, 0.23837693432767862]"
44901,804.7733820908512,967586.116484748,"[0.3852440425693389, 0.08175363601942345, 0.5330023214112377]"
49035,578.763310180911,994813.8444330188,"[0.41299112072527516, 0.541022178887129, 0.04598670038759583]"
39729,998.4325074988332,697742.382098097,"[0.33815225976402086, 0.2858301756766891, 0.3760175645592899]"
834,84.70975080527198,178319.56966991333,"[0.42249995922608763, 0.06586701289953531, 0.5116330278743769]"
43652,767.5177804886899,474437.3361437041,"[0.7856581204878942, 0.012127915168447733, 0.20221396434365807]"
40493,263.6157653738776,237981.3274861613,"[0.2563190001323551, 0.5666824452839107, 0.17699855458373426]"
47593,471.73702514935206,385832.20633354527,"[0.10874985078435227, 0.20326063328916297, 0.6879895159264847]"
15134,246.95387040568576,770611.0576083078,"[0.10880412890087506, 0.7048059520316419, 0.18638991906748315]"
12191,667.4939661406561,214002.74469369656,"[0.609772950208514, 0.04879298227463613, 0.34143406751684985]"
45300,128.3425554537733,613043.6111235644,"[0.34719904653372663, 0.16322325222053907, 0.48957770124573424]"
939,363.3954319090789,242140.513364354,"[0.17069305398962217, 0.12551585805253992, 0.7037910879578378]"
7040,521.4928845414341,472224.3645806813,"[0.5218853981502801, 0.37345284842453386, 0.10466175342518604]"
