,T,P,zs
18854,783.3261828043717,861515.7816641516,"[0.014402776314381258, 0.4334200832178565, 0.5521771404677623]"
7847,255.7251338242561,949370.1184962344,"[0.14223852793562466, 0.32099813179614933, 0.5367633402682259]"
10509,488.6752168310567,436305.797510844,"[0.004654960399716129, 0.7874359802612461, 0.20790905933903775]"
15856,112.35797674260714,430353.4133373327,"[0.5452135097946847, 0.15487526647668332, 0.2999112237286318]"
15892,317.22515439485346,775966.7535724612,"[0.12756394649527694, 0.4004090180672615, 0.47202703543746144]"
47228,329.5248767502432,968758.3139033515,"[0.5508380099811777, 0.08758484480152705, 0.36157714521729534]"
27984,55.26662984256198,127605.4246526824,"[0.16058373688236685, 0.6189132038602597, 0.2205030592573732]"
20451,908.5745089509126,653190.0000730384,"[0.06403891843305712, 0.030622512910387895, 0.905338568656555]"
15097,657.1267100743082,855314.2397090273,"[0.3189852015228778, 0.5528720030354444, 0.12814279544167792]"
2983,582.8416198566069,357745.9360018348,"[0.12687457739117033, 0.16889430255193985, 0.7042311200568898]"
28129,820.9432926233928,235563.3227707885,"[0.5107018338540802, 0.0874367381327172, 0.4018614280132025]"
18575,384.1158409680573,249921.5961410336,"[0.8154964065411783, 0.17865530009229785, 0.005848293366523828]"
40277,956.1457725614416,130647.76331938583,"[0.11504383880865068, 0.8435543005963135, 0.04140186059503587]"
14850,278.2563685171225,960690.7182555316,"[0.08438544094320885, 0.417424898695206, 0.49818966036158524]"
48337,375.3246799024351,924158.576974586,"[0.06749204710073453, 0.5974626030566793, 0.33504534984258627]"
26573,746.7962770117826,224181.94859789644,"[0.07235118024445382, 0.8105910017878483, 0.11705781796769806]"
44668,569.5968121330212,331351.5551028867,"[0.1800634230384851, 0.41102971718460496, 0.4089068597769099]"
16770,586.494864409467,180843.17335759223,"[0.3128767474401017, 0.5708174625057525, 0.11630579005414582]"
42315,359.00700118623894,991278.7437619824,"[0.037821645193237254, 0.029918778135568067, 0.9322595766711947]"
11776,770.2261322459644,117705.90293537355,"[0.4222150694940223, 0.3810704121333237, 0.19671451837265408]"
5220,367.3006886333336,701249.7671216346,"[0.34682457200982, 0.3875678914472913, 0.2656075365428887]"
30260,519.4789963778162,911760.4213016126,"[0.3897090194483091, 0.5049043307782495, 0.10538664977344142]"
34852,107.08140280882569,486792.34101358015,"[0.09572623806314288, 0.5921912354645934, 0.3120825264722637]"
6189,495.0605430089252,489026.47447056224,"[0.29960729558306665, 0.6923077093461399, 0.00808499507079343]"
24819,939.9880717341669,285473.5742381917,"[0.08488036776386412, 0.3543823711210543, 0.5607372611150816]"
35321,644.6254452876656,339899.43378469785,"[0.3522419059552606, 0.5875343180220904, 0.06022377602264897]"
45928,197.00123728149416,803979.1385142723,"[0.014126496045342666, 0.03576529457696876, 0.9501082093776885]"
42670,188.25581762753689,143970.80903289586,"[0.5156321177682524, 0.44377827708736933, 0.0405896051443782]"
32654,682.7574278995354,978304.7457508864,"[0.058765760043115366, 0.9338010148967107, 0.007433225060173881]"
12405,261.9070604985186,232210.73702516712,"[0.013811339832632387, 0.814099496505707, 0.17208916366166072]"
5683,648.7290739071808,735972.3660880539,"[0.4319997417435623, 0.38216160145028727, 0.18583865680615036]"
7719,284.3840999382539,557238.9083817434,"[0.0012314161926257538, 0.023206502372917267, 0.975562081434457]"
18368,656.2496737843866,631080.1996724592,"[0.05604076054358212, 0.7610285831790216, 0.1829306562773963]"
30187,392.80232594813725,113827.1281203305,"[0.16394294980177188, 0.4542611530751249, 0.38179589712310325]"
5236,493.12549919822754,646785.317690436,"[0.08761417336783947, 0.2026506547687219, 0.7097351718634385]"
22846,946.9779347706703,392030.2217867684,"[0.08008366762041293, 0.89072759040096, 0.029188741978627142]"
17018,628.866537960565,481848.6494895832,"[0.4664555206399639, 0.34807418168299403, 0.18547029767704212]"
31205,64.65181905807573,919465.8467518106,"[0.22130460733718474, 0.3021233418179636, 0.4765720508448519]"
19292,993.9196427595956,283405.34777142433,"[0.0175843396296451, 0.02206720391772846, 0.9603484564526265]"
39822,726.9556239778217,284161.2707317942,"[0.09969876842530367, 0.0735229481637402, 0.826778283410956]"
26233,360.5990738361464,361201.300712008,"[0.3830017266260029, 0.4958867632206702, 0.12111151015332694]"
15322,321.66676315597186,739805.3613030895,"[0.2680567369859251, 0.1757962755465434, 0.5561469874675314]"
26128,492.4020819926137,232856.5982097283,"[0.7426116466857536, 0.13658858320966324, 0.12079977010458313]"
13885,616.9451722605423,121310.00173499295,"[0.67193604972347, 0.2294117624712027, 0.09865218780532733]"
45447,346.45026047973613,120663.4960963291,"[0.3100267543101989, 0.117710410442519, 0.5722628352472823]"
18949,843.5872683888316,999604.3242526646,"[0.17313725300290603, 0.6565023256065078, 0.1703604213905861]"
14694,420.5798796583584,934300.8436333528,"[0.6274471640318222, 0.10070543102439213, 0.2718474049437857]"
16000,123.7155648992988,634987.3354056736,"[0.3234598249057968, 0.12641285517432985, 0.5501273199198732]"
14742,990.3163628998292,165094.47374482546,"[0.005982186322988431, 0.28540335258031424, 0.7086144610966975]"
34821,447.36324792690255,876904.5831485896,"[0.7308354075756367, 0.25693017061826867, 0.012234421806094688]"
29301,884.4161476294258,637767.7562423607,"[0.3815124534159648, 0.1396096966915997, 0.4788778498924354]"
40912,914.9561053270618,643020.3501479244,"[0.7988238594379652, 0.1354334766206084, 0.06574266394142635]"
44457,891.3362373376686,628968.5730433308,"[0.16529886220716117, 0.38115077038047357, 0.4535503674123653]"
507,323.7820917541883,301079.51554793736,"[0.28471782571053855, 0.207926570657423, 0.5073556036320385]"
16559,728.9323732262477,956801.7475894826,"[0.7529770124721811, 0.06448776918412578, 0.18253521834369313]"
30642,20.5360276343566,464065.4326886415,"[0.40664688709698427, 0.01094292628624984, 0.5824101866167659]"
30632,542.3360956521941,369891.79428527545,"[0.17483029830433425, 0.6666656782161601, 0.1585040234795057]"
47127,567.0965705054293,738160.2142355074,"[0.2371805489767253, 0.22113757413378557, 0.541681876889489]"
5721,822.70230698726,569576.533953852,"[0.08053405465481091, 0.1888355110573633, 0.7306304342878258]"
32438,209.3962671075168,191576.7793399279,"[0.22023044401459532, 0.7758480513879821, 0.003921504597422699]"
28029,566.5392854532737,612256.9745679724,"[0.15302281610027743, 0.5439359722785718, 0.3030412116211507]"
34743,171.29415369884344,179894.97598400485,"[0.32956724197827914, 0.4916591796127722, 0.1787735784089486]"
3194,322.0428530387529,680069.8265259168,"[0.07460821501663807, 0.9233534384729513, 0.002038346510410569]"
31864,650.3363283899757,530803.8762759301,"[0.3511239343357961, 0.022557355361254482, 0.6263187103029493]"
25864,940.4952716308104,260366.44909728807,"[0.03899401886215525, 0.9426048361514552, 0.018401144986389555]"
20775,680.6139169191125,968767.9421304802,"[0.5249444877063182, 0.27095429974695145, 0.20410121254673047]"
24101,872.0461084141047,447600.6034992209,"[0.4367664897749369, 0.1394629458272877, 0.42377056439777544]"
27172,770.0740014836678,791569.8363101176,"[0.033027843203946576, 0.9625056470239624, 0.004466509772091156]"
49745,172.63695701952486,864561.173433324,"[0.07009575144610637, 0.6473856975672461, 0.2825185509866477]"
41154,924.5074777671168,832301.2392501548,"[0.4905399929816628, 0.12145048020269092, 0.38800952681564643]"
1484,557.1149248858309,857865.7750169964,"[0.2009773389224558, 0.7360123742704832, 0.06301028680706104]"
36410,154.6990021407074,881454.7763115013,"[0.6896545145266754, 0.13770479001412894, 0.17264069545919566]"
7811,470.4789536447427,591865.1498520751,"[0.06898156114828106, 0.3510710073421686, 0.5799474315095505]"
1094,296.47246841213376,935720.6192818994,"[0.0416349329370703, 0.5270046648443474, 0.43136040221858235]"
12117,327.27476557887235,610329.4118273989,"[0.1608884077794264, 0.23476832733854847, 0.604343264882025]"
32149,410.032957988517,707297.0764720015,"[0.6450571205139175, 0.14130117175161075, 0.21364170773447153]"
9733,441.4288463807964,691440.4172771253,"[0.19654338280748676, 0.44442647227734794, 0.35903014491516533]"
32000,610.6887560360528,397355.7962846216,"[0.22147493679835722, 0.40803619662198787, 0.370488866579655]"
34619,42.13062733577773,525963.8559283481,"[0.1672712650723506, 0.6620308948542173, 0.17069784007343203]"
42052,616.1830993818337,415553.95579409617,"[0.5461672088426798, 0.12204369073452458, 0.3317891004227956]"
32078,935.5633557357552,540403.686970748,"[0.4548517525983879, 0.13633513331149497, 0.40881311409011717]"
48828,751.7253253143457,995963.9384556884,"[0.027958243487003195, 0.6425213852484926, 0.3295203712645043]"
44890,648.841687216048,297519.95891586534,"[0.4662998227532375, 0.5044101168486229, 0.029290060398139646]"
33268,270.9443712058064,706298.1729368655,"[0.530448316938529, 0.2540856257473907, 0.2154660573140802]"
45499,560.5900708208205,127361.733131754,"[0.7159268392543664, 0.11515532360886566, 0.16891783713676795]"
13377,465.6030975969438,906233.6670145612,"[0.4721743160632032, 0.2986368080435797, 0.22918887589321704]"
3104,560.1572774522871,344528.005351235,"[0.3648196577255386, 0.6187458244853328, 0.016434517789128644]"
13812,392.1602666570476,862409.4085716004,"[0.15708192456377706, 0.4869437458128754, 0.35597432962334763]"
139,143.92586082427874,158855.3263646239,"[0.029944901666698748, 0.02484605606440716, 0.9452090422688941]"
29475,85.16316624138211,942505.7741660648,"[0.6851945726844801, 0.18534554032930897, 0.12945988698621097]"
9712,758.1266592083298,778514.6106285002,"[0.4467425395321369, 0.36950149648627817, 0.18375596398158492]"
28145,435.8583754634497,993238.9665422596,"[0.1329849631851611, 0.2990908010756033, 0.5679242357392356]"
40789,802.1898022929367,396973.9427839888,"[0.30528100537349406, 0.3514234469313737, 0.3432955476951322]"
44702,430.6426659984504,716215.1361546371,"[0.28244799653321323, 0.23948711321076002, 0.47806489025602666]"
4552,212.1927770293647,257360.6468984873,"[0.4682862635329651, 0.22947438658221336, 0.30223934988482154]"
5878,935.9553992571095,517727.5322354144,"[0.32435426916927834, 0.15160462351954015, 0.5240411073111814]"
22505,795.9324862116941,903566.3373445997,"[0.005305315274940853, 0.15627267772492442, 0.8384220070001347]"
20565,927.3136881425132,187981.80752923043,"[0.2664503926633979, 0.3546515074014647, 0.3788980999351374]"
41808,874.4576216582561,276399.7074705083,"[0.47678353780159066, 0.06517362631666795, 0.45804283588174144]"
33817,56.97196485294875,845494.5157778036,"[0.41543249645048264, 0.4525851996005628, 0.13198230394895444]"
36535,252.19033786236952,786110.1979891856,"[0.5242926795237489, 0.12614792155345095, 0.34955939892280014]"
26905,434.50636712982487,593040.7407006645,"[0.053459429743531094, 0.5985924911371675, 0.3479480791193014]"
28766,394.6678897370113,707401.6930352594,"[0.9624674389362532, 0.006887428042905061, 0.03064513302084179]"
27700,540.3968612080712,178113.09369007096,"[0.5471591720330504, 0.407650376007771, 0.04519045195917864]"
