,T,P,zs
14047,478.6169675352422,199307.45101427523,"[0.45694899717275617, 0.5078732887219269, 0.03517771410531676]"
27976,72.22783701478957,830671.085833597,"[0.24975610332490622, 0.6655517563879135, 0.08469214028718021]"
23714,39.33008031801742,826841.9615685327,"[0.39693428106603723, 0.5854020594689486, 0.017663659465014078]"
21405,373.6368713535351,541822.4898876151,"[0.6067672033728136, 0.3145363838542988, 0.07869641277288755]"
47430,581.3513452811824,868912.9103062433,"[0.30890700733908355, 0.37669334966632634, 0.3143996429945901]"
38069,503.94980794118544,534494.3049228133,"[0.46655506640238975, 0.17631675566128055, 0.3571281779363296]"
42852,683.6674074861103,844775.5148715267,"[0.1372193882147689, 0.38405744825629157, 0.47872316352893957]"
36043,141.4225997997968,804781.4177910892,"[0.03147723072147573, 0.8348883500544814, 0.13363441922404273]"
12501,447.6781096688849,997834.9303998384,"[0.18704517675136814, 0.640177599620793, 0.17277722362783904]"
25623,481.7523168080681,410809.3963985116,"[0.21140700137583082, 0.5353433786554725, 0.2532496199686967]"
26805,509.2152173401075,788979.1952856993,"[0.3637668469898179, 0.19283392541112773, 0.4433992275990542]"
39670,892.0776311430079,884143.128641507,"[0.22713538235664282, 0.3422393951750705, 0.4306252224682866]"
65,735.7284622526009,727390.7988422601,"[0.7778519982129112, 0.026733843817578738, 0.19541415796950998]"
27956,20.70154050229924,563755.7376865807,"[0.03298439068047872, 0.5625788679396478, 0.4044367413798734]"
18848,328.3103305428896,731442.7258963523,"[0.04449581411080821, 0.34796640112103433, 0.6075377847681573]"
34019,981.7132322543164,884909.3468174106,"[0.0753821172348337, 0.4262156636727155, 0.49840221909245086]"
23606,474.5641173085951,423598.7190167043,"[0.06110715481418743, 0.7435115736307738, 0.1953812715550387]"
28145,84.75934827633357,109173.03033361096,"[0.2639808797560533, 0.7138832716248235, 0.022135848619123287]"
42530,801.0640019996956,131586.9030007903,"[0.5271417602615031, 0.3214831108621795, 0.1513751288763173]"
5274,400.8557372202349,719214.0960790936,"[0.4810796793463829, 0.1659608042586114, 0.3529595163950056]"
24740,259.70906294113024,712477.7995221678,"[0.10736426474158757, 0.4886378907327941, 0.40399784452561843]"
13681,217.27358094576448,751534.9386338702,"[0.7037637306343397, 0.19456201295948242, 0.10167425640617792]"
22448,581.4091092875356,636542.8471417169,"[0.010446064062444964, 0.42411595028367444, 0.5654379856538806]"
42506,865.1141530776327,437052.7935310052,"[0.38065042575970776, 0.47171901681720885, 0.14763055742308326]"
22086,931.0365035916932,607102.7971028632,"[0.10187908793538318, 0.011005487399111419, 0.8871154246655054]"
21272,118.99131285445998,921393.1990724624,"[0.3841817731116373, 0.5405145880008065, 0.07530363888755613]"
36203,186.77315376448567,918298.7336334046,"[0.5531840905681494, 0.20028773432353777, 0.2465281751083127]"
1523,861.7530039578135,571070.0036191558,"[0.26885329322135193, 0.024880759635785496, 0.7062659471428626]"
43188,699.8160631231037,306260.2073811016,"[0.5178139913509954, 0.4484046231231812, 0.03378138552582355]"
29194,790.8552107142968,652382.2937635866,"[0.37232052224692486, 0.4829813525752158, 0.14469812517785927]"
35941,109.61410375151864,202252.81491474248,"[0.6024429393155813, 0.057575584611328265, 0.3399814760730905]"
38204,172.17684046338516,417047.9774364536,"[0.5859376561838074, 0.23036118975195116, 0.18370115406424145]"
7941,764.1014824257653,284345.20569825167,"[0.22420531541279112, 0.02626664236562039, 0.7495280422215885]"
19492,927.7040683175828,984445.0699834164,"[0.12157630449557581, 0.7907547940578232, 0.08766890144660097]"
16346,830.6000893677024,610434.695008365,"[0.592429400935993, 0.07198585179743379, 0.3355847472665734]"
18461,282.6203754916981,191905.13663464715,"[0.11709039161662983, 0.3390590762205567, 0.5438505321628136]"
38815,89.26111490343048,559201.6568433328,"[0.49040084058320926, 0.018539576795640347, 0.4910595826211502]"
21785,326.66453501357023,510601.5950013412,"[0.7147287735821384, 0.2290966001467815, 0.0561746262710802]"
30366,231.8507386974839,977897.222132668,"[0.8299238711295268, 0.10415382062825226, 0.06592230824222105]"
