,T,P,zs
38727,604.6825542807202,409574.3224649834,"[0.08319906888898812, 0.7361785835929983, 0.18062234751801357]"
47177,293.6608801187031,999359.0316586974,"[0.1394546758736785, 0.5904713613524603, 0.2700739627738613]"
19594,38.456953825604174,179199.90168408456,"[0.3476831493224493, 0.03805970514870728, 0.6142571455288435]"
2962,601.1772543901461,536458.8426189434,"[0.4418301202005566, 0.142486930972523, 0.41568294882692036]"
22846,904.1297441376984,768519.9769181039,"[0.0931992831098374, 0.7886005128371212, 0.11820020405304131]"
22888,782.3335486200388,324823.8900350559,"[0.40932043991175443, 0.0003455898522431698, 0.5903339702360025]"
49279,297.12180388823043,937237.1379221672,"[0.3107714533670059, 0.594135122151114, 0.09509342448188017]"
45691,278.54590234240123,824693.978987205,"[0.31396262970312205, 0.11786466751762359, 0.5681727027792544]"
2980,229.53061876618128,183491.3943024507,"[0.1544682227147077, 0.4772035918071757, 0.3683281854781165]"
45345,886.6143666787556,625349.4140178371,"[0.637494481108648, 0.04215291602063154, 0.32035260287072037]"
22835,12.001842682702248,365199.3838810827,"[0.04732540907559244, 0.5898243524598965, 0.36285023846451114]"
12267,189.39128881744847,728530.9018889634,"[0.3365973217287909, 0.28620224829516977, 0.37720042997603925]"
44382,620.1315338542613,144676.7075496507,"[0.565302195279426, 0.32586662752620693, 0.10883117719436697]"
18226,370.4785426411666,320403.05701826524,"[0.7084583794218285, 0.015028465021589908, 0.2765131555565815]"
38085,343.11825510159593,422727.47876840667,"[0.8464143276854287, 0.009966220470502708, 0.1436194518440686]"
17289,666.7812962637141,257387.13089237985,"[0.2159420822726689, 0.3486043277184766, 0.43545359000885453]"
25796,568.6866887950295,593143.3248312548,"[0.28220567956530646, 0.027043902786995304, 0.6907504176476983]"
18692,96.12725319765504,731290.6397349269,"[0.17426355678286917, 0.09492707823293878, 0.7308093649841921]"
43082,274.7541757886528,303798.80220368854,"[0.26977177584412304, 0.010539295062231448, 0.7196889290936456]"
19509,854.6606489264188,846033.7997394433,"[0.5391332443092356, 0.31354649872870777, 0.1473202569620566]"
3806,226.90430476278732,967098.288436744,"[0.5039431077654399, 0.02617957058507114, 0.46987732164948887]"
4974,851.9579557551227,363594.9797092925,"[0.025638627170082168, 0.2159718761520478, 0.7583894966778699]"
1091,992.8222826589032,570842.6762724058,"[0.1289339805844461, 0.06781075099741098, 0.8032552684181429]"
32686,487.6572778766379,840863.4973293804,"[0.07410721835186179, 0.5319487746523882, 0.3939440069957499]"
37038,250.91093555902583,240244.2468596969,"[0.26572023455457405, 0.5334421686354974, 0.2008375968099284]"
20382,86.99515460124154,275721.6943817397,"[0.17507417403392958, 0.6116841525044504, 0.2132416734616202]"
31339,19.317384654289818,427288.10486109,"[0.12361169510197446, 0.01995001246547888, 0.8564382924325467]"
41177,120.05611403188593,750011.7921351565,"[0.13438642505202192, 0.004880230049970355, 0.8607333448980078]"
40953,933.5832537332836,618173.5920770355,"[0.09253089907007878, 0.003874039555002638, 0.9035950613749186]"
21246,493.52092586402057,655814.3053511159,"[0.2379771754793489, 0.5483462611915865, 0.21367656332906462]"
33746,30.969322901678296,895523.5127560431,"[0.1826938189846302, 0.4995401647876452, 0.3177660162277246]"
36411,537.2687703682141,914358.2529182384,"[0.043183976031658806, 0.3775710862324316, 0.5792449377359097]"
11416,793.9406878719958,390900.5848915933,"[0.5311220572463867, 0.19246315426515692, 0.27641478848845635]"
23077,994.5786012686432,396985.0916637239,"[0.6185699072564135, 0.35935685341296025, 0.02207323933062617]"
13670,141.48818840891423,768872.0596632538,"[0.37855032235049163, 0.42261457080142856, 0.19883510684807976]"
10638,649.0062079337995,916479.0217304344,"[0.5087973489260128, 0.10920718734435267, 0.3819954637296345]"
42265,857.7203275298048,957870.2963628104,"[0.7082318181913867, 0.2702816368861977, 0.021486544922415512]"
30416,911.7456515468792,223232.97651260003,"[0.37402446020160884, 0.5127123157220786, 0.11326322407631244]"
20912,185.2473635836023,338705.9097439187,"[0.5611507483125897, 0.21163695354448894, 0.22721229814292146]"
22604,379.6764901648477,782229.7828963421,"[0.091222608788041, 0.0011390734588985485, 0.9076383177530605]"
5877,830.2129909120699,841004.7557880697,"[0.5190634238276015, 0.13129046493161733, 0.3496461112407811]"
7991,719.5153600127888,392913.1074291097,"[0.1511118696582583, 0.2146376896860961, 0.6342504406556456]"
35378,605.9843622328027,876750.0785962214,"[0.6960234033796041, 0.1796733247874401, 0.12430327183295585]"
26104,438.1840427186706,598460.7116335928,"[0.7346221199755251, 0.24106364197133437, 0.02431423805314064]"
46591,289.7357805211874,446021.1859338386,"[0.46287546783724726, 0.35046885534022243, 0.18665567682253037]"
32890,283.3640525845864,405433.3361604648,"[0.11690515143455901, 0.44090520376474274, 0.44218964480069806]"
5303,343.368773809033,971426.5019524042,"[0.3656539872697906, 0.4859474799853054, 0.1483985327449041]"
11153,534.4777758060791,371603.6106400851,"[0.6602489542466476, 0.16944994350188192, 0.17030110225147038]"
30773,456.4192133640799,390235.2149723689,"[0.18683585057414784, 0.17262761601744578, 0.6405365334084063]"
28169,377.937832806114,125859.46692857056,"[0.7806375882503475, 0.16104833344095523, 0.058314078308697316]"
7169,479.9036031870622,835003.3810791097,"[0.6344348030703457, 0.22775683008084482, 0.13780836684880948]"
20657,576.1213173838356,663222.0820264803,"[0.29092753521322195, 0.676387626131553, 0.032684838655225035]"
18703,218.8633342491493,754655.1048153667,"[0.3220275459351823, 0.2214004556338573, 0.4565719984309603]"
46096,678.948063147684,508688.988854588,"[0.0808664245426433, 0.3878640798563077, 0.531269495601049]"
24580,956.883684459863,413434.7556938464,"[0.0913234025088059, 0.3814097906211678, 0.5272668068700263]"
41827,689.2694877847974,586817.359514507,"[0.06753334695916731, 0.7233405833487618, 0.20912606969207076]"
26405,566.5486728339774,671345.0250589418,"[0.021933863136134477, 0.6527964485472041, 0.32526968831666153]"
21966,185.554573755946,740249.910048835,"[0.16597191338201903, 0.49824172287740487, 0.3357863637405761]"
534,720.5022236467372,418801.2476478365,"[0.49115994748721786, 0.3095886623961164, 0.19925139011666576]"
9430,173.57672340557687,236396.39749620025,"[0.10172669961430468, 0.02303104454052256, 0.8752422558451729]"
45706,554.0616984458159,866180.3596204105,"[0.17458295457301645, 0.31252368807783976, 0.5128933573491438]"
3348,629.3703959144812,609594.5224924104,"[0.10686368714631683, 0.06374140218692705, 0.8293949106667562]"
12973,378.389913911932,863479.2477493724,"[0.2670254700906301, 0.08566712473576787, 0.6473074051736021]"
44835,741.201479072748,707208.3895329569,"[0.18593138609160662, 0.7818038131646124, 0.03226480074378092]"
38720,250.3182140380003,210238.4951814427,"[0.24051149316480466, 0.23745237191773605, 0.5220361349174593]"
12002,332.34654675062086,602638.3789927708,"[0.7429363983230359, 0.14645756673340504, 0.11060603494355911]"
45684,490.3219229554143,101453.73651334325,"[0.15908356185572067, 0.035873861968793594, 0.8050425761754858]"
39636,339.2085259900304,393435.1830694511,"[0.27560295036614313, 0.6481506749249554, 0.07624637470890164]"
20273,383.9599789380646,227762.7032112226,"[0.7086213603079269, 0.05749629734895872, 0.23388234234311456]"
24965,300.3808513297434,997292.7132059454,"[0.38739210561412546, 0.05471018962460521, 0.5578977047612693]"
8689,632.7167709605835,207036.14526810183,"[0.5685751678559969, 0.20460249453805532, 0.22682233760594775]"
36206,781.656244647871,464946.1168660882,"[0.19619122430468924, 0.7979760899390828, 0.005832685756227926]"
10962,80.76853659300004,999331.8249493318,"[0.061747116461064136, 0.6729832063084562, 0.26526967723047984]"
27994,740.4502180786219,753761.2610120839,"[0.377162739564471, 0.21878169440148168, 0.40405556603404724]"
28259,471.2982358720096,670403.5750790657,"[0.23271068679582463, 0.024331958806120796, 0.7429573543980545]"
15120,938.57345190491,398143.4411683309,"[0.225878154349558, 0.3450286654759472, 0.42909318017449494]"
22211,774.6571153888602,963175.8853249146,"[0.019533107040786812, 0.32245528573622073, 0.6580116072229925]"
34481,244.59725978315527,327251.01532964094,"[0.2936826946855588, 0.15731155053990048, 0.5490057547745407]"
22029,433.07374482504855,135657.01775512245,"[0.5314577991095739, 0.12134539757400761, 0.34719680331641845]"
48826,641.7686864941784,948676.5226382394,"[0.813386321106738, 0.018799774428261137, 0.16781390446500083]"
37632,304.1915652268636,432038.2967995242,"[0.1450110826329472, 0.8053744538614764, 0.04961446350557636]"
41929,392.9016754502256,560784.9795586935,"[0.14007602364329497, 0.2955729441009991, 0.5643510322557059]"
29918,218.2087564965626,434937.42032667296,"[0.26177377013145237, 0.2382991779556133, 0.4999270519129343]"
35882,699.7368498217684,425745.0269276957,"[0.1660409907221632, 0.38537276992739183, 0.4485862393504449]"
47283,116.26057038118248,386938.0458578552,"[0.21006582929339296, 0.6444278186751813, 0.14550635203142573]"
43220,663.0328006739353,381032.8117986132,"[0.11353577461715363, 0.2961358458175367, 0.5903283795653098]"
20978,783.8341814541797,112413.26609182646,"[0.3067057105091203, 0.0485204297738428, 0.6447738597170369]"
35595,775.9912338957364,984993.9552952646,"[0.3712345171724659, 0.2519365811595961, 0.37682890166793803]"
30123,792.5494973867847,295696.8877879522,"[0.18238922032598978, 0.09822501452413075, 0.7193857651498795]"
22558,634.0025060560268,798325.9038693889,"[0.5253780496470649, 0.12542715172832236, 0.3491947986246128]"
8495,302.5748424329057,529713.1835319535,"[0.18392403700014945, 0.4665691019104548, 0.3495068610893958]"
24811,282.1825528576367,985232.893938669,"[0.37480074748864, 0.30270387828713163, 0.3224953742242284]"
36375,911.6981893394296,864953.6332873387,"[0.2944707711381457, 0.39888733970621115, 0.3066418891556431]"
