,T,P,zs
0,816.5106060653319,162321.11228464928,"[0.6279256568999798, 0.3720743431000202]"
1,735.854889876612,424575.82810527773,"[0.7665781051177293, 0.23342189488227083]"
2,382.3801891727409,533081.8721184239,"[0.37583184729187613, 0.6241681527081239]"
3,701.6297734404116,415649.35548661137,"[0.294471770234017, 0.7055282297659828]"
4,951.6671731687012,744962.287144102,"[0.542404641356764, 0.45759535864323586]"
5,40.03597917737621,643079.7649119404,"[0.6642130483033788, 0.33578695169662104]"
6,654.0048940336877,695839.2755093625,"[0.057684929034889414, 0.9423150709651106]"
7,32.518476103725746,797262.8553073928,"[0.43971477218392874, 0.5602852278160713]"
8,589.3963194895954,789797.7435776872,"[0.9121819043163693, 0.08781809568363068]"
9,732.7479614330917,736769.899138641,"[0.22393560933822287, 0.7760643906617771]"
10,49.72573470141239,330519.3111928749,"[0.5961763249189437, 0.40382367508105627]"
11,743.9269467766154,856149.3703540543,"[0.7439152329180032, 0.2560847670819968]"
12,363.73856343550005,253418.5581299652,"[0.4367158634273198, 0.5632841365726802]"
13,682.0550435280036,583367.8687946186,"[0.847055047381264, 0.15294495261873595]"
14,531.3065535514415,703510.5251766467,"[0.04999642399041085, 0.9500035760095892]"
15,739.354856743886,323645.5433223444,"[0.13620560227151013, 0.8637943977284899]"
16,954.2290076560769,825503.566541301,"[0.4371509210446803, 0.5628490789553198]"
17,113.65826991045897,884806.2901842601,"[0.828197746360043, 0.17180225363995708]"
18,121.34496414207099,465395.90663073526,"[0.9118497730832366, 0.0881502269167635]"
19,863.7950798858833,267429.9215528994,"[0.9825594776315062, 0.017440522368493888]"
20,369.27785088422036,615214.4455390994,"[0.43681214412745584, 0.5631878558725442]"
21,583.7138576746138,570710.8366110832,"[0.7564218094375756, 0.24357819056242447]"
22,790.3955006514277,588204.2353150751,"[0.3116188347614272, 0.6883811652385727]"
23,943.6283877768016,599880.2463718457,"[0.8790169804484657, 0.12098301955153438]"
24,451.98381626034205,548583.1979934836,"[0.7169497761321362, 0.28305022386786366]"
25,375.7297995137666,587005.8276688159,"[0.12665075455476643, 0.8733492454452335]"
26,412.36627723542705,989028.1644133897,"[0.08328190943254114, 0.9167180905674588]"
27,190.8646570862751,834576.1798717226,"[0.8411399683719157, 0.15886003162808437]"
28,44.85946958580941,573624.104391443,"[0.33401877628515064, 0.6659812237148492]"
29,52.19425856112908,669310.2610582439,"[0.16349714246223965, 0.8365028575377604]"
30,438.86785569072157,214449.2564964044,"[0.03236365026388172, 0.9676363497361183]"
31,282.0245459860377,844071.9758701163,"[0.3618569075007563, 0.6381430924992437]"
32,95.83328662635995,908805.7572559073,"[0.5076667203535576, 0.4923332796464423]"
33,666.3972343544274,807460.2480908618,"[0.3999154675998441, 0.6000845324001559]"
34,912.0711745541809,169481.89434904006,"[0.8475574863323756, 0.15244251366762449]"
35,395.9018924240365,901027.1988093856,"[0.9115191386272647, 0.08848086137273527]"
36,101.00317919155208,507485.5494141724,"[0.8611622227262057, 0.13883777727379434]"
37,679.1966981671459,830128.9978301902,"[0.08907184682520448, 0.9109281531747954]"
38,264.25455578289245,706998.4421023375,"[0.05600277335215281, 0.9439972266478472]"
39,287.9167186527993,560516.8992132004,"[0.6410575096864444, 0.35894249031355546]"
40,577.2843869238322,335567.3278692627,"[0.14799004157268306, 0.8520099584273169]"
41,39.585393155282134,565599.8384110229,"[0.9548339367470975, 0.04516606325290261]"
42,421.3861143777961,268745.5717117179,"[0.8385363745382659, 0.16146362546173398]"
43,192.3098007902149,950915.1784637185,"[0.3925316770226892, 0.6074683229773107]"
44,867.23252232332,733100.3372764086,"[0.9832322407692189, 0.01676775923078109]"
45,41.33907965430318,446853.38192684256,"[0.5474651306107896, 0.4525348693892102]"
46,537.2429760743184,955973.930425213,"[0.5865076699983222, 0.41349233000167784]"
47,78.91353918549248,930569.6300655676,"[0.9972689831368309, 0.0027310168631691427]"
48,984.2567716670138,680588.2681615658,"[0.05463329882551211, 0.9453667011744877]"
49,488.5700060650513,638963.5856451358,"[0.44657126735986774, 0.5534287326401324]"
50,55.04076316524302,564746.3156510857,"[0.06248111086679337, 0.9375188891332067]"
51,622.2914904915282,246913.98710062448,"[0.1248760032736949, 0.875123996726305]"
52,828.158561337656,638015.7319450794,"[0.3428176645701963, 0.6571823354298036]"
53,97.32321208938399,550954.5155992999,"[0.07142150077935139, 0.9285784992206487]"
54,857.4052000422686,317531.86833959946,"[0.8906043007364394, 0.10939569926356062]"
55,326.11788893030337,285738.1855686625,"[0.6326624578804688, 0.36733754211953107]"
56,468.1976776419219,446644.62107464805,"[0.10776480789951534, 0.8922351921004846]"
57,439.4005243893698,203333.60650619277,"[0.605095177981509, 0.39490482201849086]"
58,699.1094805353445,594499.6787663052,"[0.9766608783902533, 0.02333912160974675]"
59,709.0339830537918,424254.07584199734,"[0.41244416624327207, 0.5875558337567278]"
60,338.97066825858457,353628.19971847587,"[0.1497711010528002, 0.8502288989471999]"
61,164.88775576920742,683244.9563663343,"[0.6585621779154476, 0.3414378220845524]"
62,952.4007656141979,643680.5740615918,"[0.5575466114387968, 0.4424533885612031]"
63,560.2863145577935,213533.4008465779,"[0.10843852719039909, 0.891561472809601]"
64,303.02504861973443,793142.5705916366,"[0.20605144278205936, 0.7939485572179407]"
65,843.0338824049898,128084.21298696859,"[0.9218170347976505, 0.07818296520234956]"
66,889.7176993356629,846709.8514011751,"[0.27106842228813083, 0.7289315777118691]"
67,738.1821136962454,961846.8199236353,"[0.4044202670637014, 0.5955797329362986]"
68,295.10545147440337,796840.6638001947,"[0.7179681758048088, 0.2820318241951913]"
69,900.0747996736978,398475.2270474381,"[0.5215817261939172, 0.4784182738060827]"
70,389.9081627875562,172080.66512180472,"[0.8436524959720426, 0.15634750402795733]"
71,908.6793417092072,385367.21905410616,"[0.011333420715642235, 0.9886665792843577]"
72,361.20307258123756,664795.3450609922,"[0.7547007887521662, 0.2452992112478337]"
73,943.0394414540469,837501.4225462237,"[0.7205219506275652, 0.27947804937243487]"
74,669.3918348500257,992804.2394447435,"[0.6407553830165663, 0.3592446169834338]"
75,110.6446875704144,661035.598629914,"[0.18496336857696302, 0.815036631423037]"
76,432.67414858229955,165300.8158137427,"[0.2755163338723703, 0.7244836661276297]"
77,890.7431757412452,960014.4633743967,"[0.4096884822159101, 0.59031151778409]"
78,659.3550590875993,111159.09435120321,"[0.5825503137155977, 0.4174496862844021]"
79,341.25964226675325,845939.3620051137,"[0.10953054521955469, 0.8904694547804453]"
80,71.89340572042977,503338.7948702188,"[0.7112351612162096, 0.28876483878379033]"
81,991.9901324100676,824138.8399556555,"[0.886294620723936, 0.11370537927606403]"
82,985.0374759523899,961536.2694564345,"[0.7087400159663905, 0.2912599840336095]"
83,513.6615957344123,523569.9334262269,"[0.4088589721209646, 0.5911410278790354]"
84,857.9020690415144,198176.7690760903,"[0.8045040992516262, 0.19549590074837372]"
85,179.96214034231707,943304.0855736925,"[0.7562340602516905, 0.24376593974830962]"
86,110.71184849849443,930501.2906730431,"[0.11058886771300107, 0.8894111322869989]"
87,282.3745405150347,754368.9856575396,"[0.3092072339626298, 0.6907927660373702]"
88,223.48310506135863,116218.20796646268,"[0.5267548348616737, 0.4732451651383264]"
89,196.92231560439697,247827.74293337992,"[0.6079787845825777, 0.3920212154174223]"
90,358.91995258820134,296754.86014796793,"[0.43461821601406797, 0.565381783985932]"
91,233.3468794491379,478556.22689631523,"[0.805990339778983, 0.19400966022101693]"
92,129.83906304817606,485485.584504251,"[0.36299544967105685, 0.6370045503289431]"
93,754.4524164257698,805535.1101343188,"[0.42887894437240387, 0.5711210556275961]"
94,776.7464882683881,686521.9640346059,"[0.6279696709714447, 0.3720303290285553]"
95,903.917739375157,204404.66261747072,"[0.7601195500952277, 0.2398804499047724]"
96,213.42675966764455,858473.4758746738,"[0.6114603199811155, 0.3885396800188845]"
97,963.5998278960554,565817.9397019288,"[0.34925324440404293, 0.6507467555959572]"
98,330.05333429124,984153.5354948533,"[0.5283556953201103, 0.47164430467988966]"
99,592.2680839014218,430657.25406628195,"[0.8531484085650067, 0.14685159143499318]"
100,518.1987520134081,435400.1211734581,"[0.5554308953781784, 0.4445691046218215]"
101,214.48040869368742,157743.9633915875,"[0.39886497905452467, 0.6011350209454754]"
102,581.5632295252402,229569.40377475324,"[0.5130917096916179, 0.486908290308382]"
103,936.6584173762941,220103.71658788668,"[0.45655716248636935, 0.5434428375136306]"
104,199.89928950699212,152177.71437639694,"[0.8715767741132494, 0.1284232258867505]"
105,505.8970812415401,436595.22979977605,"[0.9157909781729152, 0.08420902182708487]"
106,770.1213880018845,273451.4060177915,"[0.024311094653380945, 0.975688905346619]"
107,153.32123080962344,693831.5026911121,"[0.2082319788106492, 0.7917680211893506]"
108,316.0764752777192,957248.2157429019,"[0.009430274452188595, 0.9905697255478114]"
109,325.17659366818094,843029.9593113349,"[0.9420196187346963, 0.05798038126530358]"
110,171.57255480310099,777186.240058605,"[0.38155862035040383, 0.6184413796495961]"
111,194.33296504593474,491256.0196047061,"[0.1726549162447818, 0.8273450837552181]"
112,612.3342273937972,645731.1690786936,"[0.9771811225733095, 0.022818877426690552]"
113,14.948676008629485,126494.61155552813,"[0.6833860680238858, 0.31661393197611415]"
114,634.2630407230035,541058.2789540167,"[0.03692392811831646, 0.9630760718816835]"
115,501.5352715391728,217537.8542388475,"[0.013113435752195646, 0.9868865642478043]"
116,511.4105973672273,222359.91062824015,"[0.01889720434800334, 0.9811027956519967]"
117,130.3004937619699,217424.2647666185,"[0.43915821569518365, 0.5608417843048163]"
118,782.3491414484752,146685.565558906,"[0.6591228228401442, 0.3408771771598557]"
119,266.0754365001214,132936.22503394424,"[0.15479981858539998, 0.8452001814146001]"
120,23.973282677681286,457618.5807616446,"[0.061195520317534675, 0.9388044796824654]"
121,602.2463920514763,571433.3479687473,"[0.09304500446079679, 0.9069549955392032]"
122,857.1609639982215,480482.1671710332,"[0.07854811438464107, 0.921451885615359]"
123,810.8886183469727,108231.98467328747,"[0.4939437865518009, 0.5060562134481992]"
124,642.9088197178172,852381.8267729738,"[0.5597360494393331, 0.44026395056066703]"
125,213.02062754244886,765823.6072323496,"[0.6147813378385378, 0.3852186621614622]"
126,893.5521904889137,798452.8863140614,"[0.7555594909317698, 0.24444050906823026]"
127,935.3882959114969,881474.085703766,"[0.29601605993159125, 0.7039839400684087]"
128,524.1098412374636,904782.4824796717,"[0.38846373630170894, 0.6115362636982911]"
129,747.8921243313761,786238.64552583,"[0.9652912036008912, 0.03470879639910893]"
130,723.3649483144309,816852.0846124706,"[0.451871358482025, 0.548128641517975]"
131,831.2991460605856,351987.5744023095,"[0.9027911536627405, 0.09720884633725943]"
132,306.28956195959387,970110.6201370028,"[0.7382852686882156, 0.2617147313117844]"
133,880.2103301938852,328605.13956970343,"[0.5659534935900019, 0.434046506409998]"
134,862.4731563649448,603012.2582224518,"[0.6671744071997953, 0.3328255928002048]"
135,698.3458937989075,143631.42830427512,"[0.27800375089085777, 0.7219962491091423]"
136,800.2294172458072,618273.204332401,"[0.2794987826950205, 0.7205012173049794]"
137,885.8167877644237,616559.9368422655,"[0.3645825326175816, 0.6354174673824183]"
138,372.883956905609,525579.612817968,"[0.7804871760347419, 0.21951282396525812]"
139,906.2993969772604,430814.3241852166,"[0.8015717575661889, 0.19842824243381102]"
140,845.19279879516,674710.3534531693,"[0.25787330397633046, 0.7421266960236695]"
141,684.1168635071112,885144.7628459983,"[0.14645302673092037, 0.8535469732690796]"
142,135.09755265657375,765747.5431823089,"[0.5467621374014491, 0.4532378625985508]"
143,270.7733656796177,469479.6336779647,"[0.1390425689923894, 0.8609574310076106]"
144,235.53502586248078,332425.05623577023,"[0.6470371328100507, 0.3529628671899492]"
145,949.7497482399716,257620.03222619984,"[0.6945269945675442, 0.305473005432456]"
146,603.9506343827892,380631.720058782,"[0.40037420072118535, 0.5996257992788145]"
147,22.483725688044508,657175.5238651917,"[0.9027430581624528, 0.09725694183754723]"
148,515.1492260330322,240481.12814063625,"[0.11746547684490684, 0.8825345231550932]"
149,343.61244216617354,122579.173464012,"[0.6384388174923665, 0.36156118250763347]"
150,616.6341952184578,906388.4618881962,"[0.14563717867650053, 0.8543628213234995]"
151,551.2325718308483,969078.8952642175,"[0.9185945423159155, 0.08140545768408457]"
152,416.03506642285237,262292.22934466414,"[0.4664542395998631, 0.5335457604001369]"
153,98.29949680632542,897948.3439592863,"[0.055127906184555826, 0.9448720938154442]"
154,952.6361497591337,555702.8831516732,"[0.3067689288068539, 0.6932310711931462]"
155,182.78162576599604,222532.89348157682,"[0.08710172124872027, 0.9128982787512798]"
156,896.3481947500039,558088.2567521912,"[0.16561993426884178, 0.8343800657311582]"
157,725.8292614417704,850131.3541980553,"[0.9112168549009849, 0.08878314509901511]"
158,969.8185473085232,684497.6259580652,"[0.6663310739161099, 0.3336689260838901]"
159,513.2021254722697,680617.0204716105,"[0.1031581436757648, 0.8968418563242352]"
160,864.9178399344382,703541.3154128158,"[0.4886587303594612, 0.5113412696405387]"
161,757.075989732392,962946.2061839731,"[0.3073238844376598, 0.6926761155623402]"
162,720.9618849144867,286876.7871678029,"[0.7721681768672151, 0.22783182313278494]"
163,582.6860762135551,679662.8143058448,"[0.01536748313353128, 0.9846325168664687]"
164,478.5579504398283,144621.61609437066,"[0.7253387552036639, 0.2746612447963362]"
165,418.1159241476713,652236.5102642814,"[0.12655833043915746, 0.8734416695608425]"
166,224.64850161401787,866800.4386291745,"[0.4886160257299165, 0.5113839742700834]"
167,105.26891926065876,433557.4577089338,"[0.9163527699426696, 0.08364723005733034]"
