,T,P,zs
5088,460.2502438416115,366524.70942463167,"[0.2397360757059602, 0.643100907144716, 0.11716301714932377]"
33270,550.1142772005401,599949.7879086853,"[0.2985257723849948, 0.6800925145168826, 0.021381713098122635]"
173,86.19984898326636,936354.1054636204,"[0.48013610475337193, 0.2924241350604509, 0.22743976018617715]"
7969,570.4879481517713,812112.2706702378,"[0.48123769914103676, 0.37125458025745084, 0.14750772060151246]"
5328,817.5613943010572,119588.58050657964,"[0.06649146189258595, 0.876616593390048, 0.056891944717366215]"
2751,487.6679428244207,791841.4410253649,"[0.23487614212231905, 0.44805842586200023, 0.3170654320156808]"
46976,417.7668047820581,362376.0547573535,"[0.7114306831797781, 0.2837920214423138, 0.004777295377907996]"
46689,579.5961135910405,828640.1138307874,"[0.5528390757364532, 0.27849194946447975, 0.1686689747990672]"
36880,422.8547993346859,935396.3129882936,"[0.5590908070914568, 0.0712053270391577, 0.36970386586938553]"
7500,366.73673379065445,263752.67792743235,"[0.42624384025069617, 0.4154987206647228, 0.15825743908458093]"
38434,382.3748103003327,174190.25340484772,"[0.9399836929822629, 0.003437626061144562, 0.05657868095659258]"
47130,649.633710743083,193286.6220757715,"[0.40785513128279627, 0.47051202999358543, 0.1216328387236184]"
5569,176.78374734734643,136083.97855017998,"[0.33328972506437704, 0.3920914482423862, 0.2746188266932367]"
29297,295.60040644546524,121490.60394620914,"[0.45785359680087645, 0.08713935776866488, 0.45500704543045883]"
27386,359.3381688221608,797732.0252070754,"[0.2082771390820715, 0.07513632817572583, 0.7165865327422027]"
16828,523.7734717630109,577787.4307055804,"[0.8129529236920536, 0.10084085925086267, 0.08620621705708384]"
1434,514.6660954821666,912604.0038074276,"[0.5562038513584733, 0.12052547431235802, 0.32327067432916873]"
47653,789.1565362881829,586617.0060701095,"[0.4484510969365013, 0.13419563070867388, 0.41735327235482483]"
20375,380.20755798578784,208725.86186347285,"[0.7190728528767587, 0.1540321885543811, 0.12689495856886013]"
23782,292.3182458457366,881526.5763634021,"[0.16059847161482926, 0.12924055408737375, 0.710160974297797]"
118,394.4393160744314,218533.87991085032,"[0.46787037243037066, 0.31448328936474507, 0.21764633820488422]"
21452,562.8807445587586,914266.2621331032,"[0.26561446324780263, 0.45895025266777545, 0.27543528408442186]"
41897,804.1777320058669,175889.11125081533,"[0.10967573740389008, 0.5661143877073649, 0.3242098748887449]"
20142,786.8446021101952,143588.92538818257,"[0.6763649259757162, 0.2677686743278434, 0.05586639969644032]"
24405,315.9568236540629,983477.7816289389,"[0.02611153324721944, 0.9214319169441282, 0.05245654980865241]"
26558,251.04545029278336,695359.2366706841,"[0.027870444423233748, 0.07283127954373889, 0.8992982760330274]"
9758,980.3122007521708,963326.7194702716,"[0.21822571147542386, 0.009444949607262556, 0.7723293389173136]"
47789,132.82068316938603,906774.4112164228,"[0.05315085257729768, 0.3524502108431553, 0.5943989365795471]"
49699,867.530383846292,738656.1983786182,"[0.01767135727141716, 0.7309220549817077, 0.2514065877468752]"
22995,450.657900807879,528677.1190171982,"[0.5901452004225648, 0.3525000937372907, 0.05735470584014452]"
26789,408.90583542831104,279926.0117224785,"[0.06532227861048151, 0.07027685360737788, 0.8644008677821406]"
47068,180.18147437283545,617548.7645625906,"[0.47470701677448407, 0.3451527681353342, 0.18014021509018194]"
7037,868.5071865515508,510927.04793199647,"[0.08251281731732292, 0.7342512705569059, 0.18323591212577123]"
40883,583.5090519873444,339625.9046705109,"[0.039691910459461806, 0.3603094306961869, 0.5999986588443513]"
16883,148.46967183404803,333366.97505162435,"[0.29587051148273, 0.4314929602762892, 0.2726365282409807]"
43260,952.3027621681706,611384.8733606772,"[0.36667164011177833, 0.3152099028578057, 0.31811845703041597]"
23350,139.4140285289388,664001.5885081305,"[0.05811842071375302, 0.2360396794806593, 0.7058418998055876]"
36792,740.414722350298,823091.1185711476,"[0.2719046948235108, 0.3329435014836981, 0.395151803692791]"
