,T,P,zs
9239,397.0986881809994,236290.39045447813,"[0.5953662765806025, 0.23419737146362654, 0.17043635195577117]"
35806,216.31630384054893,642220.594821466,"[0.15683132471124223, 0.34503608465496766, 0.49813259063379]"
12840,155.56342823262926,888609.3223642095,"[0.6146575636949948, 0.0742998350373989, 0.3110426012676064]"
45089,567.603538420825,880045.26882467,"[0.04877088270454682, 0.9319959660888568, 0.019233151206596303]"
20514,765.1149126312475,213109.5294262004,"[0.2844346994106203, 0.43291614030272013, 0.28264916028665954]"
1468,795.9744445009243,739404.139877321,"[0.1123294348849088, 0.7700517231410149, 0.11761884197407634]"
41823,183.1528027468089,127145.6355977629,"[0.15631040370399846, 0.6091438725166819, 0.2345457237793195]"
1165,366.98184981103486,844795.9780779358,"[0.11074793993130806, 0.5238113282204578, 0.365440731848234]"
15973,953.1390526735617,870714.4363561254,"[0.15102586795755144, 0.29546697787606246, 0.5535071541663861]"
10660,162.15713672767214,902041.3686317676,"[0.15819711470972103, 0.6855001203574782, 0.15630276493280076]"
22727,721.2993342956304,263727.18542308715,"[0.9097456038423494, 0.08090102513617926, 0.00935337102147134]"
45716,976.4414456499236,903848.2092273084,"[0.09351676849687691, 0.6164422530688751, 0.290040978434248]"
14748,612.0195577379483,936145.595835248,"[0.42955047463244744, 0.10144448302456988, 0.4690050423429827]"
41671,266.575257722239,127087.71621203836,"[0.28016703974243884, 0.21117700014009064, 0.5086559601174707]"
47491,508.1097458152868,726001.0574312572,"[0.5627856894156095, 0.017712052890179984, 0.41950225769421057]"
7664,584.6138521352839,459365.0249958918,"[0.4875193745967744, 0.34337252136515994, 0.16910810403806567]"
33499,769.1138658764102,231802.4879053732,"[0.6722902815826522, 0.15809270765625408, 0.1696170107610937]"
15504,40.00913282596186,739751.0769377155,"[0.6212610971293887, 0.1026221978343678, 0.2761167050362436]"
11522,507.8414042140317,452206.81377934176,"[0.20633821861480356, 0.5942104957266439, 0.19945128565855258]"
19421,86.85606904790384,460703.20957745065,"[0.3083767776536304, 0.19592956891599153, 0.49569365343037813]"
2184,882.587665396618,845168.2137089652,"[0.39997298508092993, 0.2834405733940666, 0.3165864415250034]"
26422,847.4464845322268,134890.85021874527,"[0.5609945377536988, 0.29731871260419773, 0.14168674964210348]"
42430,297.94724548250895,778656.8428044507,"[0.25854951780242635, 0.26940038926109583, 0.4720500929364778]"
9738,386.73611419701473,550569.723578325,"[0.47081937443042976, 0.08204504110005008, 0.44713558446952]"
25651,823.6249187146417,144389.09312334406,"[0.2859584219332896, 0.19850134624472485, 0.5155402318219856]"
23475,107.62721981306412,910601.9145795818,"[0.16305450776195796, 0.6700730924648806, 0.1668723997731614]"
42862,554.6343173252457,895845.8855026246,"[0.06279372336198259, 0.886167215167156, 0.051039061470861485]"
32295,937.4116860546346,700973.7107311692,"[0.42858873900315503, 0.15907538757175144, 0.41233587342509354]"
1445,43.09504005447592,568606.8793807063,"[0.4537089889414373, 0.4990227383324952, 0.047268272726067484]"
26152,952.5508521788936,176908.43738778395,"[0.25738467471948634, 0.0852142617629379, 0.6574010635175757]"
2529,315.05773953102755,561013.1320144495,"[0.6813904307231242, 0.26272745246060974, 0.0558821168162661]"
36623,819.9370690076761,906553.401872884,"[0.26532823672494005, 0.6054268708100574, 0.1292448924650026]"
22916,24.710954970109185,666475.0119086595,"[0.346929468261517, 0.2124641507592982, 0.4406063809791848]"
4264,212.2961455734373,873845.5773823133,"[0.40133032869572777, 0.06705465123038828, 0.531615020073884]"
8890,182.1517380932492,349348.1219994732,"[0.5527326912161669, 0.31991230267774196, 0.12735500610609116]"
29537,825.1318375887167,702285.640898459,"[0.19976293875532905, 0.2942074286247114, 0.5060296326199597]"
25228,715.5915433815594,157048.38564867125,"[0.07519088527460098, 0.1857721039922723, 0.7390370107331267]"
28362,578.4485249607977,567597.1053056738,"[0.2809486639771688, 0.24190811411848398, 0.47714322190434705]"
46800,583.5749066042499,148754.15888999193,"[0.10044617715843092, 0.5108907065694407, 0.3886631162721284]"
26843,627.9093835344377,143076.80873754187,"[0.12401751574697531, 0.8749399081188906, 0.0010425761341339736]"
46094,723.0009170080561,755301.4451131455,"[0.690315879122785, 0.1727910404358653, 0.13689308044134968]"
22306,626.247156842068,675916.5074962039,"[0.3251179637481617, 0.15452183928466115, 0.5203601969671772]"
44931,458.356759646761,928149.1615428592,"[0.4692464783292637, 0.1342441644950528, 0.3965093571756835]"
12524,204.51871407117235,974231.626848392,"[0.15542948421164782, 0.2363105548320948, 0.6082599609562575]"
19899,476.947337998029,882980.0838498981,"[0.012348665818219801, 0.3500455804803385, 0.6376057537014417]"
20157,919.3712608916396,428410.7151220981,"[0.6457481116601922, 0.22735547227517333, 0.1268964160646346]"
5222,103.33253834439128,680718.5657903397,"[0.12903969470280366, 0.6695831204496859, 0.2013771848475104]"
34601,65.57942151094718,442035.7864749067,"[0.2951083489420645, 0.1507645785714645, 0.554127072486471]"
15151,185.2499743113417,515629.1304837079,"[0.8125322518882234, 0.13081196437092463, 0.05665578374085188]"
3147,150.42883161195692,373645.79732799646,"[0.027072071438714308, 0.8331331432270822, 0.13979478533420342]"
