,T,P,zs
23007,405.9843569464762,948353.4113259844,"[0.7546964596780183, 0.005182422926934944, 0.06641530183735907, 0.08847927667956354, 0.08522653887812423]"
12223,185.11484015601732,491134.6201247283,"[0.15783228353187032, 0.009052483661766163, 0.03399139442663948, 0.7313514166259814, 0.06777242175374269]"
5898,939.7980748674664,102315.1382691607,"[0.010065535319697106, 0.1246502132785093, 0.026264457948591956, 0.19069572138048815, 0.6483240720727135]"
9037,210.1963030119498,217912.3671661529,"[0.07072601596755303, 0.2606159585590543, 0.2314852010788278, 0.1700129886051582, 0.26715983578940655]"
48821,771.2364401347337,588217.3486195698,"[0.04335660939050708, 0.2517155944929703, 0.21187025031740914, 0.3968431208048626, 0.09621442499425081]"
20590,739.9601287286633,356548.36277688865,"[0.04152237414941055, 0.22991654551352841, 0.6574058345264144, 0.048296561477641296, 0.022858684333005523]"
16992,418.9355202281946,644334.1232629153,"[0.06439285932411669, 0.005199454324814993, 0.17302030994006456, 0.655469344433681, 0.10191803197732281]"
2780,288.1401271815088,291677.87374191504,"[0.04901639556809298, 0.4413002431236259, 0.28960072122325, 0.20116031978658186, 0.01892232029844932]"
6537,790.1298770096797,106101.21790158228,"[0.03155075502367774, 0.32515630605496043, 0.02494400198661958, 0.26534132381572356, 0.3530076131190187]"
29251,971.7202181801126,382581.8436108264,"[0.20312014368889728, 0.04329995915769825, 0.43807772915180593, 0.12080218321663447, 0.19469998478496398]"
21528,790.9949682854485,697441.8991120497,"[0.08707651563659391, 0.08327964986448401, 0.5304939108104133, 0.09179024772545107, 0.20735967596305774]"
24714,546.2200225182218,722569.0475083267,"[0.1548684338022612, 0.1176475576316948, 0.5663250377455414, 0.08920856903009537, 0.07195040179040718]"
13509,962.032942525715,450009.7784557558,"[0.053760591075785874, 0.6666960195779992, 0.11828512166375496, 0.08776959442128367, 0.07348867326117638]"
40427,891.520685024593,331303.00103818753,"[0.22857603405304813, 0.14537609719948266, 0.29492603675524676, 0.01986922651673346, 0.31125260547548883]"
36722,538.2204884592613,524325.9693171473,"[0.25489436823135253, 0.016384606160959627, 0.23851580583939588, 0.2553068268971089, 0.23489839287118316]"
17788,519.7287918232682,277921.5365402004,"[0.22810061214078436, 0.10555558006276909, 0.10614357316671755, 0.34734430639258695, 0.21285592823714214]"
28554,990.569670972272,968787.4905363054,"[0.07776325179041145, 0.034337616803770406, 0.5047971181558308, 0.08991485254362284, 0.2931871607063644]"
20880,808.6701782182521,818147.327260142,"[0.1507050422015018, 0.0021827887907957416, 0.6285883836895335, 0.11491178252225699, 0.10361200279591196]"
16920,129.55790834259196,967842.2088484676,"[0.11228934431020923, 0.22613747631625075, 0.276232427296648, 0.32970403143936206, 0.0556367206375299]"
9773,62.66463386558009,560487.5716907033,"[0.2756443044480233, 0.5268816012538672, 0.1500971154514019, 0.02903698123255576, 0.018339997614152087]"
15838,997.8446131918882,626951.3181845023,"[0.11241233829912796, 0.2763223859140516, 0.16542955888933814, 0.01680431398707388, 0.4290314029104085]"
25017,553.3023789116638,953805.1280060108,"[0.09074872980296611, 0.44431917957357814, 0.0499622046794366, 0.389717283007512, 0.0252526029365071]"
26905,382.1978019992639,617443.6360968654,"[0.02881646935301585, 0.6404102901988677, 0.24323230750545138, 0.016068586265244572, 0.0714723466774205]"
18660,670.4537603352237,562788.1934976055,"[0.08009461987795788, 0.08100176044978381, 0.20295309986703808, 0.4694585594948656, 0.16649196031035476]"
17576,665.8220009237558,849165.4322847376,"[0.26032265365118246, 0.39194440150739973, 0.08052148689692594, 0.16208255818250247, 0.10512889976198939]"
35433,230.78806828605127,360460.2098218808,"[0.25649930318872977, 0.18360706295236262, 0.2276915647430255, 0.17221304850102104, 0.15998902061486114]"
29223,49.66573048435285,199935.09723678965,"[0.019286274619128137, 0.48809592737575175, 0.06147090709536515, 0.22863741277591357, 0.20250947813384143]"
35439,898.2021860773733,211045.2210905546,"[0.08729832502792255, 0.4434375954027548, 0.3406051983755585, 0.06046701910486364, 0.06819186208890045]"
37967,831.8392933481387,130848.381062025,"[0.1007904103236258, 0.4463090637182295, 0.20550825615007978, 0.136715759975243, 0.11067650983282198]"
49290,434.7324256465904,795156.9691075797,"[0.00680497628041656, 0.17659149906860336, 0.34264411743548945, 0.28038908650357186, 0.19357032071191876]"
41242,642.9939005262978,585436.2014639836,"[0.039393965985477224, 0.6738215907191325, 0.0962135460308637, 0.07589342953080722, 0.11467746773371935]"
579,892.3698608473078,731209.0309353111,"[0.016093482038289485, 0.18781970794494096, 0.15730135324132527, 0.5747433530017998, 0.06404210377364442]"
13288,760.2087429228637,271149.92545139417,"[0.22128201678859247, 0.1000915412363387, 0.2382791585768297, 0.4146027198917334, 0.02574456350650569]"
49563,322.3959040364309,935588.2987565576,"[0.08599988123795999, 0.21878026210692908, 0.1626598699099075, 0.3500336388342213, 0.18252634791098218]"
8977,87.99748581675766,348360.14125672565,"[0.2928265080212091, 0.2378958423809318, 0.16451940469027443, 0.17466311862676437, 0.1300951262808204]"
30011,611.3399821291199,753075.8508773956,"[0.3309152480939336, 0.05607048485234677, 0.25129826312624426, 0.31846796376098013, 0.043248040166495215]"
10677,937.7406698238966,501040.9251924818,"[0.262365471538442, 0.18111373511734477, 0.37113881910126384, 0.1168615082140617, 0.06852046602888769]"
14769,896.3664525409877,997292.646457594,"[0.3618761592001358, 0.024269721331861248, 0.31398653865791154, 0.21127098982772427, 0.08859659098236707]"
17227,799.2751551769481,704047.2004867895,"[0.037162671751673516, 0.03791667058653239, 0.5867152353044645, 0.027065923878865625, 0.311139498478464]"
28138,84.75983925761959,449447.4139690535,"[0.1485501993978611, 0.043155600755051635, 0.06480780478646014, 0.2646491909064168, 0.4788372041542103]"
6433,471.1019352466324,895900.4219712303,"[0.2769970339695928, 0.06629152221198037, 0.16357715062417244, 0.16152236954234953, 0.33161192365190495]"
23190,375.3879762439688,935893.9289952336,"[0.17804421017095268, 0.10404576970637275, 0.15773481920245408, 0.27275960737885374, 0.2874155935413668]"
32334,292.16496407204306,174452.33049556756,"[0.14241436298758486, 0.0997280900939819, 0.07599815612562084, 0.14098603181860905, 0.5408733589742034]"
34991,161.55330762329166,763549.6618990535,"[0.17736495981663222, 0.12295553448867001, 0.3975559157009496, 0.26433763037735125, 0.037785959616396934]"
26743,907.2935094378216,553858.545420049,"[0.06144776083173759, 0.05427177569129659, 0.2387902084275063, 0.3968693796393595, 0.24862087541010008]"
42581,140.72681736375,311365.6871194866,"[0.3634588538492634, 0.03301495223026311, 0.37415004456977674, 0.15596500399936886, 0.07341114535132787]"
32835,265.6658820101899,610806.2214602303,"[0.10972335572873008, 0.014890301369619243, 0.535224167514459, 0.15123659837754416, 0.18892557700964757]"
32117,831.4951617921749,490594.5753303943,"[0.16982443946128453, 0.022608232649374015, 0.1867030894635011, 0.20987028926829637, 0.410993949157544]"
18130,27.324794460685283,478289.205216541,"[0.24009821426064437, 0.28458228964323024, 0.14619503410467471, 0.3004927851039701, 0.028631676887480674]"
7615,673.4128837862625,814624.7857879115,"[0.215008858159915, 0.49245979571186727, 0.08176638446556796, 0.066487841368588, 0.144277120294062]"
21426,570.2751007623668,351238.48894420575,"[0.13895949958986928, 0.06584935090674794, 0.3949327564562798, 0.06281733352944371, 0.3374410595176594]"
27438,993.9458442031294,911308.5721181544,"[0.12266583407183607, 0.20672536936571928, 0.037929199003395746, 0.4999414600362583, 0.13273813752279048]"
34008,756.6860369681009,524357.0591695821,"[0.228214340062924, 0.020094875233971802, 0.5590086102425547, 0.1014491715313747, 0.09123300292917491]"
16030,710.2550195641935,222223.0140747734,"[0.05021335967081377, 0.4827096788540243, 0.024708199752665007, 0.37445827897321443, 0.0679104827492825]"
20359,421.2107510243133,157454.5861191503,"[0.12897842818959035, 0.060298736578564334, 0.08981025286841904, 0.19675068639023713, 0.5241618959731891]"
23685,347.93390224377566,110243.8300302334,"[0.25911555712428525, 0.20893405836463447, 0.025409428833027138, 0.30217341534755787, 0.20436754033049528]"
13675,899.4444216401546,539714.188197036,"[0.17720435665797996, 0.1818474686593539, 0.18494638986711007, 0.16486257284449374, 0.2911392119710623]"
36732,572.8065276977383,148517.4556284013,"[0.0499344093380456, 0.003068555193638166, 0.2330032352304681, 0.39984872097108204, 0.3141450792667661]"
49282,870.689322712007,957769.9420654596,"[0.25167308699876656, 0.19017962247005651, 0.06782447633926392, 0.08046868545922103, 0.4098541287326918]"
