,T,P,zs
27324,665.7748631324496,270660.48421934946,"[0.41130245340896154, 0.5711683999024331, 0.017529146688605286]"
12319,911.4089705851328,428766.5110351458,"[0.20636321508726718, 0.1732710481068167, 0.620365736805916]"
21664,940.1963675884512,464589.5750640742,"[0.22298192684538656, 0.04166103688984462, 0.7353570362647687]"
9410,858.2922525939697,324761.5147220339,"[0.19893495073250192, 0.3485208424263424, 0.45254420684115565]"
16191,525.0829955840376,580331.3899161697,"[0.773069458257802, 0.1899931969631322, 0.0369373447790658]"
47381,372.6813681959367,170121.0249988899,"[0.08144490457077741, 0.17389333262753168, 0.7446617628016908]"
14263,372.9367213565255,244742.903558001,"[0.5369986519309854, 0.14491692613342316, 0.31808442193559144]"
11493,919.376476908734,908421.3565896456,"[0.36884403214610456, 0.17001360442411334, 0.46114236342978204]"
30967,21.37984657593497,792983.5991837532,"[0.7792003488121545, 0.019241534181570222, 0.20155811700627527]"
13060,403.6748638715289,531045.7800552179,"[0.1259559029062728, 0.29430208256950574, 0.5797420145242216]"
37671,831.1425146170573,946647.7317496066,"[0.16172070091896423, 0.2481268484518037, 0.5901524506292322]"
49574,496.41452050390336,359766.3404695236,"[0.256268104702705, 0.3674599732173204, 0.3762719220799746]"
43932,452.6399284162536,479776.9117937091,"[0.26804302352292286, 0.5275011290332399, 0.20445584744383713]"
49630,641.9840402447334,645630.1338867636,"[0.3649144788274288, 0.28641831453124794, 0.3486672066413234]"
28404,58.51933904031626,433941.1856595326,"[0.15645670698160377, 0.038753858128600986, 0.8047894348897953]"
20681,729.184030289423,662343.2408930573,"[0.8598742838040161, 0.07448340344148326, 0.06564231275450079]"
34679,393.3532574008096,419081.13411332056,"[0.38213832409064974, 0.12152985879309429, 0.49633181711625585]"
37623,307.8790113469583,174139.19827872602,"[0.22631527108038113, 0.21785446662347605, 0.5558302622961429]"
4488,193.30030578940023,996420.8652760324,"[0.3259055500529457, 0.2007688748155493, 0.473325575131505]"
39557,204.556978813938,744308.3565942991,"[0.2079786225178071, 0.519445422870473, 0.27257595461171985]"
30130,384.5070846693189,111709.96877278136,"[0.18811770918485884, 0.7272091960068855, 0.08467309480825558]"
15280,806.9432091716089,806537.6581030603,"[0.3593056734443501, 0.5664919076179293, 0.07420241893772053]"
9283,539.2955967460399,839753.641158024,"[0.7722421181682111, 0.08481491059029037, 0.14294297124149855]"
25219,575.4667360437261,851711.8209301411,"[0.19751178592864263, 0.5494708917192032, 0.2530173223521541]"
1791,125.7571875348795,269277.94810769684,"[0.05070143884812459, 0.10124448698294229, 0.8480540741689331]"
37823,262.4504747222672,985670.1590178568,"[0.20290119385266883, 0.24405209785762522, 0.553046708289706]"
47422,114.5624652282868,904171.9968137166,"[0.18146492433296912, 0.07623836755717886, 0.7422967081098519]"
17384,325.09771155926404,344517.8414091449,"[0.09775765472466423, 0.04910952243635029, 0.8531328228389854]"
8243,999.8942908376378,121066.1339935346,"[0.1458102949038914, 0.5832732404900107, 0.2709164646060979]"
24872,357.21102711449475,102417.08050468846,"[0.49143554784754034, 0.39180305476519006, 0.1167613973872696]"
27316,294.4639481576423,167596.90903481463,"[0.8801505575103026, 0.11656160698040186, 0.003287835509295497]"
37737,992.263227644366,729113.5120534388,"[0.18961066176404834, 0.4028954546603806, 0.40749388357557104]"
30622,183.1864896967104,961578.0124534653,"[0.3317960855115, 0.24671869913338687, 0.4214852153551132]"
43337,813.2725012693603,285125.3693905142,"[0.07775095566093396, 0.7215201925477208, 0.2007288517913451]"
30420,692.2246105127848,785354.6080684245,"[0.11676507218100769, 0.22446416158627364, 0.6587707662327186]"
37781,396.1051671041986,420856.3858168452,"[0.31965690898558624, 0.5160334251111953, 0.16430966590321835]"
3972,663.3484352708499,812026.311054515,"[0.09594762031106062, 0.3893481239837551, 0.5147042557051843]"
3001,958.2894171033464,400153.7207741946,"[0.5286860857375155, 0.16074554991310414, 0.31056836434938057]"
21730,340.1560191221906,912391.6169676646,"[0.5575535439321028, 0.18707522635864918, 0.2553712297092481]"
10107,495.9016700252976,790641.4013547007,"[0.025142346178892664, 0.28057989447715986, 0.6942777593439475]"
18448,987.9217347261208,162337.4427934845,"[0.03362562529531532, 0.19109740556054453, 0.7752769691441401]"
25269,34.00941720110883,833924.3292885004,"[0.42065408211445077, 0.20935644454215435, 0.3699894733433949]"
6413,49.80036941289013,553080.2657240815,"[0.2001788594459573, 0.7195255208956004, 0.0802956196584424]"
34271,125.10124338151878,889289.1916505584,"[0.2776925360113979, 0.6734498500953868, 0.048857613893215114]"
35578,917.0016814772872,969333.7820587888,"[0.10816067887364972, 0.5300455945484803, 0.3617937265778699]"
3687,784.116508341387,134105.444475875,"[0.03238811832268213, 0.2749394898305638, 0.6926723918467541]"
18311,77.21932229666605,355504.755750751,"[0.09826150342534978, 0.2534823521718373, 0.6482561444028128]"
27537,748.281817148989,131486.7048226397,"[0.7534655784613818, 0.06714468001785505, 0.17938974152076306]"
35318,45.2044870293067,534707.0600889418,"[0.20384038118303383, 0.009042898030103365, 0.7871167207868629]"
32756,735.2986163738923,642979.006208206,"[0.6329471649422727, 0.18274632295321588, 0.18430651210451154]"
22881,733.6852051584776,646483.6576477216,"[0.26598428557053755, 0.2235908890552569, 0.5104248253742055]"
45730,556.6413020867425,447011.72390042135,"[0.29853949116917233, 0.09420477547140217, 0.6072557333594254]"
5550,560.2481997405813,636584.7384271636,"[0.6865334197491987, 0.0337082319836742, 0.27975834826712725]"
39251,117.22314522518442,462053.6777886281,"[0.3836669362944544, 0.5830560921001455, 0.0332769716053999]"
9789,525.988461740228,245324.41953884216,"[0.672122021278715, 0.0831232843681488, 0.2447546943531363]"
29922,631.58631540773,374920.7524013285,"[0.41574405730040453, 0.19682544228385163, 0.3874305004157439]"
31269,152.0798781281359,118362.74397272032,"[0.574795592398642, 0.2695338711853634, 0.15567053641599454]"
47563,123.4543269405291,946079.5746723486,"[0.3150476697030623, 0.5872477253678585, 0.09770460492907905]"
14448,904.2490752894364,979633.584176546,"[0.8253683128219658, 0.05576074530734624, 0.1188709418706881]"
86,395.4058669355258,623303.3072207412,"[0.327656225187698, 0.17545663333568096, 0.49688714147662116]"
47320,817.0134609386658,884317.9979811928,"[0.08558144367227588, 0.4266798340738156, 0.4877387222539085]"
5212,610.8278859018849,218360.0315617096,"[0.11393552011515225, 0.5683498160277785, 0.3177146638570692]"
11880,609.3895276993076,144352.01915629546,"[0.6974506078733007, 0.13325067455352724, 0.16929871757317191]"
44423,429.0757948854354,407032.19097736286,"[0.2549194856254185, 0.7216964118201956, 0.023384102554385968]"
49092,949.7418914647948,593078.6387224235,"[0.013587734084518929, 0.7740003303000804, 0.21241193561540067]"
13726,392.07588741080497,669871.2024852916,"[0.06604676650009977, 0.6916120377879686, 0.24234119571193152]"
22235,781.3725661282064,931267.4524259544,"[0.39549566017810417, 0.4101329191743774, 0.19437142064751844]"
27989,977.8278473848792,194631.27119010163,"[0.6459810322871984, 0.29305885070431276, 0.06096011700848889]"
20591,452.0172135211486,797233.3657683764,"[0.0884144994726373, 0.4892342127386784, 0.4223512877886842]"
44791,323.9844352982303,474011.4898179359,"[0.35041833406041817, 0.36049192352135845, 0.28908974241822327]"
10847,282.14774895095303,859842.227052692,"[0.438243776273334, 0.5446281351686405, 0.017128088558025452]"
40986,877.5063593439588,509910.0616491253,"[0.18529122519026303, 0.6917454618541473, 0.12296331295558958]"
27675,451.0813024236672,197196.5310085816,"[0.051508983845313654, 0.9473476858594991, 0.001143330295187191]"
5169,723.2917281252555,791819.5701985398,"[0.27167505443733275, 0.7040937240976051, 0.02423122146506226]"
42062,29.25145925841945,370795.30234657263,"[0.01312084047805368, 0.7008921835702095, 0.28598697595173667]"
45465,61.47504795467031,509608.5321536838,"[0.45662502684244566, 0.37541793380287963, 0.16795703935467465]"
26538,157.44160755123235,691035.3810726174,"[0.434720346497005, 0.06981481847225932, 0.4954648350307357]"
6010,85.04776685193895,461679.3441185744,"[0.2872419616525657, 0.4516420867728011, 0.2611159515746331]"
48633,373.4351822485688,704464.3289643205,"[0.6450935318912885, 0.12422587410517191, 0.23068059400353946]"
49576,794.2086945317666,622277.4478104606,"[0.21139765162873161, 0.7488006309237449, 0.03980171744752349]"
27855,211.0861689425845,455435.4281888169,"[0.31220185473086254, 0.4876357394996001, 0.20016240576953737]"
38273,749.3469713726639,388727.5629739756,"[0.054476125592459436, 0.016202005616219404, 0.9293218687913212]"
9999,904.2172570067332,378091.9834398933,"[0.10021411363618005, 0.491120919523232, 0.40866496684058795]"
32076,779.1071951338075,913743.3803705374,"[0.18362198040331623, 0.6736958671030449, 0.14268215249363886]"
9045,178.3990894943227,587393.2922322748,"[0.16241283207252594, 0.2077687504293389, 0.6298184174981352]"
13990,418.5878247101512,902866.603441318,"[0.16659654062861917, 0.4827902131616609, 0.35061324620971995]"
9448,303.8525384727019,758031.2191431228,"[0.3427656427997225, 0.6019847511584595, 0.055249606041817965]"
45988,149.8252845314915,194756.69599617785,"[0.5839094537336854, 0.2916521698089793, 0.12443837645733537]"
19861,79.13937802353475,375523.37025160505,"[0.4535819858449237, 0.41101292234678155, 0.1354050918082948]"
42802,262.7164364201982,407091.7309703992,"[0.2237527509831885, 0.10763593734546784, 0.6686113116713438]"
36782,350.65644941187537,170937.65590316628,"[0.5229684367006951, 0.4332372516994897, 0.04379431159981516]"
22268,926.646800412502,534884.51901879,"[0.20786425051703675, 0.15868786728198844, 0.6334478822009749]"
10885,13.29204628457071,975838.102194695,"[0.3703757032801104, 0.021799374428266294, 0.6078249222916233]"
6750,504.7642069282552,458463.178481149,"[0.3501668055053619, 0.19102238792923515, 0.4588108065654031]"
49386,315.6978385537884,159009.4888745832,"[0.024848044208811915, 0.1559641745779645, 0.8191877812132237]"
8076,179.80316988481692,459910.1966520936,"[0.7127610135992363, 0.0894860221221675, 0.19775296427859637]"
5670,412.09359331214085,126712.66956820572,"[0.3374880150680718, 0.023444685425352225, 0.6390672995065759]"
47799,80.19260637116888,352338.1989439386,"[0.5579457082423138, 0.32810335497402293, 0.11395093678366325]"
