,T,P,zs
4826,863.9681041474963,541984.3421236535,"[0.5963665200124779, 0.23597481942941764, 0.16765866055810436]"
31421,69.90296012721109,103665.03494259834,"[0.1294051585436602, 0.3048529320777911, 0.5657419093785487]"
370,203.942890894316,489680.1530590063,"[0.24414214478437776, 0.5082735747314375, 0.24758428048418463]"
35312,22.038290267341537,115496.78824088676,"[0.5633720282130542, 0.03984308279043215, 0.39678488899651365]"
29881,254.5121577011234,375176.3513002303,"[0.11847800263023657, 0.10440752374577582, 0.7771144736239876]"
31722,624.8574139860103,865167.2773910904,"[0.4635642201793185, 0.31163411621043247, 0.224801663610249]"
13786,952.8542155411424,808197.939873237,"[0.23154129328448902, 0.6447955939216395, 0.12366311279387153]"
30893,255.7484240285324,685538.6518978381,"[0.5296608329020184, 0.2971512147627499, 0.17318795233523168]"
15671,93.65077385355396,297355.6348144378,"[0.00943831187149283, 0.6561218802229662, 0.33443980790554084]"
926,135.20151187444816,478893.3489788118,"[0.6120697226798008, 0.21832004347033532, 0.16961023384986393]"
24529,292.24697151336227,361995.01911347616,"[0.1594017527187981, 0.5801291698278318, 0.2604690774533701]"
48311,604.5096946146867,921128.5449318292,"[0.19825401864098285, 0.2096560237444301, 0.5920899576145869]"
49219,542.4044403906377,819843.0105016407,"[0.6440438420721253, 0.20679588416110364, 0.14916027376677093]"
49414,958.4517723129156,348786.4645888945,"[0.048386115839346974, 0.34705348678834697, 0.6045603973723059]"
13610,911.6270186779,931365.2112472864,"[0.028274740924880783, 0.131098682668255, 0.8406265764068641]"
37317,170.19549260969364,318897.3765128938,"[0.0071915624457452604, 0.47507490048902395, 0.5177335370652308]"
45383,900.5586669202951,806674.9715956817,"[0.08398801503299091, 0.4648124342150869, 0.45119955075192236]"
30175,837.0169493595832,672794.0615060435,"[0.020323954553210007, 0.21650815643128626, 0.7631678890155037]"
33702,829.602245038126,872563.4113525717,"[0.06836150787748058, 0.769594519450414, 0.16204397267210538]"
26882,177.2226530271746,765488.5602686828,"[0.7321842158054953, 0.1516344441889401, 0.11618134000556454]"
4891,982.4999169161224,294179.18354976585,"[0.4732137644870664, 0.20889663233014688, 0.31788960318278664]"
9504,774.79569477962,788031.5173950208,"[0.7220683522662553, 0.07180981890863865, 0.2061218288251061]"
8881,450.1178006603507,637556.0577585587,"[0.2509188934455768, 0.5450013825317299, 0.20407972402269317]"
19404,154.10925135620283,197802.09635354497,"[0.19963443838795933, 0.3592014460317754, 0.4411641155802653]"
31162,300.09644562099334,590055.9243080841,"[0.27735176026182845, 0.12082557568789948, 0.6018226640502721]"
13586,35.663182770912634,399394.3203531174,"[0.37317104551444824, 0.02959349279748498, 0.597235461688067]"
12970,991.4020679597252,631632.1904892088,"[0.051566454186354305, 0.3089869882547859, 0.6394465575588597]"
16193,916.8125379440224,594025.9776626723,"[0.8159558197790693, 0.12186012069503248, 0.06218405952589824]"
40968,795.755366883145,617329.9194339337,"[0.18326582672834282, 0.701599097783298, 0.11513507548835913]"
7530,278.12134860784505,234489.2139494964,"[0.014987546326003794, 0.8215258002450876, 0.16348665342890878]"
30459,649.2742658737233,301163.1745660411,"[0.013591427937407178, 0.20680446242158046, 0.7796041096410123]"
35654,845.5850992451801,916439.4269599984,"[0.1869012073385071, 0.1508194494805987, 0.6622793431808942]"
12181,966.6582812935084,317866.839111254,"[0.631657106047341, 0.30076290279599094, 0.06757999115666813]"
37516,652.2707862984113,817324.7134972094,"[0.7596816724378, 0.13850096966622488, 0.101817357895975]"
9718,733.0074325217809,624512.9092942269,"[0.3140794579779503, 0.47174679711635564, 0.214173744905694]"
42007,542.1171729494197,827949.4232217183,"[0.04987714116936921, 0.35708101602320474, 0.5930418428074261]"
34627,749.1518610727751,970521.8922990058,"[0.7967205437768026, 0.16248759510845137, 0.040791861114746045]"
6284,678.8066909899943,751637.2799215813,"[0.02899308666964994, 0.5783582988814655, 0.39264861444888466]"
26593,560.4741071552961,293847.0054151512,"[0.533104906975459, 0.24313804643546486, 0.22375704658907605]"
25078,28.604246616014056,431045.5205310029,"[0.3340998251871928, 0.045201573025991, 0.6206986017868161]"
28920,53.08920843153843,872692.884662638,"[0.5456473815733709, 0.103127199218154, 0.351225419208475]"
49267,34.611091633120964,785691.3506803099,"[0.286674416587129, 0.6149469472922185, 0.0983786361206523]"
44503,297.6364935135088,927354.243082541,"[0.44040756749271265, 0.0574888189874115, 0.502103613519876]"
5110,545.7016841622633,470421.63575655007,"[0.8371445250889689, 0.10056862819064165, 0.06228684672038962]"
33968,509.3271024111674,393796.2480035136,"[0.28607747184363647, 0.6028544760881875, 0.11106805206817615]"
