,T,P,zs
20428,238.7990209962589,184676.942935064,"[0.9151332833233904, 0.0641533490855987, 0.02071336759101093]"
49948,337.01126799061143,438376.7700942077,"[0.5924394247894842, 0.17792962163144938, 0.2296309535790664]"
13157,539.8281399102682,320330.87305678765,"[0.35244458247136123, 0.21213895075338454, 0.43541646677525414]"
42769,67.42646980725559,592182.5087612022,"[0.16524687738803434, 0.6600525084986774, 0.1747006141132883]"
4430,182.489020700385,520088.5364740216,"[0.14548112432710733, 0.14245997058501275, 0.71205890508788]"
48718,752.4014410036609,637978.8120683993,"[0.1835702395169898, 0.18675121582833357, 0.6296785446546767]"
39787,402.3554658920565,290386.74487778335,"[0.33627815886425355, 0.0782287248412578, 0.5854931162944885]"
15083,284.1468763111092,549364.3549928416,"[0.3538975855539712, 0.1736357855222085, 0.4724666289238202]"
17805,849.2658932241915,223442.87266628697,"[0.12420989103009564, 0.23591142334940385, 0.6398786856205005]"
30326,888.0246200032998,352377.06636144547,"[0.7874599541652748, 0.17369285285433772, 0.0388471929803876]"
49422,909.4044260298116,208493.09309272096,"[0.6741181890717277, 0.2085325922397343, 0.11734921868853802]"
17476,803.6614359745549,882136.4040172141,"[0.6155307167608719, 0.12421249432323975, 0.26025678891588827]"
37318,181.5016254490598,659714.3309467668,"[0.23892775804604927, 0.4713571790359702, 0.2897150629179805]"
19958,684.118180963854,617278.9716984109,"[0.6303598884874863, 0.06374664086126464, 0.3058934706512491]"
2624,401.54382185487424,213582.5309247232,"[0.656003549215244, 0.047418001293098574, 0.29657844949165735]"
21560,224.46801914276023,657025.9297777294,"[0.10000231496177164, 0.09584669540961445, 0.804150989628614]"
1808,316.7050444753662,514879.4404372,"[0.22103067899656195, 0.5529794744576861, 0.22598984654575188]"
4993,673.2310891172185,888786.2763449019,"[0.5386328037110569, 0.2479633376763449, 0.21340385861259817]"
41191,382.80225025736746,598469.9007308893,"[0.27755932274651274, 0.16128204417637448, 0.5611586330771128]"
18799,817.774906901194,592312.3692090649,"[0.5983719397280496, 0.13719335949611397, 0.2644347007758364]"
31314,264.16125875068195,283586.2647322449,"[0.7954279732816197, 0.10426297476638932, 0.10030905195199084]"
45191,327.64491991433334,286491.0792142316,"[0.19747699971334481, 0.03620877895219663, 0.7663142213344587]"
3368,356.86520377330646,368614.9335194327,"[0.6249645252625657, 0.05659292756173546, 0.3184425471756988]"
7878,702.1308358773415,633751.6413923897,"[0.01988894079353071, 0.8195408371189232, 0.16057022208754604]"
47905,337.2551896979157,309530.55244356673,"[0.34753712543611537, 0.3869407379226728, 0.2655221366412118]"
26501,119.74196627033696,434123.7691567114,"[0.6751884712560974, 0.026018953270352547, 0.2987925754735501]"
31306,891.0092179580676,594809.6158639545,"[0.5918868129223046, 0.12340864094621418, 0.2847045461314812]"
