,T,P,zs
0,805.5858134131606,950186.998607245,[1.0]
1,464.61896754227996,458738.620371386,[1.0]
2,177.8852521556346,403718.4661520651,[1.0]
3,578.5744155862,152559.26682957183,[1.0]
4,533.2643913787665,525990.5858180581,[1.0]
5,77.17605351408946,757027.6828904748,[1.0]
6,341.9339940439082,567229.0626366385,[1.0]
7,890.4451514463648,755255.8108334577,[1.0]
8,564.3781815623101,306911.9149169157,[1.0]
9,622.6220368734683,578923.0326316811,[1.0]
10,233.82412689308768,878488.2068791174,[1.0]
11,260.96952291790785,906975.3114539046,[1.0]
12,152.40172612126253,196237.68828101465,[1.0]
13,191.91545816792424,412948.9761582098,[1.0]
14,643.4091932400571,844218.3759193879,[1.0]
15,506.6336137821651,909477.5062818553,[1.0]
16,99.57550972245164,524706.8734233492,[1.0]
17,726.0279588155952,386260.6792748756,[1.0]
18,980.5471056723277,733337.2377672143,[1.0]
19,30.390092450668888,155010.961624622,[1.0]
20,267.5060596085095,424264.0476036091,[1.0]
21,371.6139420349314,124349.39919698422,[1.0]
22,335.32298244059086,372789.8713821991,[1.0]
23,265.9676868387311,557556.1783179892,[1.0]
24,13.532047638573683,422132.92544212466,[1.0]
25,884.0263474749271,943671.864892705,[1.0]
26,632.7171552888303,453269.3563769173,[1.0]
27,118.80559696839757,601933.0215011905,[1.0]
28,527.0139831703556,377525.79320174566,[1.0]
29,181.11608076531166,688158.2320339425,[1.0]
30,257.09964848396334,206126.16891931335,[1.0]
31,489.55662015990185,172759.42598272662,[1.0]
32,523.0054220498008,669615.4971662747,[1.0]
33,592.7436270922408,376664.85234740836,[1.0]
34,815.5764643474193,962109.3552898276,[1.0]
35,667.4169459519501,277807.39110425254,[1.0]
36,946.6801120551303,738101.4032883319,[1.0]
37,680.489488313006,700437.4941204885,[1.0]
38,675.8262423006519,859146.426381585,[1.0]
39,270.63917729125416,309668.4860715455,[1.0]
40,762.8995730686008,198181.88812664716,[1.0]
41,672.4902031894395,458604.46106660814,[1.0]
42,128.73432792207547,936856.6968597447,[1.0]
43,714.463447806356,735675.0672815902,[1.0]
44,528.8962841923982,613144.2254854108,[1.0]
45,777.2427512740865,777057.1055759087,[1.0]
46,207.2762174792564,624346.0055066742,[1.0]
47,428.07686825398855,549835.374427058,[1.0]
