,T,P,zs
0,320.41771519550235,463305.7984665032,[1.0]
1,435.2219330676775,555069.9675869085,[1.0]
2,757.7087937402941,944544.8259143536,[1.0]
3,538.2136912303195,421889.85504485376,[1.0]
4,389.7128892820757,910880.8404086367,[1.0]
5,11.381518537275383,805421.3650685652,[1.0]
6,25.721769788030684,556833.4936537552,[1.0]
7,568.4816397807019,314729.97170192807,[1.0]
8,243.05529390205336,677733.7497282213,[1.0]
9,141.82683502079612,788887.9532557619,[1.0]
10,685.8607749573044,436827.6481849643,[1.0]
11,379.1644347250423,317174.68032336957,[1.0]
12,476.89113199363703,409284.14993396035,[1.0]
13,703.3059933458201,770746.3664129456,[1.0]
14,893.5282999401136,428404.45055927587,[1.0]
15,890.48704783934,768655.9796956085,[1.0]
16,137.75802681963134,555742.6227792485,[1.0]
17,703.0930495644683,182729.28672823746,[1.0]
18,360.08550687918233,745629.98902185,[1.0]
19,474.8212114091368,545691.9731038392,[1.0]
20,898.0367155193655,459751.88190028886,[1.0]
21,925.2008968927803,926578.0020403084,[1.0]
22,835.9232521364248,296368.7828692607,[1.0]
23,447.28641923612406,974271.0368878152,[1.0]
24,175.61082713738423,792802.2002063001,[1.0]
25,585.3458235874156,963968.9086722481,[1.0]
26,289.06968087688017,694914.0772053015,[1.0]
27,946.1773630756671,315851.71455865586,[1.0]
28,80.84193232930099,514925.4064699849,[1.0]
29,862.4099247368686,627312.9378850472,[1.0]
30,491.9877774223715,827622.7283628908,[1.0]
31,180.49374904258997,837261.38574403,[1.0]
32,259.15194657012137,739803.246715545,[1.0]
33,533.460749605792,636513.9049930816,[1.0]
34,737.5250677724711,278898.2728319656,[1.0]
35,105.8331767681019,380547.5330088921,[1.0]
36,409.7376262979661,650215.5774118984,[1.0]
37,164.7457963312743,160320.6254322226,[1.0]
38,436.2329455369174,943743.1627085236,[1.0]
39,244.52063820850066,673536.3655071013,[1.0]
40,96.42248207205846,104018.76148676888,[1.0]
41,39.24438579118696,839006.6370405292,[1.0]
42,572.1778126335143,112837.6028903541,[1.0]
43,944.0123790352827,227058.3793637008,[1.0]
44,414.4408080120199,139858.17050251644,[1.0]
45,286.02924641512845,716204.0012042733,[1.0]
46,519.0509934570335,858903.8771911423,[1.0]
47,705.5235245122935,884300.2908187583,[1.0]
48,231.91233906613965,420679.4102996031,[1.0]
49,444.31430249439745,554419.1624677291,[1.0]
50,405.0693614114793,103411.15179527261,[1.0]
51,906.4854505599833,448265.42363817483,[1.0]
52,150.9973585064596,211514.8037197267,[1.0]
53,559.4500143930483,222183.94878062585,[1.0]
54,573.195027083009,798833.0621288519,[1.0]
55,795.0482224474971,855080.532933887,[1.0]
56,177.48830299503243,388968.9560486009,[1.0]
57,364.6121469780496,907710.9231210387,[1.0]
58,649.6579287269868,627755.3363948967,[1.0]
59,828.1795951225638,865498.5718614121,[1.0]
60,477.1859281665302,126478.31735289487,[1.0]
61,29.78658001806633,992583.0974363069,[1.0]
62,688.947414752001,287081.23199109413,[1.0]
63,297.869812800913,680638.5374834335,[1.0]
64,621.304489806544,923086.9698853715,[1.0]
65,890.6327002023168,678092.8316867627,[1.0]
66,730.7371099633256,200226.61261315533,[1.0]
67,56.12648353857857,510153.8042732124,[1.0]
68,106.92209846909279,543726.1013742075,[1.0]
69,446.8128337167443,802051.5551111737,[1.0]
70,367.8458521641619,407469.6298963017,[1.0]
71,256.44179581170096,494151.47517138545,[1.0]
72,267.22177882285973,411385.3872905926,[1.0]
73,229.79203541153288,159606.04643834056,[1.0]
74,297.1763564598475,504449.4472509812,[1.0]
75,484.03402027955514,876472.4535134465,[1.0]
76,952.286072191538,256533.2343956367,[1.0]
77,789.0564780002185,970733.6747984538,[1.0]
78,739.8709290479513,869242.0138813459,[1.0]
79,167.88690567840527,172140.36040767457,[1.0]
80,368.24959347883987,486622.43747140624,[1.0]
81,925.574939595075,167313.2797688799,[1.0]
82,600.2593887653359,248021.14043586483,[1.0]
83,97.84501205687681,708629.2156576803,[1.0]
84,732.141453531131,490620.19108691736,[1.0]
85,878.3973403638614,623473.5817880034,[1.0]
86,560.4397243356456,806108.9422804889,[1.0]
87,702.3844435084536,841959.9356496715,[1.0]
88,93.74453693011273,998187.5507421278,[1.0]
89,383.52238954299946,725603.7015016092,[1.0]
90,251.98282122075463,533797.3887885772,[1.0]
91,561.2897639700805,965028.7969635266,[1.0]
92,225.2005343887181,401495.151924634,[1.0]
93,712.3911176642721,913359.2333877207,[1.0]
94,989.0658553058154,138962.1499707257,[1.0]
95,816.1795948463526,293660.1772412931,[1.0]
96,708.223902019468,313292.82543449174,[1.0]
97,866.7723659493108,559903.6833969201,[1.0]
98,737.777618835534,195120.0163659922,[1.0]
99,895.6810037176327,778767.381632261,[1.0]
100,509.40556872576246,602953.8663855265,[1.0]
101,316.53312393487647,484309.70632626186,[1.0]
102,387.99480185045604,871803.9897547397,[1.0]
103,220.516747768393,907056.1060406823,[1.0]
104,222.4127849097808,245612.2917244614,[1.0]
105,190.88651583381204,533041.7927218566,[1.0]
106,617.9703877554309,762790.6815048684,[1.0]
107,131.1376267849315,970331.2414455215,[1.0]
108,639.351155249356,863755.27413223,[1.0]
109,115.1650627312445,249121.21972604687,[1.0]
110,171.90087189769284,387920.1038940676,[1.0]
111,864.8530212055641,937991.2629184395,[1.0]
112,627.8374599690648,203497.83272949065,[1.0]
113,433.53755725316853,953641.6261992021,[1.0]
114,690.1703551764576,287692.43713668745,[1.0]
115,31.392724808010087,548508.9292695047,[1.0]
116,749.4165878571101,307962.6516726903,[1.0]
117,158.3212263877494,215324.516642999,[1.0]
118,422.22159552345977,675724.6094084594,[1.0]
119,741.6039322483678,695085.7496862815,[1.0]
120,297.1340892141385,625211.813971697,[1.0]
121,46.12732570731662,657648.1401340123,[1.0]
122,199.27886872183754,694061.4054489835,[1.0]
123,336.0416002600722,555971.5786031277,[1.0]
124,251.7656997758071,521635.067103708,[1.0]
125,207.8029864903112,934658.3574842124,[1.0]
