,T,P,zs
0,539.9983896827694,956187.0341473867,"[0.5, 0.5]"
1,135.32804863166524,943163.5963954068,"[0.5, 0.5]"
2,929.2218370488933,776810.6490877083,"[0.5, 0.5]"
3,492.46971179964925,456619.9179493543,"[0.5, 0.5]"
4,55.35578063553807,788368.620000938,"[0.5, 0.5]"
5,104.95561977162465,312383.799272705,"[0.5, 0.5]"
6,263.2375628979571,104042.34888143734,"[0.5, 0.5]"
7,819.1232371041834,780804.5516681736,"[0.5, 0.5]"
8,560.7620792910263,288877.0838232507,"[0.5, 0.5]"
9,572.5311312712986,613497.7856604028,"[0.5, 0.5]"
10,463.4926582147311,578051.8260692772,"[0.5, 0.5]"
11,947.4177162559682,853470.2988289458,"[0.5, 0.5]"
12,841.3195591275924,947511.4257217764,"[0.5, 0.5]"
13,939.9567305317428,874146.8461023925,"[0.5, 0.5]"
14,498.89261175522614,649257.925840214,"[0.5, 0.5]"
15,492.2217667865947,330043.6222516772,"[0.5, 0.5]"
16,919.0956783426373,697469.9220512329,"[0.5, 0.5]"
17,511.9073666069241,736278.5378523153,"[0.5, 0.5]"
18,181.7854247596755,413418.80220935337,"[0.5, 0.5]"
19,450.1559394806916,942438.7967909789,"[0.5, 0.5]"
20,710.6302616070884,946745.8647597682,"[0.5, 0.5]"
21,50.7260120415995,711295.2414274284,"[0.5, 0.5]"
22,495.384050235632,211493.39089550986,"[0.5, 0.5]"
23,370.8223159039517,521604.10226645635,"[0.5, 0.5]"
24,987.6484513273648,874312.2026526689,"[0.5, 0.5]"
25,47.06727468570682,168105.76105556957,"[0.5, 0.5]"
26,394.2678821937425,863234.2118208437,"[0.5, 0.5]"
27,137.1489117227258,104202.24219929468,"[0.5, 0.5]"
28,181.51671155890477,266048.897294512,"[0.5, 0.5]"
29,93.7239788595724,919522.8650179649,"[0.5, 0.5]"
30,797.9888076297204,819432.6762188522,"[0.5, 0.5]"
31,680.0005731267884,432023.03408744064,"[0.5, 0.5]"
32,393.1786087057557,343606.6147365759,"[0.5, 0.5]"
33,597.8539565832135,858517.3324209084,"[0.5, 0.5]"
34,565.9670646835898,736212.7761449922,"[0.5, 0.5]"
35,753.4671858633724,308990.07738392067,"[0.5, 0.5]"
36,302.409435622604,935320.8645087008,"[0.5, 0.5]"
37,982.1340840957228,424936.1742011027,"[0.5, 0.5]"
38,883.873863385411,329413.5816917385,"[0.5, 0.5]"
39,158.6557145796679,520824.6251020157,"[0.5, 0.5]"
40,203.15038871344203,669554.3649023497,"[0.5, 0.5]"
41,733.9464344705333,841232.0545476488,"[0.5, 0.5]"
42,167.06755418773164,608448.4820807895,"[0.5, 0.5]"
43,280.21867717615163,401026.39468896005,"[0.5, 0.5]"
44,107.32002812865379,934254.4639248587,"[0.5, 0.5]"
45,896.3771162149843,236796.67581136068,"[0.5, 0.5]"
46,491.399630914172,744165.1187270851,"[0.5, 0.5]"
47,833.2091838405479,426430.4977753277,"[0.5, 0.5]"
48,466.3952576508892,882026.7203024317,"[0.5, 0.5]"
49,834.2663977190767,107974.80578918966,"[0.5, 0.5]"
50,684.6900330847483,160713.84521837265,"[0.5, 0.5]"
51,876.2068871173121,762216.5595885044,"[0.5, 0.5]"
52,256.51886172571545,445474.6805446517,"[0.5, 0.5]"
53,678.3398599369013,972699.8882076902,"[0.5, 0.5]"
54,279.9405850924907,163723.35328452353,"[0.5, 0.5]"
55,607.3995126572149,858955.1764402387,"[0.5, 0.5]"
56,946.4285834869136,296288.98025048844,"[0.5, 0.5]"
57,156.2536075596713,135897.48625573574,"[0.5, 0.5]"
58,695.0265238728529,603183.6070086813,"[0.5, 0.5]"
59,668.4785754850823,455480.46299684834,"[0.5, 0.5]"
60,221.26009112225034,426308.64120785723,"[0.5, 0.5]"
61,699.3545681592994,311983.09308494395,"[0.5, 0.5]"
62,57.447458280121076,184006.73509698606,"[0.5, 0.5]"
63,266.8659025894702,441798.9075891436,"[0.5, 0.5]"
64,222.99371568862813,717908.8097107661,"[0.5, 0.5]"
65,719.168828413502,335722.667887527,"[0.5, 0.5]"
66,878.0195168672024,760721.5509141014,"[0.5, 0.5]"
67,255.23588284689882,744684.7937583443,"[0.5, 0.5]"
68,246.7607317018583,667610.7323019778,"[0.5, 0.5]"
69,55.056883978314644,629239.7399230002,"[0.5, 0.5]"
70,782.8187766517894,118424.06564511755,"[0.5, 0.5]"
71,676.6936395777911,643434.9376927927,"[0.5, 0.5]"
72,352.9834918487727,133707.56953529053,"[0.5, 0.5]"
73,595.4016433291057,147352.53314178917,"[0.5, 0.5]"
74,178.34989897567704,251610.60598041877,"[0.5, 0.5]"
75,350.1544137201511,981568.540922383,"[0.5, 0.5]"
76,212.53481060777335,568005.0626013582,"[0.5, 0.5]"
77,15.443911920621353,499267.45456491597,"[0.5, 0.5]"
78,893.3732851023128,244366.34348360827,"[0.5, 0.5]"
79,539.7469645569028,478121.80683275405,"[0.5, 0.5]"
80,558.4840425383966,673341.7298453434,"[0.5, 0.5]"
81,742.7181629127493,405851.0812448137,"[0.5, 0.5]"
82,755.3910801662345,176545.3691368999,"[0.5, 0.5]"
83,111.01549314650178,233885.0039361812,"[0.5, 0.5]"
84,394.2845286949901,559141.590348979,"[0.5, 0.5]"
85,345.3702018975988,504182.8436566894,"[0.5, 0.5]"
86,916.2690067497232,873912.5039094964,"[0.5, 0.5]"
87,328.571992640636,532659.3291124792,"[0.5, 0.5]"
88,132.7894517919828,748108.9615208051,"[0.5, 0.5]"
89,753.2019090873724,699540.8968366407,"[0.5, 0.5]"
90,271.892316796092,940357.9475049924,"[0.5, 0.5]"
91,792.9315597909616,660974.9262446163,"[0.5, 0.5]"
92,301.0034819084095,656410.1913747817,"[0.5, 0.5]"
93,72.72269790994385,873657.8004920388,"[0.5, 0.5]"
94,700.2337064632155,640587.4932427116,"[0.5, 0.5]"
95,767.9492237043929,677992.7388547254,"[0.5, 0.5]"
96,665.6993113890342,515727.46314783714,"[0.5, 0.5]"
97,388.9526155497724,123362.80494185224,"[0.5, 0.5]"
98,33.708553999771986,534960.83847548,"[0.5, 0.5]"
99,740.0381418150706,998631.361188848,"[0.5, 0.5]"
100,482.46348116024535,621637.1924456692,"[0.5, 0.5]"
101,599.9572286587095,304818.83438294625,"[0.5, 0.5]"
102,215.41189646642556,573822.8638040823,"[0.5, 0.5]"
103,640.218731476695,261549.64449000434,"[0.5, 0.5]"
104,956.4162049027294,904625.1415762228,"[0.5, 0.5]"
105,550.1209895226947,125593.70758509311,"[0.5, 0.5]"
106,651.7476587478133,527228.4875464516,"[0.5, 0.5]"
107,402.1821322565002,311738.802133095,"[0.5, 0.5]"
108,138.1520356827167,401260.7109789149,"[0.5, 0.5]"
109,958.5377434548353,494048.62736191065,"[0.5, 0.5]"
110,533.8634461834921,649256.3402822184,"[0.5, 0.5]"
111,619.9566428218828,729636.3314507793,"[0.5, 0.5]"
112,825.8759977505875,919541.9586430921,"[0.5, 0.5]"
113,540.5078656074086,804519.6889462051,"[0.5, 0.5]"
114,852.7495402819477,467123.21181175613,"[0.5, 0.5]"
115,775.9270877304141,572607.3402607923,"[0.5, 0.5]"
116,219.30148178769534,408323.24411132553,"[0.5, 0.5]"
117,601.0625882638758,662562.1083758926,"[0.5, 0.5]"
118,681.170638575915,656516.214265141,"[0.5, 0.5]"
119,892.8107332943102,197513.86743106093,"[0.5, 0.5]"
120,789.1758629515379,188040.0775825798,"[0.5, 0.5]"
121,948.1942200398917,774761.2418904826,"[0.5, 0.5]"
122,119.13115510400414,748304.5196219597,"[0.5, 0.5]"
123,912.5944770903088,710808.2906862114,"[0.5, 0.5]"
124,981.9772115498499,444048.8005492434,"[0.5, 0.5]"
