,T,P,zs
0,711.4139081693543,185169.97808745454,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
1,794.6453071999083,858670.0150242575,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,527.381433879645,173040.79916726175,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
3,87.63425820171507,827051.7692654704,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
4,114.93334149031672,710758.9164654921,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
5,949.4143141427752,722592.62069086,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
6,771.1353350894989,286130.44695641345,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
7,946.7826803286347,671115.2012091206,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
8,775.4128027999463,454933.7186040372,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
9,885.032755584986,203035.56321912698,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
10,298.23406797489474,694138.0786852513,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
11,665.1935550220704,803508.9869689948,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
12,153.05141313561484,784240.2227287422,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
13,544.2313631700847,853366.265408182,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
14,496.5091288346717,965326.4937644053,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
15,771.518419157147,138119.8881306013,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
16,563.8655827536002,981098.7001361615,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
17,447.2224489331842,575055.7462925434,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
18,462.7809447766141,164603.2499410795,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
19,486.599912331893,272798.22967688745,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
20,225.41452898428417,749763.4194585661,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
21,519.2070202609889,874638.7400327447,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
22,155.0309667788454,592142.6633654624,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
23,211.5351492198692,753204.8087887606,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
24,926.9864596021858,769132.0409346214,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
25,20.9354438494828,517691.8071961715,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
26,611.5177303359388,723520.6012577977,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
27,421.8356225039172,109110.67544211786,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
28,365.87301609041117,716491.6353533209,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
29,739.1532622769039,435281.59619549423,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
30,460.08860804319806,963494.9014677266,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
31,253.36065102266537,307331.0735135571,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
32,176.69054806395062,691571.9327579337,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
33,381.7184716430698,359176.6681542121,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
34,365.3419141917607,459420.5581384105,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
35,660.4296567555066,981003.5012422968,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
36,787.7677047314374,591449.7886003905,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
37,924.904304023455,918140.1562553536,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
38,274.56213134229404,337882.0529843379,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
39,238.36019662454245,109739.2744343505,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
40,306.4107119145436,471404.50504357344,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
41,609.5310556700347,112269.99334979536,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
42,286.6959267857127,819178.8348959548,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
43,297.59588870624145,336581.1050294058,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
44,757.6902284592315,974182.7256150944,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
45,476.1257575875756,404831.27628044534,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
46,744.9810234420147,816773.1338218948,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
47,597.4480969258544,210763.04423906343,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
48,85.13175702290185,666559.2972039301,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
49,436.1769500726037,517632.55408747046,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
50,478.5834835522041,258795.4787660661,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
51,919.9588480423488,699352.4182519065,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
52,723.5687685346039,739268.5685117041,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
53,930.6407920938021,887075.5490149194,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
54,254.2628218766815,749760.3141066318,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
55,613.1658298781308,113966.15047193658,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
56,139.6851482579729,350439.8385571039,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
57,151.48444820937874,224761.9187678376,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
58,75.9964912700482,291346.8644260221,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
