,T,P,zs
0,274.9975656150053,996438.8960534683,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
1,215.13373454927194,948139.5886910392,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,451.31244228388,378576.9391647867,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
3,462.99281892362836,511720.26474397164,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
4,349.5892129413277,855904.2228327972,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
5,428.7017025665069,795980.3189217102,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
6,704.1534010896816,586242.7219614882,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
7,645.1554935111031,892616.4571385484,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
8,239.59481611835702,901942.3857511543,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
9,228.86297887712328,777233.4171493074,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
10,908.6135561339588,950466.479808231,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
11,958.8694072258565,195491.93387920185,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
12,630.4064211846497,322541.80688321555,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
13,183.72057653788622,397913.7554052128,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
14,484.4876765523667,585875.1733477695,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
15,885.5810010201917,435587.54288722994,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
16,733.4736759976131,996165.2852425615,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
17,353.56133608166056,710242.9789669162,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
18,724.8374797581445,522797.96111822914,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
19,257.58273096638413,959971.6107243748,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
20,117.0940299163167,649725.11476731,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
21,202.39226717157032,465928.48067115375,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
22,88.8234293999611,110194.66694663736,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
23,422.69182320375364,973099.2125797817,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
24,249.77695421102692,302161.0347702858,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
