,T,P,zs
0,690.4804427601902,616998.4786174756,"[0.25, 0.25, 0.25, 0.25]"
1,572.9328763785488,110760.12575903324,"[0.25, 0.25, 0.25, 0.25]"
2,625.2320937779994,959267.8155003468,"[0.25, 0.25, 0.25, 0.25]"
3,985.0009470722487,939423.4923576318,"[0.25, 0.25, 0.25, 0.25]"
4,331.9563824976252,857721.7369813987,"[0.25, 0.25, 0.25, 0.25]"
5,994.3831362372318,175302.0281615242,"[0.25, 0.25, 0.25, 0.25]"
6,839.3437898988153,480859.3520061708,"[0.25, 0.25, 0.25, 0.25]"
7,698.4106655294331,477274.0254621333,"[0.25, 0.25, 0.25, 0.25]"
8,667.1237193424605,817740.7201021544,"[0.25, 0.25, 0.25, 0.25]"
9,516.7771506995444,961022.9465762723,"[0.25, 0.25, 0.25, 0.25]"
10,333.5011949553576,851074.6251628024,"[0.25, 0.25, 0.25, 0.25]"
11,932.8434267717952,967501.2809687961,"[0.25, 0.25, 0.25, 0.25]"
12,898.123855344608,985091.7195140623,"[0.25, 0.25, 0.25, 0.25]"
13,184.47229458585562,343518.45353437285,"[0.25, 0.25, 0.25, 0.25]"
14,229.59116142387484,719435.6809331639,"[0.25, 0.25, 0.25, 0.25]"
15,11.279919793358884,657323.4050314147,"[0.25, 0.25, 0.25, 0.25]"
16,112.64789874641917,367809.7741960211,"[0.25, 0.25, 0.25, 0.25]"
17,567.2411621302367,360423.6193949047,"[0.25, 0.25, 0.25, 0.25]"
18,445.54609710580684,849303.1113071796,"[0.25, 0.25, 0.25, 0.25]"
19,207.3101161599738,945663.7797073132,"[0.25, 0.25, 0.25, 0.25]"
20,343.7799226766866,580559.450153686,"[0.25, 0.25, 0.25, 0.25]"
21,250.18954540750715,364329.5879585737,"[0.25, 0.25, 0.25, 0.25]"
22,48.6477388649304,398788.50347439875,"[0.25, 0.25, 0.25, 0.25]"
23,107.77262553168087,616561.0165330726,"[0.25, 0.25, 0.25, 0.25]"
24,873.1873085001422,160896.64441456198,"[0.25, 0.25, 0.25, 0.25]"
25,173.05833614113675,495736.67276507977,"[0.25, 0.25, 0.25, 0.25]"
26,190.97119814209282,852595.5681946239,"[0.25, 0.25, 0.25, 0.25]"
27,239.36614355339066,899538.1330462804,"[0.25, 0.25, 0.25, 0.25]"
28,36.398012545951275,833490.356446865,"[0.25, 0.25, 0.25, 0.25]"
29,23.909226734080903,936700.7667469212,"[0.25, 0.25, 0.25, 0.25]"
30,69.77254716800905,965687.7754932452,"[0.25, 0.25, 0.25, 0.25]"
31,608.4182265751684,802343.6891625527,"[0.25, 0.25, 0.25, 0.25]"
32,599.9064940376476,512107.508423324,"[0.25, 0.25, 0.25, 0.25]"
33,347.4419467306573,531984.4914393601,"[0.25, 0.25, 0.25, 0.25]"
34,187.36377207365916,898118.193826557,"[0.25, 0.25, 0.25, 0.25]"
35,910.6822584500061,962692.4825576198,"[0.25, 0.25, 0.25, 0.25]"
36,154.05364038133013,865000.5141017358,"[0.25, 0.25, 0.25, 0.25]"
37,628.4828356349823,459979.2976619421,"[0.25, 0.25, 0.25, 0.25]"
38,226.45678693546546,648681.7448283937,"[0.25, 0.25, 0.25, 0.25]"
39,782.6760519943458,848603.174617358,"[0.25, 0.25, 0.25, 0.25]"
40,927.7455615552525,232937.76309658252,"[0.25, 0.25, 0.25, 0.25]"
41,979.874923747787,497006.8913080532,"[0.25, 0.25, 0.25, 0.25]"
42,464.0979345792046,938160.7133101816,"[0.25, 0.25, 0.25, 0.25]"
43,350.64901300579913,584109.5106037236,"[0.25, 0.25, 0.25, 0.25]"
44,943.7974730942191,228440.72284837236,"[0.25, 0.25, 0.25, 0.25]"
45,578.5051413771223,751407.4392543713,"[0.25, 0.25, 0.25, 0.25]"
46,350.4930001800857,241709.40427390326,"[0.25, 0.25, 0.25, 0.25]"
47,811.8245369937628,245972.97233745182,"[0.25, 0.25, 0.25, 0.25]"
48,298.840259075311,502901.03359351185,"[0.25, 0.25, 0.25, 0.25]"
49,999.2836441332612,154225.56441574357,"[0.25, 0.25, 0.25, 0.25]"
50,505.20696547803703,563902.0090354782,"[0.25, 0.25, 0.25, 0.25]"
51,276.92581316216376,671056.4223032816,"[0.25, 0.25, 0.25, 0.25]"
52,38.804697241379735,336759.5610477003,"[0.25, 0.25, 0.25, 0.25]"
53,875.6912096750594,613305.4757036597,"[0.25, 0.25, 0.25, 0.25]"
54,403.8992250187294,651055.0693015899,"[0.25, 0.25, 0.25, 0.25]"
55,345.1998413247593,882790.0582663226,"[0.25, 0.25, 0.25, 0.25]"
56,820.8306567885377,840857.9756062414,"[0.25, 0.25, 0.25, 0.25]"
57,769.910051879121,887467.834942625,"[0.25, 0.25, 0.25, 0.25]"
58,993.9485162578206,384557.54455076705,"[0.25, 0.25, 0.25, 0.25]"
59,249.56910570514034,682128.4204846998,"[0.25, 0.25, 0.25, 0.25]"
60,946.2920555364082,726333.1768863279,"[0.25, 0.25, 0.25, 0.25]"
61,290.32186491271386,601628.659818296,"[0.25, 0.25, 0.25, 0.25]"
62,110.47104810449976,317558.4624708725,"[0.25, 0.25, 0.25, 0.25]"
63,462.5455847474959,133518.13014283386,"[0.25, 0.25, 0.25, 0.25]"
64,240.43199997958413,711849.9511630355,"[0.25, 0.25, 0.25, 0.25]"
65,366.1301859881931,941020.004212282,"[0.25, 0.25, 0.25, 0.25]"
66,81.13542304843574,282139.2415499252,"[0.25, 0.25, 0.25, 0.25]"
67,625.1351556667665,631640.0841651167,"[0.25, 0.25, 0.25, 0.25]"
68,611.5303884870431,675414.4843438749,"[0.25, 0.25, 0.25, 0.25]"
69,611.9835334354001,226445.32380496597,"[0.25, 0.25, 0.25, 0.25]"
70,687.8944031273272,362214.7137696207,"[0.25, 0.25, 0.25, 0.25]"
71,991.8646825592763,744355.5080763714,"[0.25, 0.25, 0.25, 0.25]"
72,227.46483916595565,916304.347857118,"[0.25, 0.25, 0.25, 0.25]"
73,916.7111084354635,592358.7552259421,"[0.25, 0.25, 0.25, 0.25]"
74,854.7051087113969,102837.33746645808,"[0.25, 0.25, 0.25, 0.25]"
75,871.7523514776328,797464.8633758086,"[0.25, 0.25, 0.25, 0.25]"
76,978.6603190421961,871766.6461254782,"[0.25, 0.25, 0.25, 0.25]"
77,480.47501469995143,113165.9156336687,"[0.25, 0.25, 0.25, 0.25]"
78,999.061875912123,529351.8673404737,"[0.25, 0.25, 0.25, 0.25]"
79,400.1112523292932,807956.3785606056,"[0.25, 0.25, 0.25, 0.25]"
80,373.91281672097836,547484.6957496405,"[0.25, 0.25, 0.25, 0.25]"
81,494.9396738932983,316283.10363584245,"[0.25, 0.25, 0.25, 0.25]"
82,667.4209583845732,322648.6590355439,"[0.25, 0.25, 0.25, 0.25]"
83,664.2019559617726,365143.6771366992,"[0.25, 0.25, 0.25, 0.25]"
84,37.3803807788319,473001.6365908456,"[0.25, 0.25, 0.25, 0.25]"
85,303.72560198617026,186595.49648127225,"[0.25, 0.25, 0.25, 0.25]"
86,414.09326928371684,170460.37840533713,"[0.25, 0.25, 0.25, 0.25]"
87,266.3508768232962,304420.2526832938,"[0.25, 0.25, 0.25, 0.25]"
88,196.03205489735086,394606.01368825947,"[0.25, 0.25, 0.25, 0.25]"
89,614.7141119147644,580211.6526107088,"[0.25, 0.25, 0.25, 0.25]"
90,857.4240324947218,987787.6732316721,"[0.25, 0.25, 0.25, 0.25]"
91,902.0124153216927,590430.4120313982,"[0.25, 0.25, 0.25, 0.25]"
92,527.117675195312,951728.4981783285,"[0.25, 0.25, 0.25, 0.25]"
93,357.9489680669226,656500.5294496685,"[0.25, 0.25, 0.25, 0.25]"
94,941.7331955952012,949671.5307172877,"[0.25, 0.25, 0.25, 0.25]"
95,588.7521064751733,548104.5089591655,"[0.25, 0.25, 0.25, 0.25]"
96,166.28662043175845,585194.5572463716,"[0.25, 0.25, 0.25, 0.25]"
97,554.264350240292,500299.5720878853,"[0.25, 0.25, 0.25, 0.25]"
98,99.96090606373899,462112.1023802597,"[0.25, 0.25, 0.25, 0.25]"
99,389.6815881644568,547924.0043365231,"[0.25, 0.25, 0.25, 0.25]"
100,559.2567297289855,691857.1166135828,"[0.25, 0.25, 0.25, 0.25]"
101,886.5604350013127,360295.8597659813,"[0.25, 0.25, 0.25, 0.25]"
102,778.9304344648186,940411.5152713594,"[0.25, 0.25, 0.25, 0.25]"
103,49.20142056892322,448846.83541490027,"[0.25, 0.25, 0.25, 0.25]"
104,196.24050869085445,411400.83639808954,"[0.25, 0.25, 0.25, 0.25]"
105,623.794962149568,766893.8913871187,"[0.25, 0.25, 0.25, 0.25]"
106,45.46164014030872,558089.667568133,"[0.25, 0.25, 0.25, 0.25]"
107,92.03466069335377,603904.5420407043,"[0.25, 0.25, 0.25, 0.25]"
108,208.27820583095834,201455.92535918514,"[0.25, 0.25, 0.25, 0.25]"
109,941.9062375570403,473400.355780775,"[0.25, 0.25, 0.25, 0.25]"
110,244.84164666063177,509533.1369527552,"[0.25, 0.25, 0.25, 0.25]"
111,64.01900491334106,859993.6823508064,"[0.25, 0.25, 0.25, 0.25]"
112,234.01953197426133,324097.3231680741,"[0.25, 0.25, 0.25, 0.25]"
113,129.7077509571514,942094.4204055846,"[0.25, 0.25, 0.25, 0.25]"
114,753.71709417407,403336.4885155014,"[0.25, 0.25, 0.25, 0.25]"
115,938.9481199031682,925270.4141030961,"[0.25, 0.25, 0.25, 0.25]"
116,667.354651200774,330650.2564628655,"[0.25, 0.25, 0.25, 0.25]"
117,725.6406990929629,703204.0491893409,"[0.25, 0.25, 0.25, 0.25]"
118,963.4840475271807,527626.6968453561,"[0.25, 0.25, 0.25, 0.25]"
119,402.1321141569018,761824.8985182021,"[0.25, 0.25, 0.25, 0.25]"
120,629.0341948751604,523666.77392664703,"[0.25, 0.25, 0.25, 0.25]"
121,855.0256539569702,973018.3627262884,"[0.25, 0.25, 0.25, 0.25]"
122,931.3097116163227,785231.3115168707,"[0.25, 0.25, 0.25, 0.25]"
123,868.9912704340758,140775.32188706484,"[0.25, 0.25, 0.25, 0.25]"
124,541.0455365601947,794759.9795964634,"[0.25, 0.25, 0.25, 0.25]"
125,28.011545352077853,612765.6203600452,"[0.25, 0.25, 0.25, 0.25]"
126,118.42929642746682,946341.904984592,"[0.25, 0.25, 0.25, 0.25]"
127,461.8170399512484,990349.9709147618,"[0.25, 0.25, 0.25, 0.25]"
128,923.7792399804584,201737.09904359435,"[0.25, 0.25, 0.25, 0.25]"
129,675.3127560808791,750083.2916018415,"[0.25, 0.25, 0.25, 0.25]"
130,230.29121603040792,562886.3921377404,"[0.25, 0.25, 0.25, 0.25]"
131,897.7055933725611,395497.54692915396,"[0.25, 0.25, 0.25, 0.25]"
132,133.62323445982497,695663.6428573446,"[0.25, 0.25, 0.25, 0.25]"
133,92.73644366699466,403819.18452749954,"[0.25, 0.25, 0.25, 0.25]"
134,888.5979656284363,123213.75285948865,"[0.25, 0.25, 0.25, 0.25]"
135,486.16031043349693,354440.7794509451,"[0.25, 0.25, 0.25, 0.25]"
136,111.57574754580921,178032.97051613405,"[0.25, 0.25, 0.25, 0.25]"
137,512.2389757733313,610594.7440409088,"[0.25, 0.25, 0.25, 0.25]"
138,127.04030635163898,263669.51678666135,"[0.25, 0.25, 0.25, 0.25]"
139,13.44034853134507,688825.235682644,"[0.25, 0.25, 0.25, 0.25]"
140,857.6288929513839,863023.5573861493,"[0.25, 0.25, 0.25, 0.25]"
141,482.9693730797529,982713.6135934225,"[0.25, 0.25, 0.25, 0.25]"
142,91.80601642892765,861142.463357765,"[0.25, 0.25, 0.25, 0.25]"
143,149.7417267403979,405872.6498445837,"[0.25, 0.25, 0.25, 0.25]"
144,24.218560457609833,334477.17809140874,"[0.25, 0.25, 0.25, 0.25]"
145,826.8480370281216,319879.4925644592,"[0.25, 0.25, 0.25, 0.25]"
146,303.3734110511918,847879.6278217352,"[0.25, 0.25, 0.25, 0.25]"
147,525.36416484449,730828.7350258861,"[0.25, 0.25, 0.25, 0.25]"
148,520.5389739081207,488007.34446055134,"[0.25, 0.25, 0.25, 0.25]"
149,591.4309787200131,285196.8241783939,"[0.25, 0.25, 0.25, 0.25]"
150,826.7343105739549,313584.23175092146,"[0.25, 0.25, 0.25, 0.25]"
151,651.4740012129524,118024.79129881694,"[0.25, 0.25, 0.25, 0.25]"
152,437.68585951392583,369024.8388717515,"[0.25, 0.25, 0.25, 0.25]"
153,139.24799481254374,828500.0859120875,"[0.25, 0.25, 0.25, 0.25]"
154,152.01390918509907,308705.67556782026,"[0.25, 0.25, 0.25, 0.25]"
155,416.2846925665544,606951.1988439166,"[0.25, 0.25, 0.25, 0.25]"
156,296.129680706666,619991.2460292098,"[0.25, 0.25, 0.25, 0.25]"
157,837.8689505580388,297564.53788899037,"[0.25, 0.25, 0.25, 0.25]"
158,279.6245357577307,606746.5530747484,"[0.25, 0.25, 0.25, 0.25]"
159,689.2961318871046,165957.0153554052,"[0.25, 0.25, 0.25, 0.25]"
160,588.1325797124874,253537.50773390508,"[0.25, 0.25, 0.25, 0.25]"
161,488.63470558704915,820594.7092515833,"[0.25, 0.25, 0.25, 0.25]"
162,137.80740705272208,704686.726015301,"[0.25, 0.25, 0.25, 0.25]"
163,307.24215861397727,443285.048693269,"[0.25, 0.25, 0.25, 0.25]"
164,460.90244519417166,227457.40614129585,"[0.25, 0.25, 0.25, 0.25]"
165,998.4318182476451,964158.3746753796,"[0.25, 0.25, 0.25, 0.25]"
166,180.86864203335944,643003.7925220618,"[0.25, 0.25, 0.25, 0.25]"
167,572.9865801864028,662867.3568119205,"[0.25, 0.25, 0.25, 0.25]"
168,304.9482946727497,805118.519315586,"[0.25, 0.25, 0.25, 0.25]"
169,394.5683548191542,743670.3221293575,"[0.25, 0.25, 0.25, 0.25]"
170,510.8372118483279,403163.85317222594,"[0.25, 0.25, 0.25, 0.25]"
171,506.6547708286872,693341.2745963085,"[0.25, 0.25, 0.25, 0.25]"
172,538.2024949384843,816069.8766493922,"[0.25, 0.25, 0.25, 0.25]"
173,998.5104506219064,720989.044396597,"[0.25, 0.25, 0.25, 0.25]"
174,864.2346617243513,103477.46667564142,"[0.25, 0.25, 0.25, 0.25]"
175,18.180304521144002,879266.5761652873,"[0.25, 0.25, 0.25, 0.25]"
176,554.8445429816765,923107.1936234294,"[0.25, 0.25, 0.25, 0.25]"
177,366.99507543064607,240002.0806866235,"[0.25, 0.25, 0.25, 0.25]"
178,587.8932082724464,876489.8855151559,"[0.25, 0.25, 0.25, 0.25]"
179,861.9746711082571,459249.32850655797,"[0.25, 0.25, 0.25, 0.25]"
180,741.0875133164882,885484.2691419834,"[0.25, 0.25, 0.25, 0.25]"
181,647.015966656355,694352.1183414499,"[0.25, 0.25, 0.25, 0.25]"
182,681.1843663735345,930625.8888172383,"[0.25, 0.25, 0.25, 0.25]"
183,205.96961255195205,705743.6535767071,"[0.25, 0.25, 0.25, 0.25]"
184,116.57061652627264,931048.2923238794,"[0.25, 0.25, 0.25, 0.25]"
185,433.50958977172013,868371.2897834884,"[0.25, 0.25, 0.25, 0.25]"
186,181.35715096143957,744266.923698232,"[0.25, 0.25, 0.25, 0.25]"
187,667.9300498211376,982640.4239776921,"[0.25, 0.25, 0.25, 0.25]"
188,467.48648392312487,299044.0350601142,"[0.25, 0.25, 0.25, 0.25]"
189,744.5671018852944,906262.0285107385,"[0.25, 0.25, 0.25, 0.25]"
190,489.6417289853149,639569.1726983376,"[0.25, 0.25, 0.25, 0.25]"
191,543.3057488288033,600635.0791997409,"[0.25, 0.25, 0.25, 0.25]"
192,640.5493993036473,673896.2394530523,"[0.25, 0.25, 0.25, 0.25]"
193,922.7620037720963,949290.8436273348,"[0.25, 0.25, 0.25, 0.25]"
194,996.8097927566292,671639.7302816511,"[0.25, 0.25, 0.25, 0.25]"
195,88.3225343469283,208564.25597465725,"[0.25, 0.25, 0.25, 0.25]"
196,465.9118384881823,822762.413961196,"[0.25, 0.25, 0.25, 0.25]"
197,224.9610271415723,870724.5121776549,"[0.25, 0.25, 0.25, 0.25]"
198,505.88206565469267,783031.4766552914,"[0.25, 0.25, 0.25, 0.25]"
199,653.9972750063773,236360.98330552824,"[0.25, 0.25, 0.25, 0.25]"
200,600.7193733427365,706003.0792263144,"[0.25, 0.25, 0.25, 0.25]"
201,788.0460377989821,634545.0052229163,"[0.25, 0.25, 0.25, 0.25]"
202,690.1350695115299,374426.67472708574,"[0.25, 0.25, 0.25, 0.25]"
203,309.5732054929215,513116.6248006475,"[0.25, 0.25, 0.25, 0.25]"
204,645.5722616102153,200797.35528755095,"[0.25, 0.25, 0.25, 0.25]"
205,162.2676877536751,564191.6679673633,"[0.25, 0.25, 0.25, 0.25]"
206,93.66944576815459,454984.0118488275,"[0.25, 0.25, 0.25, 0.25]"
207,820.8221631519733,190170.52041567495,"[0.25, 0.25, 0.25, 0.25]"
208,512.552201320334,252869.97340213886,"[0.25, 0.25, 0.25, 0.25]"
209,125.22243807483335,177380.0425072998,"[0.25, 0.25, 0.25, 0.25]"
210,462.5343470178137,656778.1763855307,"[0.25, 0.25, 0.25, 0.25]"
211,491.73635085901924,986524.003897531,"[0.25, 0.25, 0.25, 0.25]"
212,654.5404373503053,402087.8244331746,"[0.25, 0.25, 0.25, 0.25]"
213,460.4114378062369,191549.75815171725,"[0.25, 0.25, 0.25, 0.25]"
214,35.746350995739355,884381.7082276825,"[0.25, 0.25, 0.25, 0.25]"
215,376.7656486269053,563752.4287527767,"[0.25, 0.25, 0.25, 0.25]"
216,200.0128909063503,773953.0411042039,"[0.25, 0.25, 0.25, 0.25]"
217,311.2397902993263,295421.6572933796,"[0.25, 0.25, 0.25, 0.25]"
218,946.329342485743,105399.75948889468,"[0.25, 0.25, 0.25, 0.25]"
219,101.65116754101113,111870.06130929996,"[0.25, 0.25, 0.25, 0.25]"
220,494.91484817395025,220657.35914274392,"[0.25, 0.25, 0.25, 0.25]"
221,599.84065075824,339602.01368011814,"[0.25, 0.25, 0.25, 0.25]"
222,686.2662099910169,725170.0017992376,"[0.25, 0.25, 0.25, 0.25]"
223,782.6054880825568,307124.9434505957,"[0.25, 0.25, 0.25, 0.25]"
224,577.1554969198362,467148.1985713034,"[0.25, 0.25, 0.25, 0.25]"
225,283.6699095565903,937328.7710835568,"[0.25, 0.25, 0.25, 0.25]"
226,777.2266308830607,697763.6685609288,"[0.25, 0.25, 0.25, 0.25]"
227,816.4842796433599,434950.363381451,"[0.25, 0.25, 0.25, 0.25]"
228,402.2588660203074,384809.55266127875,"[0.25, 0.25, 0.25, 0.25]"
229,410.08929377707346,885583.8922978964,"[0.25, 0.25, 0.25, 0.25]"
230,466.88238785656506,993630.8527332045,"[0.25, 0.25, 0.25, 0.25]"
231,829.7989298820286,608521.0429068456,"[0.25, 0.25, 0.25, 0.25]"
232,933.7312089848192,689928.7136780166,"[0.25, 0.25, 0.25, 0.25]"
233,556.7358479179028,770467.1600201027,"[0.25, 0.25, 0.25, 0.25]"
234,872.4441026537514,171982.85244323476,"[0.25, 0.25, 0.25, 0.25]"
235,989.0673874809545,163191.439522386,"[0.25, 0.25, 0.25, 0.25]"
236,991.7590563483966,525901.1094852112,"[0.25, 0.25, 0.25, 0.25]"
237,906.1142352699433,503738.76257595397,"[0.25, 0.25, 0.25, 0.25]"
238,997.618757975663,331900.4222744681,"[0.25, 0.25, 0.25, 0.25]"
239,634.0922293066787,630211.3321159951,"[0.25, 0.25, 0.25, 0.25]"
240,855.9729656698497,599754.0742717017,"[0.25, 0.25, 0.25, 0.25]"
241,737.7049983977163,790605.2153898958,"[0.25, 0.25, 0.25, 0.25]"
242,819.6871564090793,210777.5665501355,"[0.25, 0.25, 0.25, 0.25]"
243,51.713366448537556,513735.9670978671,"[0.25, 0.25, 0.25, 0.25]"
244,54.63208293501828,477879.38872094196,"[0.25, 0.25, 0.25, 0.25]"
245,45.457018779551134,960925.4770461607,"[0.25, 0.25, 0.25, 0.25]"
246,332.974791215599,431095.3408294091,"[0.25, 0.25, 0.25, 0.25]"
247,487.3154293827009,267078.11161014216,"[0.25, 0.25, 0.25, 0.25]"
248,493.5066372643684,324141.8483851446,"[0.25, 0.25, 0.25, 0.25]"
249,808.2424656358636,810132.170639515,"[0.25, 0.25, 0.25, 0.25]"
250,511.6407376075236,643803.37571415,"[0.25, 0.25, 0.25, 0.25]"
251,37.855541235685195,552160.8045291646,"[0.25, 0.25, 0.25, 0.25]"
252,677.922714866422,915761.9467855395,"[0.25, 0.25, 0.25, 0.25]"
253,173.71255315708427,900573.5183730344,"[0.25, 0.25, 0.25, 0.25]"
254,671.4265000400642,667038.9320224421,"[0.25, 0.25, 0.25, 0.25]"
255,464.15248924397696,100002.92107454555,"[0.25, 0.25, 0.25, 0.25]"
256,739.9461819129409,791618.9908728088,"[0.25, 0.25, 0.25, 0.25]"
257,912.1371990793284,411276.88006898214,"[0.25, 0.25, 0.25, 0.25]"
258,197.74756671230577,365474.8446807745,"[0.25, 0.25, 0.25, 0.25]"
259,504.5758953075723,993765.1230536806,"[0.25, 0.25, 0.25, 0.25]"
260,116.44426483105937,139039.45282304453,"[0.25, 0.25, 0.25, 0.25]"
261,434.31930208272195,671267.4217362091,"[0.25, 0.25, 0.25, 0.25]"
262,200.4097753120207,713141.176326682,"[0.25, 0.25, 0.25, 0.25]"
263,41.483913672809024,834643.5542494608,"[0.25, 0.25, 0.25, 0.25]"
264,619.4565372131748,999447.6032212215,"[0.25, 0.25, 0.25, 0.25]"
265,989.2277806633457,816534.0908355302,"[0.25, 0.25, 0.25, 0.25]"
266,799.890615827834,389821.3441823842,"[0.25, 0.25, 0.25, 0.25]"
267,828.4082615138047,421997.0674593047,"[0.25, 0.25, 0.25, 0.25]"
268,800.5222631870215,281477.24861099763,"[0.25, 0.25, 0.25, 0.25]"
269,27.527689294520165,810130.8072851138,"[0.25, 0.25, 0.25, 0.25]"
270,888.2747096711429,688099.3274024619,"[0.25, 0.25, 0.25, 0.25]"
271,749.5622380898108,861643.3628498834,"[0.25, 0.25, 0.25, 0.25]"
272,494.94306005407816,898536.0301275514,"[0.25, 0.25, 0.25, 0.25]"
273,478.7109830669316,719117.7305403921,"[0.25, 0.25, 0.25, 0.25]"
274,65.63485801836177,489299.4458713969,"[0.25, 0.25, 0.25, 0.25]"
275,345.25162726395104,992893.2240536426,"[0.25, 0.25, 0.25, 0.25]"
276,628.1614469594863,558344.7358523684,"[0.25, 0.25, 0.25, 0.25]"
277,722.6025274611866,988563.302536839,"[0.25, 0.25, 0.25, 0.25]"
278,449.8709686386748,881764.685622063,"[0.25, 0.25, 0.25, 0.25]"
