,T,P,zs
0,922.7095362034681,715966.4919374202,"[0.5, 0.5]"
1,601.7433702161899,348877.63838680135,"[0.5, 0.5]"
2,572.3900073735422,743000.4771182502,"[0.5, 0.5]"
3,470.28833014120545,817060.083585525,"[0.5, 0.5]"
4,333.8326534753143,488480.2178875162,"[0.5, 0.5]"
5,106.39284155242106,616911.443523833,"[0.5, 0.5]"
6,992.1051275346761,485396.54996617784,"[0.5, 0.5]"
7,356.6253556696876,665536.0067809101,"[0.5, 0.5]"
8,732.2140701825971,813856.9230928118,"[0.5, 0.5]"
9,162.75403569753072,594294.7289785089,"[0.5, 0.5]"
10,168.1719252578618,507237.92341791437,"[0.5, 0.5]"
11,948.6144465240308,188557.310555797,"[0.5, 0.5]"
12,80.30472835678356,126369.28684287304,"[0.5, 0.5]"
13,531.6471468367533,341236.59056091914,"[0.5, 0.5]"
14,816.0143343572569,889466.300527853,"[0.5, 0.5]"
15,97.89509519528512,394009.5584226206,"[0.5, 0.5]"
16,112.56060846587664,750969.190588132,"[0.5, 0.5]"
17,177.6872950473685,963254.6946145062,"[0.5, 0.5]"
18,210.00549098826235,316917.010325889,"[0.5, 0.5]"
19,74.54797002814082,920718.9248332607,"[0.5, 0.5]"
20,62.630765451368376,863258.660665665,"[0.5, 0.5]"
21,584.4190990912202,145223.3218366705,"[0.5, 0.5]"
22,528.2064336784431,201641.84642127698,"[0.5, 0.5]"
23,293.4474217777543,610978.7758032447,"[0.5, 0.5]"
24,479.73349411353576,707386.5020024328,"[0.5, 0.5]"
25,723.7758164352443,614253.2966419434,"[0.5, 0.5]"
26,927.908847320207,895592.1062725883,"[0.5, 0.5]"
27,938.9070831876688,395720.64986525156,"[0.5, 0.5]"
28,997.6128455149927,418829.0962068798,"[0.5, 0.5]"
29,156.74359553501333,862807.0467703036,"[0.5, 0.5]"
30,230.69158228625403,123533.14750043236,"[0.5, 0.5]"
31,419.4986742333281,640342.665052436,"[0.5, 0.5]"
32,90.17563125050846,139293.96189430292,"[0.5, 0.5]"
33,601.0536351471382,962584.7838279335,"[0.5, 0.5]"
34,270.33001389930644,603810.3848398112,"[0.5, 0.5]"
35,106.65763803074871,982211.9305367636,"[0.5, 0.5]"
36,396.2237314737891,734898.6167271866,"[0.5, 0.5]"
37,624.6185785464656,423473.7695095793,"[0.5, 0.5]"
38,23.43549090031709,968732.635500733,"[0.5, 0.5]"
39,936.1275483677948,610221.760621954,"[0.5, 0.5]"
40,911.3153151436321,173470.07530062494,"[0.5, 0.5]"
41,728.5060507808557,439923.0102097149,"[0.5, 0.5]"
42,336.19708570672583,176226.68599665366,"[0.5, 0.5]"
43,391.52917338807924,945933.3111325757,"[0.5, 0.5]"
44,353.36772233350115,194214.1035817641,"[0.5, 0.5]"
45,443.07911878085446,728897.9957634755,"[0.5, 0.5]"
46,524.0683557675205,456297.269001073,"[0.5, 0.5]"
47,363.02648934695657,227939.2129652159,"[0.5, 0.5]"
48,679.1791719367219,496285.9731282055,"[0.5, 0.5]"
49,448.4634268174777,650913.9344572305,"[0.5, 0.5]"
50,844.3394911586527,654580.7912455179,"[0.5, 0.5]"
51,213.2944523637812,501836.0866320964,"[0.5, 0.5]"
52,169.96863331176954,627505.69989704,"[0.5, 0.5]"
53,891.6108524203048,432587.3856631925,"[0.5, 0.5]"
54,598.8374416714182,638298.5212770645,"[0.5, 0.5]"
55,923.8625744045388,132536.81057228922,"[0.5, 0.5]"
56,364.5428912664885,361925.5774405081,"[0.5, 0.5]"
57,884.0169559173032,619080.7429842423,"[0.5, 0.5]"
58,685.4055841839597,733474.026147258,"[0.5, 0.5]"
59,213.5600178318703,855092.7876016168,"[0.5, 0.5]"
60,990.7933813551947,443625.5602451896,"[0.5, 0.5]"
61,285.8884494323628,976952.6593089682,"[0.5, 0.5]"
62,603.2312241838263,630380.7263641165,"[0.5, 0.5]"
63,264.26461590333315,110524.87260655072,"[0.5, 0.5]"
64,26.65272880115748,857932.4653176125,"[0.5, 0.5]"
65,18.19106201862273,286801.26389210223,"[0.5, 0.5]"
66,572.2319720554199,296767.0798454053,"[0.5, 0.5]"
67,831.5602206163668,104736.29903534045,"[0.5, 0.5]"
68,47.58441289490982,930864.5203443625,"[0.5, 0.5]"
69,634.341510639771,609123.9522481714,"[0.5, 0.5]"
