,T,P,zs
0,527.8804511435281,850638.1497695448,"[0.2, 0.2, 0.2, 0.2, 0.2]"
1,764.3574109330607,463295.01841495116,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,433.7799623464219,555075.3836191646,"[0.2, 0.2, 0.2, 0.2, 0.2]"
3,247.20568242250746,113514.5587989641,"[0.2, 0.2, 0.2, 0.2, 0.2]"
4,653.2607646490791,613124.002731469,"[0.2, 0.2, 0.2, 0.2, 0.2]"
5,589.0839876198085,455627.78450807114,"[0.2, 0.2, 0.2, 0.2, 0.2]"
6,31.510487755455063,721935.3161252517,"[0.2, 0.2, 0.2, 0.2, 0.2]"
7,231.52164362021628,506176.38654837955,"[0.2, 0.2, 0.2, 0.2, 0.2]"
8,604.8785004251332,829110.7669927432,"[0.2, 0.2, 0.2, 0.2, 0.2]"
9,181.29915819171015,332673.8041065799,"[0.2, 0.2, 0.2, 0.2, 0.2]"
10,615.1424659589718,408408.0023320805,"[0.2, 0.2, 0.2, 0.2, 0.2]"
11,805.4672077443771,668579.9264483881,"[0.2, 0.2, 0.2, 0.2, 0.2]"
12,862.5720714144977,630531.1999421951,"[0.2, 0.2, 0.2, 0.2, 0.2]"
13,821.0287516831041,347452.08796003123,"[0.2, 0.2, 0.2, 0.2, 0.2]"
14,562.0327545667794,276832.68875013955,"[0.2, 0.2, 0.2, 0.2, 0.2]"
15,856.0985086482306,674768.8842213228,"[0.2, 0.2, 0.2, 0.2, 0.2]"
16,311.20887003497177,785781.9950220069,"[0.2, 0.2, 0.2, 0.2, 0.2]"
17,566.371464400251,754228.842148033,"[0.2, 0.2, 0.2, 0.2, 0.2]"
18,377.97824692542315,269991.120190997,"[0.2, 0.2, 0.2, 0.2, 0.2]"
19,791.2966514068264,996299.5771428159,"[0.2, 0.2, 0.2, 0.2, 0.2]"
20,864.3509968839616,178480.17525222147,"[0.2, 0.2, 0.2, 0.2, 0.2]"
21,709.704567917437,596828.0366931077,"[0.2, 0.2, 0.2, 0.2, 0.2]"
22,488.7647027338288,646752.4985591009,"[0.2, 0.2, 0.2, 0.2, 0.2]"
23,821.6537991638594,697970.8867059379,"[0.2, 0.2, 0.2, 0.2, 0.2]"
24,856.9494352820928,846381.7148634151,"[0.2, 0.2, 0.2, 0.2, 0.2]"
25,956.3968960891871,806448.884646121,"[0.2, 0.2, 0.2, 0.2, 0.2]"
26,674.4069353802439,908497.8041462965,"[0.2, 0.2, 0.2, 0.2, 0.2]"
27,319.43039452882016,885685.6472960254,"[0.2, 0.2, 0.2, 0.2, 0.2]"
28,565.7531093369561,510464.05644152645,"[0.2, 0.2, 0.2, 0.2, 0.2]"
29,599.1416650945491,682671.7995904655,"[0.2, 0.2, 0.2, 0.2, 0.2]"
