,T,P,zs
0,484.04197813050405,586106.3920997917,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
1,57.25200677148199,988955.511156976,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,154.1519996059547,586960.2996481897,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
3,742.9052923880053,763727.3579260054,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
4,774.372967362129,545213.1862016347,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
5,340.1168352638497,567343.7842124205,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
6,13.98278769755491,359833.57179797033,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
7,197.22188930278378,454468.5630656848,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
8,650.8396720668537,862415.3542105486,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
9,131.0877016055739,389469.09740500204,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
10,497.34322690182216,580104.5945874667,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
11,433.6178900758522,267619.04040433245,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
12,146.2265743246294,852178.968268519,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
13,614.661962315299,195486.7834414004,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
14,500.7213785237678,513852.44180045015,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
15,512.3886430841133,796468.7135367949,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
16,895.7963048334527,573190.9779250134,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
17,568.8350544699896,487971.5602707891,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
18,758.1595874551123,390064.1970719724,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
19,528.5446255071563,168873.41520865672,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
20,901.2363525798179,104595.58343498934,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
21,338.4178491722684,279738.2810427208,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
22,634.8170579635798,147788.67898424855,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
23,560.9534788174369,216026.1502353418,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
24,933.5150289322228,508935.22346838354,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
25,313.49525878231464,879831.5797418904,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
26,729.4601826222987,223748.1055558538,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
27,365.31638453851895,871196.2671588028,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
28,41.087171377056606,789856.6854071155,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
29,16.881806452676052,958992.461954014,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
30,230.70315644394535,980105.7057674114,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
31,734.3889892780348,696358.3268657026,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
32,910.3287886780556,912188.0111298572,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
33,946.6435130240621,740789.302219663,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
34,835.248866370451,134256.9402322129,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
35,324.03050113561403,331001.8810514206,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
36,912.3115572788298,201494.1726530646,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
37,477.7570636365943,804435.338502245,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
38,170.35856834077327,730368.8826704023,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
39,199.86468251967588,529289.1723488627,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
40,565.4313359537387,252141.22967783117,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
41,594.2316284484261,401906.1036966188,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
42,131.57677564537437,432948.7848640845,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
43,736.9033188835575,870008.0497289018,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
44,433.2370601643798,448266.0699697453,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
45,963.8819075813062,568502.9977433346,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
46,585.8554435296218,670217.1541956705,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
47,69.24033424980036,789382.6732628924,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
48,284.8834000206691,495281.4250883077,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
49,695.8764213428911,695390.6809639347,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
50,29.209820692754068,789089.8290247814,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
51,259.41111540899414,582661.8846658417,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
52,851.5984868333999,298032.04152905947,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
53,946.2198411128477,117385.03293760712,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
54,785.76820901254,615179.6175944435,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
55,758.7357511638627,662434.2237644086,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
56,526.6402292895916,382914.29993895965,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
57,151.11426231892167,137424.0677824573,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
58,705.8235613764595,681389.3808001603,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
59,726.2201583696566,500967.39624025393,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
60,277.48659758230866,154075.6674598915,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
61,897.9526633535588,772608.5278654894,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
62,201.42663684735007,232000.60577466947,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
63,116.29144343479804,532155.9019899884,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
64,101.33836726780417,113722.22450077193,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
65,795.059259360108,256161.18528585692,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
66,851.8989380929603,254558.71917771365,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
67,734.7218854774028,406533.4862515244,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
68,117.76549037709154,183246.6628365998,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
69,152.43706799692393,497778.3116070103,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
70,963.8766671232845,827089.8568383785,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
71,579.2751611985061,218649.32504648366,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
72,328.83048042368176,905332.3957169247,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
73,870.4680903168954,495818.2584978727,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
74,525.2205421238237,904099.2193193779,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
75,560.3320601138236,841410.514216249,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
76,258.33573837168944,621099.7384339008,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
77,155.7540310538137,759351.2302153058,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
78,667.0887908149,663593.8880618145,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
79,524.3470610181217,925201.1520168036,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
80,710.587642726985,290968.2151801266,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
81,534.4604031910758,276731.6611052125,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
82,248.80532074354412,930557.5587847072,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
83,954.8136690251539,479632.8300543233,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
84,638.0169993637892,342537.66275015415,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
85,19.50433576475446,873340.2167956611,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
86,333.00423133184603,181886.57326828732,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
87,261.6724716277007,752317.952185006,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
88,973.6617493596704,140728.69506957903,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
89,862.3412813271179,758361.6146883145,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
90,378.94409491609616,514261.1672457004,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
91,300.75275369745134,517010.7836245415,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
92,520.0581578582995,866667.0231247323,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
93,61.053588465099075,796399.0300482409,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
94,196.77643734949885,588973.8596479904,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
95,53.60176976087339,131793.721700651,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
96,323.99076208465027,446194.54207988386,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
97,869.4355779885183,613469.1999222417,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
98,72.65363351172243,758831.8187727781,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
99,653.0872300798612,411193.16628709884,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
100,368.8371431301509,243372.2793681669,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
101,48.04762509523934,385842.5155848792,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
102,785.7446702549793,706551.9291247398,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
103,738.1123090591061,790006.5100912785,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
104,188.20704244655715,998542.7537483596,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
105,787.5118636096264,498154.0447576153,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
106,776.2185618639866,798849.3916284727,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
107,882.292923842307,725028.3896198228,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
108,718.3591691258406,814169.7526432759,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
109,673.3792759099698,947715.3444595502,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
110,339.92099064792643,940394.0137334486,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
111,866.8838705412035,894802.998663999,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
112,75.89784532747933,770151.9478776746,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
113,309.46092991795194,946584.9635227661,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
114,313.97205351820503,762591.1163808074,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
115,254.49202961241298,132905.0909351959,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
116,531.7058719076146,514083.19619601365,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
117,906.056918527955,542911.423637542,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
118,646.3979588257138,347688.9653424566,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
119,120.29624054014663,280258.67989061476,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
120,326.82958436991953,479665.7609534708,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
121,612.2007342376854,722154.5815572315,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
122,774.7966162949195,951589.2604932139,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
123,949.4085691173692,649013.3152484699,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
124,367.1913859474394,521283.4283705941,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
125,413.8345929060983,511700.7078575463,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
126,631.063200051655,966586.1140623114,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
127,724.721061164604,263906.30363984243,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
128,17.290059735011095,341101.6185977724,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
129,220.45502188381778,701581.3651416892,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
130,654.0626845336509,300892.13956969284,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
131,543.5006584854431,787421.0337091276,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
132,638.6207551803209,367203.5691698702,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
133,607.641486104622,366149.63131829305,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
134,80.76942086539945,136716.34263166506,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
135,500.7167610271168,488990.8243571777,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
136,552.1228695265775,801676.1515444771,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
137,897.4062968186904,451082.27002020145,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
138,456.9349511486529,369176.63598360494,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
139,495.1627293226869,754190.1991202263,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
140,874.018409560943,246827.76945490506,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
141,678.478676805418,648369.624389125,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
142,872.4134217262506,971871.4420870824,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
143,419.943426898296,790474.1852545715,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
144,536.8464133378183,117035.62299081242,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
145,792.8363519683622,385672.92948202026,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
146,979.1717235939906,634096.1428053628,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
147,854.6729783408267,565053.3960776613,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
148,614.6238747417835,493918.4996641731,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
149,396.34614357898215,692095.2212632489,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
150,299.0686691811396,452071.02991009364,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
151,771.7212588840323,336873.5891960638,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
152,308.5607233195914,486302.72660662944,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
153,30.82531147424732,389670.1555060287,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
154,627.2216910818835,632775.5052594749,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
155,630.7729315146504,748769.3300137231,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
156,168.15369865905186,262732.90086927544,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
157,248.86484937846006,536996.1009629823,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
158,13.93195839080568,980206.8075608548,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
159,54.32919513393346,993165.9312476484,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
160,772.931796314496,942233.5058542528,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
161,694.8446119117905,694377.4028027527,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
162,444.7884512902007,303965.7348560747,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
163,166.60303934665185,540915.6917818387,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
164,174.55722610965134,615438.3104562492,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
165,125.95829224569364,393594.34725391347,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
166,262.1773951244807,507510.6418554257,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
167,897.5317523005064,924672.5314881233,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
168,356.1811187161529,218787.26368037594,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
169,846.3999889497678,156534.67166960042,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
