,T,P,zs
0,887.6871374897054,279488.36663540505,"[0.25, 0.25, 0.25, 0.25]"
1,419.78713935397326,572533.1038202462,"[0.25, 0.25, 0.25, 0.25]"
2,772.8328367987153,923787.628559572,"[0.25, 0.25, 0.25, 0.25]"
3,333.526497650837,670307.876721393,"[0.25, 0.25, 0.25, 0.25]"
4,218.92028041721193,621402.7571803438,"[0.25, 0.25, 0.25, 0.25]"
5,614.5781276172276,652609.1062150752,"[0.25, 0.25, 0.25, 0.25]"
6,426.22302586338003,158924.589130773,"[0.25, 0.25, 0.25, 0.25]"
7,897.7217158819507,937733.9269539709,"[0.25, 0.25, 0.25, 0.25]"
8,422.55299291715403,614106.0456904972,"[0.25, 0.25, 0.25, 0.25]"
9,610.51604338451,339035.4885859907,"[0.25, 0.25, 0.25, 0.25]"
10,50.21998436624436,681075.0999814862,"[0.25, 0.25, 0.25, 0.25]"
11,549.8631172756817,787870.9766423354,"[0.25, 0.25, 0.25, 0.25]"
12,381.7035950233207,655557.7709911407,"[0.25, 0.25, 0.25, 0.25]"
13,767.3019767866841,881503.052520267,"[0.25, 0.25, 0.25, 0.25]"
14,499.8501687647103,705076.5523739834,"[0.25, 0.25, 0.25, 0.25]"
15,856.5806761300427,154865.61467587244,"[0.25, 0.25, 0.25, 0.25]"
16,366.12416309100865,943616.5950290697,"[0.25, 0.25, 0.25, 0.25]"
17,522.3437670297153,476795.7905076091,"[0.25, 0.25, 0.25, 0.25]"
18,708.566908920864,729754.1674564269,"[0.25, 0.25, 0.25, 0.25]"
19,852.9797440851371,514304.24117357447,"[0.25, 0.25, 0.25, 0.25]"
20,562.6569759616671,535434.5943261575,"[0.25, 0.25, 0.25, 0.25]"
21,300.0395551827795,301887.7728464558,"[0.25, 0.25, 0.25, 0.25]"
22,79.78646979311523,161720.91872698636,"[0.25, 0.25, 0.25, 0.25]"
23,463.0874691934936,213581.54100808242,"[0.25, 0.25, 0.25, 0.25]"
24,73.73845546732434,175699.83011085965,"[0.25, 0.25, 0.25, 0.25]"
25,544.5681925646577,135318.52338382535,"[0.25, 0.25, 0.25, 0.25]"
26,338.17561266740825,122977.25764126788,"[0.25, 0.25, 0.25, 0.25]"
27,552.9088852336974,218314.11111112643,"[0.25, 0.25, 0.25, 0.25]"
28,397.818693667594,410142.54911296733,"[0.25, 0.25, 0.25, 0.25]"
