,T,P,zs
0,312.43351425029886,604769.9064911697,"[0.25, 0.25, 0.25, 0.25]"
1,835.3909902040948,221765.32227164262,"[0.25, 0.25, 0.25, 0.25]"
2,692.1353819957774,916383.5226883362,"[0.25, 0.25, 0.25, 0.25]"
3,424.842886247743,854021.5642712174,"[0.25, 0.25, 0.25, 0.25]"
4,877.2005973872186,497060.32459291164,"[0.25, 0.25, 0.25, 0.25]"
5,960.0915277792105,992440.6906395917,"[0.25, 0.25, 0.25, 0.25]"
6,421.43272349791283,180591.50708682442,"[0.25, 0.25, 0.25, 0.25]"
7,554.3915362534772,695553.9288128951,"[0.25, 0.25, 0.25, 0.25]"
8,881.5708412031739,746994.145669513,"[0.25, 0.25, 0.25, 0.25]"
9,765.0587499837128,762309.9914692568,"[0.25, 0.25, 0.25, 0.25]"
10,654.9779933804289,122195.74483594084,"[0.25, 0.25, 0.25, 0.25]"
11,883.0356177839778,340961.1852625703,"[0.25, 0.25, 0.25, 0.25]"
12,184.36019514384702,808943.7958893129,"[0.25, 0.25, 0.25, 0.25]"
13,553.4691564673758,374372.92718483903,"[0.25, 0.25, 0.25, 0.25]"
14,365.5581078729241,699243.7966717385,"[0.25, 0.25, 0.25, 0.25]"
15,652.5275889508198,347236.59807538474,"[0.25, 0.25, 0.25, 0.25]"
16,227.2553504291224,620928.427529176,"[0.25, 0.25, 0.25, 0.25]"
17,184.23777237676026,961007.8287504514,"[0.25, 0.25, 0.25, 0.25]"
18,589.7624505903804,342230.5458674842,"[0.25, 0.25, 0.25, 0.25]"
19,548.7614853570677,710181.8505950404,"[0.25, 0.25, 0.25, 0.25]"
20,198.61001396601884,126713.05298611004,"[0.25, 0.25, 0.25, 0.25]"
21,595.723036471252,230136.13806194608,"[0.25, 0.25, 0.25, 0.25]"
22,85.24312907833269,555397.7481025797,"[0.25, 0.25, 0.25, 0.25]"
23,108.48696086852085,568804.436688876,"[0.25, 0.25, 0.25, 0.25]"
24,228.77377897207634,212272.67982897922,"[0.25, 0.25, 0.25, 0.25]"
25,31.532495286611326,350010.50853549293,"[0.25, 0.25, 0.25, 0.25]"
