,T,P,zs
35277,881.391786196358,103003.41700537351,"[0.18947399450227712, 0.3090071329419812, 0.11796400781354022, 0.3835548647422014]"
8056,90.96670674439416,757933.5460635211,"[0.20283580580757876, 0.19351418017768018, 0.23024193888188937, 0.37340807513285174]"
39831,655.290435299753,228116.66699853772,"[0.024799216644055606, 0.13409764512825129, 0.6669786519409492, 0.17412448628674396]"
3793,374.5257635568012,177150.26124775747,"[0.7826382169725716, 0.04963387486848554, 0.10421339687424912, 0.06351451128469371]"
34387,276.4141798228698,424916.70224204473,"[0.565699569458635, 0.19848187398593792, 0.03258237762326495, 0.20323617893216206]"
8154,661.4393107701508,888527.1810752124,"[0.07619968598028566, 0.3495809382670425, 0.4966117105655584, 0.07760766518711343]"
28391,340.1814031404799,270429.1749477276,"[0.47055204658693195, 0.4517915498719966, 0.01295623873217896, 0.0647001648088924]"
13795,880.3104209181392,419421.0912410872,"[0.17880250658915872, 0.21794685856505377, 0.08565243394684775, 0.5175982008989398]"
29173,435.9780437110242,952243.3418282703,"[0.16233236918109897, 0.105138194415398, 0.08735421110594059, 0.6451752252975623]"
27734,122.88060320171763,727014.257946567,"[0.20881050290132197, 0.39966933968855006, 0.11168884112578967, 0.27983131628433827]"
47912,289.8225154955447,824565.5812920564,"[0.1646628998726321, 0.5736383300830505, 0.2349174324969557, 0.026781337547361617]"
34812,883.1773313816175,251890.56709917527,"[0.15105835355510752, 0.2772324852555165, 0.5691945146415819, 0.0025146465477941158]"
45348,997.7506814494944,801608.6545583608,"[0.4210577999714274, 0.5068360562769462, 0.06963028686189678, 0.0024758568897296526]"
5084,769.3422885617659,627204.9996616604,"[0.07049890810115379, 0.7670798491524861, 0.09214080915135177, 0.07028043359500825]"
34815,918.391918004264,455502.08361086814,"[0.15086543709727745, 0.1258722306626377, 0.2876361657554238, 0.435626166484661]"
47161,318.0811185682763,906663.8926703648,"[0.1480724907387718, 0.6393177188322857, 0.17275119278850865, 0.03985859764043368]"
7660,90.38776447202676,913546.4982530208,"[0.06387742381922581, 0.22511357128287776, 0.5315099782994783, 0.17949902659841824]"
28568,200.4081010228946,205588.9759576214,"[0.2133126090182918, 0.14355315508272162, 0.2227478403254827, 0.42038639557350393]"
34851,295.5535875351416,687129.4624296952,"[0.21807723951046415, 0.41877144554996826, 0.22359606423945436, 0.13955525070011335]"
37830,350.0888065221363,638485.8058120199,"[0.04782776140939067, 0.2766032377173489, 0.0779422633787485, 0.5976267374945119]"
49280,682.4899421114576,917270.851726033,"[0.10400508072127333, 0.04054668397695874, 0.5119071925082427, 0.34354104279352515]"
35090,797.0103292665158,255480.6481105826,"[0.0415832026097788, 0.49820312289718865, 0.2151941841955236, 0.24501949029750886]"
34472,404.9021805827232,358433.0729852025,"[0.4219290389604251, 0.3310251790756537, 0.04224754478381831, 0.204798237180103]"
41652,803.282650074784,640435.0731332548,"[0.2701079226592394, 0.17016146054433, 0.4777297889202342, 0.08200082787619645]"
33902,321.846002660532,407016.4138825066,"[0.42719644293446435, 0.10074278814278281, 0.1937118742040561, 0.27834889471869684]"
10946,737.0662995770372,560219.1815190011,"[0.31023899160138113, 0.05903565963116071, 0.4759726386732117, 0.1547527100942465]"
6339,75.525943799092,842734.6769565615,"[0.2749909121880598, 0.33049009136454266, 0.12018810290796698, 0.2743308935394304]"
37748,680.9025485529937,399706.2723066218,"[0.2358836050124241, 0.0548113304374088, 0.5698615708349425, 0.13944349371522458]"
4175,734.1607712783899,570580.4326039852,"[0.0989790937084429, 0.23538552472985227, 0.6113594968311248, 0.0542758847305801]"
6482,506.2305931036954,169890.7130356084,"[0.1143300416073639, 0.23465909624223957, 0.2923615902780112, 0.35864927187238543]"
11516,256.9181593254628,756518.5839496633,"[0.4455730122497964, 0.008234428374201196, 0.4672527256254258, 0.07893983375057655]"
