,T,P,zs
0,679.9755353592675,405071.64106747,"[0.25, 0.25, 0.25, 0.25]"
1,990.3238748856443,262926.92587351834,"[0.25, 0.25, 0.25, 0.25]"
2,327.59158088072274,308014.818351154,"[0.25, 0.25, 0.25, 0.25]"
3,44.228017091803494,780138.6332153183,"[0.25, 0.25, 0.25, 0.25]"
4,146.14978222078963,175301.5347378552,"[0.25, 0.25, 0.25, 0.25]"
5,211.19957624499168,916069.4717227822,"[0.25, 0.25, 0.25, 0.25]"
6,687.5843633432855,382884.7430428252,"[0.25, 0.25, 0.25, 0.25]"
7,578.3431917526777,283540.6131829994,"[0.25, 0.25, 0.25, 0.25]"
8,613.7476265873835,398288.48061466956,"[0.25, 0.25, 0.25, 0.25]"
9,73.80862079429855,685995.5392211799,"[0.25, 0.25, 0.25, 0.25]"
10,427.47378317975915,851599.3407665341,"[0.25, 0.25, 0.25, 0.25]"
11,50.70021304193706,802395.6856365948,"[0.25, 0.25, 0.25, 0.25]"
12,445.31999183311603,912859.1150482673,"[0.25, 0.25, 0.25, 0.25]"
13,166.90740452335245,447479.3755932933,"[0.25, 0.25, 0.25, 0.25]"
14,470.2259739021332,864097.4913570322,"[0.25, 0.25, 0.25, 0.25]"
15,375.7072983677176,536628.941203762,"[0.25, 0.25, 0.25, 0.25]"
16,891.0853632061409,954741.0825074168,"[0.25, 0.25, 0.25, 0.25]"
17,400.0193349563718,911415.3002549602,"[0.25, 0.25, 0.25, 0.25]"
18,268.64438876233066,638768.3783697803,"[0.25, 0.25, 0.25, 0.25]"
19,323.16338782945763,132993.90314417807,"[0.25, 0.25, 0.25, 0.25]"
20,840.3242014178217,669615.7692966443,"[0.25, 0.25, 0.25, 0.25]"
21,968.6031463047094,645086.3030468484,"[0.25, 0.25, 0.25, 0.25]"
22,837.3614922206713,794543.7029607604,"[0.25, 0.25, 0.25, 0.25]"
23,145.58531667853092,201696.58063526763,"[0.25, 0.25, 0.25, 0.25]"
24,775.4225383993,251430.68269255024,"[0.25, 0.25, 0.25, 0.25]"
25,84.65565245379565,464527.2589426941,"[0.25, 0.25, 0.25, 0.25]"
26,770.6554161321246,619729.005135843,"[0.25, 0.25, 0.25, 0.25]"
27,945.19017957455,884052.5523469921,"[0.25, 0.25, 0.25, 0.25]"
28,890.2311058573165,631926.5400579508,"[0.25, 0.25, 0.25, 0.25]"
29,791.9879076306341,864530.1663850503,"[0.25, 0.25, 0.25, 0.25]"
30,830.8024403074983,916998.7200173695,"[0.25, 0.25, 0.25, 0.25]"
31,247.3997509828545,560503.9553519925,"[0.25, 0.25, 0.25, 0.25]"
32,91.88553440033654,442322.0050420097,"[0.25, 0.25, 0.25, 0.25]"
33,29.810570064078185,222109.22009683185,"[0.25, 0.25, 0.25, 0.25]"
34,900.9635862544332,370273.404901738,"[0.25, 0.25, 0.25, 0.25]"
35,358.29239357719024,453955.3552514209,"[0.25, 0.25, 0.25, 0.25]"
36,397.1337830763661,804200.7355541156,"[0.25, 0.25, 0.25, 0.25]"
37,396.7226741357652,505542.53132187034,"[0.25, 0.25, 0.25, 0.25]"
38,277.7667639978798,589269.4823250684,"[0.25, 0.25, 0.25, 0.25]"
39,527.6528628280832,893365.0395256989,"[0.25, 0.25, 0.25, 0.25]"
40,836.0640510040573,158156.861154103,"[0.25, 0.25, 0.25, 0.25]"
