,T,P,zs
0,764.2146350267676,480387.05887311895,"[0.2, 0.2, 0.2, 0.2, 0.2]"
1,157.43035093046456,219959.792939956,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,383.0273011771952,716246.2241604954,"[0.2, 0.2, 0.2, 0.2, 0.2]"
3,862.5194083940497,518496.362094799,"[0.2, 0.2, 0.2, 0.2, 0.2]"
4,973.5781331143979,778058.5147109713,"[0.2, 0.2, 0.2, 0.2, 0.2]"
5,62.88341236908249,241033.88566296405,"[0.2, 0.2, 0.2, 0.2, 0.2]"
6,832.2192908109836,861162.8022730656,"[0.2, 0.2, 0.2, 0.2, 0.2]"
7,139.42275089886482,333093.27973304805,"[0.2, 0.2, 0.2, 0.2, 0.2]"
8,183.32118657666572,446402.8797480863,"[0.2, 0.2, 0.2, 0.2, 0.2]"
9,979.617150146105,418176.9468031202,"[0.2, 0.2, 0.2, 0.2, 0.2]"
10,329.25960190947046,888449.0948043716,"[0.2, 0.2, 0.2, 0.2, 0.2]"
11,757.7267556986855,216069.17456776806,"[0.2, 0.2, 0.2, 0.2, 0.2]"
12,823.6853423232967,829330.0911413409,"[0.2, 0.2, 0.2, 0.2, 0.2]"
13,892.2008952902339,666832.0797318998,"[0.2, 0.2, 0.2, 0.2, 0.2]"
14,994.5156742941042,642686.7734611323,"[0.2, 0.2, 0.2, 0.2, 0.2]"
15,18.79909657555775,450229.23936137685,"[0.2, 0.2, 0.2, 0.2, 0.2]"
16,865.0955158745222,104957.88172459624,"[0.2, 0.2, 0.2, 0.2, 0.2]"
17,149.26544368917274,289076.87784276204,"[0.2, 0.2, 0.2, 0.2, 0.2]"
18,369.07828904527446,370526.59711557336,"[0.2, 0.2, 0.2, 0.2, 0.2]"
19,603.0340835317928,709242.000070253,"[0.2, 0.2, 0.2, 0.2, 0.2]"
20,160.06731433679147,832569.5696960347,"[0.2, 0.2, 0.2, 0.2, 0.2]"
21,707.9484233315673,663705.0150571872,"[0.2, 0.2, 0.2, 0.2, 0.2]"
22,592.6287348170504,326314.28223008954,"[0.2, 0.2, 0.2, 0.2, 0.2]"
23,794.5212320577792,584550.5139627855,"[0.2, 0.2, 0.2, 0.2, 0.2]"
24,755.4956324668907,557909.5864145425,"[0.2, 0.2, 0.2, 0.2, 0.2]"
25,249.94371116258603,578962.3164829531,"[0.2, 0.2, 0.2, 0.2, 0.2]"
26,867.9447895980513,842809.7453889546,"[0.2, 0.2, 0.2, 0.2, 0.2]"
27,425.0168866039973,448625.50013261597,"[0.2, 0.2, 0.2, 0.2, 0.2]"
28,25.26413438333056,385364.91934817156,"[0.2, 0.2, 0.2, 0.2, 0.2]"
29,238.99805442682364,325003.66564614733,"[0.2, 0.2, 0.2, 0.2, 0.2]"
30,571.0850325889459,954598.7694316779,"[0.2, 0.2, 0.2, 0.2, 0.2]"
31,60.68778226324674,501906.8363125431,"[0.2, 0.2, 0.2, 0.2, 0.2]"
32,351.4105003887829,220934.6271021636,"[0.2, 0.2, 0.2, 0.2, 0.2]"
33,113.94495469741564,726462.7821136377,"[0.2, 0.2, 0.2, 0.2, 0.2]"
34,953.9658189258935,650472.0899817016,"[0.2, 0.2, 0.2, 0.2, 0.2]"
35,944.9316726683851,709973.8015572783,"[0.2, 0.2, 0.2, 0.2, 0.2]"
36,404.50834798542377,986559.7658305966,"[0.2, 0.2, 0.2, 0.2, 0.2]"
37,697.1904628868552,909877.3114523103,"[0.2, 0.2, 0.2, 0.2, 0.2]"
38,996.5173987641813,282489.5878842587,"[0.2, 0.2, 0.2, 0.2, 0.2]"
39,129.61868803856166,268147.5697866611,"[0.2, 0.2, 0.2, 0.2, 0.2]"
40,940.9732980623857,343695.35748337937,"[0.2, 0.2, 0.2, 0.2, 0.2]"
41,812.9352602629046,189617.40034561153,"[0.2, 0.2, 0.2, 0.2, 0.2]"
42,401.97427371773085,696750.1108997441,"[0.2, 0.2, 0.2, 0.2, 0.2]"
43,391.18519748318135,286506.7369472874,"[0.2, 0.2, 0.2, 0.2, 0.2]"
44,355.2097027353449,526784.4681061828,"[0.2, 0.2, 0.2, 0.2, 0.2]"
45,196.1039110128334,938019.9403678542,"[0.2, 0.2, 0.2, 0.2, 0.2]"
46,549.855508629745,450242.7068553361,"[0.2, 0.2, 0.2, 0.2, 0.2]"
47,895.8506894888314,389286.8044974293,"[0.2, 0.2, 0.2, 0.2, 0.2]"
48,45.81118593756638,122873.81544588608,"[0.2, 0.2, 0.2, 0.2, 0.2]"
49,725.1144882000289,719296.5421485942,"[0.2, 0.2, 0.2, 0.2, 0.2]"
50,855.6703126724392,339701.56651994993,"[0.2, 0.2, 0.2, 0.2, 0.2]"
51,391.1925897546295,329511.33384130336,"[0.2, 0.2, 0.2, 0.2, 0.2]"
52,912.7900853821757,397601.3555950945,"[0.2, 0.2, 0.2, 0.2, 0.2]"
53,476.9736267999342,502639.2546167545,"[0.2, 0.2, 0.2, 0.2, 0.2]"
54,664.7487421635581,653177.0573180525,"[0.2, 0.2, 0.2, 0.2, 0.2]"
55,418.877165724862,430554.5476083377,"[0.2, 0.2, 0.2, 0.2, 0.2]"
56,867.5390048854067,524881.2194750672,"[0.2, 0.2, 0.2, 0.2, 0.2]"
57,820.232442328172,264153.35165806604,"[0.2, 0.2, 0.2, 0.2, 0.2]"
58,319.8639328786804,661978.6228210875,"[0.2, 0.2, 0.2, 0.2, 0.2]"
59,673.4874239997008,602550.6418046979,"[0.2, 0.2, 0.2, 0.2, 0.2]"
60,667.6796404515563,628939.8556830438,"[0.2, 0.2, 0.2, 0.2, 0.2]"
61,96.88941586713001,443022.5837840689,"[0.2, 0.2, 0.2, 0.2, 0.2]"
62,52.35938441458436,782859.8833886014,"[0.2, 0.2, 0.2, 0.2, 0.2]"
63,31.42530185065846,579347.4778699321,"[0.2, 0.2, 0.2, 0.2, 0.2]"
64,681.1218568404765,236207.42212721173,"[0.2, 0.2, 0.2, 0.2, 0.2]"
65,864.1553879916528,723656.8647868261,"[0.2, 0.2, 0.2, 0.2, 0.2]"
66,135.83698743366102,577684.0820504748,"[0.2, 0.2, 0.2, 0.2, 0.2]"
67,555.8150167968124,883901.0100536222,"[0.2, 0.2, 0.2, 0.2, 0.2]"
68,640.0708631439627,727550.0864414552,"[0.2, 0.2, 0.2, 0.2, 0.2]"
69,397.81816191507875,241108.36558585556,"[0.2, 0.2, 0.2, 0.2, 0.2]"
70,10.193325791395276,337211.6066068418,"[0.2, 0.2, 0.2, 0.2, 0.2]"
71,287.6439112019933,113384.10039588196,"[0.2, 0.2, 0.2, 0.2, 0.2]"
72,326.7985237802483,566267.826975466,"[0.2, 0.2, 0.2, 0.2, 0.2]"
73,88.12510582898321,368185.98235002585,"[0.2, 0.2, 0.2, 0.2, 0.2]"
74,361.47815807089864,942746.3327676664,"[0.2, 0.2, 0.2, 0.2, 0.2]"
75,183.04868520302676,449909.5709722083,"[0.2, 0.2, 0.2, 0.2, 0.2]"
76,36.247908360919126,115338.94404235196,"[0.2, 0.2, 0.2, 0.2, 0.2]"
77,245.1693199616584,741923.1373433473,"[0.2, 0.2, 0.2, 0.2, 0.2]"
78,21.248373075210562,950238.6238447484,"[0.2, 0.2, 0.2, 0.2, 0.2]"
79,501.90413037377255,767094.5263238754,"[0.2, 0.2, 0.2, 0.2, 0.2]"
80,477.06290848138025,553170.157809066,"[0.2, 0.2, 0.2, 0.2, 0.2]"
81,874.0306109054386,338971.3236278094,"[0.2, 0.2, 0.2, 0.2, 0.2]"
82,483.4906624342468,918625.5470857946,"[0.2, 0.2, 0.2, 0.2, 0.2]"
83,764.8173791544756,489889.5021812037,"[0.2, 0.2, 0.2, 0.2, 0.2]"
84,640.8726707373439,296083.98467316397,"[0.2, 0.2, 0.2, 0.2, 0.2]"
85,702.6659612964102,986368.2740842203,"[0.2, 0.2, 0.2, 0.2, 0.2]"
86,215.06427428394068,291165.84422802035,"[0.2, 0.2, 0.2, 0.2, 0.2]"
87,441.1143631080841,737042.1885813723,"[0.2, 0.2, 0.2, 0.2, 0.2]"
88,154.37516039989694,650878.1318837908,"[0.2, 0.2, 0.2, 0.2, 0.2]"
89,809.118381500946,362971.19839393016,"[0.2, 0.2, 0.2, 0.2, 0.2]"
90,346.83794259756786,357422.5360457706,"[0.2, 0.2, 0.2, 0.2, 0.2]"
91,555.6502038479867,769946.3367312504,"[0.2, 0.2, 0.2, 0.2, 0.2]"
92,725.5963440485687,667967.8286561327,"[0.2, 0.2, 0.2, 0.2, 0.2]"
93,634.7454577142516,340842.515342946,"[0.2, 0.2, 0.2, 0.2, 0.2]"
94,994.0816954793587,882475.4460467887,"[0.2, 0.2, 0.2, 0.2, 0.2]"
95,173.1386378744688,709317.5454796025,"[0.2, 0.2, 0.2, 0.2, 0.2]"
96,414.81655795686027,102222.33385820265,"[0.2, 0.2, 0.2, 0.2, 0.2]"
97,514.6218836897272,148518.01310654086,"[0.2, 0.2, 0.2, 0.2, 0.2]"
98,586.4928446561486,701550.533384106,"[0.2, 0.2, 0.2, 0.2, 0.2]"
99,978.2831519183674,489771.0655834166,"[0.2, 0.2, 0.2, 0.2, 0.2]"
100,813.6089117802463,943247.3075585003,"[0.2, 0.2, 0.2, 0.2, 0.2]"
101,624.4281323592294,764001.5418743698,"[0.2, 0.2, 0.2, 0.2, 0.2]"
102,714.2167431665132,988701.2988655217,"[0.2, 0.2, 0.2, 0.2, 0.2]"
103,21.710281787256356,228743.3324007705,"[0.2, 0.2, 0.2, 0.2, 0.2]"
104,969.9080922210235,392907.3982781608,"[0.2, 0.2, 0.2, 0.2, 0.2]"
105,699.5313468443447,145388.0314051339,"[0.2, 0.2, 0.2, 0.2, 0.2]"
106,371.4876957767496,679432.7280219627,"[0.2, 0.2, 0.2, 0.2, 0.2]"
107,330.2085149326285,448373.6407504346,"[0.2, 0.2, 0.2, 0.2, 0.2]"
108,584.7077118273215,892789.783900342,"[0.2, 0.2, 0.2, 0.2, 0.2]"
109,399.09998049745366,267615.7294270502,"[0.2, 0.2, 0.2, 0.2, 0.2]"
110,591.6668297004911,104385.80376767527,"[0.2, 0.2, 0.2, 0.2, 0.2]"
111,481.9470835136217,401516.3079278151,"[0.2, 0.2, 0.2, 0.2, 0.2]"
112,677.1212718811881,482584.35312605207,"[0.2, 0.2, 0.2, 0.2, 0.2]"
113,976.2112062767477,117420.54811183413,"[0.2, 0.2, 0.2, 0.2, 0.2]"
114,661.2720691012034,916814.8149057967,"[0.2, 0.2, 0.2, 0.2, 0.2]"
115,653.1532014070309,606377.9720134202,"[0.2, 0.2, 0.2, 0.2, 0.2]"
116,887.8609571842427,832230.5771093105,"[0.2, 0.2, 0.2, 0.2, 0.2]"
117,995.8325309612322,717531.9831034131,"[0.2, 0.2, 0.2, 0.2, 0.2]"
118,824.4402643195587,956689.5172088413,"[0.2, 0.2, 0.2, 0.2, 0.2]"
119,378.2510851450857,457212.45529526746,"[0.2, 0.2, 0.2, 0.2, 0.2]"
120,887.6673829412387,110537.19316219892,"[0.2, 0.2, 0.2, 0.2, 0.2]"
121,839.5899201331047,516458.0035278336,"[0.2, 0.2, 0.2, 0.2, 0.2]"
122,880.0330694568705,372676.33609862573,"[0.2, 0.2, 0.2, 0.2, 0.2]"
123,119.74998276742991,327217.99402860994,"[0.2, 0.2, 0.2, 0.2, 0.2]"
124,607.7367929344938,154175.08165183128,"[0.2, 0.2, 0.2, 0.2, 0.2]"
125,591.5828649285033,931611.9511674688,"[0.2, 0.2, 0.2, 0.2, 0.2]"
126,905.4270751728,359946.6432871367,"[0.2, 0.2, 0.2, 0.2, 0.2]"
127,532.4453869258983,198870.4345817693,"[0.2, 0.2, 0.2, 0.2, 0.2]"
128,49.893030623757824,980090.1051004179,"[0.2, 0.2, 0.2, 0.2, 0.2]"
129,698.38266713551,382093.73615456925,"[0.2, 0.2, 0.2, 0.2, 0.2]"
130,632.9831508055642,121242.41682069952,"[0.2, 0.2, 0.2, 0.2, 0.2]"
131,658.8182023457719,877676.7771925118,"[0.2, 0.2, 0.2, 0.2, 0.2]"
132,157.59396487600515,972662.8773382107,"[0.2, 0.2, 0.2, 0.2, 0.2]"
133,996.904423601229,921248.459089118,"[0.2, 0.2, 0.2, 0.2, 0.2]"
134,105.35493250816079,343332.6635822258,"[0.2, 0.2, 0.2, 0.2, 0.2]"
135,562.854553142059,203320.70245568713,"[0.2, 0.2, 0.2, 0.2, 0.2]"
136,221.97278129409443,712759.2456605458,"[0.2, 0.2, 0.2, 0.2, 0.2]"
137,685.6856681962415,403701.48377211206,"[0.2, 0.2, 0.2, 0.2, 0.2]"
138,436.9646908099216,842076.3416328133,"[0.2, 0.2, 0.2, 0.2, 0.2]"
139,114.53664116718095,909636.7573624798,"[0.2, 0.2, 0.2, 0.2, 0.2]"
140,824.9397773417858,463493.8441233106,"[0.2, 0.2, 0.2, 0.2, 0.2]"
141,933.184500403725,885547.9045653522,"[0.2, 0.2, 0.2, 0.2, 0.2]"
142,938.2470770584538,311720.79025724425,"[0.2, 0.2, 0.2, 0.2, 0.2]"
