,T,P,zs
0,168.11162173425026,417617.23046683765,"[0.2, 0.2, 0.2, 0.2, 0.2]"
1,467.10567297222667,777366.9418655486,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,194.48171579213428,943570.7059304783,"[0.2, 0.2, 0.2, 0.2, 0.2]"
3,86.94150728167176,707514.953879798,"[0.2, 0.2, 0.2, 0.2, 0.2]"
4,700.8563223861465,217719.8325990932,"[0.2, 0.2, 0.2, 0.2, 0.2]"
5,479.4482755000574,258328.2960551037,"[0.2, 0.2, 0.2, 0.2, 0.2]"
6,850.2771653072654,472087.5380773512,"[0.2, 0.2, 0.2, 0.2, 0.2]"
7,516.7973655817666,986252.8649002693,"[0.2, 0.2, 0.2, 0.2, 0.2]"
8,414.03041724169464,823623.8243497317,"[0.2, 0.2, 0.2, 0.2, 0.2]"
9,72.3121841950576,415693.1709739455,"[0.2, 0.2, 0.2, 0.2, 0.2]"
10,415.53631464796564,813823.2996188262,"[0.2, 0.2, 0.2, 0.2, 0.2]"
11,541.5661809502733,584033.7244800217,"[0.2, 0.2, 0.2, 0.2, 0.2]"
12,926.4993904191921,880266.2725054475,"[0.2, 0.2, 0.2, 0.2, 0.2]"
13,159.51767275893275,807514.1789279131,"[0.2, 0.2, 0.2, 0.2, 0.2]"
14,970.8660165375591,598298.725710057,"[0.2, 0.2, 0.2, 0.2, 0.2]"
15,911.921387147149,321770.9525464411,"[0.2, 0.2, 0.2, 0.2, 0.2]"
16,325.55269885880745,970090.0862462881,"[0.2, 0.2, 0.2, 0.2, 0.2]"
17,822.6366152737025,991308.9396005674,"[0.2, 0.2, 0.2, 0.2, 0.2]"
18,30.933402107129698,436647.454697462,"[0.2, 0.2, 0.2, 0.2, 0.2]"
19,311.70772720817257,288632.8721043641,"[0.2, 0.2, 0.2, 0.2, 0.2]"
20,15.065797154256163,621237.2081331832,"[0.2, 0.2, 0.2, 0.2, 0.2]"
21,827.5631044226352,293237.65519984433,"[0.2, 0.2, 0.2, 0.2, 0.2]"
22,566.3222678599915,466851.58810474264,"[0.2, 0.2, 0.2, 0.2, 0.2]"
23,582.6380401880051,384877.34143747075,"[0.2, 0.2, 0.2, 0.2, 0.2]"
24,419.63039449810697,134720.46901239725,"[0.2, 0.2, 0.2, 0.2, 0.2]"
25,79.40612997139496,184173.55498763145,"[0.2, 0.2, 0.2, 0.2, 0.2]"
26,755.9922937641725,904754.3544245642,"[0.2, 0.2, 0.2, 0.2, 0.2]"
27,412.1591182299386,138208.3157273332,"[0.2, 0.2, 0.2, 0.2, 0.2]"
28,804.368514506151,882761.9569665899,"[0.2, 0.2, 0.2, 0.2, 0.2]"
29,155.14250084398657,585699.2462057355,"[0.2, 0.2, 0.2, 0.2, 0.2]"
30,918.2370916817656,535661.4672050586,"[0.2, 0.2, 0.2, 0.2, 0.2]"
31,172.83538600104555,997703.8865777057,"[0.2, 0.2, 0.2, 0.2, 0.2]"
32,713.6697324839689,436943.01132929773,"[0.2, 0.2, 0.2, 0.2, 0.2]"
33,693.1852259291342,457184.38344359526,"[0.2, 0.2, 0.2, 0.2, 0.2]"
34,720.6686906153533,199801.06162707607,"[0.2, 0.2, 0.2, 0.2, 0.2]"
35,991.5640577051306,553107.0318511717,"[0.2, 0.2, 0.2, 0.2, 0.2]"
36,712.687669617266,634820.4011657377,"[0.2, 0.2, 0.2, 0.2, 0.2]"
37,767.4664681329544,224884.89406571156,"[0.2, 0.2, 0.2, 0.2, 0.2]"
38,593.7190662555057,188554.53929902043,"[0.2, 0.2, 0.2, 0.2, 0.2]"
39,289.8637566737748,329351.78980675654,"[0.2, 0.2, 0.2, 0.2, 0.2]"
40,213.1001474048297,169952.03409024415,"[0.2, 0.2, 0.2, 0.2, 0.2]"
41,583.5597267790125,863953.617500672,"[0.2, 0.2, 0.2, 0.2, 0.2]"
42,932.9647615971387,387861.77989408054,"[0.2, 0.2, 0.2, 0.2, 0.2]"
43,887.2312994476745,189940.6547107604,"[0.2, 0.2, 0.2, 0.2, 0.2]"
44,374.2578513633765,170018.50571712892,"[0.2, 0.2, 0.2, 0.2, 0.2]"
45,472.15931406481576,138561.28820460849,"[0.2, 0.2, 0.2, 0.2, 0.2]"
46,702.6365061199693,121002.29000305427,"[0.2, 0.2, 0.2, 0.2, 0.2]"
47,357.48037422339723,174021.42823890995,"[0.2, 0.2, 0.2, 0.2, 0.2]"
48,165.81475421624347,189910.66711923445,"[0.2, 0.2, 0.2, 0.2, 0.2]"
49,609.2598587753515,553277.899616862,"[0.2, 0.2, 0.2, 0.2, 0.2]"
50,797.2253025712714,565423.4934214759,"[0.2, 0.2, 0.2, 0.2, 0.2]"
51,173.71084007883184,593111.1899560179,"[0.2, 0.2, 0.2, 0.2, 0.2]"
52,261.6926077178804,581286.7387020136,"[0.2, 0.2, 0.2, 0.2, 0.2]"
53,216.15755974373354,931596.4422157046,"[0.2, 0.2, 0.2, 0.2, 0.2]"
54,764.3403942083256,684028.042343372,"[0.2, 0.2, 0.2, 0.2, 0.2]"
55,713.2816010761572,324283.9781113188,"[0.2, 0.2, 0.2, 0.2, 0.2]"
56,812.5022322926088,826508.0500298265,"[0.2, 0.2, 0.2, 0.2, 0.2]"
57,106.95036500821467,258828.15324314483,"[0.2, 0.2, 0.2, 0.2, 0.2]"
58,399.7927857941354,142157.88019639178,"[0.2, 0.2, 0.2, 0.2, 0.2]"
59,365.26613812021674,761124.4790652188,"[0.2, 0.2, 0.2, 0.2, 0.2]"
60,653.6809974173598,969031.0243708421,"[0.2, 0.2, 0.2, 0.2, 0.2]"
61,753.2973345923342,770836.0059057191,"[0.2, 0.2, 0.2, 0.2, 0.2]"
62,189.11169410868132,780275.4609998766,"[0.2, 0.2, 0.2, 0.2, 0.2]"
63,561.0983727785238,710040.0814914769,"[0.2, 0.2, 0.2, 0.2, 0.2]"
64,107.76103810697255,122194.66893949552,"[0.2, 0.2, 0.2, 0.2, 0.2]"
65,941.9698858745502,133233.78243566645,"[0.2, 0.2, 0.2, 0.2, 0.2]"
66,764.9612825983278,537165.8684671368,"[0.2, 0.2, 0.2, 0.2, 0.2]"
67,614.6816952190702,646776.9574251765,"[0.2, 0.2, 0.2, 0.2, 0.2]"
68,907.9422697740047,771169.0941457821,"[0.2, 0.2, 0.2, 0.2, 0.2]"
69,595.8773139203178,773910.0643529549,"[0.2, 0.2, 0.2, 0.2, 0.2]"
70,701.6476640850067,628370.7001929285,"[0.2, 0.2, 0.2, 0.2, 0.2]"
71,601.6762382201783,517718.64233646414,"[0.2, 0.2, 0.2, 0.2, 0.2]"
72,89.67645094053066,520647.3621666666,"[0.2, 0.2, 0.2, 0.2, 0.2]"
73,521.8909889439446,394768.02984483464,"[0.2, 0.2, 0.2, 0.2, 0.2]"
74,292.166648952663,708483.3409133214,"[0.2, 0.2, 0.2, 0.2, 0.2]"
75,303.81573119289135,164011.36740332266,"[0.2, 0.2, 0.2, 0.2, 0.2]"
76,672.6866981779491,553076.0334098206,"[0.2, 0.2, 0.2, 0.2, 0.2]"
77,987.6590952730685,316185.12922634714,"[0.2, 0.2, 0.2, 0.2, 0.2]"
78,388.27864583354244,836799.7108584638,"[0.2, 0.2, 0.2, 0.2, 0.2]"
79,293.8258447638854,634588.7796354073,"[0.2, 0.2, 0.2, 0.2, 0.2]"
80,639.0328713310771,749054.7343722216,"[0.2, 0.2, 0.2, 0.2, 0.2]"
81,933.3027691679024,797351.4545654876,"[0.2, 0.2, 0.2, 0.2, 0.2]"
82,288.3717948976371,282486.20281688997,"[0.2, 0.2, 0.2, 0.2, 0.2]"
83,400.6875740908653,521933.98357145564,"[0.2, 0.2, 0.2, 0.2, 0.2]"
84,248.43960685189995,979779.8086115583,"[0.2, 0.2, 0.2, 0.2, 0.2]"
85,268.0949998734364,621922.9362942796,"[0.2, 0.2, 0.2, 0.2, 0.2]"
86,819.2486118149185,479780.34749051597,"[0.2, 0.2, 0.2, 0.2, 0.2]"
87,729.2123979816575,384396.80748911947,"[0.2, 0.2, 0.2, 0.2, 0.2]"
88,492.4593287722829,314870.0743322879,"[0.2, 0.2, 0.2, 0.2, 0.2]"
89,133.91369564883797,352217.67200648354,"[0.2, 0.2, 0.2, 0.2, 0.2]"
90,594.1833670093533,198200.18441401998,"[0.2, 0.2, 0.2, 0.2, 0.2]"
91,857.9504208084238,890410.7000382345,"[0.2, 0.2, 0.2, 0.2, 0.2]"
92,105.43083837457674,568814.0688514328,"[0.2, 0.2, 0.2, 0.2, 0.2]"
93,318.0619340076235,349121.68662756466,"[0.2, 0.2, 0.2, 0.2, 0.2]"
94,755.6298033260076,560402.0771225601,"[0.2, 0.2, 0.2, 0.2, 0.2]"
95,330.6471933123247,665825.3490094491,"[0.2, 0.2, 0.2, 0.2, 0.2]"
96,577.552863909376,105353.27777415607,"[0.2, 0.2, 0.2, 0.2, 0.2]"
97,942.4800444119041,525671.7781872579,"[0.2, 0.2, 0.2, 0.2, 0.2]"
98,733.2096787705328,368718.9874523828,"[0.2, 0.2, 0.2, 0.2, 0.2]"
99,852.8832254790641,410290.0173247971,"[0.2, 0.2, 0.2, 0.2, 0.2]"
100,155.08270438584384,619175.8037108299,"[0.2, 0.2, 0.2, 0.2, 0.2]"
101,136.87515243100108,248575.52848440545,"[0.2, 0.2, 0.2, 0.2, 0.2]"
102,833.3896977703753,605119.294389925,"[0.2, 0.2, 0.2, 0.2, 0.2]"
103,351.5923108301276,529501.6758857634,"[0.2, 0.2, 0.2, 0.2, 0.2]"
104,105.0414695788182,701043.835648464,"[0.2, 0.2, 0.2, 0.2, 0.2]"
105,484.7642258075479,674192.4850023277,"[0.2, 0.2, 0.2, 0.2, 0.2]"
106,62.936664665963,935960.7371340751,"[0.2, 0.2, 0.2, 0.2, 0.2]"
107,626.9484836535432,915582.0100285653,"[0.2, 0.2, 0.2, 0.2, 0.2]"
108,18.488534602852127,643178.7370223235,"[0.2, 0.2, 0.2, 0.2, 0.2]"
109,645.1925064032756,564434.7445183701,"[0.2, 0.2, 0.2, 0.2, 0.2]"
110,449.58879040770773,126735.51987882378,"[0.2, 0.2, 0.2, 0.2, 0.2]"
111,246.04845839829466,624281.4101349888,"[0.2, 0.2, 0.2, 0.2, 0.2]"
112,936.5339887116003,716493.5737033306,"[0.2, 0.2, 0.2, 0.2, 0.2]"
113,822.387032229496,516624.7484725635,"[0.2, 0.2, 0.2, 0.2, 0.2]"
114,219.66626106781732,496136.80539560574,"[0.2, 0.2, 0.2, 0.2, 0.2]"
115,523.4652168104675,308220.2655118713,"[0.2, 0.2, 0.2, 0.2, 0.2]"
116,818.3945362808083,646904.8694920162,"[0.2, 0.2, 0.2, 0.2, 0.2]"
117,369.14227977261254,944198.7790282867,"[0.2, 0.2, 0.2, 0.2, 0.2]"
118,363.57793239882517,138476.21040903576,"[0.2, 0.2, 0.2, 0.2, 0.2]"
119,387.48829683000196,927083.2931083044,"[0.2, 0.2, 0.2, 0.2, 0.2]"
120,932.1806456292042,247357.50011912116,"[0.2, 0.2, 0.2, 0.2, 0.2]"
121,364.413817678462,384953.54754518537,"[0.2, 0.2, 0.2, 0.2, 0.2]"
122,726.9163016928838,472051.5319134688,"[0.2, 0.2, 0.2, 0.2, 0.2]"
123,709.205899017176,415116.3986627888,"[0.2, 0.2, 0.2, 0.2, 0.2]"
124,659.628355612271,569017.334173412,"[0.2, 0.2, 0.2, 0.2, 0.2]"
125,911.6973317313926,577270.1603023324,"[0.2, 0.2, 0.2, 0.2, 0.2]"
126,531.5200470208897,434184.1817825058,"[0.2, 0.2, 0.2, 0.2, 0.2]"
127,163.58741478251588,444892.5467142902,"[0.2, 0.2, 0.2, 0.2, 0.2]"
128,302.3934667485401,239655.94951053362,"[0.2, 0.2, 0.2, 0.2, 0.2]"
129,803.8558315398312,321757.3991054804,"[0.2, 0.2, 0.2, 0.2, 0.2]"
130,85.31647846182763,219991.10073509667,"[0.2, 0.2, 0.2, 0.2, 0.2]"
131,379.9673341787336,373792.0246367181,"[0.2, 0.2, 0.2, 0.2, 0.2]"
132,993.1713571118023,291753.89493327064,"[0.2, 0.2, 0.2, 0.2, 0.2]"
133,144.76149794276918,193515.98468988726,"[0.2, 0.2, 0.2, 0.2, 0.2]"
134,195.62567461712575,989526.3470593562,"[0.2, 0.2, 0.2, 0.2, 0.2]"
135,989.121010552678,637498.3720682026,"[0.2, 0.2, 0.2, 0.2, 0.2]"
136,590.3477136962366,482903.98971419496,"[0.2, 0.2, 0.2, 0.2, 0.2]"
137,245.4631484697415,207484.14928685437,"[0.2, 0.2, 0.2, 0.2, 0.2]"
138,506.9538880893464,916008.5110514278,"[0.2, 0.2, 0.2, 0.2, 0.2]"
139,341.6999643596829,350288.60021544265,"[0.2, 0.2, 0.2, 0.2, 0.2]"
140,43.28105754427046,281038.71978290036,"[0.2, 0.2, 0.2, 0.2, 0.2]"
141,464.20866713979285,679100.372559907,"[0.2, 0.2, 0.2, 0.2, 0.2]"
142,580.614257106171,987811.9857691508,"[0.2, 0.2, 0.2, 0.2, 0.2]"
143,590.7176416713977,414458.3235815777,"[0.2, 0.2, 0.2, 0.2, 0.2]"
144,327.1181052177601,850501.3835811304,"[0.2, 0.2, 0.2, 0.2, 0.2]"
145,991.9147246589513,571630.9585249601,"[0.2, 0.2, 0.2, 0.2, 0.2]"
146,437.23532530399206,717511.4711905031,"[0.2, 0.2, 0.2, 0.2, 0.2]"
147,519.114067996619,813401.0337396801,"[0.2, 0.2, 0.2, 0.2, 0.2]"
148,465.5437589455193,344656.71577399387,"[0.2, 0.2, 0.2, 0.2, 0.2]"
149,944.336671791753,723230.2695752726,"[0.2, 0.2, 0.2, 0.2, 0.2]"
