,T,P,zs
0,938.8429866101606,160271.78075824163,"[0.5, 0.5]"
1,503.843580854298,541953.9567402382,"[0.5, 0.5]"
2,640.4724039816793,637895.1295524064,"[0.5, 0.5]"
3,81.59342630022343,589773.5713304209,"[0.5, 0.5]"
4,980.1761068609306,850125.9091743763,"[0.5, 0.5]"
5,520.6369406881911,929931.2350793587,"[0.5, 0.5]"
6,116.62580556403117,297659.48843778414,"[0.5, 0.5]"
7,612.7751531571637,875937.9280915785,"[0.5, 0.5]"
8,862.9908040520507,780723.5852908483,"[0.5, 0.5]"
9,530.6515941634351,189306.81639568778,"[0.5, 0.5]"
10,590.0446408789506,727269.6823292264,"[0.5, 0.5]"
11,938.7812163944377,928913.6033000796,"[0.5, 0.5]"
12,220.21788647550622,982770.2396280618,"[0.5, 0.5]"
13,625.2518250011067,113611.62873454466,"[0.5, 0.5]"
14,851.6455851805564,527867.9691681269,"[0.5, 0.5]"
15,251.22599454880466,100765.42999267997,"[0.5, 0.5]"
16,694.1019734708167,376157.1721670734,"[0.5, 0.5]"
17,639.1982413156286,647667.6020081748,"[0.5, 0.5]"
18,559.1210157336141,855276.5681655996,"[0.5, 0.5]"
19,461.24490279257856,498821.6589985314,"[0.5, 0.5]"
20,410.3541036157641,853898.2993788456,"[0.5, 0.5]"
21,384.092618552815,298172.3086910966,"[0.5, 0.5]"
22,248.19145278645863,204358.95069123787,"[0.5, 0.5]"
23,713.3721919906827,701117.0469588398,"[0.5, 0.5]"
24,897.1166278837292,419441.5589634291,"[0.5, 0.5]"
25,364.76645747628953,117301.13581229544,"[0.5, 0.5]"
26,820.3310002114436,603845.4040858832,"[0.5, 0.5]"
27,467.83925819678774,235376.89092061488,"[0.5, 0.5]"
28,188.24226250266693,457146.83920263906,"[0.5, 0.5]"
29,43.529578347907915,994730.2106176892,"[0.5, 0.5]"
30,555.7599672379263,908950.1746877923,"[0.5, 0.5]"
31,311.2863931824144,430124.8715134573,"[0.5, 0.5]"
32,12.101574356186767,353849.3717908767,"[0.5, 0.5]"
33,269.54480622222326,757175.4142557298,"[0.5, 0.5]"
34,816.479912553438,148436.1452704964,"[0.5, 0.5]"
35,14.652216732045291,561430.8275317249,"[0.5, 0.5]"
36,802.0911453381837,340174.0059031097,"[0.5, 0.5]"
37,24.272807713563246,114981.90342652911,"[0.5, 0.5]"
38,378.20184244301595,214520.45970282375,"[0.5, 0.5]"
39,538.935986918944,393986.6692890734,"[0.5, 0.5]"
40,87.55146193584945,598385.9813811097,"[0.5, 0.5]"
41,462.85935646488423,259521.33287180262,"[0.5, 0.5]"
42,955.950595086206,147198.5733534319,"[0.5, 0.5]"
