,T,P,zs
0,514.2769469939974,712194.1139249174,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
1,514.2385174682832,650635.7667238512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,192.18284219229534,586451.8651623393,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
3,100.70882913136576,845602.9300217573,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
4,985.1767765003665,268054.5210653263,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
5,936.6796405049416,703309.7035526254,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
6,33.857290301241854,470864.6966811345,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
7,503.87627794995325,563648.9934175748,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
8,254.98197938681125,402843.6466979321,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
9,525.6253377210456,733622.54372722,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
10,149.7664246435227,992201.5014448065,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
11,325.57639784990573,232484.6021467256,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
12,635.4265213090594,999204.6724144918,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
13,401.4128669935023,901603.569526888,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
14,423.0553249332192,708735.2587697394,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
15,294.2051229338466,959111.0476138862,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
16,545.5656213585731,148245.79713208866,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
17,723.1551530253023,901892.892212016,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
18,522.4388364942398,360828.7517899489,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
19,839.4072788534044,358776.8824264017,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
20,976.4265310807358,665100.4648292308,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
21,414.54497654947687,721670.3104805542,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
22,622.8580095533956,464658.22881035384,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
23,304.6046272159746,407777.3621488823,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
24,937.9633382339441,476110.5558764565,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
25,349.1624250159399,673085.0397647485,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
26,482.9650088038778,684967.747516802,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
27,693.6349841041426,692496.0064114891,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
28,901.8102234809977,601632.5841019638,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
29,592.8970737387293,116106.34038482212,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
30,448.17676531148857,562691.8310033152,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
31,487.13517754925834,300759.5765930875,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
32,49.78709947365259,302079.7717543958,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
33,431.7142954941076,486223.0074729523,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
34,239.78639696756397,758379.7413991243,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
35,282.6872854660318,451163.7959573875,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
36,955.8610700183447,519238.5318177086,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
37,837.1142762627983,325793.96129432484,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
38,621.6989649096016,204005.52595131518,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
39,227.26780836502775,976071.4977917171,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
40,437.8690900921083,926403.0142585115,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
41,576.7546352064417,522520.96943725727,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
42,772.2588951731578,503258.6527702783,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
43,785.6767193730692,691606.9809129466,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
44,590.581035302222,425755.60460701823,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
45,682.3199665789186,820825.231136125,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
46,132.19769350176097,863408.1986878221,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
47,135.4983444833576,699379.0029027862,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
48,219.02359758378384,596600.3651696951,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
49,318.18940434035505,928011.7268013727,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
50,719.1293571194831,182082.12252023543,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
51,263.16264213525625,675220.5166688616,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
52,143.01105009530116,638418.5596369229,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
53,593.0383786190866,689413.8556138001,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
54,955.0130698506108,403205.8813025231,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
55,675.972138473182,578286.7466668144,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
56,619.1862636431579,909616.9309094894,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
57,588.9580625274222,215250.57185722142,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
58,964.5440869568266,940511.3889600663,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
59,820.0071421365726,513628.41812732996,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
60,932.1955221513333,366011.1658045377,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
61,917.5270397968424,960398.4964693203,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
62,690.6644874485532,868000.7310908436,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
63,405.1473998939289,617608.593116946,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
64,714.9677520479858,434247.05101719993,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
65,201.9092407343186,240958.178849872,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
66,465.7676684555313,861636.248595289,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
67,311.52613081908123,396409.9528041122,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
